Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index,"Variance
(Kshs.)"
,Sub total,"130,243,381","40,504,271",,31.1,94,0,"89,739,110"
"Department of Roads, Transport and Public Works",,,,,,94,0,
"General Administration,
Planning and Support
Services","Human Resource and Support Ser-
vices","35,581,848","34,250,630",,96.3,94,0,"1,331,218"
,"Roads and Transport Services Op-
erations","5,043,076","4,646,988",,92.1,94,0,"396,088"
,Sub total,"40,624,924","38,897,618",,95.7,94,0,"1,727,306"
"Public works and
maintenance services",Quality control,"359,750",0,,0.0,94,0,"359,750"
,Plant and Machinery maintenance,"992,102",0,,0.0,94,0,"992,102"
,Enforcement Services,"156,500",0,,0.0,94,0,"156,500"
,Sub total,"1,508,352",0,,0.0,94,0,"1,508,352"
"Road Development
and Maintenance Ser-
vices","Road Development and Rehabilita-
tion services","1,103,785,778","379,206,937",,34.4,94,0,"724,578,841"
,Road maintenance,"407,097,411","80,856,470",,19.9,94,0,"326,240,941"
,Sub total,"1,510,883,189","460,063,407",,30.4,94,0,"1,050,819,782"
Department of Energy and Mining,,,,,,94,0,
Energy Services,Electrical Power Services,"20,000,000",0,,0.0,94,0,"20,000,000"
,Solar Power Services,"29,261,532","1,032,105",,3.5,94,0,"28,229,427"
,"Low Cost energy Technologies pro-
motion Services","13,654,249",0,,0.0,94,0,"13,654,249"
,Sub total,"62,915,781","1,032,105",,1.6,94,0,"61,883,676"
"Mineral Resource De-
velopment and Mar-
keting Services","Construction mineral development
and marketing services","4,000,000",0,,0.0,94,0,"4,000,000"
,Sub total,"4,000,000",0,,0.0,94,0,"4,000,000"
"General Administra-
tion, Planning and
Support Services",Administrative Support Services,"8,084,040","7,333,700",,90.7,94,0,"750,340"
,"Development of Policies, Plans,
Regulations and Legislations","6,503,851","5,002,300",,76.9,94,0,"1,501,551"
,Sub total,"14,587,891","12,336,000",,84.6,94,0,"2,251,891"
Department of Education and ICT,,,,,,94,0,
"General Adminis-
tration and Quality
Assurance Service",General administration Services,"37,421,009","28,800,000",,77.0,94,0,"8,621,009"
,Quality Assurance Services,"463,280,164","337,541,642",,72.9,94,0,"125,738,522"
,Sub total,"500,701,173","366,341,642",,73.2,94,0,"134,359,531"
"ECDE and Vocational
Training Services",ECDE Services,"71,512,379","29,519,915",,41.3,94,0,"41,992,464"
,Vocational Training Services,"40,399,894",0,,0.0,94,0,"40,399,894"
,Sub total,"111,912,273","29,519,915",,26.4,94,0,"82,392,358"
Department of Health Services,,,,,,94,0,
"Policy planning and
administrative sup-
port service","Policy, Planning and Monitoring
Services","2,500,000",0,,0.0,94,0,"2,500,000"
,Administrative Support Services,"2,216,933,944","1,336,034,188",,60.3,94,0,"880,899,756"
,Sub total,"2,219,433,944","1,336,034,188",,60.2,94,0,"883,399,756"
"Preventive and pro-
motive health services",Community health services,"22,000,000","9,177,047",,41.7,95,0,"12,822,953"
,Disease control services,"2,500,000",0,,0.0,95,0,"2,500,000"
,"Facility infrastructure improve-
ment services","256,496,611","122,946,804",,47.9,95,0,"133,549,807"
,Sub total,"280,996,611","132,123,851",,47.0,95,0,"148,872,760"
"Curative and rehabil-
itative health services",Routine medical health services,"224,230,514","129,496,611",,57.8,95,0,"94,733,903"
,"Medical emergency response ser-
vices","113,902,479",0,,0.0,95,0,"113,902,479"
,"Facility infrastructure improve-
ment services","113,462,232",0,,0.0,95,0,"113,462,232"
,Sub total,"451,595,225","129,496,611",,28.7%,95,0,"322,098,614"
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,95,0,
"General Administra-
tion Services","General administrative support
services","30,111,180","22,900,060",,76.1,95,0,"7,211,120"
,General office operations,"6,697,478",0,,0.0,95,0,"6,697,478"
,Sub total,"36,808,658","22,900,060",,62.2,95,0,"13,908,598"
"Lands and Physical
planning",County Spatial planning,"14,881,138","7,046,416",,47.4,95,0,"7,834,722"
,Symbio-City Change Project,"9,789,714",0,,0.0,95,0,"9,789,714"
,Sub total,"24,670,852","7,046,416",,28.6,95,0,"17,624,436"
"Housing and Urban
Development",Housing improvement services,"5,500,000",0,,0.0,95,0,"5,500,000"
,"Smart settlement services (Equip-
ping of Ndhiwa ABTC)","3,100,000",0,,0.0,95,0,"3,100,000"
,"Delineation and Establishment of
urban institutions","13,000,000",0,,0.0,95,0,"13,000,000"
,Slum Upgrading Programme,"5,000,000",0,,0.0,95,0,"5,000,000"
,Sub total,"26,600,000",0,,0.0,95,0,"26,600,000"
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,95,0,
"Planning and Admin-
istrative services","Administrative and Support Ser-
vices","122,144,244","120,834,396",,98.9%,95,0,"1,309,848"
,"Policy Development and Imple-
mentation Services","7,561,570","6,899,866",,91.2%,95,0,"661,704"
,Sub total,"129,705,814","127,734,262",,98.5%,95,0,"1,971,552"
"Trade, Cooperative
and Entrepreneurship
Development Service",Cooperative Development Services,-,-,,-,95,0,-
,"Enterprise Development and Pro-
motion Services",-,-,,-,95,0,-
,"Trade Infrastructure Development
Services","46,095,374","33,470,456",,72.6,95,0,"12,624,918"
,Sub total,"46,095,374","33,470,456",,72.6,95,0,"12,624,918"
"Industrial Develop-
ment and Investment
Services",Value Chain Development Services,"45,809,660",0,,0.0,95,0,"45,809,660"
,Sub total,"45,809,660",0,,0.0,95,0,"45,809,660"
"Department of Water, Environment and Natural Resources",,,,,,95,0,
"General Administra-
tive services",Administrative Support Services,"106,417,254","44,002,960",,41.3,95,0,"62,414,294"
,Policy and Planning Services,"400,000",0,,0.0,95,0,"400,000"
,Sub total,"106,817,254","44,002,960",,41.2,95,0,"62,814,294"
"Water Supply and
Management Services",Urban Water Supply Services,"11,000,000",0,,0.0,95,0,"11,000,000"
,Ward Based Projects,"310,004,351","176,918,964",,57.1,95,0,"133,085,387"
,Other Water Projects,"21,043,300",,,0.0,95,0,"21,043,300"
,Sub total,"342,047,651","176,918,964",,51.7,95,0,"165,128,687"
"Environmental Pro-
tection and Manage-
ment Services","Pollution and Waste Management
services",0,0,,,95,0,0
,Forestry Development Services,"11,500,000",0,,0.0,95,0,"11,500,000"
,Climate Change Services,"5,000,000",0,,0.0,95,0,"5,000,000"
,Sub total,"16,500,000",0,,0.0,95,0,"16,500,000"
"Department of Finance, Economic Planning and Service Delivery",,,,,,95,0,
"General administra-
tion and support ser-
vices","Staff Remuneration and Welfare
Support Services","228,154,872","161,730,424",,70.9,95,0,"66,424,448"
,"General Logistics, Coordination
and Asset Management Services","2,861,213",0,,0.0,95,0,"2,861,213"
,"Devolution and Service Delivery
Support Services","45,000,000",0,,0.0,95,0,"45,000,000"
,Sub total,"276,016,085","161,730,424",,58.6,95,0,"114,285,661"
"Planning, budgeting
and development co-
ordination services","Economic planning and develop-
ment services","13,600,200",0,,0.0,96,0,"13,600,200"
,Resource Allocation Services,"19,629,000","4,548,172",,23.2,96,0,"15,080,828"
,"Community Development Partici-
pation Services","5,146,874",0,,0.0%,96,0,"5,146,874"
,Sub total,"38,376,074","4,548,172",,11.9,96,0,"33,827,902"
"Strategy and service
delivery management
services",Monitoring and evaluation services,"1,987,200",0,,0.0,96,0,"1,987,200"
,"Strategy and service delivery im-
provement services","5,200,000",0,,0.0,96,0,"5,200,000"
,Sub total,"7,187,200",0,,0.0,96,0,"7,187,200"
"Resource mobilization
services","External Resources Mobilization
Services","13,434,248",0,,0.0,96,0,"13,434,248"
,"Internal Revenue Generation Ser-
vices","13,721,280",0,,0.0,96,0,"13,721,280"
,Sub total,"27,155,528",0,,0.0,96,0,"27,155,528"
"Financial manage-
ment services","Accounting and Financial Report-
ing Services","7,129,308",0,,0.0,96,0,"7,129,308"
,Audit and Advisory Services,"9,956,997",0,,0.0,96,0,"9,956,997"
,Emergency Management Services,"105,200,001",0,,0.0,96,0,"105,200,001"
,Sub total,"122,286,306",0,,0.0,96,0,"122,286,306"
Executive Services (Office of the Governor),,,,,,96,0,
"Public service admin-
istration support ser-
vices","Human resource management and
development services","423,841,788","311,195,260",,73.4,96,0,"112,646,528"
,supply chain management services,"10,325,272",0,,0.0,96,0,"10,325,272"
,Legal Services,"6,000,000",0,,0.0,96,0,"6,000,000"
,"Logistics, security and asset man-
agement services","11,174,728",0,,0.0,96,0,"11,174,728"
,"Performance contracting and ap-
praisal services","5,500,000",0,,0.0,96,0,"5,500,000"
,Sub total,"456,841,788","311,195,260",,68.1,96,0,"145,646,528"
"Governance and coor-
dination services","Executive management and liaison
services","25,345,346","1,705,640",,6.7,96,0,"23,639,706"
,"Field coordination and administra-
tion services","44,104,295",0,,0.0,96,0,"44,104,295"
,Sub total,"69,449,641","1,705,640",,2.5,96,0,"67,744,001"
"Strategy and service
delivery improvement
services",Strategy and advisory services,"7,399,120",0,,0.0,96,0,"7,399,120"
,Efficiency monitoring services,"8,953,000",0,,0.0,96,0,"8,953,000"
,"Information and communication
services","2,250,000",0,,0.0,96,0,"2,250,000"
,Disaster management services,"4,860,600",0,,0.0,96,0,"4,860,600"
,"Compliance and Enforcement ser-
vices","20,000,000",0,,0.0,96,0,"20,000,000"
,Sub total,"43,462,720",0,,0.0,96,0,"43,462,720"
County Public Service Board,,,,,,96,0,
"Policy, Planning and
Administration Ser-
vices",Policy and Planning Services,"1,154,901",0,,0.0,96,0,"1,154,901"
,Administrative Support Services,"23,520,289","13,654,524",,58.1,96,0,"9,865,765"
,"Facility Improvement & Capacity
Strengthening Services","310,000",0,,0.0,96,0,"310,000"
,Sub total,"24,985,190","13,654,524",,54.7%,96,0,"11,330,666"
"Personnel Sourcing
and Management Ser-
vices","Recruitment, Selection and De-
ployment Services","3,485,000",,,0.0,96,0,"3,485,000"
,"Human Resource Advisory Ser-
vices","2,184,349","500,000",,22.9,96,0,"1,684,349"
,Capacity Development Services,"598,740",0,,0.0,96,0,"598,740"
,Sub total,"6,268,089","500,000",,8.0,96,0,"5,768,089"
"Performance Manage-
ment Services","Performance Contracting and Ap-
praisal Services","599,612",0,,0.0,96,0,"599,612"
,Sub total,"599,612",0,,0.0,96,0,"599,612"
County Assembly Service Board,,,,,,96,0,
Legislative Services,Members welfare Support services,"291,765,464","180,378,111",,61.8,96,0,"111,387,353"
,"Legislative development and ap-
proval services","113,922,966","56,567,399",,49.7,96,0,"57,355,567"
,Sub total,"405,688,430","236,945,510",,58.4,96,0,"168,742,920"
