Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Prevention and Health
Promotion","Administration And Support Ser-
vices","749,785.00","355,800.00","393,985.00",47.5,369,0
,,"749,785.00","355,800.00","393,985.00",47.5,369,0
,Sub Total,"3,137,065,535.00","1,870,048,075.55","1,267,017,459.45",59.6,369,0
Agriculture,,,,,,369,0
"Administration- Agri-
culture, Livestock and
Fisheries",Administration Support Services,"229,555,060.00","212,323,162.60","17,231,897.40",92.5,369,0
,,"229,555,060.00","212,323,162.60","17,231,897.40",92.5,369,0
Agriculture,"Crop Development And Manage-
ment","467,476,539.00","248,231,924.90","219,244,614.10",53.1,369,0
,,"467,476,539.00","248,231,924.90","219,244,614.10",53.1,369,0
"Chebororwa Training
Center","Agricultural Training Services -
Chebororwa","23,645,443.00","4,611,182.40","19,034,260.60",19.5,369,0
,,"23,645,443.00","4,611,182.40","19,034,260.60",19.5,369,0
"Agricultural Machinery
Service","Agricultural Mechanization Ser-
vices","42,422,968.00","9,211,130.00","33,211,838.00",21.7,369,0
,,"42,422,968.00","9,211,130.00","33,211,838.00",21.7,369,0
,Sub Total,"763,100,010.00","474,377,399.90","288,722,610.10",62.2,369,0
"Trade, Investment And Industrialization",,,,,,369,0
"Administration- Trade,
Cooperatives, Tourism
and Wildlife","Administration And Support Ser-
vices","13,006,144.00","6,183,645.60","6,822,498.40",47.5,369,0
,,"13,006,144.00","6,183,645.60","6,822,498.40",47.5,369,0
Trade Department,Market Services,"92,400,000.00","24,089,201.25","68,310,798.75",26.1,369,0
,"Trade Development And Invest-
ment","126,587,187.00","42,809,590.00","83,777,597.00",33.8,369,0
,,"218,987,187.00","66,898,791.25","152,088,395.75",30.5,369,0
,Sub Total,"231,993,331.00","73,082,436.85","158,910,894.15",31.5,369,0
"Education, Culture And Social Services",,,,,,369,0
"Administration - Edu-
cation, Social Cultural,
Youth and Sports","Administration And Support Ser-
vices","384,976,008.00","264,785,738.10","120,190,269.90",68.8,369,0
,,"384,976,008.00","264,785,738.10","120,190,269.90",68.8,369,0
Education Department,Basic Education,"110,026,679.00","99,272,200.00","10,754,479.00",90.2,369,0
,"Administration And Support Ser-
vices","1,548,772.00","301,000.00","1,247,772.00",19.4,369,0
,,"111,575,451.00","99,573,200.00","12,002,251.00",89.2,369,0
Department of Culture,"Administration And Support Ser-
vices","15,300,000.00","14,686,580.00","613,420.00",96.0,369,0
,,"15,300,000.00","14,686,580.00","613,420.00",96.0,369,0
"Social Service Depart-
ment","Administration And Support Ser-
vices","4,670,702.00","3,593,334.00","1,077,368.00",76.9,369,0
,Youth Training And Development,"6,600,839.00","4,402,818.00","2,198,021.00",66.7,369,0
,Community Development Services,"30,000,000.00",0,"30,000,000.00",-,369,0
,Social Development Services,"1,000,000.00",0,"1,000,000.00",-,369,0
,,"42,271,541.00","7,996,152.00","34,275,389.00",18.9,369,0
,Sub Total,"554,123,000.00","387,041,670.10","167,081,329.90",69.8,369,0
County Public Service Board,,,,,,369,0
"Headquarters - County
Public Service Board","Administration And Support Ser-
vices","45,614,234.00","22,224,072.10","23,390,161.90",48.7,369,0
,,"45,614,234.00","22,224,072.10","23,390,161.90",48.7,369,0
,Sub Total,"45,614,234.00","22,224,072.10","23,390,161.90",48.7,369,0
County Assembly,,,,,,369,0
Headquarters,"County Planning And Economic
Policy Management","806,014,946.00","482,075,837.00","323,939,109.00",59.8,369,0
,,"806,014,946.00","482,075,837.00","323,939,109.00",59.8,369,0
,Sub Total,"806,014,946.00","482,075,837.00","323,939,109.00",59.8,369,0
Economic Planning,,,,,,369,0
702004310,"County Planning And Economic
Policy Management","58,605,271.00","38,094,970.00","20,510,301.00",65.0,369,0
,,"58,605,271.00","38,094,970.00","20,510,301.00",65.0,369,0
702004310,"County Planning And Economic
Policy Management","10,000,000.00","1,730,000.00","8,270,000.00",17.3,369,0
,,"10,000,000.00","1,730,000.00","8,270,000.00",17.3,370,0
,Sub Total,"68,605,271.00","39,824,970.00","28,780,301.00",58.0,370,0
"Devolution, Public Administration And Coordination",,,,,,370,0
105004310,Administration Support Services,"70,000,000.00","50,735,736.00","19,264,264.00",72.5,370,0
206004310,Public Works Services,"28,358,355.00","11,088,147.00","17,270,208.00",39.1,370,0
504004310,"Administration And Support Ser-
vices","38,052,103.00","21,741,558.00","16,310,545.00",57.1,370,0
,,"136,410,458.00","83,565,441.00","52,845,017.00",61.3,370,0
,Sub Total,"136,410,458.00","83,565,441.00","52,845,017.00",61.3,370,0
"Youth Affairs, Gender And Sports Development",,,,,,370,0
Youth and Gender Affairs,"Administration And Support Ser-
vices","14,973,807.00","9,140,500.00","5,833,307.00",61.0,370,0
,"Administration And Support Ser-
vices","7,176,915.00","3,729,318.00","3,447,597.00",52.0,370,0
,,"22,150,722.00","12,869,818.00","9,280,904.00",58.1,370,0
Youth and Gender Affairs,Youth Training and Development,"62,439,724.00","25,187,960.00","37,251,764.00",40.3,370,0
,"Administration and Support Ser-
vices","8,240,000.00","3,683,520.00","4,556,480.00",44.7,370,0
,,"70,679,724.00","28,871,480.00","41,808,244.00",40.8,370,0
Youth and Gender Affairs,"Tourism Development and Mar-
keting","46,655,799.00","27,881,885.00","18,773,914.00",59.8,370,0
,"Administration and Support Ser-
vices","600,000.00","395,610.00","204,390.00",65.9,370,0
,"Management and Development of
Sports And Sports Facilities","73,100,000.00",0,"73,100,000.00",-,370,0
,,"120,355,799.00","28,277,495.00","92,078,304.00",23.5,370,0
,Sub Total,"213,186,245.00","70,018,793.00","143,167,452.00",32.8,370,0
Cooperatives And Enterprise Development,,,,,,370,0
304004310,"Cooperatives Development And
Marketing","18,539,098.00","8,783,345.25","9,755,752.75",47.4,370,0
,,"18,539,098.00","8,783,345.25","9,755,752.75",47.4,370,0
305004310,Weights And Measurements,"18,000,000.00","29,000,000.00","-11,000,000.00",161.1,370,0
,,"18,000,000.00","29,000,000.00","-11,000,000.00",161.1,370,0
,Sub Total,"36,539,098.00","37,783,345.25","-1,244,247.25",103.4,370,0
Livestock Development And Fisheries,,,,,,370,0
101004310,"Livestock Resource Management
And Development","68,542,258.00",0,"68,542,258.00",-,370,0
102004310,"Crop Development And Manage-
ment","4,374,227.00","3,002,485.00","1,371,742.00",68.6,370,0
,,"72,916,485.00","3,002,485.00","69,914,000.00",4.1,370,0
104004310,Fisheries Development,"11,028,960.00","3,457,560.00","7,571,400.00",31.3,370,0
,,"11,028,960.00","3,457,560.00","7,571,400.00",31.3,370,0
101004310,"Livestock Resource Management
and Development","76,145,950.00","24,974,536.40","51,171,413.60",32.8,370,0
,,"76,145,950.00","24,974,536.40","51,171,413.60",32.8,370,0
,Sub Total,"160,091,395.00","31,434,581.40","128,656,813.60",19.6,370,0
Physical Planning And Urban Development,,,,,,370,0
"Physical Planning and
Urban Development",Housing Development,"4,654,065.00","2,508,269.55","2,145,795.45",53.9,370,0
,,"4,654,065.00","2,508,269.55","2,145,795.45",53.9,370,0
,Housing Development,"50,578,104.00","6,464,802.00","44,113,302.00",12.8,370,0
,,"50,578,104.00","6,464,802.00","44,113,302.00",12.8,370,0
,Sub Total,"55,232,169.00","8,973,071.55","46,259,097.45",16.2,370,0
Eldoret Municipality,,,,,,370,0
Eldoret Municipality,Housing Development,"339,090,514.00","13,978,811.00","325,111,703.00",4.1,370,0
,Rural Electrification,"37,573,900.00",0,"37,573,900.00",-,370,0
,Roads Infrastructure Development,"1,188,700,900.00","88,606,273.05","1,100,094,626.95",7.5,370,0
,,"1,565,365,314.00","102,585,084.05","1,462,780,229.95",6.6,370,0
,Sub Total,"1,565,365,314.00","102,585,084.05","1,462,780,229.95",6.6,370,0
,Grand Total,"11,727,087,098.00","5,404,226,219.30","6,322,860,878.70",46.1,370,0
