Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
,Economic Planning,"34,086,000","26,058,000","8,028,000",76.4%,88,0
,Revenue Management,"248,927,781","140,368,000","108,559,781",56.4%,88,0
,Supply Chain Management,"5,630,000","2,750,000","2,880,000",48.8%,88,0
Donor Coordination,Donor Coordination,"16,780,548","11,200,000","5,580,548",66.7%,88,0
,Total,"1,924,340,002","1,327,803,629","596,536,373",69.0%,88,0
"Gender, Social Service and Sport",,,,,,88,0
"Culture, Women &
Youth","General Administration & Sup-
port Service","141,411,832","28,198,000","113,213,832",19.9%,88,0
,"Social Protection, Cultural Pro-
motion and Preservation","1,025,000",,"1,025,000",0.0%,88,0
,Youth and Sport,"3,763,600",,"3,763,600",0.0%,88,0
,Total,"146,200,432","28,198,000","118,002,432",19.3%,88,0
Water and Irrigation,,,,,,88,0
Water Services,"General Administration & Sup-
port Service","234,556,361","124,788,000","109,768,361",53.2%,88,0
,"Water Infrastructure Develop-
ment","825,000,000","161,533,119","663,466,881",19.6%,88,0
Irrigation Service,Irrigation Development,"45,000,000","4,900,000","40,100,000",10.9%,88,0
,Total,"1,104,556,361","291,221,119","813,335,242",26.4%,88,0
