Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Strategy and service delivery,"Conflict Management And Res-
olution","1,141,000.00","652,112.00","488,888.00",57,232,0
,sub-total,"1,141,000.00","652,112.00","488,888.00",57,232,0
"General Administration and Sup-
port Services","General Administration Ser-
vices","77,598,550.00","43,077,546.90","34,521,003.10",55.5,232,0
,sub-total,"77,598,550.00","43,077,546.90","34,521,003.10",55.5,232,0
Cohesion And Peace Building,"Peace Building, Education, Ad-
vocacy And Research","3,700,000.00","513,100.00","3,186,900.00",13.8,232,0
,sub-total,"3,700,000.00","513,100.00","3,186,900.00",13.8,232,0
"General Administration and Sup-
port Services (Deputy Governor's
Office)","General Administration Ser-
vices","22,999,800.00","6,091,051.00","16,908,749.00",26.4,232,0
,sub-total,"22,999,800.00","6,091,051.00","16,908,749.00",26.4,232,0
"Governance and Executive Man-
agement",Citizen Delivery services,"1,000,000.00",-,"1,000,000.00",-,232,0
,sub-total,"1,000,000.00",-,"1,000,000.00",-,232,0
"General Administration and Sup-
port Services (County Secretary)","General Administration Ser-
vices","11,200,000.00","4,834,560.00","6,365,440.00",43.2,232,0
,sub-total,"11,200,000.00","4,834,560.00","6,365,440.00",43.2,232,0
"Kenya Devolution Support Pro-
gramme","Key Result Area1: Public Fi-
nance Management","5,450,641.63",-,"5,450,641.63",-,233,0
,"Key Result Area2: Planning,
Monitoring And Evaluation","10,499,275.59",-,"10,499,275.59",-,233,0
,"Key Result Area3: Performance
Contracting And Human Re-
sources Management","16,180,646.97",-,"16,180,646.97",-,233,0
,"Key Result Area4: Civic Educa-
tion And Public Participation","7,482,038.72",-,"7,482,038.72",-,233,0
,"Key Result Area5: Environment
And Social Safeguard","5,387,397.09",-,"5,387,397.09",-,233,0
,sub-total,"45,000,000.00",-,"45,000,000.00",-,233,0
"Pending Bills - Office of the Coun-
ty Executive",Pending Bills,"43,573,081.40","14,349,868.40","29,223,213.00",32.9,233,0
,sub-total,"43,573,081.40","14,349,868.40","29,223,213.00",32.9,233,0
"Governance and Executive Man-
agement",Citizen Delivery services,"170,000,000.00","720,046.00","169,279,954.00",0.4,233,0
,sub-total,"170,000,000.00","720,046.00","169,279,954.00",0.4,233,0
,Sub Total Kshs,"461,383,836.40","132,317,667.50","329,066,168.90",28.6,233,0
Public Service Management,,,,,,233,0
"General Administration and Sup-
port Services","General Administration and
Support Services","478,328,625.24","312,286,981.37","166,041,643.87",65.2,233,0
,sub-total,"478,328,625.24","312,286,981.37","166,041,643.87",65.2,233,0
"pending bills-already deducted
from vote heads",Pending Bills,"22,988,981.00","11,466,000.00","11,522,981.00",49.8,233,0
,sub-total,"22,988,981.00","11,466,000.00","11,522,981.00",49.8,233,0
"Human Capital Management And
Development",Human Capital Strategy,"2,020,000.00","1,417,465.00","602,535.00",70.2,233,0
,"Information And Records Man-
agement",,"656,265.00","-656,265.00",-,233,0
,sub-total,"2,740,000.00","2,073,730.00","666,270.00",75.7,233,0
"Sub County Administration Ser-
vices","Devolved units Development
services","8,300,000.00","3,394,870.00","4,905,130.00",40.9,233,0
,sub-total,"8,300,000.00","3,394,870.00","4,905,130.00",40.9,233,0
"Civic Education And Public Par-
ticipation",Civic Education,"200,000.00",-,"200,000.00",-,233,0
,sub-total,"200,000.00",0,"200,000.00",-,233,0
"County Security and Compliance
Enforcement Services","Support and Administration
Services","3,566,037.00","3,362,400.00","203,637.00",94.3,233,0
,sub-total,"3,566,037.00","3,362,400.00","203,637.00",94.3,233,0
"General Administration and
Support Services (Public Service
Board)","General Administration and
Support Services","62,900,000.00","26,231,828.00","36,668,172.00",41.7,233,0
,sub-total,"62,900,000.00","26,231,828.00","36,668,172.00",41.7,233,0
"Human Capital Management And
Development",Human Capital Strategy,"3,900,000.00","2,384,144.00","1,515,856.00",61,233,0
,Public Service Board Services,"5,400,000.00","2,261,800.00","3,138,200.00",41.9,233,0
,"Information And Records Man-
agement","1,350,000.00","147,816.00","1,202,184.00",10.9,233,0
,sub-total,"10,650,000.00","4,793,760.00","5,856,240.00",45,233,0
"General Administration and Sup-
port Services (information)","General Administration Ser-
vices","21,000,000.00","20,503,422.00","496,578.00",97.6,233,0
,sub-total,"21,000,000.00","20,503,422.00","496,578.00",97.6,233,0
"General Administration and Sup-
port Services","General Administration and
Support Services","22,650,326.00","4,423,080.00","18,227,246.00",19.5,233,0
,"Construction/Renovation of
Sub-County/Ward Admin. Of-
fices","22,650,326.00","4,423,080.00","18,227,246.00",19.5,233,0
,"Devolved units Development
services","79,449,674.00","16,666,478.00","62,783,196.00",21,233,0
,ICT,"40,000,000.00",-,"40,000,000.00",-,233,0
,sub-total,"142,100,000.00","21,089,558.00","121,010,442.00",14.8,233,0
,Sub Total Kshs,"752,773,643.24","393,736,549.37","359,037,093.87",52.3,233,0
"Education, Youth, Sports, Culture, Gender and Social Services",,,,,,233,0
"General Administration and sup-
portive Services",Personal Emolument,"138,322,952.00","126,079,018.00","12,243,934.00",91,233,0
,"General Administration Ser-
vices","9,408,710.00","6,043,290.00","3,365,420.00",64.2,233,0
,"Staff trainings and Empower-
ment","1,200,000.00","1,000,000.00","200,000.00",83.3,233,0
,sub-total,"160,463,662.00","133,122,308.00","27,341,354.00",82.9,233,0
Education Support Services,Bursary And Scholarship,"29,000,000.00",-,"29,000,000.00",-,233,0
,sub-total,"29,000,000.00",-,"29,000,000.00",-,233,0
Child Care Support Services,Ecde Staffing,"1,000,000.00","1,000,000.00",-,100,234,0
,sub-total,"1,000,000.00","1,000,000.00",-,100,234,0
Quality Management Services,"Quality Assurance And Stan-
dards Services","1,000,000.00","1,000,000.00",-,100,234,0
,"Quality Assurance And Stan-
dards Services","500,000.00","470,000.00","30,000.00",94,234,0
,"Sub County Education Office
Services","500,000.00","500,000.00",-,100,234,0
,sub-total,"2,000,000.00","1,970,000.00","30,000.00",98.5,234,0
Pending Bills,Pending Bills,"4,406,000.00","1,909,500.00","2,496,500.00",43.3,234,0
,sub-total,"4,406,000.00","1,909,500.00","2,496,500.00",43.3,234,0
"General Administration and sup-
portive Services","General Administration Ser-
vices","5,980,000.00","3,510,279.00","2,469,721.00",58.7,234,0
,sub-total,"5,980,000.00","3,510,279.00","2,469,721.00",58.7,234,0
Sports and Culture Development,Sports And Talent Development,"500,000.00","373,233.00","126,767.00",74.6,234,0
,Talent Development Services,"500,000.00","406,400.00","93,600.00",81.28,234,0
,sub-total,"1,000,000.00","779,633.00","220,367.00",77.9,234,0
Pending Bills Recurrent,Pending Bills,"4,278,307.00",-,"4,278,307.00",-,234,0
,sub-total,"4,278,307.00",-,"4,278,307.00",-,234,0
Sports and Culture Development,"Promotion of indigenous
knowledge","1,000,000.00",-,"1,000,000.00",-,234,0
,sub-total,"1,000,000.00",-,"1,000,000.00",-,234,0
Gender and Equality Services,"Women Empowerment Enter-
prises And Support Services","600,000.00",-,"600,000.00",-,234,0
,"Pwds Enterprises And Support
Services","1,100,000.00",-,"1,100,000.00",-,234,0
,sub-total,"600,000.00",-,"600,000.00",-,234,0
Child Care Support Services,"Infrastructure Development
and Sanitation Improvement:
Construction of ECDE class-
rooms (Community Projects)","57,822,269.00","297,263.20","57,525,005.80",0.5,234,0
,sub-total,"57,822,269.00","297,263.20","57,525,005.80",0.5,234,0
"Youth Development & Empower-
ment",Construction of VETC,"53,067,165.00","14,028,987.00","39,038,178.00",26.4,234,0
,sub-total,"53,067,165.00","14,028,987.00","39,038,178.00",26.4,234,0
External Funding,"Conditional Grants: Rehabilita-
tion of village polytechnics - Ex-
ternal Funding (grant)","36,439,894.00",-,"36,439,894.00",-,234,0
,Pending Bills,"21,526,930.00",,"21,526,930.00",-,234,0
,Construction of ECDE Centres,"27,550,000.00","249,527.00","27,300,473.00",0.9,234,0
,sub-total,"85,516,824.00","249,527.00","85,267,297.00",0.3,234,0
Sports and Culture Development,Sports And Talent Development,"2,293,832.00",-,"2,293,832.00",-,234,0
,sub-total,"2,293,832.00",-,"2,293,832.00",-,234,0
"Pending Bills Development -
sports",Pending Bills,"13,635,459.00","9,304,888.00","4,330,571.00",68.2,234,0
,sub-total,"13,635,459.00","9,304,888.00","4,330,571.00",68.2,234,0
Sports and Culture Development,"Culture And Heritage Conser-
vation","4,000,000.00",-,"4,000,000.00",-,234,0
,sub-total,"4,000,000.00",-,"4,000,000.00",-,234,0
"Pending Bills Development - Cul-
ture",Pending Bills,"2,977,778.00","1,200,000.00","1,777,778.00",40.3,234,0
,sub-total,"2,977,778.00","1,200,000.00","1,777,778.00",40.3,234,0
,Sub Total Kshs,"430,741,296.00","167,372,385.20","263,368,910.80",38.8,234,0
"Trade, Tourism and Cooperative Development",,,,,,234,0
"Policy, Planning and Administra-
tive Support Services","Administrative Support Ser-
vices","55,320,566.32","47,161,758.40","8,158,807.92",85.2,234,0
,sub-total,"55,320,566.32","47,161,758.40","8,158,807.92",85.2,234,0
"Investment promotion, trade and
enterprise development services","Investment promotion, trade
and enterprise development
services","450,000.00","300,000.00","150,000.00",66.6,234,0
,sub-total,"450,000.00","300,000.00","150,000.00",66.6,234,0
"Cooperative development ser-
vices","Cooperative development ser-
vices","376,000.00","149,100.00","226,900.00",39.6,234,0
,sub-total,"376,000.00","149,100.00","226,900.00",39.6,234,0
Tourism Development,"Tourism Promotion and Mar-
keting","1,900,000.00","1,774,260.00","125,740.00",93.3,234,0
,sub-total,"1,900,000.00","1,774,260.00","125,740.00",93.3,234,0
Legal Metrology Services,Verification,"100,000.00","100,000.00",-,100,235,0
,Inspection,"100,000.00","100,000.00",-,100,235,0
,Calibration of Standards,"140,000.00","100,000.00","40,000.00",71.4,235,0
,"Staff trainings and empower-
ment","492,268.00","400,000.00","92,268.00",81.2,235,0
,sub-total,"832,268.00","700,000.00","132,268.00",84,235,0
"Alcoholic drinks and drug abuse
control",Liquor licensing,"800,000.00","723,400.00","76,600.00",90.4,235,0
,sub-total,"800,000.00","723,400.00","76,600.00",90.4,235,0
Pending bills,Pending bills,"500,000.00",-,"500,000.00",-,235,0
,sub-total,"500,000.00",-,"500,000.00",-,235,0
Trade and Market Development,"Trade development and promo-
tion of SMEs services","69,011,061.00","2,944,076.44","66,066,984.56",4.3,235,0
,"Trade Infrastructure Develop-
ment Services","21,000,000.00","2,380,200.00","18,619,800.00",11.3,235,0
,sub-total,"90,011,061.00","5,324,276.44","84,686,784.56",5.9,235,0
Pending Bill,Pending Bill,"38,521,213.78","14,127,375.85","24,393,837.93",36.6,235,0
,sub-total,"38,521,213.78","14,127,375.85","24,393,837.93",36.6,235,0
,Sub Total Kshs,"188,829,562.10","70,260,170.69","118,569,391.41",37.2,235,0
"Lands, Housing and Survey",,,,,,235,0
"General Administration planning
and support services","Administration support ser-
vices","34,535,331.00","24,349,465.00","10,185,866.00",70.5,235,0
,sub-total,"34,535,331.00","24,349,465.00","10,185,866.00",70.5,235,0
"General Administration planning
and support services","Administration support ser-
vices","31,900,344.50","13,565,378.80","18,334,965.70",42.5,235,0
,sub-total,"31,900,344.50","13,565,378.80","18,334,965.70",42.5,235,0
Pending Bills,Pending Bills,"17,685,841.39","500,000.00","17,185,841.39",2.8,235,0
,sub-total,"17,685,841.39","500,000.00","17,185,841.39",2.8,235,0
Migori Municipality,"Administration support ser-
vices","21,215,920.00",-,"21,215,920.00",-,235,0
,sub-total,"21,215,920.00","1,016,160","20,199,760.00",4.8,235,0
Rongo Municipality,"Administration support ser-
vices","21,315,920.00","8,404,551","12,911,369.00",39.4,235,0
,sub-total,"21,315,920.00",-,"21,315,920.00",-,235,0
Awendo Municipality,"Administration support ser-
vices","18,530,920.00","1,144,600","17,386,320.00",6.2,235,0
,sub-total,"18,530,920.00",-,"18,530,920.00",-,235,0
External Funding,Donor Funds,"8,800,000.00",-,"8,800,000.00",-,235,0
,sub-total,"8,800,000.00",-,"8,800,000.00",-,235,0
"General Administration planning
and support services","Physical And Urban Planning
Services","160,000,000.00",-,"160,000,000.00",-,235,0
,sub-total,"160,000,000.00",-,"160,000,000.00",-,235,0
External Funding,External Funding,"147,611,039.52",-,"147,611,039.52",-,235,0
,sub-total,"147,611,039.52",-,"147,611,039.52",-,235,0
Pending Bills,Pending Bills,"52,050,452.50","46,050,452.50","6,000,000.00",88.5,235,0
,sub-total,"52,050,452.50","46,050,452.50","6,000,000.00",88.5,235,0
,Sub Total Kshs,"513,645,768.91","95,030,607.30","418,615,161.61",18.5,235,0
Finance and Economic planning,,,,,,235,0
"General Administrative and sup-
portive service(accounts)","General administration plan-
ning and support services","117,283,973.00","60,985,388","56,298,584.95",52,235,0
,sub-total,"117,283,973.00","60,985,388","56,298,584.95",52,235,0
Public Financial Management,Accounting services,"276,656,932.57","176,692,639.05","99,964,293.52",63.8,235,0
,sub-total,"276,656,932.57","176,692,639.05","99,964,293.52",63.8,235,0
Pending bills,Pending bills,"15,695,312.00","720,000.00","14,975,312.00",4.5,235,0
,sub-total,"15,695,312.00","720,000.00","14,975,312.00",4.5,235,0
"General Administrative and sup-
portive service audit","General administration plan-
ning and support services","26,232,497.52",-,"26,232,497.52",-,235,0
,sub-total,"26,232,497.52",-,"26,232,497.52",-,235,0
Public Financial Management,Procurement services,"18,207,569.41","6,797,278.20","11,410,291.21",37.3,235,0
,sub-total,"18,207,569.41","6,797,278.20","11,410,291.21",37.3,235,0
"General Administrative and sup-
portive service (revenue)","General administration plan-
ning and support services","2,402,966.38",-,"2,402,966.38",-,236,0
,sub-total,"45,962,426.44","7,672,148.00","38,290,278.44",16.6,236,0
,Public Financial Management,"43,559,460.06","7,672,148.00","35,887,312.06",17.6,236,0
,Resource mobilization,"43,559,460.06","7,672,148.00","35,887,312.06",17.6,236,0
,Pending bills,"16,440,000.00","5,990,000.00","10,450,000.00",36.4,236,0
,Pending bills,"16,440,000.00","5,990,000.00","10,450,000.00",36.4,236,0
"General Administrative and sup-
portive service","General administration plan-
ning and support services","16,739,616.82","10,427,579.00","6,312,037.82",62.2,236,0
,sub-total,"16,739,616.82","10,427,579.00","6,312,037.82",62.2,236,0
"Economic policy and county
planning","Budget coordination and man-
agement","26,104,908.07","13,186,821.00","12,918,087.07",50.5,236,0
,"County statistical information
services","11,789,015.82",-,"11,789,015.82",-,236,0
,Community development,"2,936,704.74",-,"2,936,704.74",-,236,0
,sub-total,"45,786,232.37","13,186,821.00","32,599,411.37",28.8,236,0
"General Administrative and sup-
portive service",Pending Bills,"4,981,101.00","4,981,101.00",-,100,236,0
,sub-total,"4,981,101.00","4,981,101.00",-,100,236,0
,Sub Total Kshs,"583,985,661.13","263,838,554.30","320,147,106.83",45.1,236,0
Health,,,,,,236,0
"Planning and administrative sup-
port services (Medical services)","Health Management Informa-
tive System(Medical services)","338,052.00",-,"338,052.00",-,236,0
,"Administrative And Support
Services(Medical services)","1,409,360,756.56","871,737,613.57","537,623,142.99",61.8,236,0
,sub-total,"1,409,698,808.56","871,737,613.57","537,961,194.99",61.8,236,0
Public health,"Health Management Informa-
tive System(Public Health)","338,052.00","165,250.00","172,802.00",48.8,236,0
,"Administrative And Support
Services(Public Health)","16,283,080.09","9,342,082.00","6,940,998.09",57.3,236,0
,sub-total,"16,621,132.09","9,507,332.00","7,113,800.09",57.2,236,0
Medical services,"Human Nutrition And Dietet-
ics(Medical services)","507,079.00",-,"507,079.00",-,236,0
,"Hiv And Aids Management(-
Medical services)","236,637.00",-,"236,637.00",-,236,0
,"Disease Surveillance/(Medical
services)","5,000,000.00",-,"5,000,000.00",-,236,0
,"Emergency Preparedness And
Response(medical services)","1,690,268.00",-,"1,690,268.00",-,236,0
,"Family& Reproductive Health
Medical services)","34,738,053.00","309,880.00","34,428,173.00",0.8,236,0
,"Family Planning & Adolescent
Health activities (Co funding)","7,000,000.00",-,"7,000,000.00",-,236,0
,sub-total,"49,172,037.00","309,880.00","48,862,157.00",0.6,236,0
Public health,"Community Health Services(-
Public health)","24,338,053.00","3,255,877.00","21,082,176.00",13.3,236,0
,"Sanitation And Environmental
Health Services(Public health)","338,053.00",-,"338,053.00",-,236,0
,"Human Nutrition And Dietet-
ics(Public health)","507,080.00","500,000.00","7,080.00",98.6,236,0
,"Communicable Disease Con-
trol(Public health)","253,540.00","60,830.00","192,710.00",23.9,236,0
,"Hiv And Aids Management(-
Public health)","709,912.00","700,000.00","9,912.00",98.6,236,0
,"Disease Surveillance/(Public
health)","89,415,132.00","9,116,000.00","80,299,132.00",10.2,236,0
,"Emergency Preparedness And
Response(Public health)","1,490,268.00","1,066,620.00","423,648.00",71.5,236,0
,"Health Promotion(Public
health)","338,053.00",-,"338,053.00",-,236,0
,"Family& Reproductive Health(-
Public health)","7,938,053.00","22,050.00","7,916,003.00",0.2,236,0
,"Family & Adolescent Health ac-
tivities (Co funding)","10,600,000.00",-,"10,600,000.00",-,236,0
,sub-total,"135,928,144.00","14,721,377.00","121,206,767.00",10.8,236,0
,"Pharmaceutical And Non –
Pharmaceutical Commodities(-
Medical services)","189,615,655.00","60,601,843.50","129,013,811.50",31.9,236,0
Public health,"Pharmaceutical And Non –
Pharmaceutical Commodities(-
Public health)","85,291,232.00","4,933,700.00","80,357,532.00",5.7,237,0
,sub-total,"85,291,232.00","2,935,700.00","82,355,532.00",3.4,237,0
External Funding,Donor Funds,"26,750,000.00","16,542,140.00","10,207,860.00",61.8,237,0
,Conditional Grants,"29,811,768.00","13,253,280.00","16,558,488.00",44.4,237,0
,sub-total,"56,561,768.00","29,795,420.00","26,766,348.00",52.6,237,0
Pending Bills,Pending Bills Medical Services,"152,420,410.52","82,394,953.00","70,025,457.52",54,237,0
,Pending Bills Public Health,"17,862,301.00",-,"17,862,301.00",-,237,0
,sub-total,"170,282,711.52","82,394,953.00","87,887,758.52",48.4,237,0
"Administrative And Support Ser-
vices","Pending Bill -Development
(COMPLETED )","133,650,886.70","95,892,045.04","37,758,841.66",71.7,237,0
,sub-total,"133,650,886.70","95,892,045.04","37,758,841.66",71.7,237,0
Infrastructure Development,Infrastructure Development,"78,500,000.00","15,527,160.00","62,972,840.00",19.7,237,0
,"Dispensaries and Health Cen-
tres","5,340,681.00","1,523,760.00","3,816,921.00",28.5,237,0
,"Face lifting of Health Centres
and Dispensaries (Community
Projects)","89,879,362.00","6,557,851.60","83,321,510.40",7.3,237,0
,sub-total,"173,720,043.00","23,608,771.60","150,111,271.40",13.5,237,0
External Funding,Donor Funds,"60,295,580.00",-,"60,295,580.00",-,237,0
,Conditional Grants,"132,021,277.00",-,"132,021,277.00",-,237,0
,sub-total,"192,316,857.00",-,"192,316,857.00",-,237,0
,Sub Total Kshs,"2,615,059,274.87","1,191,504,935.71","1,423,554,339.16",45.5,237,0
"Management Environment, Natural Resources and Disaster Management",,,,,,237,0
"General administration and sup-
portive services","General administration sup-
portive services","47,175,985.48","31,714,950.65","15,461,034.83",67.2,237,0
,sub-total,"47,175,985.48","31,714,950.65","15,461,034.83",67.2,237,0
"Environment Management And
Protection","Solid Waste Management Ser-
vices","11,500,000.00","1,980,450.00","9,519,550.00",17.2,237,0
,sub-total,"11,500,000.00","1,980,450.00","9,519,550.00",17.2,237,0
"Environmental And Natural Re-
source Conservation And Man-
agement","Climate Change Adoption And
Mitigation","100,000.00",-,"100,000.00",-,237,0
,sub-total,"100,000.00",-,"100,000.00",-,237,0
Disaster Management,Disaster Management Services,"1,620,000.00","492,050.00","1,127,950.00",30.3,237,0
,"Fire Fighting and rescue ser-
vices","700,000.00","408,827.00","291,173.00",58.4,237,0
,sub-total,"2,320,000.00","900,877.00","1,419,123.00",38.8,237,0
Pending bills,Pending bills,"12,246,463.00","5,194,200.00","7,052,263.00",42.4,237,0
,sub-total,"12,246,463.00","5,194,200.00","7,052,263.00",42.4,237,0
"Environment and Natural Re-
source Conservation and Man-
agement",Climate Change,"1,500,000.00",-,"1,500,000.00",-,237,0
,"Forestry Conservation and de-
velopment","126,681.00",-,"126,681.00",-,237,0
,sub-total,"1,626,681.00",-,"1,626,681.00",-,237,0
Disaster Management,Disaster Management,"5,917,400.00",-,"5,917,400.00",-,237,0
,sub-total,"5,917,400.00",-,"5,917,400.00",-,237,0
Pending bill,Pending bill,"16,304,510.00","10,325,500.00","5,979,010.00",63.3,237,0
,sub-total,"16,304,510.00","10,325,500.00","5,979,010.00",63.3,237,0
,Sub Total Kshs,"97,191,039.48","50,115,977.65","47,075,061.83",51.5,237,0
,,,,,,237,0
"Roads, Transport and Public Works",,,,,,237,0
"Policy, General administration,
planning & support Service","General administration, plan-
ning & support service","54,162,345.07","34,430,979.70","19,731,365.37",63.5,237,0
,sub-total,"54,162,345.07","34,430,979.70","19,731,365.37",63.5,237,0
"Road Development, Maintenance
And Management",Road Network Improvement,"23,207,300.00","8,915,237.90","14,292,062.10",38.4,237,0
,sub-total,"23,207,300.00","8,915,237.90","14,292,062.10",38.4,237,0
Pending bills,Pending bills,"21,502,960.00","4,852,200.00","16,650,760.00",22.5,237,0
,sub-total,"21,502,960.00","4,852,200.00","16,650,760.00",22.5,237,0
"Road Development, Maintenance
And Management",Road Network Improvement,"533,286,507.26","103,724,020.73","429,562,486.53",19.4,237,0
,"County Access Roads (Commu-
nity Projects)","341,778,763.00",-,"341,778,763.00",-,237,0
,"Construction of Bridges And
Maintenance","98,000,000.00",-,"98,000,000.00",-,237,0
,Rural Access Roads,"38,494,923.48",-,"38,494,923.48",-,237,0
,sub-total,"1,011,560,193.74","103,724,020.73","907,836,173.01",10.2,237,0
