Programmes,Sub- Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
,"General administration, planning & support ser-
vices","24,770,000",-,"24,770,000",0.0,33,0
,Support service,"164,870,659","10,457,104","154,413,555",6.3,33,0
,Sub Total,"189,640,659","10,457,104","179,183,555",5.5,33,0
Vocational Training,"General administration, planning & support ser-
vices","14,923,979",-,"14,923,979",0.0,33,0
"General Administra-
tion, Planning and
support services",General Administration services,"144,643,406",-,"144,643,406",0.0,33,0
Special programmes,Secondary Schools bursary,"30,000,000",-,"30,000,000",0.0,33,0
,Capitation allocation on VTC - Grant,"9,949,320",-,"9,949,320",0.0,33,0
,School feeding programme,"14,442,715",-,"14,442,715",0.0,33,0
,Sub Total,"54,392,035",-,"54,392,035",0.0,33,0
Office Of the Clerk,"General administration, planning & support ser-
vices",-,-,-,0.0,33,0
"General Administra-
tion ,Planning and
Support Services",Support service,"305,595,875","97,977,223","207,618,652",32.1,33,0
,General administrative services,"12,704,016","6,038,647","6,665,369",47.5,33,0
,Sub Total,"318,299,891","104,015,870","214,284,021",32.7,33,0
,"General administration, planning & support ser-
vices","208,938,252","110,467,471","98,470,781",52.9,33,0
,Support service,-,-,-,0.0,33,0
,Internal Audit Services,"1,300,000","534,070","765,930",41.1,33,0
,Emergency Fund,"14,000,000","1,424,500","12,575,500",10.2,33,0
,Sub Total,"224,238,252","112,426,041","111,812,211",50.1,33,0
Treasury Accounts,"General administration, planning & support ser-
vices",-,-,-,0.0,33,0
KDS Programme,"General administration, planning & support ser-
vices","31,500,000","11,238,075","20,261,925",35.7,33,0
"Economic Planning,
Budget, Monitor-
ing and Evaluation
Services",Support service,"2,042,550","516,300","1,526,250",25.3,33,0
,Monitoring and Evaluation Services,"2,557,182","863,000","1,694,182",33.7,33,0
,Budget process and public participation services,"6,090,000","4,181,550","1,908,450",68.7,33,0
,Sub Total,"10,689,732","5,560,850","5,128,882",52.0,33,0
"Revenue Services
Development","General administration, planning & support ser-
vices","9,155,519","5,901,111","3,254,408",64.5,33,0
,Support service,"3,000,000","2,387,996","612,004",79.6,33,0
,Infrastructural Development,"36,000,000",-,"36,000,000",0.0,33,0
,Sub Total,"48,155,519","8,289,107","39,866,412",17.2,33,0
"Civic Education De-
velopment Services",Civic Education Development Services,"1,597,102","798,551","798,551",50.0,33,0
"Inter and intra -gov-
ernmental Relations
services","General administration, planning & support ser-
vices","7,000,000","2,438,950","4,561,050",34.8,34,0
,General administrative services,"85,043,057","37,471,404","47,571,653",44.1,34,0
,County Secretary,"102,319,443","21,807,158","80,512,285",21.3,34,0
,Deputy Governor,"24,765,974","8,181,278","16,584,696",33.0,34,0
,Legal services,"13,000,000","6,459,280","6,540,720",49.7,34,0
,Public Administration and devolution Services,"91,828,349","7,357,439","84,470,910",8.0,34,0
,Communication Services,"300,000","295,000","5,000",0.0,34,0
,Mogotio Sub County Administration Services,"16,851,692","5,172,118","11,679,574",30.7,34,0
,"Baringo Central Sub County Administration Ser-
vices","15,255,765","7,132,047","8,123,718",46.7,34,0
,"Baringo North Sub County Administration Ser-
vices","17,684,745","6,821,724","10,863,021",38.6,34,0
,"Baringo South Sub County Administration Ser-
vices","19,510,904","6,770,411","12,740,493",34.7,34,0
,Tiaty Sub County Administration Services,"18,841,842","2,848,159","15,993,683",15.1,34,0
,County Public Service Board Services,"48,230,907","4,351,012","43,879,895",9.0,34,0
,"Eldama Ravine Sub County Administration Ser-
vices","17,224,229","8,419,967","8,804,262",48.9,34,0
,Sub -total,"470,856,907","123,086,998","347,769,909",26.1,34,0
,"Legislative Representation and Oversight servic-
es","339,037,766","153,389,401","185,648,365",45.2,34,0
,General administrative services,-,-,-,0.0,34,0
,ICT Development,"24,000,000",-,"24,000,000",0.0,34,0
,Infrastructure development,"34,558,240","8,601,386","25,956,854",0.0,34,0
,Sub -total,"58,558,240","8,601,386","49,956,854",14.7,34,0
,"General administration, planning & support ser-
vices","26,432,472","9,592,508","16,839,964",36.3,34,0
,"General administration, planning & support ser-
vices","10,700,000","1,961,620","8,738,380",0.0,34,0
,Support service,"7,300,000",-,"7,300,000",0.0,34,0
,Gender mainstreaming,"1,000,000","999,700",300,0.0,34,0
,Sub -total,"19,000,000","2,961,320","16,038,680",15.6,34,0
Sport Development,"General administration, planning & support ser-
vices","84,292,570","2,369,308","81,923,262",2.8,34,0
,Support service,"1,500,000","739,000","761,000",0.0,34,0
,Sub -total,"85,792,570","3,108,308","82,684,262",3.6,34,0
,Conservation of Cultural Heritage,"1,000,000",-,"1,000,000",0.0,34,0
,"General administration, planning & support ser-
vices","121,251,196","40,769,580","80,481,616",33.6,34,0
,"General administration, planning & support ser-
vices",-,-,-,0.0,34,0
,Support service,"370,321,000",-,"370,321,000",0.0,34,0
,Water Harvesting Storage and Flood Control,"680,408,787","51,786,470","628,622,317",0.0,34,0
,Sub -total,"1,050,729,787","51,786,470","998,943,317",4.9,34,0
,"General administration, planning & support ser-
vices","33,627,305",-,"33,627,305",0.0,34,0
