Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
"Environment Natural Resources Water and
Energy Headquarters Total",,"362,658,175","113,689,245","248,563,323",31.3,252,0
Forest Headquarters,"Forest resources manage-
ment and climate change","168,945,418","345,200","167,258,665",0.2,252,0
Forest Headquarters Total,,"168,945,418","345,200","167,258,665",0.2,252,0
Pollution Headquarters,"Pollution control and
monitoring","51,000,000",-,"38,999,999",-,252,0
Pollution Headquarters Total,,"51,000,000",-,"38,999,999",-,252,0
Water Headquarters,"water provision and drill-
ing of boreholes","1,337,950,872","158,722,046","782,378,945",11.9,252,0
Water Headquarters Total,,"1,337,950,872","158,722,046","782,378,945",11.9,252,0
,,"1,920,554,465","272,756,491","1,237,200,932",14.2,252,0
Accounting Headquarters,"Public Finance and Ac-
counting","19,882,552","4,048,940","15,125,724",20.4,252,0
Accounting Headquarters Total,,"19,882,552","4,048,940","15,125,724",20.4,252,0
Budget Headquarters,"Budget Formulation co-
ordination and manage-
ment","46,320,442","13,547,490","27,398,632",29.2,252,0
Budget Headquarters Total,,"46,320,442","13,547,490","27,398,632",29.2,252,0
Debt Management,debt management,"227,943,135","58,587,554","129,101,670",25.7,252,0
Debt Management Total,,"227,943,135","58,587,554","129,101,670",25.7,252,0
"Finance & Economic Planning Headquar-
ters",Administration Services,"777,279,431","247,477,832","525,332,315",31.8,252,0
"Finance & Economic Planning Head-
quarters Total",,"777,279,431","247,477,832","525,332,315",31.8,252,0
Fiscal Planning Headquarters,Fiscal Planning,"27,519,084","9,512,400","15,818,541",34.6,252,0
Fiscal Planning Headquarters Total,,"27,519,084","9,512,400","15,818,541",34.6,252,0
Internal Audit Headquarters,Internal audit,"106,346,457","1,980,630","103,208,375",1.9,252,0
Internal Audit Headquarters Total,,"106,346,457","1,980,630","103,208,375",1.9,252,0
KDSP Headquarters,Fiscal Planning,"153,461,594","1,044,000","151,817,594",0.7,253,0
KDSP Headquarters Total,,"153,461,594","1,044,000","151,817,594",0.7,253,0
Monitoring and Evaluation,"Public Finance and Ac-
counting","11,032,367","1,351,940","8,942,113",12.3,253,0
Monitoring and Evaluation Total,,"11,032,367","1,351,940","8,942,113",12.3,253,0
Procurement Headquarters,Procurement,"15,708,324","3,013,340","12,565,585",19.2,253,0
Procurement Headquarters Total,,"15,708,324","3,013,340","12,565,585",19.2,253,0
Resource Mobilization,Resource Mobilization,"120,529,628","21,283,260","94,230,672",17.7,253,0
Resource Mobilization Total,,"120,529,628","21,283,260","94,230,672",17.7,253,0
,,"1,506,023,014","361,847,386","1,083,541,221",24,253,0
Cemetery Headquarters,"Research and develop-
ment","1,000,000",-,"1,000,000",-,253,0
Cemetery Headquarters Total,,"1,000,000",-,"1,000,000",-,253,0
County Health Services Administration,"Health infrastructure de-
velopment","56,308,823","4,138,962","12,419,861",7.4,253,0
,"Human resources for
health","3,858,828,925","1,395,544,124","2,458,654,311",36.2,253,0
County Health Services Administration Total,,"3,915,137,748","1,399,683,086","2,471,074,172",35.8,253,0
Medical Services Headquarters,"Provision of essential ser-
vices in all levels","1,337,124,324","348,472,271","1,000,306,360",26.1,253,0
,Reseat,"128,981,784",-,"128,981,784",-,253,0
Medical Services Headquarters Total,,"1,466,106,108","348,472,271","1,129,288,144",23.8,253,0
Primary Health Headquarters,health promotive services,"643,191,439","79,614,577","449,129,131",12.4,253,0
Primary Health Headquarters Total,,"643,191,439","79,614,577","449,129,131",12.4,253,0
,,"6,025,435,295","1,827,769,934","4,050,491,447",30.3,253,0
Housing Headquarters,"Rehabilitation of council
houses","39,207,442","1,243,357","37,652,420",3.2,253,0
Housing Headquarters Total,,"39,207,442","1,243,357","37,652,420",3.2,253,0
Lands & Survey Headquarters,Survey and mapping,"65,388,879","1,392,686","63,739,529",2.1,253,0
Lands & Survey Headquarters Total,,"65,388,879","1,392,686","63,739,529",2.1,253,0
"Lands Physical planning and Housing Head-
quarters",Administration,"161,572,000","49,543,977","110,961,357",30.7,253,0
Lands Physical planning and Housing Headquarters Total,,"161,572,000","49,543,977","110,961,357",30.7,253,0
Physical Planning Headquarters,spatial plan,"2,590,004,785","1,118,248,667","1,701,357,627",43.2,253,0
Physical Planning Headquarters Total,,"2,590,004,785","1,118,248,667","1,701,357,627",43.2,253,0
,,"2,856,173,106","1,170,428,687","1,913,710,933",41,253,0
County Policies & Security Operation,"Organization of county
business","40,022,400","14,989,560","24,641,417",37.5,253,0
County Policies & Security Operation Total,,"40,022,400","14,989,560","24,641,417",37.5,253,0
Office of the Governor and Deputy Governor,"Administration and
coordination of county
affairs","190,031,530","77,972,143","105,928,835",41,253,0
Office of the Governor and Deputy Governor Total,,"190,031,530","77,972,143","105,928,835",41,253,0
"Office of the Governor and Deputy Governor
Headquarters","administration and co-
ordination of county
affairs","118,210,636","1,114,000","115,938,262",0.9,253,0
Office of the Governor and Deputy Governor Headquarters Total,,"118,210,636","1,114,000","115,938,262",0.9,253,0
Public Sector,"Economic, Social and
Economic advisory","27,976,716","33,844,686","(6,152,969)",121,253,0
Public Sector Total,,"27,976,716","33,844,686","(6,152,969)",121,253,0
,,"376,241,282","127,920,389","240,355,545",34,253,0
Administration,"Administration servic-
es","680,284,252","275,218,912","513,787,340",40.5,253,0
,"rehabilitation of sub
county offices","61,471,478","61,471,478","60,786,094",100,253,0
Administration Total,,"741,755,730","336,690,390","574,573,434",45.4,253,0
Legal Services,"Legal Services to coun-
ty government and
public","20,400,000","6,638,151","12,717,049",32.5,253,0
Legal Services Total,,"20,400,000","6,638,151","12,717,049",32.5,253,0
"Performance Management and Public Service
Delivery","Public sector manage-
ment","29,538,456","6,042,902","22,355,554",20.5,254,0
Performance Management and Public Service Delivery Total,,"29,538,456","6,042,902","22,355,554",20.5,254,0
,,"791,694,186","349,371,443","609,646,037",44.1,254,0
Fire Fighting Headquarters,Fire Fighting,"23,540,200","854,450","21,858,090",3.6,254,0
Fire Fighting Headquarters Total,,"23,540,200","854,450","21,858,090",3.6,254,0
Public Works Headquarters,"construction and main-
tenance of non-residen-
tial county buildings","8,452,882","1,432,800","13,870,082",17,254,0
Public Works Headquarters Total,,"8,452,882","1,432,800","13,870,082",17,254,0
Roads Headquarters,"rehabilitation of roads
drainage and bridges","2,250,545,789","188,940,003","2,076,913,697",8.4,254,0
Roads Headquarters Total,,"2,250,545,789","188,940,003","2,076,913,697",8.4,254,0
"Roads, Public Works & Transport Headquar-
ters","Administration and
personnel","209,316,895","72,761,401","131,655,172",34.8,254,0
"Roads, Public Works & Transport Headquarters Total",,"209,316,895","72,761,401","131,655,172",34.8,254,0
Street Light Headquarters,"Street Light Headquar-
ters","108,330,000","47,798,700","61,931,301",44.1,254,0
Street Light Headquarters Total,,"108,330,000","47,798,700","61,931,301",44.1,254,0
Transport Headquarters,"rehabilitation and
maintenance of trans-
port terminals","22,563,200",-,"22,263,200",-,254,0
Transport Headquarters Total,,"22,563,200",-,"22,263,200",-,254,0
,,"2,622,748,966","311,787,354","2,328,491,542",11.9,254,0
Co-operatives Headquarters,"Enhance marketimg
cooperatives","28,940,000","1,117,900","27,169,696",3.9,254,0
Co-operatives Headquarters Total,,"28,940,000","1,117,900","27,169,696",3.9,254,0
Markets Headquarters,"rehabilitation of exist-
ing markets","491,189,883","73,893,981","439,967,843",15,254,0
Markets Headquarters Total,,"491,189,883","73,893,981","439,967,843",15,254,0
Tourism Headquarters,"County Tourism infor-
mation center","3,820,000","616,827","2,578,338",16.1,254,0
Tourism Headquarters Total,,"3,820,000","616,827","2,578,338",16.1,254,0
Trade Headquarters,"Business development
services for SMEs","9,780,000","780,830","8,542,740",8,254,0
Trade Headquarters Total,,"9,780,000","780,830","8,542,740",8,254,0
"Trade Tourism &Industrialization Headquar-
ters","Administration Ser-
vices","152,681,520","32,873,689","118,576,173",21.5,254,0
Trade Tourism &Industrialization Headquarters Total,,"152,681,520","32,873,689","118,576,173",21.5,254,0
Weights & Measures Headquarters,consumer protection,"1,920,000","63,000","1,857,000",3.3,254,0
Weights & Measures Headquarters Total,,"1,920,000","63,000","1,857,000",3.3,254,0
,,"688,331,403","109,346,227","598,691,790",15.9,254,0
Administration,"Administration and per-
sonnel","290,551,738","82,343,604","206,641,847",28.3,254,0
Administration Total,,"290,551,738","82,343,604","206,641,847",28.3,254,0
Control Headquarters,social development,"274,621,981","2,407,556","270,819,266",0.9,254,0
Control Headquarters Total,,"274,621,981","2,407,556","270,819,266",0.9,254,0
Culture Headquarters,"promotion of culture,
arts and talents","55,385,925","1,810,464","49,884,548",3.3,254,0
Culture Headquarters Total,,"55,385,925","1,810,464","49,884,548",3.3,254,0
Public Amenities Headquarters,"rehabilitation of social
hall,library parks and
amenities","61,939,024","21,588,114","39,353,553",34.9,254,0
Public Amenities Headquarters Total,,"61,939,024","21,588,114","39,353,553",34.9,254,0
Youth Headquarters,"promotion of quality
youth employment","16,850,636","4,210,500","12,186,779",25,254,0
Youth Headquarters Total,,"16,850,636","4,210,500","12,186,779",25,254,0
,,"699,349,304","112,360,238","578,885,993",16.1,254,0
Grand Total,,"21,377,017,361","4,449,523,268","15,778,889,697",20.2,254,0
