Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance,Absorption (%),page_number,table_index
"Legislation and oversight
services",Legislation and oversight services,"136,437,991","64,696,722","71,741,269",47.4,147,0
,Sub total,"136,437,991","64,696,722","71,741,269",47.4,147,0
"County planning & develop-
ment coordination services","County planning and development
coordination","8,850,630","1,550,900","7,299,730",17.5,147,0
,Sub total,"8,850,630","1,550,900","7,299,730",17.5,147,0
"General administration and
planning services",Policy planning and administration,"9,085,940",0,"9.085,940",0,147,0
,Sub total,"9,085,940",0,"9,085,940",0,147,0
"Conservation and manage-
ment of ecosystems",Water resources & sewerage services,"245,065,329","19,217,551","225,847,778",7.8,147,0
,Sub total,"245,065,329","19,217,551","225,847,778",7.8,147,0
"General administration and
planning services",Policy planning and administration,"31,983,002","13,422,938","18,470,064",42.1,147,0
,Sub total,"31,983,002","13,422,938","18,470,064",42.1,147,0
"Environment planning and
management",Environmental quality protection,"1,044,840","94,300","950,540",9.0,147,0
,"Environmental conservation of natural
resources","79,714,910",0,"79,714,910",0,147,0
,Solid waste management,"1,184,663","151,800","1,032,863",12.8,147,0
,Sub total,"81, 944, 413","246,100","81,698,313",0.3,147,0
Sports and cultural services,Cultural promotion services,"138,098,332","63,130,995","74,967,337",45.7,147,0
,Sub total,"138,098,332","63,130,995","74,967,337",45.7,147,0
"Culture and arts develop-
ment",Culture and heritage development,"5,630,700","410,820","5,219,880",6.1,147,0
,Artistic talent development,"5,575,700","339,326","5,236,374",7.3,147,0
,Sub total,"11,206,400","750,146","10,456,254",6.7,147,0
Grand Total,,"11,806,524,842","3,397,020,026","8,409,504,816",28.9,147,0
