Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"General admin & planning and support
services","General admin & planning and sup-
port services","50,150,422","15,503,371","34,647,051",30.9,153,0
Environment management,Environment management,"48,545,097","9,995,935","38,549,162",20.6,153,0
Power transmission and distribution,Power transmission and distribution,"3,280,584","3,703,819","(423,235)",112.9,153,0
Alternative energy technologies,Alternative energy technologies,"95,494,480","3,514,668","91,979,812",3.7,153,0
Mineral resources management,Mineral resources management,"38,822,253","1,047,540","37,774,713",2.7,153,0
,Sub total,"236,292,836","33,765,333","202,527,503",14.3,153,0
TOURISM SPORTS AND CULTURE,,,,,,153,0
"General admin & planning and support
services","General admin & planning and sup-
port services","39,067,601","12,925,572","26,142,029",33.1,153,0
Tourism development and promotion,Tourism development and promotion,"66,109,070","17,055,299","49,053,771",25.8,153,0
Sports,Sports,"84,401,687","10,625,866","73,775,821",12.6,153,0
Culture,Culture,"12,604,678","(963,850)","13,568,528",-7.6,153,0
Gender,Gender,"11,034,360","4,712,263","6,322,097",42.7,153,0
Social development and children services,"Social development and children ser-
vices","9,631,892",-,"9,631,892",-,153,0
,Sub total,"222,849,288","44,355,150","178,494,138",19.9,153,0
COUNTY TREASURY,,,,,,153,0
"General admin& planning and support
services","General admin& planning and sup-
port services","109,897,371","46,539,582","63,357,789",42.3,153,0
economic policy & national planning,economic policy & national planning,"108,515,298","42,070,898","66,444,400",38.8,153,0
monetary & evaluation services,monetary & evaluation services,"13,397,471",-,"13,397,471",-,153,0
public financial management,public financial management,"202,972,986","93,570,751","109,402,235",46.1,153,0
,Sub total,"434,783,126","182,181,231","252,601,895",41.9,153,0
COUNTY PUBLIC SERVICE BOARD,,,,,,153,0
"General admin & planning and support
services","General admin & planning and sup-
port services","16,333,362","4,815,282","11,518,080",29.5,153,0
"Human resource management and devel-
opment","Human resource management and de-
velopment","18,184,595",-,"18,184,595",-,153,0
Governance and county values,Governance and county values,"5,658,065","4,698,125","959,940",83.0,153,0
,Sub total,"40,176,022","9,513,407","30,662,615",23.7,153,0
COUNTY ASSEMBLY,,,,,,153,0
"General admin & planning and support
services","General admin & planning and sup-
port services","318,868,872","125,243,761","193,625,111",39.3,153,0
Legislation and oversight,Legislation and oversight,"640,370,888","251,521,754","388,849,134",39.3,153,0
,Sub total,"959,239,760","376,765,515","582,474,245",39.3,153,0
KITUI MUNICIPALITY,,,,,,153,0
"General admin & planning and support
services","General admin & planning and sup-
port services","449,923,246",-,"449,923,246",-,153,0
,Sub total,"449,923,246",-,"449,923,246",-,153,0
MWINGI TOWN ADMINSTRATION,,,,,,153,0
"General admin & planning and support
services","General admin & planning and sup-
port services","41,417,367","11,031,565","30,385,802",26.6,153,0
Environmental policy management,Environmental policy management,"3,360,681",-,"3,360,681",-,153,0
Government building,Government building,"14,277,937",-,"14,277,937",-,153,0
Urban and metropolitan dev,Urban and metropolitan dev,"20,707,351",-,"20,707,351",-,153,0
Devolution services,Devolution services,"3,990,611",-,"3,990,611",-,153,0
,Sub total,"83,753,947","11,031,565","72,722,382",13.2,153,0
GRAND TOTAL,,"11,330,239,541","3,821,029,210","7,509,210,331",33.7,153,0
