Program,Description,Approved Budget,Actual Payments,Variance,Absorption (%),page_number,table_index
,"Micro and Small Business Support Ser-
vices","7,000,000.00",0,"7,000,000.00",0.0,89,0
,Infrastructure support,"2,581,925.00",0,"2,581,925.00",0.0,89,0
303003000,,"18,000,000.00",0,"18,000,000.00",0.0,89,0
,Co-operative training and supervision,"18,000,000.00",0,"18,000,000.00",0.0,89,0
304003000,,"144,038,889.00","35,956,164.50","108,082,724.50",25.0,89,0
,Tourism Development,"134,739,880.00","35,956,164.50","98,783,715.50",26.7,89,0
,"Protection of endangered wildlife ani-
mals.","9,299,009.00",0,"9,299,009.00",0.0,89,0
401003000,,"196,021,039.00","11,582,168.00","184,438,871.00",5.9,89,0
,"Preventive and Promotive Health Ser-
vices","144,322,002.00","4,916,000.00","139,406,002.00",3.4,89,0
,"Disease Surveillance And Epidemic
preparedness","16,572,474.00","6,666,168.00","9,906,306.00",40.2,89,0
,,"35,126,563.00",0,"35,126,563.00",0.0,89,0
402003000,,"1,116,837,704.00","36,918,088.00","1,079,919,616.00",3.3,89,0
,Administration Support Services,"882,790,563.00","36,918,088.00","845,872,475.00",4.2,89,0
,"SP4 Administration Support services(
Medical Services)","20,000,000.00",0,"20,000,000.00",0.0,89,0
,Preventive and Promotive Services,"214,047,141.00",0,"214,047,141.00",0.0,89,0
403003000,,"161,068,859.00","8,487,550.00","152,581,309.00",5.3,89,0
,"Curative and Rehabilitative Health Ser-
vices","112,471,350.00","6,710,300.00","105,761,050.00",6.0,89,0
,Curative Infrastructure Support,"48,597,509.00","1,777,250.00","46,820,259.00",3.7,90,0
501003000,,"196,521,378.00","81,190,784.50","115,330,593.50",41.3,90,0
,Administration,"161,521,378.00","63,690,784.50","97,830,593.50",39.4,90,0
,Contracted Services,"35,000,000.00","17,500,000.00","17,500,000.00",50.0,90,0
502003000,,"74,744,648.00",0,"74,744,648.00",0.0,90,0
,ECDE Classroom Infrastructure,"55,715,568.00",0,"55,715,568.00",0.0,90,0
,Youth Polytechnics,"15,000,000.00",0,"15,000,000.00",0.0,90,0
,"Promotion of Quality Youth empower-
ment","4,029,080.00",0,"4,029,080.00",0.0,90,0
503003000,,"10,833,297.00",0,"10,833,297.00",0.0,90,0
,,"10,833,297.00",0,"10,833,297.00",0.0,90,0
504003000,,"141,459,826.00","1,239,218.00","140,220,608.00",0.9,90,0
,Sports Academy Centre,"120,000,000.00",0,"120,000,000.00",0.0,90,0
,Youth and Women Empowerment,"21,459,826.00","1,239,218.00","20,220,608.00",5.8,90,0
505003000,,"36,695,114.00","4,687,106.00","32,008,008.00",12.8,90,0
,Culture Development,"36,695,114.00","4,687,106.00","32,008,008.00",12.8,90,0
701003000,,"25,000,000.00","4,562,029.00","20,437,971.00",18.2,90,0
,County Executive Services,"25,000,000.00","4,562,029.00","20,437,971.00",18.2,90,0
708003000,,"14,004,000.00","3,104,392.00","10,899,608.00",22.2,90,0
,Governors Delivery Unit,"14,004,000.00","3,104,392.00","10,899,608.00",22.2,90,0
709003000,,"461,650,865.00","9,411,420.40","452,239,444.60",2.0,90,0
,Personnel Services,"91,235,450.00","9,411,420.40","81,824,029.60",10.3,90,0
,Administrative Infrastructure support,"370,415,415.00",0,"370,415,415.00",0.0,90,0
710003000,,"70,435,275.00","20,924,871.00","49,510,404.00",29.7,90,0
,Administrative Services,"70,435,275.00","20,924,871.00","49,510,404.00",29.7,90,0
711003000,,"57,029,239.00","20,336,069.50","36,693,169.50",35.7,90,0
,Monitoring and Evaluation,"33,611,508.00","10,379,309.50","23,232,198.50",30.9,90,0
,"Economic Policy and County Develop-
ment Plans","7,017,731.00","1,483,300.00","5,534,431.00",21.1,90,0
,"County Development Stakeholders Fo-
rums","6,900,000.00","3,394,960.00","3,505,040.00",49.2,90,0
,"County Baseline Surveys on County
Development Indicators","9,000,000.00","5,078,500.00","3,921,500.00",56.4,90,0
,"Capacity building and Support to De-
partments","500,000.00",0,"500,000.00",0.0,90,0
712003000,,"63,061,199.00","16,615,040.00","46,446,159.00",26.3,90,0
,"Administrative and Civic Education
Services","63,061,199.00","16,615,040.00","46,446,159.00",26.3,90,0
713003000,,"292,942,438.00","91,569,525.20","201,372,912.80",31.3,90,0
,County Governance,"292,942,438.00","91,569,525.20","201,372,912.80",31.3,90,0
716003000,,"23,298,681.00","5,196,513.00","18,102,168.00",22.3,90,0
,Devolved Administrative Affairs,"23,298,681.00","5,196,513.00","18,102,168.00",22.3,90,0
719003000,,"142,870,171.00","28,315,737.70","114,554,433.30",19.8,90,0
,"General Administration Support Ser-
vices","142,870,171.00","28,315,737.70","114,554,433.30",19.8,90,0
721003000,,"87,400,000.00",0,"87,400,000.00",0.0,90,0
,Infrastructure support,"87,400,000.00",0,"87,400,000.00",0.0,90,0
722003000,,"178,598,637.00","41,621,036.40","136,977,600.60",23.3,90,0
,Legislative service,"178,598,637.00","41,621,036.40","136,977,600.60",23.3,90,0
