Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,410104110,"Sub-county Health Facili-
ties Support","2,000,000",-,"2,000,000",-,349,0
411003000,,,"16,700,000",-,"16,700,000",-,349,0
,411014110,,"7,700,000",-,"7,700,000",-,349,0
,411024110,LCRH Devt,"9,000,000",-,"9,000,000",-,349,0
412003000,,,"411,282,467","147,342","411,135,125",0.0,349,0
,412014110,Medical Supplies,"409,282,467",-,"409,282,467",-,349,0
,412024110,Health mgt,"2,000,000","147,342","1,852,658",7.4,349,0
413003000,,,"45,504,109","976,500","44,527,609",2.1,349,0
,413014110,"Health Information &
Mgt","6,328,287","976,500","5,351,787",15.4,349,0
,413024110,Quality Assurance,"2,000,000",-,"2,000,000",-,349,0
,413034110,Universal Health Care,"37,175,822",-,"37,175,822",-,349,0
414003000,,,"5,000,000",-,"5,000,000",-,349,0
,414014110,"Rehabilitation & Treat-
ment","950,000",-,"950,000",-,349,0
,414024110,"Public Education &
Awareness","950,000",-,"950,000",-,349,0
,414034110,Liquor Licensing,"2,150,000",-,"2,150,000",-,349,0
,414044110,"Training & Capacity
Building","950,000",-,"950,000",-,349,0
503003000,,,"51,442,410","541,960","50,900,450",1.1,349,0
,503024110,"Construction of PWDs
multi-purpose resource
centre","24,500,000","541,960","23,958,040",2.2,349,0
,503074110,"Marginalized and Mi-
nority groups support","1,365,493",-,"1,365,493",-,349,0
,503084110,Child Rescue Centres,"20,000,000",-,"20,000,000",-,349,0
,503094110,Child Care & Protection,"5,576,917",-,"5,576,917",-,349,0
504003000,,,"35,277,665","1,322,000","33,955,665",3.7,349,0
,504014110,"Construction of sport
Stadia","9,279,109","1,322,000","7,957,109",14.2,349,0
,504044110,Stadia,"25,998,556",-,"25,998,556",-,350,0
506003000,,,"690,594,540","3,182,284","687,412,256",0.5,350,0
,506014110,ral Administration,"346,594,540","3,182,284","343,412,256",0.9,350,0
,506024110,"Turkana Education and
Skill Development Fund","294,000,000",-,"294,000,000",-,350,0
,506044110,"Turkana Higher Educa-
tion Loans","50,000,000",-,"50,000,000",-,350,0
,507014110,"Upgrading of Lodwar
County and Referral
Hospital",-,-,-,-,350,0
508003000,,,"29,180,545","5,090,700","24,089,845",17.4,350,0
