Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),"Absorption
(%)",page_number,table_index
,Roads,"695,276,479","7,777,480","687,498,999",1.1,97,0
,Energy,"20,100,000","5,972,700","14,127,300",29.7,97,0
,Fire Fighting,"9,300,000","1,522,000","7,778,000",16.4,97,0
,Transport,"22,116,686","6,697,000","15,419,686",30.3,97,0
Energy and Infrastructure,,"26,832,572","1,890,000","24,942,572",7.0,97,0
,"Construction of Roads and
Bridges",-,-,-,-,97,0
,Development of Energy,-,-,-,-,97,0
,Housing,"26,832,572","1,890,000","24,942,572",7.0,97,0
"Public Works, Transport and Hous-
ing Development",,"10,000,000",-,"10,000,000",-,97,0
,Housing Development,"10,000,000",-,"10,000,000",-,97,0
Roads and Public Works,,"14,150,000","4,242,100","9,907,900",30.0,97,0
,Public Works,"14,150,000","4,242,100","9,907,900",30.0,97,0
"General Administration, Planning
and Support Services",,"72,984,939","30,736,444","42,248,495",42.1,97,0
,"General Administration, Plan-
ning and Support Services","72,984,939","30,736,444","42,248,495",42.1,97,0
Trade Development,,"164,381,198","8,581,552","155,799,646",5.2,97,0
,Trade Licensing,"2,774,000","1,051,700","1,722,300",37.9,97,0
,Trade Development,"137,478,470","2,382,118","135,096,352",1.7,97,0
,"Cooperative Services and De-
velopment","17,161,592","2,676,134","14,485,458",15.6,97,0
,Enterprise Development,"6,967,136","2,471,600","4,495,536",35.5,97,0
"Culture And Local Tourism Promo-
tion",,"8,366,156","765,000","7,601,156",9.1,97,0
,Local Tourism Promotion,"8,366,156","765,000","7,601,156",9.1,97,0
"General Administration, Planning
and Support Services",,"1,971,992,905","862,896,228","1,109,096,677",43.8,97,0
,"Health Policy, Planning & Fi-
nancing",-,-,-,-,97,0
,"General Administration and
Support Services","1,971,992,905","862,896,228","1,109,096,677",43.8,97,0
Curative Health Services,,"312,834,835","140,922,660","171,912,175",45.0,97,0
,Medical Services,"312,834,835","140,922,660","171,912,175",45.0,97,0
,Ambulance Services,-,-,-,-,97,0
Curative and Rehabilitative,,"10,059,700","3,979,230","6,080,470",39.6,97,0
,Medical Supplies,-,-,-,-,97,0
,Ambulance services,"10,059,700","3,979,230","6,080,470",39.6,97,0
Public Health and Sanitation,,"229,558,695","37,994,058","191,564,637",16.6,97,0
,Preventive and Promotive,"209,568,093","31,562,986","178,005,107",15.1,97,0
,"Licensing and control of under-
taking","10,358,518","3,679,388","6,679,130",35.5,97,0
,Sanitation,"4,526,166","1,423,039","3,103,127",31.4,97,0
,Mobile Clinics,"5,105,918","1,328,645","3,777,273",26.0,97,0
"General Administration, Planning
and Support Services",,"394,142,388","185,432,725","208,709,664",47.0,97,0
,"Headquarters Administrative
Services","394,142,388","185,432,725","208,709,664",47.0,97,0
"Social Protection, Culture and Rec-
reation","Social Protection, Culture
and Recreation","1,100,000","369,700","730,300",33.6,97,0
,"Home craft Centres Develop-
ment","1,100,000","369,700","730,300",33.6,97,0
Education Support,Education Support,"577,339,343","96,575,983","480,763,360",16.7,97,0
,Pre-Primary Education,"429,820,045","77,938,188","351,881,857",18.1,97,0
,Home Craft Centres,"147,519,298","18,637,795","128,881,503",12.6,97,0
,Village Polytechnics,-,-,-,-,97,0
Social Protection and Recreation,"Social Protection and Recre-
ation","11,189,554","2,179,250","9,010,304",19.5,97,0
,"Control of Drugs and Pornog-
raphy","4,735,654","698,300","4,037,354",14.7,98,0
,Liquor Licensing,"6,048,700","1,371,550","4,677,150",22.7,98,0
,Betting and Casinos,"405,200","109,400","295,800",27.0,98,0
"General Administration and Policy
Coordination",,"2,777,818,400","875,791,752","1,902,026,648",31.5,98,0
,"Headquarters Administrative
Services","2,744,036,400","870,890,192","1,873,146,208",31.7,98,0
,County Executive Committee,"16,932,000","1,889,450","15,042,550",11.2,98,0
,ICT,-,-,-,-,98,0
,County Inspectorate,"16,850,000","3,012,110","13,837,890",17.9,98,0
Executive Committee Affairs,,-,-,-,-,98,0
,"General Administrative and
Executive Affairs",-,-,-,-,98,0
"Public Services Coordination and
Management",,"117,550,000","22,322,685","95,227,315",19.0,98,0
,Human Resource Management,"117,550,000","22,322,685","95,227,315",19.0,98,0
"Legislation, Representation and
Oversight",,"90,610,523","31,871,503","58,739,020",35.2,98,0
,"Research and Policy Develop-
ment",-,-,-,-,98,0
,Capacity Building and Training,"14,500,000","5,537,292","8,962,708",38.2,98,0
,"Directorate of Legislation and
Procedures","76,110,523","26,334,211","49,776,312",34.6,98,0
Public Financial Management,,"278,949,832","44,208,830","234,741,002",15.8,98,0
,"Supply Chain Management
Services","63,696,000","5,295,800","58,400,200",8.3,98,0
,Fiscal and Economic Planning,"24,756,000","4,016,180","20,739,820",16.2,98,0
,Budget,"18,518,000","4,879,500","13,638,500",26.4,98,0
,Accounting,"16,884,000","2,457,150","14,426,850",14.6,98,0
,Procurement,-,-,-,-,98,0
,Internal Audit,"11,147,531","3,358,200","7,789,331",30.1,98,0
,Revenue Collection,"143,948,301","24,202,000","119,746,301",16.8,98,0
"Economic Policy Coordination and
Supervision",,"16,341,000","4,365,986","11,975,014",26.7,98,0
,"Monitoring and Evaluation
Services","16,341,000","4,365,986","11,975,014",26.7,98,0
Devolution Services,,"64,268,000","14,052,256","50,215,744",21.9,98,0
,"Coordination Of Devolution
Services","31,608,000","6,045,170","25,562,830",19.1,98,0
,Intergovernmental Relations,"17,620,000","3,426,700","14,193,300",19.4,98,0
,"County Government Advisory
Service","15,040,000","4,580,386","10,459,614",30.5,98,0
"Public Service, Administration and
Citizen Participation",,"84,744,127","22,569,343","62,174,784",26.6,98,0
,County administration,"57,744,127","14,867,920","42,876,207",25.7,98,0
,county executive committee,-,-,-,-,98,0
,Citizen participation,"27,000,000","7,701,423","19,298,577",28.5,98,0
Citizen Participation,,-,-,-,-,98,0
,Citizen Participation,-,-,-,-,98,0
,,"45,077,769","9,945,991","35,131,778",22.1,98,0
,"Information, Communication
and Technology","33,376,151","6,770,402","26,605,749",20.3,98,0
,Special Programmes,"11,701,618","3,175,589","8,526,029",27.1,98,0
"General Administration, Policy and
coordination",,"390,803,100",-,"390,803,100",-,98,0
