Programme,Approved Budget (Kshs),Actual Payments (Kshs),Variance (Kshs.),Absorption (%),page_number,table_index
Infrastructure and Public Works,,,-,,161,0
Administration Services,"488,970,031","598,929,824","(109,959,793)",122.5,161,0
"Rehabilitations of Roads, Drainage and bridges","288,215,630","287,715,630","500,000",99.8,161,0
Personnel Services,"500,000",-,"500,000",-,161,0
Installation of Street Lighting Facilities,"13,300,000","12,602,911","697,089",94.8,161,0
TOTAL,"790,985,661","899,248,365","(108,262,704)",113.7,161,0
ICT and Tourism,,,,,161,0
Personnel services,"20,728,251","9,577,505","11,150,746",46.2,161,0
Administration services,"46,777,274","6,700,311","40,076,963",14.3,161,0
Local area network installation and ICT support,"50,643,129","1,232,605","49,410,524",2.4,161,0
Tourism Promotion,"51,274,189","2,396,404","48,877,785",4.7,161,0
,"169,422,843","19,906,825","149,516,018",11.7,161,0
County Public Service Board,,,,,161,0
Human Resource Planning,"7,009,578","2,393,850","4,615,728",34.2,161,0
"Transformation of Service Delivery in Public Ser-
vice","750,000","392,700","357,300",52.4,161,0
Compensation to Employees,"14,250,158","4,390,192","9,859,966",30.8,161,0
Human Resource Planning,"600,000","296,800","303,200",49.5,161,0
Staff Rationalization,"1,150,000","498,400","651,600",43.3,161,0
TOTAL,"23,759,736","7,971,942","15,787,794",33.6,161,0
Public Service and Administration,,,,,161,0
Audit Services,"76,977,207","89,763,111","(12,785,904)",116.6,161,0
General Administration,"134,995,652","107,783,147","27,212,505",79.8,161,0
Garbage Collection,"5,460,784","6,437,810","(977,026)",117.9,161,0
County Compliance and Enforcement,"6,088,000","6,646,704","(558,704)",109.2,161,0
Sub County Administration Msambweni,"4,089,000","2,650,066","1,438,934",64.8,161,0
Sub County Administration Lungalunga,"4,639,000","2,310,463","2,328,537",49.8,161,0
Sub County Administration Matuga,"4,801,000","1,781,338","3,019,662",37.1,161,0
Sub County Administration Kinango,"5,573,434","1,738,937","3,834,497",31.2,161,0
Human Resource,"7,281,500","13,000","7,268,500",0.2,161,0
TOTAL,"249,905,577","219,124,575","30,781,001",87.7,161,0
GRAND TOTAL,"8,664,376,638","3,329,339,192","5,335,037,445",38.4,161,0
