Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index,Absorption (%)
,Milk Cooling Plant,"4,908,500","70,200","4,838,300",,320,1,1.4
,Irrigation Fodder Production,"2,243,000","232,700","2,010,300",,320,1,10.4
,Sub- Total,"54,269,384","19,416,507","34,852,877",,320,1,35.8
,,,,,,321,0,
,,,,,,321,0,
Fisheries,"Administration, planning support services","17,444,852","3,905,071","13,539,781",,321,0,22.4
,"Administration, planning support services","17,444,852","3,905,071","13,539,781",,321,0,22.4
,Fisheries,"9,080,066","350,000","8,730,066",,321,0,3.9
,"Empowerment of Women and Youth on
Fish Safety and Quality Assuran","6,270,066","350,000","5,920,066",,321,0,5.6
,Construction of Ice Plant and Cold Storage,"2,810,000",,"2,810,000",,321,0,
,Sub- Total,"26,524,918","4,255,071","22,269,847",,321,0,16.0
,,,,,,321,0,
"Lands and Physical
Planning","Administration, planning support services","14,177,603","9,017,249","5,160,354",,321,0,63.6
,"Administration, planning support services","14,177,603","9,017,249","5,160,354",,321,0,63.6
,Land Policy and Planning,"62,659,513",-,"62,659,513",,321,0,
,Physical Planning,"53,809,335",,"53,809,335",,321,0,
,Land Survey and Mapping,"5,650,178",,"5,650,178",,321,0,
,Land Administration,"3,200,000",,"3,200,000",,321,0,
,Sub- Total,"76,837,116","9,017,249","67,819,867",,321,0,11.7
,,,,,,321,0,
,,,,,,321,0,
"Roads, Public works
and Housing","Administration, Planning and Support Ser-
vices","72,268,416","22,576,560","49,691,856",,321,0,31.2
,"Administration, planning, Operation and
Maintenance","72,268,416","22,576,560","49,691,856",,321,0,31.2
,Public Works,"22,627,000","14,435,687","8,191,313",,321,0,63.8
,County Headquarters,"22,627,000","14,435,687","8,191,313",,321,0,63.8
,County Roads Development,"5,334,999","1,941,400","3,393,599",,321,0,36.4
,Routine Maintenance,"1,778,333","595,600","1,182,733",,321,0,33.5
,Opening of New Roads,"1,778,333","886,000","892,333",,321,0,49.8
,Grading and Murruming of County Roads,"1,778,333","459,800","1,318,533",,321,0,25.9
,County Housing Development,"16,199,801","1,180,482","15,019,319",,321,0,7.3
,Housing Development,"6,981,410","564,450","6,416,960",,321,0,8.1
,Urbanization,"9,218,391","616,032","8,602,359",,321,0,6.7
,Urban Development,"50,000,000",-,"50,000,000",,321,0,
,Hola Municipality,"50,000,000",,"50,000,000",,321,0,
,Sub- Total,"166,430,216","40,134,129","126,296,087",,321,0,24.1
,,,,,,321,0,
"Trade, Tourism and
Cooperative Develop-
ment",Administration and Support Services,"23,595,543","12,048,467","11,547,076",,321,0,51.1
,"Administration, planning & support Ser-
vices","23,595,543","12,048,467","11,547,076",,321,0,51.1
,"Promotion of Trade, Tourism and Cooper-
ative Development","86,324,411","5,515,499","80,808,912",,321,0,6.4
,"Trade, Weights and Measures","69,941,666","3,445,926","66,495,740",,321,0,4.9
,Promotion of Tourism,"6,953,716","1,074,953","5,878,763",,321,0,15.5
,Promotion of Cooperative Development,"9,429,029","994,620","8,434,409",,321,0,10.5
,Sub- Total,"109,919,954","17,563,966","92,355,988",,321,0,16.0
,,,,,,321,0,
Health and Sanitation,Administration and Support Services,"1,014,693,503","415,723,787","598,969,716",,321,0,41.0
,"Administration, planning & support Ser-
vices","1,014,693,503","415,723,787","598,969,716",,321,0,41.0
,Curative and Rehabilitative,"197,316,864","91,079,435","106,237,429",,321,0,46.2
,Medical Supplies,"162,120,000","77,000,000","85,120,000",,321,0,47.5
,Medical Services,"20,480,864","7,901,235","12,579,629",,321,0,38.6
,Ambulance Services,"14,716,000","6,178,200","8,537,800",,321,0,42.0
,Preventive and Promotive,"18,927,600","7,641,510","11,286,090",,321,0,40.4
,Preventive and Promotive,"14,190,800","5,987,680","8,203,120",,321,0,42.2
,Licensing and Control of Undertaking,"4,736,800","1,653,830","3,082,970",,321,0,34.9
,Sub- Total,"1,230,937,967","514,444,732","716,493,235",,321,0,41.8
,,,,,,321,0,
"Education and Voca-
tional Training","General Administration, Planning and
Support services","286,200,515","119,289,301.15","166,911,213.85",,322,0,41.7
,"General operation, Planning and support
services","286,200,515","119,289,301.15","166,911,213.85",,322,0,41.7
,"Quality and Standard Assurance in EYE
Center","79,000,000","25,904,930","53,095,070",,322,0,32.8
,ECDE Learning/Teaching Materials,"20,500,000","7,848,508","12,651,492",,322,0,38.3
,ECDE Furniture and Equipment Support,"14,000,000","3,672,000","10,328,000",,322,0,26.2
,ECDE Food Program,"40,000,000","13,666,052","26,333,948",,322,0,34.2
,ECDE Infrastructure,"4,500,000","718,370","3,781,630",,322,0,16.0
,"Vocational Training Centers and Adult Ed-
ucation","36,229,485","9,772,700","26,456,785",,322,0,27.0
,Youth Polytechnic Publicity Campaigns,"7,000,000","2,266,300","4,733,700",,322,0,32.4
,Annual Graduation and Rewards,"14,129,485","3,855,200","10,274,285",,322,0,27.3
,Provision of Modern Tools and Equipment,"10,300,000","2,279,200","8,020,800",,322,0,22.1
,"Subsidized Youth Polytechnic Tuition Fund
(SYPT)","4,800,000","1,372,000","3,428,000",,322,0,28.6
,Sub- Total,"401,430,000","154,966,931","246,463,068",,322,0,38.6
,,,,,,322,0,
"Public Service Admin-
istration","Administration, Planning and Support Ser-
vices.","187,937,435","87,829,435","100,108,000",,322,0,46.7
,"Administration, Planning and Support Ser-
vices.","187,937,435","87,829,435","100,108,000",,322,0,46.7
,Human Resource and Development,"133,635,976",,"133,635,976",,322,0,
,Performance Management System,"11,041,991",,"11,041,991",,322,0,
,Human Resource Development,"122,593,985",,"122,593,985",,322,0,
,County Administration,"42,651,000",,"42,651,000",,322,0,
,ICT and Citizen Participation,"11,892,576",,"11,892,576",,322,0,
,Sub- Total,"376,116,987","87,829,435","288,287,552",,322,0,23.4
,,,,,,322,0,
"Finance and Economic
Planning","Administration, planning support services","482,581,756","132,042,643","350,539,113",,322,0,27.4
,"Administration, planning support services","482,581,756","132,042,643","350,539,113",,322,0,27.4
,Financial Management,"142,763,604","31,080,424","111,683,180",,322,0,21.8
,Financial management,"7,892,957","3,884,520","4,008,437",,322,0,49.2
,Supply Chain Managements,"24,205,000","4,632,472","19,572,528",,322,0,19.1
,Own Source Revenue Collection,"21,815,005","6,828,400","14,986,605",,322,0,31.3
,Budget and Economic Planning,"32,410,000","5,670,132","26,739,868",,322,0,17.5
,Accounting & Finance,"34,688,450","6,700,000","27,988,450",,322,0,19.3
,Internal Audit,"6,672,192","1,420,000","5,252,192",,322,0,21.3
,Monitoring and Evaluation,"15,080,000","1,944,900","13,135,100",,322,0,12.9
,Sub- Total,"625,345,360","163,123,067","462,222,293",,322,0,26.1
,,,,,,322,0,
Public Service Board,,,,,,322,0,
,Board Operations & Governance,"59,501,601","14,202,636","45,298,965",,322,0,23.9
,Ethics Governance and Compliance,"5,782,498","633,800","5,148,698",,322,0,11.0
,"Human Resource Management & Develop-
ment","2,710,000","454,240","2,255,760",,322,0,16.8
,Skills and Competence Development,"1,800,000","665,400","1,134,600",,322,0,37.0
,Sub- Total,"69,794,099","15,956,076","53,838,023",,322,0,22.9
,,,,,,322,0,
Office of the Governor,"Administration, planning support services","379,958,061","58,122,145","321,835,915",,322,0,15.3
,"Administration, planning support services","379,958,061","58,122,145","321,835,915",,322,0,15.3
,Performance Management,"107,463,833","36,835,778","70,628,054",,322,0,34.3
,"County Leadership & Coordination of
CDAs","54,000,000","18,216,242","35,783,757",,322,0,33.7
,County Government Advisory Service,"47,341,464","16,939,414","30,402,049",,322,0,35.8
,Coordination of Peace and Cohesion,"6,122,369","1,680,122","4,442,247",,322,0,27.4
,Sub- Total,"487,421,894","94,957,923","392,463,970",,322,0,19.5
,,,,,,322,0,
"Cohesion and Special
Program","Administration, planning support services","17,230,354","11,409,900","5,820,453",,323,0,66.2
,"Administration, planning support services","17,230,354","11,409,900","5,820,453",,323,0,66.2
,Natural Disaster mitigation programme,"79,884,563","93,960","79,790,603",,323,0,0.1
,"Drought management (Preparedness, Re-
sponse and Recovery)","4,884,563","93,960","4,790,603",,323,0,1.9
,"Emergency Relief (food, medicine, blan-
kets, cash grant)","75,000,000",,"75,000,000",,323,0,0.0
,"Social Protection and Response to Other
Disasters","17,204,849","4,969,665","12,235,184",,323,0,28.9
,Food Distribution and Rations,"10,624,800","4,531,370","6,093,430",,323,0,42.6
,"Capacity Building to Response to Fire Out-
breaks and Other Disaster","4,490,049","438,295","4,051,754",,323,0,9.8
,Resettlement of Victims,"2,090,000",,"2,090,000",,323,0,
,Sub- Total,"114,319,766","16,473,525","97,846,240",,323,0,14.4
,,,,,,323,0,
"Culture, Gender and
Youth Services","General Administration, Support and Sup-
port Services","19,399,500","8,410,809","10,988,691",,323,0,43.4
,"General Administration, Support and Sup-
port Services","19,399,500","8,410,809","10,988,691",,323,0,43.4
,Culture and Arts Development,"14,750,000","173,707","14,576,293",,323,0,1.2
,Culture Promotion and Development,"10,650,000",,"10,650,000",,323,0,
,"Empowerment/Capacity Building of Cul-
tural Practitioners","4,100,000","173,707","3,926,293",,323,0,4.2
,Children Protection,"8,500,000","2,113,800","6,386,200",,323,0,24.9
,Baseline Survey for OVC,"3,000,000","906,700","2,093,300",,323,0,30.2
,"Community Awareness Creation on Child
Rights and Child Protection","3,500,000","1,086,820","2,413,180",,323,0,31.1
,Enhanced Child Participation,"2,000,000","120,280","1,879,720",,323,0,6.0
,Social development,"12,000,000","1,810,400","10,189,600",,323,0,15.1
,Women Empowerment,"5,500,000","377,600","5,122,400",,323,0,6.9
,Gender and Leadership,"6,500,000","1,432,800","5,067,200",,323,0,22.0
,"Sports, Training & Competition","10,900,000","2,312,450","8,587,550",,323,0,21.2
,County Sports Leagues,"6,500,000","2,312,450","4,187,550",,323,0,35.6
,Sports Equipment Support,"4,400,000",,"4,400,000",,323,0,
,Sub- Total,"4,400,000","14,821,166","50,728,334",,323,0,
,,,,,,323,0,
"Environment and
Wildlife","General Administration, Support and Sup-
port Services","13,888,491","9,536,985","4,351,505",,323,0,68.7
,"General Administration, Support and Sup-
port Services","13,888,491","9,536,985","4,351,505",,323,0,68.7
,Environmental Management Programme,"49,729,627","18,468,356","31,261,271",,323,0,37.1
,Environmental Protection,"46,236,000","17,981,800","28,254,200",,323,0,38.9
,Noise Pollution Management,"2,244,000","345,956","1,898,044",,323,0,15.4
,Control of Air Pollution,"1,249,627","140,600","1,109,027",,323,0,11.3
,Sub- Total,"1,249,627","28,005,341","35,612,776",,323,0,
,,,,,,323,0,
Water and Sanitation,"General Administration, Support and Sup-
port Services","62,132,828","15,376,126","46,756,702",,323,0,24.7
,"General Administration, Support and Sup-
port Services","62,132,828","15,376,126","46,756,702",,323,0,24.7
,Water Services,"17,908,800","3,233,079","14,675,721",,323,0,18.1
,Water Management Services,"12,036,000","3,233,079","8,802,921",,323,0,26.9
,Sanitation,"1,620,000",,"1,620,000",,323,0,
,Storm Water Management,"4,252,800",,"4,252,800",,323,0,
,Irrigation Management Services,"3,644,000","676,911","2,967,089",,323,0,18.6
,Irrigation Management Services,"3,644,000","676,911","2,967,089",,323,0,18.6
,Sub- Total,"83,685,628","19,286,116","64,399,512",,323,0,23.0
"DEVELOPMENT
VOTE",Programme/sub programme,Approved Budget,Actual Payments,Variance,,323,0,
Agriculture,,,,,,323,0,
,Agricultural Development project,"178,000,000",,"178,000,000",,323,0,
,Minor/Village irrigation schemes,"178,000,000",,"178,000,000",,323,0,
,Sub Total,"178,000,000",,"178,000,000",,323,0,
Veterinary,,,,,,324,0,
,Veterinary Services,"38,300,000",,"38,300,000",,324,0,
,Build a modern slaughter house in Garsen,"38,300,000",,"38,300,000",,324,0,
,Sub Total,"38,300,000",,"38,300,000",,324,0,
Livestock,,,,,,324,0,
,"Animal Husbandry, Livestock Resource
Management and Devt","20,000,000",,"20,000,000",,324,0,
,Animal Husbandry,"7,000,000",,"7,000,000",,324,0,
,Livestock Sale Yard,"13,000,000",,"13,000,000",,324,0,
,Sub Total,"20,000,000",,"20,000,000",,324,0,
Fisheries,,,,,,324,0,
,Fisheries,"25,431,865",,"25,431,865",,324,0,
,Fish Pond rehabilitation,"10,000,000",,"10,000,000",,324,0,
,Construction of Ice Plant and Cold Storage,"15,431,865",,"15,431,865",,324,0,
,Sub Total,"25,431,865",,"25,431,865",,324,0,
"Lands and Physical
Planning",,,,,,324,0,
,Land Policy and Planning,"112,000,000",,"112,000,000",,324,0,
,Physical Planning,"112,000,000",,"112,000,000",,324,0,
,Sub total,"112,000,000",,"112,000,000",,324,0,
"Roads, Housing and
Public Works",,,,,,324,0,
,Public Works,"346,000,000","19,909,000","326,091,000",,324,0,5.8
,County Headquarters,"346,000,000","19,909,000","326,091,000",,324,0,5.8
,County Roads Development,"488,537,191",,"488,537,191",,324,0,
,Routine Maintenance,"312,237,191",,"312,237,191",,324,0,
,Opening of New Roads,"84,700,000",,"84,700,000",,324,0,
,Grading and Murruming of County Roads,"91,600,000",,"91,600,000",,324,0,
,County Housing Development,"81,400,000","3,860,000","77,540,000",,324,0,4.7
,Housing Development,"59,200,000",,"59,200,000",,324,0,
,Urbanization,"22,200,000","3,860,000","18,340,000",,324,0,17.4
,Urban Development,"100,000,000",,"100,000,000",,324,0,
,Hola Municipality,"100,000,000",,"100,000,000",,324,0,
,Sub Total,"1,015,937,191","23,769,000","992,168,191",,324,0,2.3
"Trade, Tourism and
Cooperative Develop-
ment",,,,,,324,0,
,"Promotion of Trade, Tourism and Cooper-
ative Development","85,100,000",,"85,100,000",,324,0,0.
,"Trade, Weights and Measures","75,100,000",,"75,100,000",,324,0,
,Trade Development,"10,000,000",,"10,000,000",,324,0,
,Sub Total,"85,100,000",,"85,100,000",,324,0,
Health and Sanitation,"Construction and rehabilitation of Health
Facilities","148,200,000",,"148,200,000",,324,0,
,Sub Total,"148,200,000",,"148,200,000",,324,0,
"Education and Voca-
tional Training",,,,,,324,0,
,"Quality and Standard Assurance in EYE
Center","116,300,000",,"116,300,000",,324,0,
,ECDE Infrastructure,"116,300,000",,"116,300,000",,324,0,
,"Vocational Training Centers and Adult Ed-
ucation","80,647,684",,"80,647,684",,324,0,
,"Subsidized Youth Polytechnic Tuition Fund
(SYPT)","80,647,684",,"80,647,684",,324,0,
,Sub Total,"196,947,684",,"196,947,684",,324,0,
"Public Service Admin-
istration",,,,,,324,0,
,County Administration,"50,000,000",,"50,000,000",,324,0,
,Sub Total,"50,000,000",,"50,000,000",,324,0,
"Finance and Economic
Planning",,,,,,324,0,
,Financial Management,"805,774,496","426,615,166","379,159,330",,324,0,52.9
,Own Source Revenue Collection,"30,000,000",,"30,000,000",,324,0,
,Accounting & Finance,"775,774,496","426,615,166","349,159,330",,324,0,55.0
,Sub total,"805,774,496","426,615,166","379,159,330",,324,0,52.9
