Programme,Sub-Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
,,"258,544,818","100,236,322","158,308,496",38.8,367,0
,"Administration And Support
Services","59,384,960","17,565,000","41,819,960",29.6,367,0
,"Administration And Support
Services","101,553,163","3,741,283","97,811,880",3.7,367,0
,,"160,938,123","21,306,283","139,631,840",13.2,367,0
Youth and Gender Affairs Department,"Administration And Support
Services","12,000,000",-,"12,000,000",-,367,0
,"Youth Training And Devel-
opment","93,469,603","17,005,559","76,464,044",18.2,367,0
,,"105,469,603","17,005,559","88,464,044",16.1,367,0
,"Tourism Development And
Marketing","60,000,000",-,"60,000,000",-,367,0
,"Management and Develop-
ment of Sports And Sports
Facilities","77,762,691","7,756,830","70,005,861",10.0,367,0
,,"137,762,691","7,756,830","130,005,861",5.6,367,0
,"Cooperatives Development
And Marketing","12,105,596","1,708,468","10,397,129",14.1,367,0
