Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance,"Absorption
(%)",page_number,table_index
"705004060 Admin
& Co-ordination of
County Affairs, HR
Dev, Management &
Capacity Building","Human resource development and manage-
ment","54,309,000","30,213,765","24,095,235",55.6,118,0
,Sub Total,"54,309,000","30,213,765","24,095,235",55.6,118,0
"706004060 General Ad-
ministration Planning
and Support Services","General Administration Planning and Sup-
port Services","1,415,231,420","640,494,886","774,736,534",45.3,118,0
,Sub Total,"1,415,231,420","640,494,886","774,736,534",45.3,118,0
"707004060 Representa-
tion services",Representation services,"290,650,000","80,768,123","209,881,877",27.8,118,0
,Sub Total,"290,650,000","80,768,123","209,881,877",27.8,118,0
"901004060 Promotion
and development of
sports; Youth services",General administration and support services,"259,708,552","81,417,572","178,290,980",31.3,118,0
,Sub Total,"259,708,552","81,417,572","178,290,980",31.3,118,0
902004060 ICT Services,ICT Services,"66,249,021","29,815,346","36,433,675",45.0,118,0
,Sub Total,"66,249,021","29,815,346","36,433,675",45.0,118,0
"1001004060 Water Re-
sources Management,
Environment Protec-
tion and Conservation",Environmental management,"55,944,735","14,948,277","40,996,458",26.7,118,0
,Water provision and management,"144,000,000","30,756,478","113,243,522",21.4,118,0
,Renewable Energy and Climate Change,"5,000,000",0,"5,000,000",0.0,118,0
,Sub Total,"204,944,735","45,704,755","159,239,980",22.3,118,0
"1002004060 Adminis-
tration Planning and
Support Service","General Administration and Support Servic-
es","241,811,792","129,793,415","112,018,377",53.7,118,0
,Sub Total,"241,811,792","129,793,415","112,018,377",53.7,118,0
Grand Total,,"15,638,800,000","6,171,292,021","9,467,507,979",39.5%,118,0
