Programme,Sub-Programme,"Gross Approved Estimates
FY 2024/25",col_3,"Actual Expenditure as of
31st March 2025",col_5,Absorption Rate (%),col_7,page_number,table_index
,"Cross-border peace divi-
dends programme","19,640,172",-,"3,560,193",-,18,-,636,0
,"County Peace Building
and Conflict Management
Committees","34,986,610",-,"11,409,609",-,33,-,636,0
,"Internal Peace Building
and Conflict Management
Programme","16,621,478",-,"8,353,400",-,50,-,636,0
,Sub-Total,"434,290,307","51,000,000","148,575,306",-,34,0,636,0
Office of the Deputy Governor,,,,,,,,636,0
"General Administration,
Planning and Support
Services","General Admin Planning
and Support","14,852,331",-,"5,917,440",-,40,-,636,0
"Public Communications,
Media Relations and In-
formation Management","Media Partnerships and
Stakeholder Engagement","1,981,780",-,"221,000",-,11,-,636,0
,"County Publicity and
Branding","2,500,000",-,"388,500",-,16,-,636,0
,"Public Access to Informa-
tion","534,110",-,"234,055",-,44,-,636,0
,"Communication Research
and Development","1,100,000",-,"380,000",-,35,-,636,0
Resource Mobilisation,Resource Mobilisation,"2,776,932",-,"205,698",-,7,-,636,0
,Public-Private Partnerships,"1,800,000",-,"356,207",-,20,-,636,0
,"Donor and Partner Coor-
dination","1,850,000",-,"278,800",-,15,-,636,0
,Sub-Total,"27,395,153",-,"7,981,700",-,29,-,636,0
Office of the County Attorney,,,,,,,,636,0
"General Administration,
Planning and Support
Services","General Administration,
Planning and Support
Services","14,229,030",-,"3,770,232",-,26,-,636,0
Legal Services,Litigation,"32,858,066",-,"1,270,700",-,4,-,636,0
,"Government Agreements
and Contracts","4,984,450",-,"1,026,839",-,21,-,636,0
,Legal Audit and Compliance,"6,949,550",-,"1,381,703",-,20,-,636,0
"Research And Legislative
Drafting",Legislation,"7,030,564",-,"1,019,400",-,14,-,636,0
,Policy and Legal Briefs,"5,171,612",-,"385,600",-,7,-,636,0
,,Rec,Dev,Rec,Dev,Rec,Dev,637,0
Capacity Building,Training of Legal Counsel,"1,529,566",-,"857,810",-,56,-,637,0
,"Legal Training and Aware-
ness","3,892,316",-,"1,120,140",-,29,-,637,0
,Sub-Total,"76,645,154",-,"10,832,424",,14,,637,0
Finance and Economic Planning,,,,,,,,637,0
"General Administration,
Planning and Support
Services","General Administration
Services","803,463,547","3,893,280,521","286,968,249","1,599,774,941",36,41,637,0
,"General Administration -
Economic planning","35,000,000",-,-,-,-,-,637,0
,"County Headquarters
Offices",-,"20,000,000",-,-,-,-,637,0
"Revenue Collection
Systems","Awareness and Campaigns
on Revenue.","6,150,836",-,"3,677,396",-,60,-,637,0
,"Revenue Forecast and Reve-
nue Budget Preparation","4,930,564",-,"2,574,000",-,52,-,637,0
,Revenue Automation,"8,700,000",-,"2,306,199",-,27,-,637,0
,Revenue Governance,"1,644,669",-,"554,600",-,34,-,637,0
,Revenue Infrastructure,"11,000,000",-,-,-,0,-,637,0
"Accountability and Trans-
parency",Internal Audit,"3,000,000",-,"1,035,669",-,35,-,637,0
,Consultation Services,"3,600,000",-,"1,532,000",-,43,-,637,0
,"Financial Reporting and
Assurance","3,800,000",-,"1,726,805",-,45,-,637,0
,"Modern Fencing, Gate and
Parking Yards for County
Treasury Office",-,"100,000,000",-,"100,000,000",-,100,637,0
,"Tax Mgt & Statutory De-
ductions","3,800,000",-,-,-,-,-,637,0
"Social and Financial
Security","Assurance and Insurance of
Assets","4,340,000",-,"841,200",-,19,-,637,0
,"Liability and Debt Manage-
ment","1,700,000",-,"176,960",-,10,-,637,0
,"Turkana SACCO Seed
Capital","3,800,000",-,"2,146,320",-,56,-,637,0
County Statistical Unit,"Software, Database and
Tools","58,000,000",-,"926,680",-,2,-,637,0
,"Public Participation and
access to information","16,224,124",-,"9,736,619",-,60,-,637,0
,"Support to Audit Commit-
tees","3,800,000",-,-,-,-,-,637,0
"Planning and Policy
Formulation","Economic Policy Formula-
tion and Dissemination","4,179,682",-,"2,216,480",-,53,-,637,0
,"County Budget and Eco-
nomic Forums","20,000,000",-,-,-,0,-,637,0
,"Public Participation and
Access to Information","4,500,000",-,"1,659,790",-,37,-,637,0
,Waste Management,"1,200,000",-,"94,500",-,8,-,637,0
,"Social Intelligence Integra-
tion & Reporting","1,625,000",-,"96,820",-,6,-,637,0
,"Sustainable Development
Goals","1,065,000",-,"873,200",-,82,-,637,0
"Monitoring and Evalu-
ation","Field Visits and Data Col-
lection","2,500,000",-,"1,560,600",-,62,-,637,0
,Training and Development,"3,100,000",-,"2,548,000",-,82,-,637,0
,"Devolved Monitoring and
Evaluation","3,500,000",-,"810,400",-,23,-,637,0
,,Rec,Dev,Rec,Dev,Rec,Dev,638,0
Budgetary Supply,"Budget Formulation, Coor-
dination and Management","22,500,000",-,"8,453,324",-,38,-,638,0
,"Public Participation in
Budgeting","11,800,000",-,"3,438,720",-,29,-,638,0
,"County Budget and Eco-
nomic Forum","45,000,000",-,"286,000",-,1,-,638,0
,"Accountability in Resource
Allocation","4,948,106",-,"297,940",-,6,-,638,0
,Sub-Total,"1,098,871,528","4,013,280,521","336,538,471","1,699,774,941",31,42,638,0
"Water Services, Environment and Mineral Resources",,,,,,,,638,0
"General Administration
and Support","General Administration and
Support","22,595,153",-,"5,019,467",-,22,-,638,0
"K-WASH World Bank
Programme","K-WASH World Bank
Programme",-,"400,965,240",-,"306,615,239",-,76,638,0
Water Supply and Storage,Water Infrastructure,-,"410,199,999",-,"404,550,000",-,99,638,0
,"Water Resource Manage-
ment","10,150,000",-,"4,661,174",-,46,-,638,0
,"Water Governance Planning
and Coordination","30,000,000",-,"29,249,805",-,97,-,638,0
,"Emergency Response and
Drought Mitigation","14,400,000",-,"7,385,816",-,51,-,638,0
,Sub-Total,"77,145,153","811,165,239","46,316,262","711,165,239",60,88,638,0
Health and Sanitation Services,,,,,,,,638,0
"General Administration,
Planning and support
services",Health Facilities,"22,500,000",,-,-,0,-,638,0
,"General Administration,
Planning and Support Ser-
vices - Medical Services","121,000,000",-,"92,516,392",-,76,-,638,0
,"General Administration,
Planning and Support
Services - Preventive and
Promotive Services","93,960,832","460,948,999","79,732,394",-,85,-,638,0
"Support for Health
Programs","HIV & AIDS, including
community-based HIV
interventions","1,500,000",-,"575,400",-,38,-,638,0
,TB & Leprosy,"1,500,000",-,-,-,0,-,638,0
,"NTDs(neglected tropical
diseases)","1,000,000",-,"470,400",-,47,-,638,0
,Reproductive health,"2,690,000",-,-,-,0,-,638,0
,EPI/outreaches,"1,920,000",-,"1,068,173",-,56,-,638,0
,"Rural Health Facilities
Support","500,000",-,-,-,0,-,638,0
,Child Health,"500,000",-,-,-,0,-,638,0
,One Health,"1,000,000",-,"985,600",-,99,-,638,0
,"Gender Based Violence
Health Care","1,500,000",-,-,-,0,-,638,0
,"Adolescents’ Sexual and
Reproductive Health","500,000",-,-,-,0,-,638,0
,"Maternal And Neonatal
Health","1,500,000",-,"1,395,100",-,93,-,638,0
Medical Services,Laboratory Services,"2,100,000",-,"848,600",-,40,-,638,0
,Blood Transfusion Services,"2,500,000",-,"1,752,716",-,70,-,638,0
,Rehabilitative Services,"800,000",-,"274,400",-,34,-,638,0
,"Referrals & Emergency
Services","32,000,000",-,"24,619,719",-,77,-,638,0
,Radiology Services,"200,000",-,"200,000",-,100,-,638,0
,Dental Services,"500,000",-,"196,200",-,39,-,638,0
,,Rec,Dev,Rec,Dev,Rec,Dev,639,0
,Clinical Services,"1,500,000",-,"160,000",-,11,-,639,0
,Nursing Services,"900,846",-,-,-,0,-,639,0
,"Subcounty Health Facilities
Support","2,800,000",-,"789,857",-,28,-,639,0
,UHC Turkana,"299,154",-,"197,618",-,66,-,639,0
,"Non-Communicable Dis-
eases (NCDS)","500,000",-,"173,200",-,35,-,639,0
,Ophthalmic Services,"1,000,000",-,"974,600",-,97,-,639,0
,Malaria,"1,000,000",-,-,-,0,-,639,0
,Mental Health,"500,000",-,"274,854",-,55,-,639,0
,Biomedical Engineering,"500,000",-,"77,236",-,15,-,639,0
"Lodwar County And
Referral Hospital","LCRH Operations and
Support Services","432,886,086",-,"202,100,057",-,47,-,639,0
Medical Supplies,Medical Supplies,"309,975,942",-,"12,146,490",-,4,-,639,0
,Health Management,"1,700,000",-,"1,050,380",-,62,-,639,0
"Policy, Planning, Monitor-
ing and Evaluation",Health Information & Mgt,"2,568,900",-,"2,554,400",-,99,-,639,0
,Quality Assurance,"350,000",-,"340,200",-,97,-,639,0
,Electronic Medical Records,"350,000",-,"155,400",-,44,-,639,0
,"Monitoring & Evaluation
Health","745,000",-,"591,500",-,79,-,639,0
,Research & Development,"400,000",-,-,-,0,-,639,0
,Policy & Planning Services,"800,000",-,"378,000",-,47,-,639,0
,"Health Partners Coordi-
nation","586,100",-,"586,100",-,100,-,639,0
"Community Health
Services",Community Health Services,"1,400,000",-,"109,000",-,8,-,639,0
,Community Nutrition,"3,350,000",-,"1,170,000",-,35,-,639,0
,"MIYCN and Emergency
Nutrition","1,500,000",-,"800,000",-,53,-,639,0
Public Health,"Water, Sanitation And
Hygiene WASH","1,500,000",-,"138,400",-,9,-,639,0
,Food Safety,"300,000",-,"246,400",-,82,-,639,0
,"Occupational Health And
Safety","250,000",-,"246,400",-,99,-,639,0
,"Infection Prevention And
Control/Health Care Waste","250,000",-,"246,400",-,99,-,639,0
,"Disease Surveillance And
Response","1,150,000",-,"276,000",-,24,-,639,0
,School Health,"250,000",-,"250,000",-,100,-,639,0
,Health Promotion Services,"250,000",-,"250,000",-,100,-,639,0
,"Alcoholic Drinks And
Substance Abuse","2,450,000",-,"1,019,600",-,42,-,639,0
,"Public Health Emergency
And Response","9,000,000",-,"441,000",-,5,-,639,0
Level 6 Hospital,Turkana Level 6 Hospital,"3,648,999","142,851,001","3,648,999",-,100,-,639,0
,Sub-Total,"1,074,331,859","603,800,000","436,027,186",-,41,-,639,0
"Trade, Gender and Youth Affairs",,,,,,,,639,0
"General Administration
and Support Services","General Administration,
Gender and Youth","6,567,576",-,"884,119",-,13,-,639,0
,"General Administration,
Trade and Cooperatives","7,127,578","7,000,000","390,486",-,5,-,639,0
"Trade Development and
Promotion","Market Infrastructure
Development","800,000","27,000,000","371,000",-,46,-,639,0
,"Industrial Development and
Investments","1,750,000",-,"319,390",-,18,-,639,0
,Biashara Fund,"900,000",-,"150,400",-,17,-,639,0
,,Rec,Dev,Rec,Dev,Rec,Dev,640,0
,Trade Promotion,"3,350,000",-,"537,415",-,16,-,640,0
,"Fair Trade and Consumer
Protection Services","1,800,000",-,"371,615",-,21,-,640,0
"Cooperative Development
and Management","Cooperative Marketing,
Value Addition, Surveys &
Research","2,000,000",-,"431,200",-,22,-,640,0
,"Cooperative Education,
Training, Exchange and
Ushirika Day Celebration","3,600,000",-,"485,275",-,13,-,640,0
,"Strengthening of Key Dor-
mant Cooperative Societies","1,410,000",-,"214,275",-,15,-,640,0
,"Formulation of Cooperative
Policy and Legal Framework","1,600,000",-,"464,180",-,29,-,640,0
,"Cooperative Development
Fund",-,"90,000,000",-,-,0,-,640,0
,"Cooperative Ethics Gover-
nance and Audit Support","250,000",-,"160,020",-,64,-,640,0
"Promotion of Gender
Equality and Empower-
ment","Gender Empowerment and
Advocacy","4,100,000",-,"499,200",-,12,-,640,0
,"Gender Mainstreaming and
Coordination","2,980,000",-,"364,000",-,12,-,640,0
,"Legal Compliance and
Redress","1,700,000",-,-,-,0,-,640,0
,"Promotion of Gender Equal-
ity and Empowerment","3,743,811",-,"290,000",-,8,-,640,0
"Youth Affairs Develop-
ment","Youth Coordination and
Representation","4,700,000",-,"976,999",-,21,-,640,0
,"Youth Capacity Building &
Training","5,200,000",-,"62,325",-,1,-,640,0
,Youth Talent Development,"4,500,000",-,"269,153",-,6,-,640,0
,Sub-Total,"58,078,965","124,000,000","7,241,052",,12,,640,0
"Education, Sports and Social Protection",,,,,,,,640,0
"General Administration
and Support Services","Turkana Education and Skill
Development Fund","535,000,000",-,-,-,0,0.0,640,0
,"General Administration
Services","28,253,683",-,"18,536,036",-,66,0.0,640,0
,"General Administration
ECDE & Social Protection","19,474,501",-,"9,685,160",-,50,0.0,640,0
,"General Administration,
Sports and Vocational
Training","7,484,499",-,-,-,0,0.0,640,0
"Early Childhood Edu-
cation","School Feeding and Infra-
structure","66,022,530","411,227,470","74,696,000",-,113,0.0,640,0
"Social protection pro-
grams/ Affirmative Action",ECDE Governance,"3,900,000",-,"3,259,942",-,84,0.0,640,0
,"Turkana County Persons
with Disability Development","22,300,000",-,"8,012,570",-,36,0.0,640,0
,"Marginalised and Minority
groups’ support","4,460,000",-,"1,790,000",-,40,0.0,640,0
,Child Care and Protection,"19,000,000",-,"12,992,500",-,68,0.0,640,0
County Library Services,"Library Governance and
Infrastructure","6,970,070",-,"638,440",-,9,0.0,640,0
,Training and Development,"2,002,400",-,"848,000",-,42,0.0,640,0
,Co-Curricular Activities,"22,600,000",-,"2,499,400",-,11,0.0,640,0
"Sports and arts pro-
gramme","Construction of sports
stadiums","6,677,490","7,772,510","6,677,490",-,100,0.0,640,0
,Sports Infrastructure,"2,499,980","64,500,020",-,"2,499,980",0,3.9,640,0
,Sub-Total,"746,645,153","483,500,000","139,635,538","2,499,980",19,0.5,640,0
,,Rec,Dev,Rec,Dev,Rec,Dev,641,0
"Public Services, Decentralised Administration and Disas-
ter Management",,,,,,,,641,0
"General Administration,
Planning and Support
Services","General Administration,
Planning and Support Ser-
vices- Public Service","5,257,420,000","41,500,000","2,800,707,407",-,53,-,641,0
"Human resource man-
agement",Payroll administration,"1,300,000",-,"672,700",-,52,-,641,0
,Digitisation and Automation,"5,240,000",-,"2,120,800",-,40,-,641,0
,"Human Resource Manage-
ment and Development","4,700,000",-,"1,697,310",-,36,-,641,0
,GHRIS Module,"1,300,000",-,"337,400",-,26,-,641,0
,"County performance man-
agement","2,800,000",-,"1,752,587",-,63,-,641,0
Decentralizes Services,"Sub-County Administration
Support Programme","19,000,000",-,"7,547,418",-,40,-,641,0
,"Ward Administration Sup-
port Programme","18,000,000",-,"9,847,344",-,55,-,641,0
,"Village Administration
Support Programme","33,099,154",-,"18,714,223",-,57,-,641,0
"Governance and Public
Participation",Civic Education Programme,"3,000,000",-,"1,138,634",-,38,-,641,0
,"Public Participation and
access to information","10,700,000",-,"5,720,527",-,53,-,641,0
Disaster risk management,"Stakeholders’ Coordination
and Support Programme","800,000",-,"113,000",-,14,-,641,0
,Disaster Risk Management,"2,600,000",-,"849,400",-,33,-,641,0
,"Disaster Preparedness,
Mitigation & Response","553,700,000",-,"521,601,690",-,94,-,641,0
Inspectorate services,"Enforcement & Coordina-
tion Services","4,000,000",-,"640,900",-,16,-,641,0
,"County Inspectorate Train-
ing Institute","3,000,000",-,"197,618",-,7,-,641,0
,Sub-Total,"5,920,659,154","41,500,000","3,373,658,958",,57,,641,0
"Infrastructure, Transport and Public Works",,,,,,,,641,0
"General Administration
and Support Services","General Administration- In-
frastructure and Transport","31,917,050",-,"4,162,814",-,13,-,641,0
,"General Administration-
Public Works","16,748,103",-,"8,501,391",-,51,-,641,0
"Develop and maintain
roads.","Roads maintenance levy
fund(RMLF)",-,"251,956,760",-,-,-,-,641,0
,"Designing & Construction
of Roads and Bridges","11,700,000","316,700,000",-,"9,894,000",-,3.1,641,0
"Develop and Maintain
Staff",Road Safety initiatives,"14,400,000",-,"1,135,201",-,8,-,641,0
,"Government Structures/
Buildings","13,900,000",-,"2,593,881",-,19,-,641,0
,Sub-Total,"88,665,153","568,656,760","16,393,287","9,894,000",18,1.7,641,0
"Agriculture, Pastoral Economy and Fisheries",,,,,,,,641,0
"General Administration
and Support Services","General Administration and
Support Services- Agricul-
ture and Land Reclamation","14,404,000",-,"6,759,816",-,47,-,641,0
,"General Administration,
Livestock Development","14,800,000",-,"4,137,192",-,28,-,641,0
,"General Administration,
Fisheries & Aquaculture","16,000,000",-,"646,298",-,4,-,641,0
Agriculture Programme,"Agriculture Sector Devel-
opment",-,"34,800,000",-,"6,475,659",-,18.6,641,0
,DRNKP/Kfw,-,"346,444,140",-,"32,482,162",-,9.4,641,0
,,Rec,Dev,Rec,Dev,Rec,Dev,642,0
,"Fish Market Infrastructure
and Sustainable Manage-
ment",-,"60,906,460",-,"16,585,644",-,27.2,642,0
,"Livestock Breed Improve-
ment",-,"143,500,000",-,"43,512,103",-,30.3,642,0
"Food System Resilience
Project","Food System Resilience
Project",-,"173,076,922",-,-,-,-,642,0
"Revival of the Turkana
Fishermen Cooperative","Policy Formulation, Re-
search and Development","77,546,277","78,293,541","13,570,118",-,17,-,642,0
"Emergency Locust Re-
sponse Project","Emergency Locust Response
Project",-,"142,500,000",-,"57,173,404",-,40.1,642,0
,Sub-Total,"122,750,277","979,521,063","25,113,424","156,228,971",20,15.9,642,0
"Tourism, Culture and Natural Resources",,,,,,,,642,0
General Administration,"General Administration,
Tourism, Culture and
Heritage","13,400,000",-,"9,767,448",-,73,-,642,0
,"General Administration,
Environment, and Climate
Change","9,350,000",-,"6,127,789",-,66,-,642,0
,"General Administration,
Energy, Mining, and Natural
Resources","7,350,000",-,"5,136,104",-,70,-,642,0
"Tourism Development
and Promotion","Tourism Destination Mar-
keting","2,200,000",-,"2,194,100",-,100,-,642,0
,"Tourism Product Develop-
ment and Promotion","2,100,000",-,"1,976,094",-,94,-,642,0
,"Tourism Infrastructure
Development","4,000,000",-,-,-,-,-,642,0
,"Tourism Research and
Development","2,200,000",-,"2,032,488",-,92,-,642,0
"Culture, Arts, Heritage
Development, promotion
and preservation",Ushanga Initiative,"2,700,000",-,"2,684,500",-,99,-,642,0
,"Culture Promotion and
Preservation","4,300,000",-,"3,692,286",-,86,-,642,0
,Turkana Cultural Festivals,"40,000,000",-,-,-,-,-,642,0
Heritage Promotion,"Heritage Development Pro-
motion and Preservation","1,200,000",-,"373,800",-,31,-,642,0
,"Turkana Cultural Education
and Research Centre","2,200,000",-,"563,500",-,26,-,642,0
,"Lokiriama Culture and
Peace Accord","31,395,153",-,-,-,-,-,642,0
,"Ataa Nayeche Commem-
oration","35,000,000",-,"9,592,332",-,27,-,642,0
"Environmental Gov-
ernance, Compliance,
Conservation, Protection,
and Management","Environmental Governance
and Compliance","6,000,000",-,"3,702,566",-,62,-,642,0
"Climate Change Adap-
tation, Resilience, and
Mitigation","Climate Change, Institu-
tional Governance, and
Administration",-,"4,500,000",-,"1,844,700",-,41.0,642,0
"Financing Locally-Led
and Departmental
Programmes for Climate
Actions","Financing Locally-Led and
Departmental Programmes
for Climate Actions",-,"500,109,357",-,"11,000,000",-,2.2,642,0
"Energy Development
Programme","Renewable Energy Devel-
opment",-,"11,800,001",-,"1,428,400",-,12.1,642,0
,Streetlighting,-,"1,100,000",-,"670,900",-,61.0,642,0
,"Energy Efficiency and Con-
servation",-,"12,000,000",-,"4,049,198",-,33.7,642,0
Mining Development,"Sustainable Exploitation of
Mineral Resources",-,"9,450,000",-,"5,003,688",-,52.9,642,0
,,Rec,Dev,Rec,Dev,Rec,Dev,643,0
Oil and Gas,"Sustainable Utilisation of Oil
and Gas",-,"3,450,000",-,"1,554,020",-,45.0,643,0
"Forest Conservation and
Management","Forestry Development and
Governance","18,500,000",-,"3,634,600",-,20,0.0,643,0
,"Prosopis Management and
Nature-Based Value Chains
Promotion","1,000,000",-,"226,800",-,23,0.0,643,0
"Wildlife Management and
Conservation","Wildlife Governance and
Community Services",-,"2,000,000",-,"1,464,400",-,73.2,643,0
,Sub-Total,"182,895,153","544,409,358","51,704,406","27,015,306",28,5.0,643,0
"Lands, Energy, Housing and Urban Areas Management",,,,,,,,643,0
"General Administration
and Support Services","General Administration,
Lands and Physical Planning","15,670,679",-,"1,374,684",-,9,-,643,0
,"General Administration of
Urban and Municipalities","9,844,507",-,"558,876",-,6,-,643,0
Physical Planning Services,County Spatial Plan,-,"40,847,000","942,100",-,-,-,643,0
,Policy Formulation,"1,570,000",-,"353,900",-,23,-,643,0
,Development Control,-,"1,470,000","326,000",-,-,-,643,0
,Land Governance,-,"5,323,000","797,960",-,-,-,643,0
,Planning Services,"1,100,000",-,"183,260",-,17,-,643,0
Lands Survey,"Land and Property Valua-
tion Services","2,700,000",-,"387,740",-,14,-,643,0
,Spatial Infrastructure,"1,000,000",-,"690,000",-,69,-,643,0
,Land Registration,"12,100,000",-,"757,025",-,6,-,643,0
,"Land Policy and Manage-
ment","970,000",-,"886,320",-,91,-,643,0
Urban Development,Urban Services,"3,239,998",-,-,-,-,-,643,0
,Urban Governance,-,"19,500,000",-,-,-,-,643,0
,Urban Infrastructure,-,"7,760,000","1,000,000",-,-,-,643,0
,Fire Services,-,"1,600,000","1,139,200",-,-,-,643,0
"Kenya Urban Support
Programme",Urban Institutional Grant,"35,000,000",-,-,-,-,-,643,0
,Sub-Total,"83,195,184","76,500,000","9,397,065",-,11,-,643,0
Turkana County Public Service Board,,,-,,-,,-,643,0
"General Administration,
Planning and Support
Services",General Administration,"43,333,256",-,"8,650,513",-,20,-,643,0
,"Human Resource Manage-
ment","21,520,116",-,"4,995,047",-,23,-,643,0
,"County Public Service
Governance","11,009,162",-,"4,938,700",-,45,-,643,0
,"County Internship Pro-
gramme","46,292,618",-,"9,703,426",-,21,-,643,0
,Sub-Total,"122,155,152",-,"28,287,686",-,23,-,643,0
Kakuma Municipality Board,,,-,,-,,-,643,0
"General Admin Planning
and Support Services","General Admin Planning
and Support Services","11,380,001",-,"3,023,160",-,27,-,643,0
,Municipal Planning,"2,000,000",-,"819,314",-,41,-,643,0
,Municipal Services,"2,500,000",-,"1,679,200",-,67,-,643,0
,Municipal Infrastructure,"1,500,000",-,"1,450,300",-,97,-,643,0
,"Research, Development and
Extension Services","1,000,000",-,"579,030",-,58,-,643,0
"Kenya Urban Support
Programme",Urban Development Grant,"1,807,567",-,-,-,0,-,643,0
,Sub-Total,"20,187,568",-,"7,551,004",-,37,-,643,0
Lodwar Municipality Board,,,-,,-,,-,643,0
