Programme,Sub-Programme,"Budget Estimates
(Kshs)","Actual Expenditure
(Kshs)","Absorption Rate
(%)",page_number,table_index
Curative Health Services,Primary Health Care,"896,101,630","743,580,895",82.98,124,0
"Preventive and Promotive Health
Services",Health Promotion & Disease Control,"351,742,649","291,874,387",82.98,124,0
"General Administration Planning
and Support Services",General Administration services,"278,512,901","231,108,689",82.98,124,0
Sub Total,,"1,526,357,180","1,266,563,971",82.98,124,0
EMBU LEVEL 5 HOSPITAL,,,,,124,0
Curative Health Services,Primary Healthcare,"326,261,524","33,607,875",10.30,124,0
"Preventive and Promotive Health
Services","Health Promotion and Disease
Control","89,626,113","9,232,297",10.30,124,0
"General Administration Planning
and Support Services",General Administration Services,"65,554,030","6,752,655",10.30,124,0
Sub Total,,"481,441,667","49,592,828",10.30,124,0
"ROADS, PUBLIC WORKS AND HOUSING.",,,,,124,0
"General Administration Planning
and Support Services",General Administration Services,"145,754,984","13,960,507",9.58,124,0
Roads Development,"Rural Roads Improvement and
Maintenance","388,679,958","37,228,019",9.58,124,0
Public Works,Public Works,"145,754,984","13,960,507",9.58,124,0
Renewable Energy Development,Streetlights and Floodlights,"194,339,979","18,614,010",9.58,124,0
Transport and Logistics,Fleet management,"97,169,989","9,307,005",9.58,124,0
Sub Total,,"971,699,894","93,070,048",9.58,124,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,124,0
"General Administration, Planning
and Support Services","General Administration and Sup-
port Services","56,157,616","19,448,495",34.63,124,0
"Access and retention in ECDE
centres","Access and retention in ECDE
centres","224,630,461","77,793,977",34.63,124,0
"Improve Quality And Relevance Of
ECDE Services","Improvement of Quality And Rele-
vance of ECDE Services","56,157,616","19,448,495",34.63,124,0
"Improve the Transition from
pre-primary to primary school","Improve the Transition from pre-pri-
mary to primary school","56,157,616","19,448,495",34.63,124,0
"Increase access and retention in
Vocational training.","Increase access and retention in
Vocational training.","168,472,846","58,345,483",34.63,124,0
Sub Total,,"561,576,155","194,484,944",34.63,124,0
"YOUTH EMPOWERMENT AND SPORTS, GENDER, CULTURE, CHILDREN AND SOCIAL SERVICES",,,,,124,0
"Youth Development and Empower-
ment Services","Youth Development and Empower-
ment Services","60,999,268","25,807,015",42.31,124,0
"Management and development of
Sport and Sport facilities",Community Sports Programme,"51,962,339","21,983,754",42.31,124,0
