Programme,Sub-Programme,Supplementary Estimates,col_3,Actual Payments of FY 2024-25 (Ksh),col_5,"Absorption
(%)",page_number,table_index
"Trade Development
and Investment","030401 General
Administration and
Planning","1,831,700",-,"899,000",-,43.2,246,0
,,"Recurrent Esti-
mates","Development
Estimates","Recurrent Expen-
diture","Development
Expenditure",,247,0
,"030103 Capacity
Building for Traders
and SME","977,000",-,"121,400",-,12.4,247,0
,"030104 Promotion,
Development &
Growth of Trade","219,000",-,"50,000",-,14.1,247,0
,"030105 Fair Trade
Practices and Con-
sumer Protection","130,000",-,"12,600",-,6.1,247,0
"Tourism Development
and Marketing","030302 Tourism
Promotion and Mar-
keting","120,500",-,"16,800",-,8.6,247,0
,"030304 International
Tourism Promotion
and Marketing","205,000",-,"50,700",-,16.4,247,0
,"030305 Promotion of
Industrial Develop-
ment","2,718,500",-,"1,276,700",-,20.4,247,0
,"030306 Provision of
Industrial Training","115,000",-,"35,200",-,25.1,247,0
"Cooperative Develop-
ment and Marketing","030101 General
Administration &
Planning","36,867,741","613,253,872","16,452,534","130,024,722",33.0,247,0
,"030405 Cooperative
Advisory and Exten-
sion Services","195,000",-,"115,000",-,39.0,247,0
,"030406 Coopera-
tive Education and
Training","271,000",-,"191,800",-,46.1,247,0
,"030407 Cooperative
Governance and
Accountability","109,000",-,"34,300",-,21.6,247,0
"Cooperative Audit
Services","030603 Inspections
and Investigations for
Cooperatives","35,000",-,-,-,0.0,247,0
Sub Total,,"43,794,441","613,253,872","19,256,034","130,024,722",32.8,247,0
Environment and Natural Resources,,,,,,,247,0
Water Supply Services,"090101 Water and
Irrigation","1,850,000","630,034,988","610,000","211,758,346",32.8,247,0
Energy Programme,"090301 Energy
Services","255,000",-,"140,000",-,34.6,247,0
"Cleaning and Waste
Management","090502 Environment
Management and
Protection","200,800",-,"57,200",-,16.8,247,0
,"1003013960 Natural
Forests Conservation","185,000",-,"50,000",-,,247,0
"Environment Manage-
ment and Protection","100401 Environment
Management and
Protection","16,240,000",-,"16,240,000",-,100.0,247,0
Nema,"090401 Waste Man-
agement Services","63,656,160",-,"36,686,398",-,62.5,247,0
,"1001013960 General
Administration
Services","57,835,839",-,"37,587,642",-,,247,0
Sub Total,,"140,222,799","630,034,988","91,371,240","211,758,346",38.8,247,0
"Lands, Housing and Urban Development",,,,,,,247,0
"Land and Physical
Planning","010601 General
Administration and
Planning","30,673,028",-,"9,660,172",-,31.4,247,0
,"010604 County Spa-
tial Planning","3,065,000",-,"1,354,900",-,42.5,247,0
,"010605 Town Zoning
and Mapping",-,"100,630,548",-,"25,558,256",23.5,247,0
,"010607 Survey and
Mapping","405,000",-,"149,400",-,29.6,247,0
Housing Development,"010701 Improvement
and Development of
Human Settlements",-,-,-,-,,247,0
