Programme,Sub-Programme,"Approved Estimates
(Kshs)","Actual Expendi-
ture (Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
,Sub total,"1,013,311,659","657,714,348","355,597,311",65,153,0
"Early Years Education
(EYE) Services",EYE Teaching and Learning Material,"13,290,000","7,819,769","5,470,231",59,153,0
,"EYE Infrastructure Development
Services","50,000,000","13,601,585","36,398,415",27,153,0
,EYE Feeding and Nutrition Services,-,"21,421,354","41,868,646",34,153,0
,Sub total,"63,290,000","7,819,769","5,470,231",59,153,0
"Human Capital
Development and
Vocational Training","VTC Training and Learning Materials
Services","3,500,000",-,"3,500,000",-,153,0
,VTC Capitation Services,-,-,-,-,153,0
,Bursary and Scholarship Services,"215,000,000","124,000,000","91,000,000",58,153,0
,"Skills Development and Exhibition
Shows Services","1,200,000",-,"1,200,000",-,153,0
,"VTC Infrastructure Development
Services","35,000,000",-,"35,000,000",-,153,0
,Sub total,"254,700,000","124,000,000","130,700,000",49,153,0
,Total,"1,331,301,659","803,135,702","528,165,957",60,153,0
Department of Public Health and Medical Services,,,,,,153,0
"Policy planning and
administrative support
service","Policy, Planning and Monitoring
Services","17,140,000","3,331,260","13,808,740",19,153,0
,Administrative Support Services,"2,264,067,453","1,609,533,286","654,534,167",71,153,0
,Sub total,"2,281,207,453","1,612,864,546","668,342,907",71,153,0
"Preventive and
promotive health
services",Community health services,"89,620,000","67,740,560","21,879,440",76,153,0
,Disease control services,"6,000,000","2,492,460","3,507,540",42,153,0
,"Facility Infrastructure Improvement
Services","145,000,000","91,745,004","53,254,996",63,153,0
,Sub total,"240,620,000","161,978,024","78,641,976",67,153,0
"Curative and rehabili-
tative health services",Routine medical health services,"110,890,936","103,836,672","7,054,264",94,153,0
,Medical emergency response services,"4,000,000","574,000","3,426,000",14,153,0
,"Facility infrastructure improvement
services","275,000,000","197,002,369","77,997,631",72,153,0
,Sub total,"389,890,936","301,413,041","88,477,895",77,153,0
"Research and develop-
ment service",Research and surveillance services,"2,000,000",-,"2,000,000",-,153,0
,Capacity development services,"1,000,000",-,"1,000,000",-,153,0
,Sub total,"3,000,000",-,"3,000,000",-,153,0
,Total,"2,914,718,389","2,076,255,611","838,462,778",71,153,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,153,0
"General Administra-
tion Services","General administrative support
services","69,308,719","45,000,000","24,308,719",65,153,0
,Operation and maintenance Services,"10,774,623","1,252,390","9,522,233",12,153,0
,"General Office Infrastructure Develop-
ment Services","2,230,000","1,384,250","845,750",62,153,0
,Sub total,"82,313,342","47,636,640","34,676,702",58,153,0
"Lands and Physical
Planning Services","County Development Planning
Services","10,500,000",-,"10,500,000",-,153,0
,"Land Valuation and Registration Sup-
port Services","25,000,000",-,"25,000,000",-,153,0
,"County Land Acquisition and Manage-
ment Services","6,000,000",-,"6,000,000",-,153,0
,Sub total,"41,500,000",-,"41,500,000",-,153,0
"Housing and Urban
Development Services","Housing Infrastructure Development
Services","1,500,000",-,"1,500,000",-,154,0
,Settlements Upgrading Services,"1,029,020,992",-,"1,029,020,992",-,154,0
,Urban Areas Establishment Services,-,-,-,-,154,0
,Sub total,"1,030,520,992",-,"1,030,520,992",-,154,0
,Total,"1,154,334,334","47,636,640","1,106,697,694",4,154,0
"Department of Trade, Industry, Tourism, Cooperative Development and Marketing",,,,,,154,0
"Trade, Cooperative
and Entrepreneurship
Development Services","Enterprise development and promotion
services","42,000,000",-,"42,000,000",-,154,0
,Cooperative development services,"10,000,000",-,"10,000,000",-,154,0
,"Trade infrastructure and development
services","109,204,927","84,248,994","24,955,933",77,154,0
,Sub total,"161,204,927","84,248,994","76,955,933",52,154,0
"Tourism, Industrial
and Investment Pro-
motion Services",Value Chain Development Services,"36,000,000",-,"36,000,000",-,154,0
,Tourism promotion and marketing,"5,000,000",-,"5,000,000",-,154,0
,Investment promotion and facilitation,"3,000,000",-,"3,000,000",-,154,0
,Sub total,"44,000,000",-,"44,000,000",-,154,0
"Policy, Planning
and Administrative
Services",Policy and plans development services,"1,000,000",-,"1,000,000",-,154,0
,"Remuneration and welfare support
services","152,867,754","100,000,000","52,867,754",65,154,0
,Administrative Support Services,"11,391,538","2,592,000","8,799,538",23,154,0
,Sub total,"165,259,292","102,592,000","62,667,292",62,154,0
,Total,"370,464,219","186,840,994","183,623,225",50,154,0
"Department of Water, Sanitation, Irrigation, Environment, Energy and Climate Change",,,,,,154,0
"Water Supply and
Management Services",Urban Water Supply Services,-,-,-,-,154,0
,Rural Water Supply Services,"152,500,000","101,804,735","50,695,265",67,154,0
,Industrial Water Supply Services,-,-,-,-,154,0
,Maintenance of Water Supply Services,-,-,-,-,154,0
,Sub total,"152,500,000","101,804,735","50,695,265",67,154,0
Energy Services,Electrical Power Services,-,-,-,-,154,0
,Solar Power Services,"8,000,000",-,"8,000,000",-,154,0
,Renewable Energy Services,-,-,-,-,154,0
,Sub total,"8,000,000",-,"8,000,000",-,154,0
"Irrigation Develop-
ment and Manage-
ment Services","Irrigation Infrastructure Development
and Rehabilitation Services",-,-,-,-,154,0
,"Small Holder Community Irrigation
Support Services",-,-,-,-,154,0
,Sub total,-,-,-,-,154,0
"Environmental Man-
agement and Forestry
Development","Pollution and Waste Management
Services","21,000,000",-,"21,000,000",-,154,0
,Forestry Development Services,-,-,-,-,154,0
,Environmental Protection Services,-,-,-,-,154,0
,Climate Change Services,-,-,-,-,154,0
,Sub total,"21,000,000",-,"21,000,000",-,154,0
"Climate Change Man-
agement Services",Climate Change Governance,"11,000,000",-,"11,000,000",-,154,0
,"Climate Change Mitigation, Adaptation
and Resilience Building","251,984,141","11,000,000","240,984,141",4,154,0
,"Climate Resilience Investment Financ-
ing",-,-,-,-,154,0
,Sub total,"262,984,141","11,000,000","251,984,141",4,154,0
"General Administra-
tive Services",Administrative Support Services,"240,284,926","112,000,000","128,284,926",47,154,0
,Policy and Planning Services,"17,000,000","15,674,432","1,325,568",92,154,0
,Debt Management Services,,,,,154,0
,Sub total,"257,284,926","127,674,432","129,610,494",50,154,0
,Grand Total,"701,769,067","240,479,167","440,289,900",35,154,0
"Governance and Administration, Communication and Devolution",,,,,,155,0
"Governance, Adminis-
tration and Devolu-
tion Services",Governance and Administration,"339,495,656","219,241,957","120,253,699",65,155,0
,"Field Coordination and Administration
Services","29,400,000","20,827,255","8,572,745",71,155,0
,Compliance and Enforcement Services,"10,634,000",-,"10,634,000",-,155,0
,Devolution Support Services,"37,500,000",-,"37,500,000",-,155,0
,Sub total,"417,029,656","240,069,212","176,960,444",58,155,0
"Communication and
Public
Engagement",County Press Services,"12,120,000","4,020,140","8,099,860",33,155,0
,Media Relations,"7,610,890",-,"7,610,890",-,155,0
,County Visibility And Branding,"7,520,000","5,360,754","2,159,246",71,155,0
,Sub total,"27,250,890","9,380,894","17,869,996",34,155,0
"Stakeholder, Special
Projects and Disaster
Management",Special Projects Services,"10,320,000","3,683,116","6,636,884",36,155,0
,"Public Participation Coordination
Services","3,600,000","2,575,740","1,024,260",72,155,0
,"Disaster Prevention and Management
Services","4,800,000",-,"4,800,000",-,155,0
,Sub total,"18,720,000","6,258,856","12,461,144",33,155,0
,Total,"463,000,546","255,708,962","207,291,584",55,155,0
Executive Office of the Governor,,,,,,155,0
"Governance and coor-
dination services","Executive management and liaison
services","532,819,306","287,327,034","245,492,272",54,155,0
,"Field coordination and administration
services","14,181,600","2,061,954","12,119,646",15,155,0
,Sub total,"547,000,906","289,388,988","257,611,918",53,155,0
,,,,,,155,0
"Strategy and service
delivery improvement
services",Strategy and advisory services,"40,210,555","16,483,537","23,727,018",41,155,0
,"Information and Communication
Services","4,050,000","349,000","3,701,000",9,155,0
,Sub total,"44,260,555","16,832,537","27,428,018",38,155,0
"Public service ad-
ministration support
services","Human resource management and
development services","19,906,980","3,718,060","16,188,920",19,155,0
,Legal Services,"20,978,330","3,111,525","17,866,805",15,155,0
,Performance Management Services,-,-,-,-,155,0
,Sub total,"40,885,310","6,829,585","34,055,725",17,155,0
,Total,"632,146,771","313,051,110","319,095,661",50,155,0
Kendu Bay Municipal Board,,,,,,155,0
"Planning, Finance
and Administrative
Support Services",Policy and Planning Services,"1,057,052",-,"1,057,052",-,155,0
,"Personnel remuneration and develop-
ment services","3,803,640","2,400,000","1,403,640",63,155,0
,Administration and Support Services,"5,009,582",-,"5,009,582",-,155,0
,Sub total,"9,870,274","2,400,000","7,470,274",24,155,0
"Public Works and
Infrastructure Im-
provements Services",Transport Infrastructure Improvements,-,-,-,-,155,0
,Public facilities improvement services,"3,000,000",-,"3,000,000",-,155,0
,Environmental Improvement Services,-,,,,155,0
,Sub total,"3,000,000",-,"3,000,000",-,155,0
"Housing and Urban
Development Services",Environmental Improvement Services,"3,500,000",-,"3,500,000",-,155,0
,Land Use Management,"1,500,000",-,"1,500,000",-,155,0
,Sub total,"5,000,000",-,"5,000,000",-,155,0
,Total,"17,870,274","2,400,000","15,470,274",13,155,0
Mbita Municipal Board,,,,,,155,0
"Planning, Finance
and Administrative
Support Services",Policy and Planning Services,"3,803,640",-,"3,803,640",-,155,0
,"Personnel remuneration and develop-
ment services","3,731,949","2,000,000","1,731,949",54,155,0
,Administration and Support Services,"2,334,685",-,"2,334,685",-,155,0
