Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as
of 31 March 2025",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,S.P. Dumpsite Management,-,3.10,-,-,,-,77,0
,S.P. Waste Management and Control,-,336.00,-,207.18,,62,77,0
"Programme 3: Climate
Change Coordination and
Management",,22.00,233.49,15.34,151.11,70,65,77,0
,"Sp. Climate Change Resilience Invest-
ment Grant",-,153.49,-,151.11,,98,77,0
,Sp. Climate Change Fund,-,80.00,-,-,,-,77,0
,"S.P. Climate Change Institutional
Support Grant",22.00,-,15.34,-,70,-,77,0
"Programme 5: Tourism
Product Promotion, Market-
ing and Branding",,-,0.50,-,-,,-,77,0
,"S.P. County Tourism, Art and Cultur-
al Festival",-,0.50,-,-,,-,77,0
Sub Total,,67.17,573.09,48.37,358.30,72,63,77,0
Water and Natural Resources,,,,,,,,77,0
"Programme 1: General Ad-
ministration Planning and
Support Services",,55.5,-,42.0,-,76,-,77,0
,S.P. Human Resources Management,46.1,-,33.1,-,72,-,77,0
,Sp. Planning and Support Services,9.4,-,8.8,-,94,-,77,0
"Programme 2: Water and
Sanitation development and
management",,20.0,680.9,-,8.6,-,1,77,0
,S.P. Borehole Development,-,26.1,-,2.9,,11,77,0
,S.P. KOICA Counterpart Funding,20.0,-,-,-,-,-,77,0
,KOICA Grant,-,500.0,-,-,,-,77,0
,Ward-Based Projects,-,144.1,-,-,,-,77,0
,Pending Bills Water Projects,-,10.7,-,5.7,,53,77,0
Sub Total,,75.5,680.9,42.0,8.6,56,1,77,0
Finance and Economic Planning,,,,,,,,77,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,947.12,-,607.43,-,64,-,77,0
,"S.P. Human Resource Management
and Development",803.37,-,472.54,-,59,-,77,0
,S.P.: Administration Support Services,131.62,-,126.89,-,96,-,77,0
,S.P.: Staff Training and Development,12.13,-,8.00,-,66,-,77,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",78,0
"Programme 2: County Plan-
ning Management",,76.29,-,29.79,-,39,-,78,0
,"S.P.: Economic Policy and County
Planning Services",19.40,-,4.46,-,23,-,78,0
,S.P.: Budgeting,36.47,-,15.00,-,41,-,78,0
,S.P.: Monitoring and Evaluation,10.42,-,8.23,-,79,-,78,0
,S.P.: Statistics,10.00,-,2.09,-,21,-,78,0
"Programme 3: County Fi-
nancial Service Management",,91.67,-,67.25,-,73,-,78,0
,SP: Revenue Mobilisation,40.19,-,34.67,-,86,-,78,0
,S.P.: Accounting Services,18.34,-,13.06,-,71,-,78,0
,S.P.: Audit Services,16.61,-,7.74,-,47,-,78,0
,S.P.: Supply Chain Services,16.52,-,11.78,-,71,-,78,0
"Programme 4: Service
Delivery and Organisational
Transformation",,24.29,155.72,13.77,80.30,57,52,78,0
,S.P.: Special Coordination Unit,24.29,-,13.77,-,57,-,78,0
,S.P.: Emergency Fund,-,100.00,-,53.87,,54,78,0
,ICT Development,-,37.47,-,26.43,,71,78,0
,Health Management System,-,18.25,-,-,,-,78,0
Sub Total,,"1,139.37",155.72,718.24,80.30,63,52,78,0
Education and Vocational Training,,,,,,,,78,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,"1,207.03",-,886.37,-,73,-,78,0
,"S.P. Human Resource Management
and Development","1,197.26",-,881.67,-,74,-,78,0
,"S.P.: Administrative and Support
Services",9.78,-,4.71,-,48,-,78,0
"Programme 2: Education
improvement support
services",,255.00,-,128.69,-,50,-,78,0
,"S.P.: Bursary and Scholarship Support
Program",225.00,-,128.69,-,57,-,78,0
,S.P.: School Feeding Initiative,30.00,-,-,-,-,-,78,0
"Programme 3: Early
Childhood Development
Education",,-,121.15,-,38.90,,32,78,0
,"S.P.: Educational Materials and
Library Supplies",-,23.00,-,12.68,,55,78,0
,S.P.: Infrastructure Development,-,98.15,-,26.22,,27,78,0
"Programme 4: Vocational
Training and Development",,8.50,40.00,1.23,9.15,14,23,78,0
,S.P.: Administration Support Services,8.50,-,1.23,-,14,-,78,0
,S.P.: Tuition Support Initiative,-,15.00,-,-,,-,78,0
,S.P.: Infrastructure Development,-,25.00,-,9.15,,37,78,0
Sub Total,,"1,470.53",161.15,"1,016.29",48.05,69,30,78,0
County Public Service Board,,,,,,,,78,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,29.03,16.02,14.73,8.00,51,50,78,0
,S.P.: Administrative Services,29.03,-,14.73,-,51,,78,0
,S.P.: Infrastructure Development,-,16.02,-,8.00,,50,78,0
"Programme 2: Human
Resource Management and
Development",,15.10,-,9.41,-,62,-,78,0
,S.P.: Personnel Remuneration,11.71,-,8.43,-,72,-,78,0
,S.P.: Human Resource Development,3.39,-,0.98,-,29,-,78,0
"Programme 3: Governance
and National values",,5.78,-,-,-,-,-,78,0
,S.P.: Quality Assurance,2.06,-,-,-,-,-,78,0
,S.P.: Ethics Governors and National,3.72,-,-,-,-,-,78,0
Sub Total,,49.91,16.02,24.14,8.00,48,50,78,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",79,0
"Trade, Energy and Industrialisation",,,,,,,,79,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,88.61,-,47.82,-,54,-,79,0
,"S.P.: Human Resource Development
and Management",23.42,-,19.02,-,81,-,79,0
,"S.P.: Administrative, Planning and
Support Services",65.19,-,28.81,-,44,-,79,0
"Programme 2: Trade and
Enterprise Development",,-,30.00,-,20.82,,69,79,0
,S.P.: Business Loan,-,30.00,-,20.82,,69,79,0
"Programme 3: Market Infra-
structure Development and
Management",,-,153.38,-,51.28,,33,79,0
,SP 3.1. Market Infrastructure,-,80.00,-,44.33,,55,79,0
,SP 3.2. Ward-Based Projects,-,59.47,-,-,,-,79,0
,SP 3.3. Supplier Credit,-,13.92,-,6.96,,50,79,0
"Programme 4: Energy De-
velopment and Management",,-,65.03,-,10.00,,15,79,0
,S.P.: Energy access,-,20.03,-,10.00,,50,79,0
,REREC,-,45.00,-,-,,-,79,0
"Programme 5: Industrial In-
vestment and Development",,-,80.00,-,40.00,,50,79,0
,S.P.: Industrial Development,-,80.00,-,40.00,,50,79,0
Sub Total,,88.61,328.42,47.82,122.11,54,37,79,0
Gender and Culture,,,,,,,,79,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,68.62,-,54.91,-,80,-,79,0
,"S.P.: Human Resource Development
and Management",51.29,-,38.32,-,75,-,79,0
,"S.P.: Administrative, Planning and
Support Services",17.33,-,16.60,-,96,-,79,0
"Programme 2: Cultural De-
velopment and Management",,4.00,18.16,-,11.00,-,61,79,0
,Communities Cultural Festivals,2.00,-,-,-,-,-,79,0
,"Liquor and Licensing Enforcement
Exercise",2.00,-,-,-,-,-,79,0
,Infrastructure Development,-,18.16,-,11.00,,61,79,0
"Programme 3: Gender
Equality and Empowerment
of Vulnerable Groups",,2.50,10.00,-,-,-,-,79,0
,Gender and Disability Mainstreaming,2.50,-,-,-,-,-,79,0
,Women Empowerment Fund,-,5.00,-,-,,-,79,0
,Disability Empowerment Fund,-,5.00,-,-,,-,79,0
Sub Total,,75.12,28.16,54.91,11.00,73,39,79,0
Youth and Sports,,,,,,,,79,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,23.01,-,12.35,-,54,-,79,0
,"S.P.: Human Resource Development
and Management",13.15,-,7.79,-,59,-,79,0
,"S.P.: Administrative, Planning and
Support Services",9.86,-,4.56,-,46,-,79,0
"Programme 2: Sports Facility
Development and Manage-
ment",,-,48.82,-,44.24,-,91,79,0
,Infrastructure Development,-,48.82,-,44.24,-,91,79,0
"Programme 3: Youth Talent
Development and Manage-
ment",,-,-,-,-,-,-,79,0
,Youth Empowerment Fund,-,-,-,-,-,-,79,0
Sub Total,,23.01,48.82,12.35,44.24,54,91,79,0
"Lands, Urban and Physical Planning",,,,,,,,79,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,53.38,-,31.72,-,59,-,79,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",80,0
,"S.P.: Human Resource Development
and Management",33.25,-,23.89,-,72,-,80,0
,"S.P.: Administrative, Planning and
Support Services",20.12,-,7.82,-,39,-,80,0
"Programme 2: Land Devel-
opment and Management",,-,126.79,-,8.65,,7,80,0
,S.P.: Land Acquisition,-,95.00,-,1.50,,2,80,0
,S.P.: Physical and Land Use Plans,-,2.27,-,-,,-,80,0
,S.P.: Auction Ring,-,2.50,-,-,,-,80,0
,Supplier Credit,-,1.22,-,-,,-,80,0
,Ward-Based Projects,-,25.80,-,7.15,,28,80,0
Sub Total,,53.38,126.79,31.72,8.65,59,7,80,0
Housing,,,,,,,,80,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,52.66,-,46.11,-,88,-,80,0
,"S.P.: Human Resource Development
and Management",11.41,-,7.02,-,61,-,80,0
,"S.P.: Administrative, Planning and
Support Services",3.74,-,1.60,-,43,-,80,0
,KUSP UIG,37.50,-,37.50,-,100,-,80,0
"Programme 2: Housing
Development and Human
Settlement",,-,427.30,-,96.11,-,22,80,0
,"S.P.: Housing Infrastructural Devel-
opment",-,129.90,-,96.11,-,74,80,0
,S.P.: Housing Financing Services,-,297.40,-,-,-,-,80,0
Sub Total,,52.66,427.30,46.11,96.11,88,22,80,0
Bungoma Municipality,,,,,,,,80,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,55.95,-,30.66,-,55,,80,0
,"S.P.: Human Resource Development
and Management",20.24,-,17.01,-,84,,80,0
,"S.P.: Administrative, Planning and
Support Services",26.96,-,6.57,-,24,,80,0
,KUSP UIG,8.75,-,7.08,-,81,,80,0
"Programme 2: Urban Land
Use, Policy and Planning",,-,16.00,-,16.00,,100,80,0
,SP: Urban Land Planning,-,16.00,-,16.00,,100,80,0
"Programme 3: Urban Infra-
structure Development and
Management",,-,80.57,-,25.95,,32,80,0
,"S.P.: Urban Transport and Infrastruc-
ture Development",-,80.57,-,25.95,,32,80,0
"Programme 4: Urban En-
vironment, Health, Water,
Culture and Human Social
Services",,-,2.50,-,-,,-,80,0
,"S.P.: Urban Environment and Public
Health Services",-,2.50,-,-,,-,80,0
Sub Total,,55.95,99.07,30.66,41.95,55,42,80,0
Kimilili Minucipality,,,,,,,,80,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,42.70,-,19.59,-,45.9,,80,0
,"SP: Human Resource Development
and Management",16.32,-,12.92,-,79,,80,0
,"S.P.: Administrative, Planning and
Support Services",17.63,-,6.67,-,38,,80,0
,KUSP UIG,8.75,-,-,-,-,,80,0
"Programme 2: Urban Infra-
structure Development and
Management",,-,57.98,-,2.94,,5,80,0
,"S.P.: Infrastructure, Housing and
Public Works",-,57.98,-,2.94,,5,80,0
Sub Total,,42.70,57.98,19.59,2.94,46,5,80,0
