Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
Programme 9.,,-,"514, 900, 000",-,"402, 149, 415",-,,93,0
,"SP. 1. Road infrastructure devel-
opment",-,"514, 900, 000",-,"402, 149, 415",-,78,93,0
Programme 10.,,-,"9, 700, 000",-,"993, 725",-,-,93,0
,"SP. 2. Mechanical and fabrication
workshop",-,"9, 700, 000",-,"993, 725",-,10,93,0
,Sub total,"157, 697, 446","529, 600, 000","11, 493, 458","403, 143, 140",7,76,93,0
Department of Public Service Management.,,,,,,,,93,0
"Programme 4. Gen-
eral admin & support
services.",,"581, 267, 482",-,"229, 647, 833",-,,,93,0
,"SP. 1. General administration &
support service","581, 267, 482",-,"229, 647, 833",-,40,-,93,0
,Sub total,"581, 267, 482",-,"229, 647, 833",-,40,-,93,0
"Department of Lands, housing and urban development.",,,,,,,,93,0
Programme 1.,,"145, 734, 770",-,"58, 228, 638",-,-,-,93,0
,"SP. 1. General administration &
support services","145, 734, 770",-,"58, 228, 638",-,40,-,93,0
Programme 7.,,-,"24, 000, 000",-,-,-,-,93,0
,SP. 2. Housing development,-,"20, 000, 000",-,-,-,-,93,0
,SP. 3. Housing management,-,"4, 000, 000",-,-,-,-,93,0
Programme 17.,,-,"21, 750, 000",-,"750, 000",-,-,93,0
,"SP. 2. Land use administration and
management",-,"21, 750, 000",-,"750, 000",-,3,93,0
Programme 18.,,-,"28, 500, 000",-,"25, 500, 000",-,-,93,0
,SP. 1. Urban management,-,"21, 000, 000",-,"21, 000, 000",-,100,93,0
,"SP. 2. Urban infrastructure develop-
ment & mgt",-,"7, 500, 000",-,"4, 500, 0000",-,60,93,0
,Sub total,"145, 734, 770","74, 250, 000","51, 596, 279","26, 250, 000",40,35,93,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,94,0
"Department of Water, environment, irrigation, natural resources and climate change.",,,,,,,,94,0
Programme 1.,,"136, 125, 655",-,"19, 883, 056",-,-,-,94,0
,"SP. 1. General administration &
support services","136, 125, 655",-,"19, 883, 056",-,15,-,94,0
Programme 4.,,-,"230, 950, 000",-,"50, 710, 734",-,-,94,0
,"SP. 3. Urban water infrastructure
development",-,"20, 000, 000",-,-,-,-,94,0
,"SP. 4. Rural water infrastructure
development",-,"210, 950, 000",-,"50, 710, 734",-,24,94,0
Programme 6.,,-,"11, 600, 000",-,-,-,,94,0
,"SP. 2. Afforestation and Agrofor-
estation",-,"5, 000, 000",-,-,-,-,94,0
,"SP. 3. Catchment & watershed
conservation",-,"6, 600, 000",-,-,-,-,94,0
Programme 7.,,-,"486, 101, 083",-,"146, 259, 946",-,,94,0
,"SP. 1. Climate change mitigation &
resilience",-,"486, 101, 083",-,"146, 259, 946",-,30,94,0
Programme 8.,,-,"57, 400, 000",-,-,-,,94,0
,"SP. 1. Irrigation infrastructure
development",-,"5, 000, 000",-,-,-,-,94,0
,"SP. 2. Irrigation farmer & institu-
tion support",-,"2, 000, 000",-,"998, 9000",-,5,94,0
,SP. 3. Renewable energy technology,-,"13, 500, 000",-,"7, 568, 800",-,56,94,0
,SP. 4. Rural electrification,-,"36, 900, 000",-,"2, 989, 000",-,8,94,0
,Sub total,"136, 125, 655","786, 051, 083","19, 883, 056","208, 527, 380",15,27,94,0
Department of Health Services,,,,,,,,94,0
Programme 1.,,"2,051,873,319",-,"1,588,676,955",-,-,-,94,0
,"S.P. 1. General administration &
support services","2,051,873,319",-,"1,588,676,955",-,77,-,94,0
Programme 5.,,-,"241, 000, 000",-,"28, 186, 882",-,-,94,0
,"SP. 1. Diagnostic services in high-
er-level facility",-,"10, 000, 000",-,"7, 991, 978",-,80.0,94,0
,"SP. 3. Infrastructure development
tier 3 facilities",-,"191, 000, 000",-,"12, 106, 580",-,6,94,0
,"SP. 4. Ambulance and referral
services",-,"15, 000, 000",-,-,-,-,94,0
,"SP. 5. Higher-level hospital equip-
ment",-,"25, 000, 000",-,"8, 088, 325",-,32.4,94,0
Programme 6.,,-,"137, 300, 000",-,"7, 748, 262",-,,94,0
,"SP. 8. Infrastructure development in
tier 2 level",-,"132, 900, 000",-,"3, 363, 452",-,3,94,0
,"SP. 9. Lower-level hospital equip-
ment",-,"4, 400, 000",-,"4, 384, 810",-,99.7,94,0
,Sub total,"2,051,873,319","378, 300, 000",,"35, 935, 145",77,10,94,0
Department of County Public Service Board.,,,,,,,,94,0
Programme 1.,,"119, 308, 935",-,"62, 511, 158",-,-,-,94,0
,"SP. 1. General administration &
support services","119, 308, 935",-,"62, 511, 158",-,52,-,94,0
,Sub total,"119, 308, 935",-,"62, 511, 158",-,52,-,94,0
Department of the Office of the Governor.,,,,,,,,94,0
Programme 1.,,"296, 330, 901",-,"122, 347, 427",-,-,-,94,0
,"SP. 1. General administration &
support services","296, 330, 901",-,"122, 347, 427",-,41,-,94,0
