Programme,Sub-Programme,"Approved Budget
(Kshs.)",col_3,"Total Actual Payments
(Kshs.)",col_5,% Absorption,col_7,page_number,table_index
BOROUGHS AND PUBLIC ADMINISTRATION,,,,,,,,464,0
"General Ad-
ministrative
Services","General Administration
& Support Services","253,708,318","185,000,000","159,334,228","132,757,283",62.8,71.8,464,0
,,"4,900,678","20,000,000","1,447,600",-,29.5,-,464,0
,,"2,131,099",-,"493,010",-,23.1,-,464,0
"Performance
Management
and Public
Service
Delivery","Performance Contracting
Management","5,451,669",-,"3,471,842",-,63.7,-,464,0
,,"3,320,894",-,-,-,-,-,464,0
"Coordi-
nation of
executive
services","Executive Office Manage-
ment Services","173,702,210",-,"104,977,839",-,60.4,-,464,0
,,"60,923,391",-,"14,897,206",-,24.5,-,464,0
,,"8,123,119",-,-,-,-,-,464,0
,"Intergovernmental Rela-
tions Services","8,529,277",-,"1,035,335",-,12.1,-,464,0
,"Donor Coordination
Services","31,680,163",-,"5,076,800",-,16.0,-,464,0
"Coordina-
tion of bor-
oughs and
devolved
units","Boroughs, Sub County
Administration & coordi-
nation of devolved","574,954,189","387,000,000","392,985,129","49,137,931",68.4,12.7,464,0
"Security and
Safety Man-
agement",Inspectorate,"2,253,192,578","35,000,000","1,568,000,183","26,254,733",69.6,75.0,464,0
,Investigative Services,"50,018,859",-,"31,736,023",-,63.4,-,464,0
,,Rec,Dev,Rec,Dev,Rec,Dev,465,0
"Disaster
Management
& Coordina-
tion","General Administrative
Services","325,075,284",-,"210,710,953",-,64.8,-,465,0
,"Firefighting and rescue
services","110,796,300","120,000,000","26,278,844","48,984,578",23.7,40.8,465,0
,Ambulance Services,"9,922,415",-,-,-,-,-,465,0
,Disaster Risk Reduction,"31,252,645","15,000,000","3,741,900",-,12.0,-,465,0
"Internal
Audit",Audit Services,"66,573,812","10,000,000","37,289,994",-,56.0,-,465,0
,,"3,974,256,900","772,000,000","2,561,476,887","257,134,524",64.5,33.3,465,0
COUNTY ATTORNEY,,,,,,,,465,0
"Management
of legal
affairs",Legal services,"253,746,650","15,000,000","250,290,489",-,98.6,-,465,0
,,"253,746,650","15,000,000","250,290,489",-,98.6,-,465,0
INNOVATION AND DIGITAL ECONOMY,,,,,,,,465,0
"General Ad-
ministration
Planning
and Support
Services","General Administration,
Planning and Support
Services","99,537,984",-,"66,531,333",-,66.8,-,465,0
"Digital
Economy
and Start-
Ups",Digital Economy,"3,218,468",-,"933,377",-,29.0,-,465,0
,E-Learning,"4,249,248",-,-,-,-,-,465,0
,Start ups,"6,341,587",-,-,-,-,-,465,0
"Smart Nai-
robi",Smart Nairobi,"13,809,302","263,974,624","3,425,091",-,24.8,-,465,0
"ICT Infra-
structure
Connectivity","ICT Infrastructure Con-
nectivity","2,640,014",-,-,-,-,-,465,0
,Information Security,"61,575,446",-,"3,987,405",-,6.5,-,465,0
,,"191,372,049","263,974,624","74,877,206",-,39.1,-,465,0
"HEALTH, WELLNESS AND NUTRITION",,,,,,,,465,0
"Public
Health","HIV/AIDS Prevention &
Control Unit","1,624,625",-,-,-,-,-,465,0
,TB Control,"487,389",-,-,-,-,-,465,0
,"Malaria Control & Other
Communicable Diseases","2,802,477",-,"639,200",-,22.8,-,465,0
,"Environmental / Public
Health","4,061,559",-,"120,800",-,3.0,-,465,0
,"Health Policy and Reg-
ulation","4,061,559","40,000,000",-,-,-,-,465,0
,Coroner Services Unit,"6,092,339","65,000,000","3,624,600",-,59.5,-,465,0
,"Nairobi County Public
Health Emergency
Response","2,396,320",-,-,-,-,-,465,0
"Health
Facilities","County Referral Hos-
pitals","5,203,078","182,242,958",-,"2,045,502.00",-,1.1,465,0
,,"7,003,078","32,859,175",-,-,-,-,465,0
,,"6,203,078","194,100,000",-,-,-,-,465,0
,,"5,284,309","262,165,646",-,-,-,-,465,0
,,"2,403,078","239,839,281",-,-,-,-,465,0
,,,"81,446,000",-,-,-,-,465,0
,"Health planning and
financing","12,619,977","187,979,500","584,800",-,4.6,-,465,0
,"Health Centres & Dis-
pensaries","60,027,723","699,771,941",-,-,-,-,465,0
,,Rec,Dev,Rec,Dev,Rec,Dev,466,0
,"Pumwani School of
Nursing","812,312","52,482,836",-,-,-,-,466,0
,Health Commodities,"25,000,000",-,"2,385,000",-,9.5,-,466,0
"Medical
services",Primary Health Care,"34,684,837",-,"357,900",-,1.0,-,466,0
,"Nairobi Medical Insur-
ance",,,-,-,-,-,466,0
,"Reproductive Health &
Maternal Health (RM-
NCAH)","28,645,296",-,"7,057,800",-,24.6,-,466,0
,Clinical Services,"111,055,832",-,"5,533,497",-,5.0,-,466,0
,,"27,481,661",-,-,-,-,-,466,0
,"Research, Quality Assur-
ance & Standards Unit","1,624,624",-,-,-,-,-,466,0
"Wellness and
Nutrition",Nutrition,"4,873,873",-,-,-,-,-,466,0
,Wellness,"4,061,560",-,-,-,-,-,466,0
,Nutrition,"808,082,502",-,"684,117,474",-,84.7,-,466,0
"General ad-
ministration,
planning
and support
services","Administration/Human
Resource for Health","7,009,051,798",-,"5,221,095,996",-,74.5,-,466,0
,,"8,175,644,884","2,037,887,337","5,925,517,067","2,045,502",72.5,0.1,466,0
BUILT ENVIRONMENT & URBAN PLANNING,,,,,,,,466,0
"General Ad-
ministrative
Services","Administration, Planning
& Support Services","351,619,698",-,"271,640,676",-,77.3,-,466,0
"Urban De-
velopment &
Planning","Urban Planning Com-
pliance & Enforcement
Services","10,153,899",-,"686,000",-,6.8,-,466,0
"Land Man-
agement and
Property
Management","Land Survey, GIS and
Mapping Services","90,153,900","217,000,000","15,323,003",,17.0,-,466,0
,,"50,000,000",-,"3,787,600",-,7.6,-,466,0
"Housing De-
velopment
and Building
Services","Urban Renewal; Housing
and Urban Renewal
Services","8,448,045","865,000,000","1,053,500","606,378,815",12.5,70.1,466,0
,Building services,"1,705,855",,-,-,-,-,466,0
,,"512,081,397","1,082,000,000","292,490,779","606,378,815",57.1,56.0,466,0
MOBILITY AND WORKS,,,,,,,,466,0
"General Ad-
ministration,
Planning
And Support
Services","General Administration,
Planning And Support
Services","1,167,595,976",-,"648,425,368",-,55.5,-,466,0
Works,"Road and stormwater
drainage","5,564,336","1,449,946,768",-,"387,988,448",-,26.8,466,0
,"Electrical engineering
services","4,061,559","100,000,000",-,"98,013,372",-,98.0,466,0
,Building works services,"3,801,619","8,000,000",-,-,-,-,466,0
Mobility,Transportation,"395,127,604","488,735,000","151,220,173",-,38.3,-,466,0
,"Traffic Management
Services",,,,,-,-,466,0
,"Mechanical Engineering
Services (Automotive
section)","1,015,390","134,350,000",-,-,-,-,466,0
,,"1,577,166,484","2,181,031,768","799,645,541","486,001,820",50.7,22.3,466,0
,,Rec,Dev,Rec,Dev,Rec,Dev,467,0
TALENT SKILLS DEVT & CARE,,,,,,,,467,0
"General ad-
ministration,
planning
and support
services","General Administration
& Support Services","1,781,860,965",-,"684,603,082",-,38.4,-,467,0
"Education
services","Early Childhood Devel-
opment Centres","100,000,000","510,000,000","100,000,000","9,168,534",100.0,1.8,467,0
,"Technical and Vocational
Training","1,507,931","58,933,024",-,-,-,-,467,0
"Social Ser-
vices","General Administration
& Support Services","177,649,294",-,"124,033,036",-,69.8,-,467,0
,,"1,303,208",-,-,-,-,-,467,0
,"Gender and Community
Empowerment","814,504",-,-,-,-,-,467,0
,"Social welfare and care
for the Aged","2,321,339",-,"205,200",-,8.8,-,467,0
,"Rescue and Rehabilita-
tion of Children Services","21,832,637","55,000,000","571,166",-,2.6,-,467,0
"Youth, Tal-
ent & Sports","General Administration
& Support Services","13,515,939",-,"9,542,771",-,70.6,-,467,0
,"Youth Empowerment and
Promotion","2,117,714",-,"294,200",-,13.9,-,467,0
,Recreational Services,"1,425,384","120,000,000","2,262,615",-,158.7,-,467,0
,"Development and pro-
motion of sports","6,304,266","825,500,000","1,579,730","303,950,424",25.1,36.8,467,0
,"Promotion of Library and
Information Services","712,692","5,000,000","114,800",-,16.1,-,467,0
,,"2,111,365,873","1,574,433,024","923,206,599","313,118,959",43.7,19.9,467,0
BUSINESS & HUSTLER OPPORTUNITIES,,,,,,,,467,0
"General Ad-
ministration
Planning
and Support
Services","Business & Hustler Op-
portunities Headquarters","522,944,929",-,"380,625,242",-,72.8,-,467,0
"Co-operative
Devel-
opment
and Audit
Services
Services","Co-operative Develop-
ment","6,498,496",-,"382,400",-,5.9,-,467,0
,Co-operative Audit,"4,061,560",-,"174,400",-,4.3,-,467,0
"Trade De-
velopment
and Market
Services","Markets Department
Headquarters","2,640,015","994,000,000","104,000","287,388,596",3.9,28.9,467,0
,"Trade Development
Department","42,640,013","540,000,000","3,600,000",-,8.4,-,467,0
"Licens-
ing and
Fair-Trade
Practices","Weights & Measures
Services","2,640,012",,-,-,-,-,467,0
,Trade Licensing,"2,640,015",,"295,200",-,11.2,-,467,0
,"Betting & Gaming Ser-
vices ; Betting & Gaming
Services","17,058,551","100,000,000","278,400",-,1.6,-,467,0
"Business &
hustler op-
portunities","Micro, Small and
Medium Enterprises
development","12,996,991",,"289,600",-,2.2,-,467,0
,,"614,120,582","1,634,000,000","385,749,242","287,388,596",62.8,17.6,467,0
