Programme,Sub-Programme,"Revised Approved Estimates
(Kshs)",col_3,Actual Expenditure (Kshs),col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,Street Lighting,"125,700,000","13,043,030","95,550,000",0,76,0,480,0
,Sub Total,"138,702,785","2,110,164,000","95,550,000","109,774,603",69,5,480,0
Naivasha Municipality,,,,,,,,480,0
"Administration,
Planning, and
Support Services",Administration and Planning,"15,429,127",0,"1,009,497",0,7,0,480,0
,Personnel Services,"14,072,662",0,"4,268,921",0,30,0,480,0
,Financial Services,,0,0,0,0,0,480,0
,Sub Total,"29,501,789",0,"5,278,418",0,18,0,480,0
"Naivasha Municipal
Services",Planning and Infrastructure,0,"38,623,003",0,"26,409,455",0,68,480,0
,"Environmental Management and
Sanitation",0,"20,000,000",0,0,0,0,480,0
,Naivasha Social Services,"8,176,530",0,"296,000",0,4,0,480,0
,"Tourism, Investment and Trade","7,000,000",0,"135,800",0,2,0,480,0
,Sub Total,"15,176,530","58,623,003","431,800","26,409,455",3,45,480,0
Office of the County Attorney,,,,,,,,480,0
"Administration,
Planning and Sup-
port Services",Administration Services,"13,320,000","3,000,000","857,695",0,6,0,480,0
,Personnel Services,"28,471,782",0,"13,982,802",0,49,0,480,0
,Financial Services,"600,000",0,0,0,0,0,480,0
,Sub Total,"42,391,782","3,000,000","14,840,497",0,35,0,480,0
"Provision of
Advisory Services",Legal Advisory Services,"8,472,474",0,"50,000",0,1,0,480,0
,Sub Total,"8,472,474",0,"50,000",0,1,0,480,0
Nakuru City,,,,,,,,480,0
"Administration,
Planning, and
Support Services",City Administrative Services,"34,832,848",0,"3,402,932",0,10,0,480,0
,,Rec,Dev,Rec,Dev,Rec,Dev,481,0
,Personnel Services,"33,209,942",0,"18,607,884",0,56,0,481,0
,Financial Services,"600,000",0,"25,000",0,4,0,481,0
,Sub Total,"68,642,790",0,"22,035,816",0,32,0,481,0
"Nakuru City
Services.","Infrastructure Development and
City Planning",,"63,511,691",0,0,0,0,481,0
,"Nakuru City Environmental Man-
agement","824,495",0,"50,000",0,6,0,481,0
,City Trade Markets and Investment,"7,000,000",0,0,0,0,0,481,0
,Nakuru City Social Services,"9,416,848",0,"219,950",0,2,0,481,0
,Sub Total,"17,241,343","63,511,691","269,950",0,2,0,481,0
"Trade, Cooperatives, Tourism and Tourism",,,,,,,,481,0
"Administration,
Planning, and
Support Services",Administration Services,"19,472,370",0,"3,944,200",0,20,0,481,0
,Personnel Services,"114,721,792",0,"57,468,237",0,50,0,481,0
,Sub Total,"134,194,162",0,"61,412,437",0,46,0,481,0
"Cooperative
Development and
Management","Development and Marketing of
Cooperatives",0,0,0,0,0,0,481,0
,SACCO Empowerment,"25,000,000",0,0,0,0,0,481,0
,"Cooperative Leadership and Gov-
ernance","12,195,000",0,"1,319,530",0,11,0,481,0
,"Management of Housing and In-
vestment Cooperatives","500,000",0,0,0,0,0,481,0
,Sub Total,"37,695,000",0,"1,319,530",0,4,0,481,0
"Commerce and
Enterprises",MSMES Development Services,"33,970,000",0,"1,111,800",0,3,0,481,0
,Industrialisation and Investment,0,"116,631,579",0,0,0,0,481,0
,Consumer Protection,"3,600,000",0,"425,000",0,12,0,481,0
,Promotion of Responsible Gaming,"5,300,000",0,"507,185",0,10,0,481,0
,Sub Total,"42,870,000","116,631,579","2,043,985",0,5,0,481,0
"Market Rehabilita-
tion and Develop-
ment","Market Development and Rehabil-
itation",0,"380,610,384",0,"119,620,839",0,31,481,0
,Market Service Delivery,"4,830,000",0,"1,093,653",0,23,0,481,0
,Sub Total,"4,830,000","380,610,384","1,093,653","119,620,839",23,31,481,0
"Promotion of Tour-
ism and Markets",Promotion of Local Tourism,"6,940,000",0,"949,700",0,14,0,481,0
,Sub Total,"6,940,000",0,"949,700",0,14,0,481,0
"Alcoholic Drinks
Control",Liquor Control,"4,650,000",0,"353,200",0,8,0,481,0
,"Rehabilitation of Persons Depen-
dent on Alcohol","300,000",0,0,0,0,0,481,0
,Sub Total,"4,950,000",0,"353,200",0,7,0,481,0
"Management of
County Bus Ter-
minus","Management of County Bus Ter-
minus","2,000,000",0,0,0,0,0,481,0
,Sub Total,"2,000,000",0,0,0,0,0,481,0
"Development of
Socio-Cultural Di-
versity and Promo-
tion of Responsible
Gaming",Cultural Development Activities,"7,040,000",0,"797,000",0,11,0,481,0
,Socio0Cultural Development,0,0,0,0,0,0,481,0
,Sub Total,"7,040,000",0,"797,000",0,11,0,481,0
"Agriculture, Livestock, Fisheries and Veterinary Services",,,,,,,,481,0
Administration,Administrative Services,"26,753,623","175,066,226","5,118,014","30,488,107",19,17,481,0
,Human Resources Services,"393,341,414",0,"222,690,946",0,57,0,481,0
,Sub Total,"420,095,037","175,066,226","227,808,959","30,488,107",54,17,481,0
"Livestock Resource
Management and
Development","Livestock Production Productivity
and Incomes","23,009,430","38,280,000","495,500",0,2,0,481,0
,"SP 2.2: Livestock Output and Value
Addition",0,"11,802,360",0,0,0,0,481,0
,,Rec,Dev,Rec,Dev,Rec,Dev,482,0
,"Livestock Extension Service De-
livery",0,0,0,0,0,0,482,0
,"Food Safety and Livestock Prod-
ucts Development",0,"6,610,067",0,0,0,0,482,0
,"Livestock Disease Management
and Control",0,0,0,0,0,0,482,0
,Sub Total,"23,009,430","56,692,427","495,500",0,2,0,482,0
"Fisheries De-
velopment and
Management",Aquaculture Development,0,0,0,0,0,0,482,0
,"Development of Capture Fisheries
Resources",0,0,0,0,0,0,482,0
,"Fish Quality Assurance, Value Ad-
dition and Marketing","4,228,390",0,"450,240",0,11,0,482,0
,Sub Total,"4,228,390",0,"450,240",0,11,0,482,0
"Crop Development
and Management","Agriculture Extension, Research
and Training",0,0,0,0,0,0,482,0
,"Crop Production and Food Secu-
rity","12,640,248","590,357,858","640,260","3,000,000",5,1,482,0
,"Farm Land Utilization, Conserva-
tion, Mechanization Services and
Climate Smart Agriculture",0,0,0,0,0,0,482,0
,"Agribusiness Development and
Marketing",0,0,0,0,0,0,482,0
,Agri0Nutrition,0,0,0,0,0,0,482,0
,Sub Total,"12,640,248","590,357,858","640,260","3,000,000",5,1,482,0
"Lands, Physical Planning, Housing and Urban Development",,,,,,,,482,0
"Administration,
Planning and Sup-
port Services",Administrative Services,"36,304,099",0,"7,264,876",0,20,0,482,0
,Personnel Services,"111,457,581",0,"61,186,673",0,55,0,482,0
,Sub Total,"147,761,680",0,"68,451,549",0,46,0,482,0
"Land Use Planning
and Survey",Land Use Planning,"17,245,000","177,254,951",0,0,0,0,482,0
,Survey and Mapping,0,"8,000,000",0,0,0,0,482,0
,Sub Total,"17,245,000","185,254,951",0,0,0,0,482,0
"Urban Develop-
ment",Urban Institution Framework,"14,600,000","4,964,411",0,"2,000,000",0,40,482,0
,"Development of Urban Infrastruc-
ture",0,"844,140,203",0,0,0,0,482,0
,Sub Total,"14,600,000","849,104,614",0,"2,000,000",0,0,482,0
"Housing and Estate
Management",Maintenance of County Estates,"8,985,000",,,"2,442,400",0,0,482,0
,Sub Total,"8,985,000",0,0,"2,442,400",0,0,482,0
"Water, Energy, Environment, Natural Resources and Climate Change",,,,,,,,482,0
"Administration,
Planning & Support
Services",Administration Services,"22,740,513",0,"2,152,649",0,9,0,482,0
,Human Resource,"247,900,174",0,"148,274,810",0,60,0,482,0
,Financial Services,"1,250,000",0,0,0,0,0,482,0
,Sub Total,"271,890,687",0,"150,427,459",0,55,0,482,0
"Water and Sewer-
age Management",Water Services Provision,"4,055,000","808,266,867","211,350","10,250,960",5,1,482,0
,Sewerage Services Provision,"625,000","6,435,119",0,0,0,0,482,0
,Sub Total,"4,680,000","814,701,986","211,350","10,250,960",5,1,482,0
"Environmental
Management",Pollution Control,0,0,0,0,0,0,482,0
,Solid Waste Management,"5,477,500",0,"55,350",0,1,0,482,0
,"Regulation and Protection of Ri-
parian Land","1,000,000",0,0,0,0,0,482,0
,"Natural Resource Mapping and
Management","1,000,000",0,0,0,0,0,482,0
,Sub Total,"7,477,500",0,"55,350",0,1,0,482,0
,,Rec,Dev,Rec,Dev,Rec,Dev,483,0
"Climate Change
Resilience and
County Energy
Development",Climate Change Resilience,"39,103,450","572,942,270","714,450","105,105,543",2,18,483,0
,County Energy Development,0,"5,000,000",0,0,0,0,483,0
,Sub Total,"39,103,450","577,942,270","714,450","105,105,543",2,18,483,0
"Public Service, Training and Devolution",,,,,,,,483,0
"Administration,
Planning and Sup-
port Service",Administration Service,"61,628,000",0,"33,293,008",0,54,0,483,0
,Personal Service,"687,123,413",0,"371,201,495",0,54,0,483,0
,Financial Service,0,0,0,0,0,0,483,0
,"Mainstream Workplace HIV/
AIDS, Alcohol & Drug Abuse
Control","1,183,876",0,"639,560",0,54,0,483,0
,"Rehabilitation/Construction of
Sub-County Offices",0,"46,799,215",0,0,0,0,483,0
,Performance Contracting,"11,784,998",0,"6,366,555",0,54,0,483,0
,Sub Total,"761,720,287","46,799,215","411,500,618",0,54,0,483,0
"Human Resource
Management and
Development",Performance Appraisal System,"11,784,998",0,"6,366,555",0,54,0,483,0
,"Staff Development Through Ca-
pacity Building and Training","4,006,047",0,"2,164,168",0,54,0,483,0
,Sub Total,"15,791,045",0,"8,530,723",0,54,0,483,0
"Civic Education &
Public Participation","Coordination of Public and Special
Community Programme","633,792",0,"342,391",0,54,0,483,0
,Sub Total,"633,792",0,"342,391",0,54,0,483,0
"Disaster Manage-
ment and Humani-
tarian Assistance","Disaster Management and Hu-
manitarian Assistance","18,384,904",0,"9,931,992",0,54,0,483,0
,Sub Total,"18,384,904",0,"9,931,992",0,54,0,483,0
"Education, Vocational Training, ICT and E-Government",,,,,,,,483,0
"Administration,
Planning and Sup-
port Services","Administration and Support Ser-
vices","48,062,820","538,586,170","5,051,594","18,255,745",11,3,483,0
,Personnel Services,"606,746,120",0,"373,029,114",0,61,0,483,0
,Sub Total,"654,808,940","538,586,170","378,080,707","18,255,745",58,3,483,0
"Promotion of
Early Childhood
Education and
Development",Promotion of Early Childhood,"206,434,612",0,"3,486,305",0,2,0,483,0
,Bursaries,"453,743,981",0,"165,034,700",0,36,0,483,0
,ECD Infrastructure Development,0,"5,500,000",0,0,0,0,483,0
,Sub Total,"660,178,593","5,500,000","168,521,005",0,26,0,483,0
Vocational Training,Vocational Training,"85,022,834",0,"53,047,696",0,62,0,483,0
,"Vocational Training Infrastructure
Development",0,"78,789,894",0,"66,285,000",0,84,483,0
,Sub Total,"85,022,834","78,789,894","53,047,696","66,285,000",62,84,483,0
"Information and
Communication
Service","Public Communication and Media
Services","9,376,665","3,000,000","831,600",0,9,0,483,0
,Sub Total,"9,376,665","3,000,000","831,600",0,9,0,483,0
"ICT Infrastructure
Development and
E-Government
Services",Hardware and Software Platforms,0,0,0,0,0,0,483,0
,Network Infrastructure,"12,549,794",0,"311,800",0,2,0,483,0
,Sub Total,"12,549,794",0,"311,800",0,2,0,483,0
"Youth, Culture, Gender, Sports and Social Services",,,,,,,,483,0
"Administration,
Planning and Sup-
port Services","Administration and Support Ser-
vices","15,290,000","228,982,725","2,497,196",0,16,0,483,0
,Personnel Services,"126,023,171",0,"71,170,123",0,56,0,483,0
,Financial Services,"550,000",0,0,0,0,0,483,0
,Sub Total,"141,863,171","228,982,725","73,667,320",0,52,0,483,0
"Gender Empow-
erment and Social
Inclusivity","Gender Equality and Empower-
ment","5,010,000",0,"260,700",0,5,0,483,0
,"Social Inclusion and Empower-
ment","39,802,800",,"98,600",0,0,0,483,0
,Sub Total,"44,812,800",0,"359,300",0,1,0,483,0
