Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"Monitoring and
Evaluation","10,225,000",-,"6,014,106",-,58.8,0,184,0
,Sub Total,"923,052,280","857,982,317","612,304,603","483,102,640",66.3,56.3,184,0
"Department of Lands, Physical Planning and Urban Development",,,,,,,,184,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","90,385,971",-,"62,649,775",-,69.3,0,184,0
"Land Policy and
Planning",Physical Planning,"5,810,000","408,427,873","3,971,250",-,68.4,0,184,0
,"Land Survey and
Mapping","5,350,000",-,"2,490,711",-,46.6,0,184,0
,"Lands Administra-
tion","5,387,170",-,"1,219,600",-,22.6,0,184,0
"Urban Development
and Management",Urban Development,"46,182,438",-,"6,011,398",-,13,0,184,0
,Housing,"6,007,500",-,"1,517,160",-,25.3,0,184,0
,Sub Total,"159,123,079","408,427,873","77,859,894",-,48.9,0,184,0
County Assembly,,,,-,,,,184,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","632,537,070","205,000,000","348,207,716","89,993,570",55,43.9,184,0
"Legislation, Represen-
tation and Oversight","Legislation, Rep-
resentation and
Oversight","316,234,700",-,"201,157,429",-,63.6,0,184,0
,Sub Total,"948,771,770","205,000,000","549,365,145","89,993,570",57.9,43.9,184,0
"Department of Ed-
ucation, Youth and
Sport",,,,,,,,184,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","775,390,518","32,000,000","481,957,918",-,62.2,0,184,0
"Early Childhood
Development",Early Childhood,"44,933,000","99,700,000","27,741,000",-,61.7,0,184,0
"Technical and Voca-
tional","Technical and Voca-
tional Training","4,611,298",-,"2,483,300",-,53.9,0,184,0
Youth and Sports,"Sport Training and
Competition","35,487,735",-,"18,377,254",-,51.8,0,184,0
,Sub Total,"860,422,551","131,700,000","530,559,472",-,61.7,0,184,0
"Department of Gender, Coperative, Culture, Tourism and Wildlfe",,,,,,,,184,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","101,205,360",-,"62,787,966",-,62,0,184,0
"Gender Mainstream-
ing","Gender Mainstream-
ing","15,792,190",-,"7,341,390",-,46.5,0,184,0
,,Rec,Dev,Rec,Dev,Rec,Dev,185,0
Arts and Culture,Cultural Heritage,"6,180,373",-,"1,311,584",-,21.2,0,185,0
,Cultural Activities,"3,702,291",-,"145,600",,3.9,0,185,0
"Local Tourism and
Wildlife","Local Tourism Pro-
motion and Wildlife
Management","57,511,212",-,"20,647,584",-,35.9,0,185,0
"Cooperative Devel-
opment","Cooperative Devel-
opment","14,702,090",-,"5,445,650",-,37,0,185,0
,Sub Total,"199,093,516",-,"97,679,774",-,49.1,0,185,0
"Department of Agriculture, Livestock, Veterinary Service and Fisheries",,,,,,,,185,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","198,979,633",-,"127,925,253",-,64.3,0,185,0
Crop Production,Crop Development,"7,483,340",-,"3,602,492",-,48.1,0,185,0
,"Agricultural Mecha-
nisation Services","7,217,947",-,"900,000",,12.5,0,185,0
,"Agricultural Train-
ing Centre","5,545,866",-,"177,420",-,3.2,0,185,0
,"Plant Disease
Control","3,845,499",-,"731,200",-,19,0,185,0
,"Agri-Business and
Market Develop-
ment","3,935,499",-,"858,150",-,21.8,0,185,0
Irrigation,Irrigation Service,"12,258,990",-,"5,309,600",-,43.3,0,185,0
Livestock Resources,Animal Husbandry,"7,278,088","10,000,000","1,685,771",-,23.2,0,185,0
,Livestock Market,"433,624","181,515,152",-,-,0,0,185,0
,Veterinary Service,"2,909,462",-,"752,100",-,25.9,0,185,0
,"Demostration Farm
Kajiado","3,122,441",,"970,000",,31.1,0,185,0
,"Animal Disease
Control","38,975,736","17,000,000","204,000",-,0.5,0,185,0
Fisheries,Fisheries,"3,087,674","33,741,858","2,034,508",-,65.9,0,185,0
,Sub Total,"295,073,799","242,257,010","145,150,494",-,49.2,0,185,0
"Department of Trade, Investment and Enterprise Development",,,,,,,,185,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","178,662,794",-,"122,425,821",-,68.5,0,185,0
Trade Development,Trade Development,"41,751,774","512,000,000","12,067,640",-,28.9,0,185,0
,"Enterprise Develop-
ment","1,749,902",-,"528,800",-,30.2,0,185,0
"Cooperative Enter-
prise Development","Cooperative Devel-
opment",-,-,-,-,0,0,185,0
,Sub Total,"222,164,470","512,000,000","135,022,261",-,60.8,0,185,0
Department of Kajiado Municipality,,,,,,,,185,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","59,484,130",-,"29,547,250",-,49.7,0,185,0
Urban Infrastructure,Urban Infrastructure,"4,541,500","76,000,000","1,844,785",-,40.6,0,185,0
"Environmental Man-
agement and Public
Health","Environmental Man-
agement and Public
Health","6,369,500",-,"3,278,892",-,51.5,0,185,0
,Sub Total,"70,395,130","76,000,000","34,670,927",-,49.3,0,185,0
Department of Ngong Municipality,,,,,,,,185,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","85,376,381",-,"45,822,072",-,53.7,0,185,0
Urban Infrastructure,Urban Infrastructure,"3,548,194","225,000,000","2,307,680",-,65,0,185,0
