Programme,Sub-Programme,"Revised Gross Ap-
proved Estimates",Actual Expenditure,"Absorption
Rate (%)",page_number,table_index
713003260,Public Finance Management,"21,100,000","19,673,847",93,585,0
,,"310,705,541","166,347,540",54,585,0
,Headquarters,"377,226,151","199,300,217",53,585,0
106003260,Crop Development,"7,315,329","5,973,589",82,585,0
101003260,"Administration, Planning, and Support Services","369,910,822","193,326,628",52,585,0
Livestock,Livestock,"2,882,884","2,535,192",88,585,0
108003260,Livestock Production,"2,882,884","2,535,192",88,585,0
Fisheries,Fisheries,"3,777,742","3,618,655",96,585,0
111003260,Blue Economy Development,"3,777,742","3,618,655",96,585,0
Veterinary,Veterinary,"4,516,901","3,041,457",67,585,0
110003260,Veterinary Services,"4,516,901","3,041,457",67,585,0
"Agribusiness Project
(EU Grant)",Agribusiness Project (EU Grant),"10,918,919","4,798,000",44,585,0
106003260,Crop Development,"10,918,919","4,798,000",44,585,0
"Cooperative Develop-
ment",Cooperative Development,"926,500","783,784",85,585,0
304003260,Cooperatives development,"926,500","783,784",85,585,0
,Headquarters,"102,928,852","69,021,950",67,585,0
1002003260,"General Administration, Support and Support
Services","102,928,852","69,021,950",67,585,0
Water Services,Water Services,"883,593,292","28,197,096",3,585,0
1005003260,Sanitation services,"4,600,000","3,535,941",77,585,0
1004003260,Water Infrastructure Development,"878,993,292","24,661,155",3,585,0
,Promotion of primary health care,"268,579,402","96,401,572",36,585,0
1006003260,Climate Change adaptation,"267,479,402","95,566,468",36,585,0
1003003260,Natural Resources Support Programme,"1,100,000","835,104",76,585,0
,Headquarters,"495,573,395","249,978,297",50,585,0
501003260,"General Administration, Planning and Support
Services","495,573,395","249,978,297",50,585,0
Polytechnics,Polytechnics,"4,813,600","994,317",21,585,0
504003260,"Vocational Training Centres & Homecrafts
development","4,813,600","994,317",21,585,0
,,(Kshs.),(Kshs.),,586,0
"Early Childhood De-
velopment",Early Childhood Development,"37,290,000","9,242,840",25,586,0
502003260,"Early Childhood Education and Youth Training
Development Programme","37,290,000","9,242,840",25,586,0
Library services,Library services,"1,720,000","339,341",20,586,0
503003260,Library Services,"1,720,000","339,341",20,586,0
Education Fund,Education Fund,"233,873,592","227,227,055",97,586,0
505003260,Education Fund,"233,873,592","227,227,055",97,586,0
Energy,Energy,0,0,,586,0
Health,Headquarters,"2,058,694,485","1,262,232,372",61,586,0
404003260,Preventive & Promotive Services,"14,775,000","12,569,760",85,586,0
405003260,,"950,000","726,182",76,586,0
403003260,Hospitals & Specialised Health Services,"169,550,000","30,614,897",18,586,0
401003260,Administration and Support Services,"1,873,419,485","1,218,321,533",65,586,0
,Health Improvement Financing,"250,000,000","7,862,937",3,586,0
401003260,Administration and Support Services,"250,000,000","7,862,937",3,586,0
,Headquarters,"42,766,129","27,512,703",64,586,0
302003260,Trade Development programme.,-,-,,586,0
301003260,"General Administration and support services
programme","42,766,129","27,512,703",64,586,0
Trade,Trade,"14,659,770","7,899,803",54,586,0
302003260,Trade Development programme.,"14,659,770","8,213,136",56,586,0
Culture,Culture,"1,170,000","105,454",9,586,0
905003260,Culture services,"1,170,000","-05,454",9,586,0
,,"595,084","130,000",22,586,0
303003260,Tourism Development,"595,084","130,000",22,586,0
Industrialisation,Industrialisation,"229,000",0,0,586,0
305003260,Industrialisation,"229,000",0,0,586,0
,Headquarters,"66,641,205","33,921,312",51,586,0
715003260,"Human Resource Planning, management &
development","3,462,000","2,285,800",66,586,0
701003260,General Administration support services,"63,179,205","31,635,512",50,586,0
,Headquarters,"77,848,089","65,104,901",84,586,0
204003260,Disaster & Firefighting Management,"550,000","418,908",76,586,0
201003260,"General Administrative, Planning & support
services","49,482,551","40,904,574",83,586,0
203003260,"Public works, Transport & Housing","27,815,538","23,781,419",85,586,0
"Information Commu-
nication Technology",ICT,,,,586,0
Roads,Roads,"349,636,321","48,906,203",14,586,0
201003260,"General Administrative, Planning & support
services","216,111,859",-,-,586,0
202003260,Road Infrastructure Development,"133,524,462","48,906,203",37,586,0
Housing,Housing,"300,000","137,500",46,586,0
203003260,"Public works, Transport & Housing","300,000","137,500",46,586,0
Public Works,Public Works,"650,000","381,376",59,586,0
203003260,"Public works, Transport & Housing","650,000","381,376",59,586,0
"Defunct Local Author-
ities",Defunct Local Authorities,,,,586,0
,Headquarters,"56,095,244","40,119,485",72,586,0
112003260,Planning Survey & Mapping,"8,900,000","8,200,000",92,586,0
101003260,"Administration, Planning, and Support Services","47,195,244","31,919,485",68,586,0
