Programme,Sub-Programme,Revised Estimates FY2024/25,col_3,"Actual Expenditure as of 31
December 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
Department of County Attorney,,,,,,,,416,0
"General ad-
ministration &
support services",Finance & administration,"17,078,400",-,"11,786,100",,69.0,0.0,416,0
Pending Bills,"Pending Bills -
2023/24FY","15,453,890",-,-,,0.0,0.0,416,0
Legal Services,"Advisory & Research
services","2,400,000",-,"1,321,400",,55.1,0.0,416,0
,Staff Development,"1,700,000",-,"200,000",,11.8,0.0,416,0
,Legal Advisory Services,"5,000,000",-,"3,764,000",,75.3,0.0,416,0
,Legal compliance services,"76,621,600",-,"46,841,524",,61.1,0.0,416,0
,Sub-Total,"118,253,890",-,"63,913,024",-,54.0,0.0,416,0
"Department of “Public Service Management, Monitoring & Evaluation & Performance Contracting",,,,,,,,416,0
"General Ad-
ministration &
Support Services","Administrative Support
Services","641,079,413",-,"308,203,525",,48.1,0.0,416,0
"Human Capital
Management &
Development
Services","Human Resource Man-
agement Services","6,355,162",-,"5,482,650",,86.3,0.0,416,0
"Devolved Units
Administration
Services","Devolved Units Adminis-
tration Services","14,300,000",-,"11,406,333",,79.8,0.0,416,0
,"Devolved Units (Ward)
Development Programme",-,-,,-,0.0,0.0,416,0
"Civic Education
& Public Partici-
pation",Civic Education Services,"35,000,000",-,"18,502,015",,52.9,0.0,416,0
"Public Com-
munication &
Records Manage-
ment Services","Record management
programme","1,600,000",-,"500,000",,31.3,0.0,416,0
,Public Communications,"16,300,000",-,"7,500,000",,46.0,0.0,416,0
,"Public Service coordina-
tion services","8,400,000",-,"6,569,500",,78.2,0.0,416,0
"Kenya Devo-
lution Support
Program II","Kenya Devolution Sup-
port Program II","47,500,000",-,"10,000,000",,21.1,0.0,416,0
Pending Bills,Pending Bills - 2023/24FY,"21,709,909","19,854,449","20,546,498","12,654,776",94.6,63.7,416,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",417,0
"County Security
and Compliance
Enforcement
Services","Support and administra-
tion services","6,500,000",-,"5,527,350",,85.0,0.0,417,0
,Sub-Total- (PSM),"798,744,484","19,854,449","394,237,871","12,654,776",49.4,63.7,417,0
"Policy, planning,
general admin-
istration, &
support services","General Administration
services","56,600,000",-,"32,746,559",,57.9,0.0,417,0
"Public service
board services","Public service board
services","10,100,000",-,"1,800,000",,17.8,0.0,417,0
"National values
& principles of
governance","National Values & Princi-
ples of Governance","8,100,000",-,"1,890,679",,23.3,0.0,417,0
Pending Bills,Pending Bills - 2023/24FY,"13,059,000",-,"9,891,500",,75.7,0.0,417,0
"Information &
records manage-
ment","Records management
services","500,000",-,-,,0.0,0.0,417,0
,Sub-Total- (PSB),"88,359,000",-,"46,328,738","12,654,776",52.4,0.0,417,0
"General ad-
ministration &
support services","Administrative Support
Services","2,900,000",-,"1,949,730",,67.2,0.0,417,0
,"Efficient Monitoring &
Evaluation","6,600,000",-,"4,676,940",,70.9,0.0,417,0
Pending Bills,"Pending Bills -
2023/24FY","4,253,094",-,"2,003,844",,47.1,0.0,417,0
,Sub-Total- (M&E),"13,753,094",-,"8,630,514",-,62.8,0.0,417,0
,Sub-Total,"900,856,578","19,854,449","449,197,123","12,654,776",49.9,63.7,417,0
"Department of Agriculture, Livestock, Veterinary Services, Fisheries & Blue Economy",,,,,,,,417,0
"General Ad-
ministration &
Support Services",Administrative services,"155,549,626",-,"105,306,651",,67.7,0.0,417,0
"Agricultural Pol-
icy & Planning","Policies & Legal Frame-
work","3,943,000",-,"1,451,600",,36.8,0.0,417,0
"Agricultural Ex-
tension Services","Field extension services &
support","14,441,649",-,"3,280,813",,22.7,0.0,417,0
"Crop Develop-
ment & Manage-
ment",Crop Development,-,"14,041,500",-,"12,041,500",0.0,85.8,417,0
"Agribusiness
Development","Agribusiness Develop-
ment","3,841,984",-,"539,695",,14.0,0.0,417,0
Pending Bills,Pending Bills,-,"729,500",-,"699,200",0.0,95.8,417,0
,Pending Bills - 2023/24FY,"8,407,754","42,545,351","4,994,539","9,155,084",59.4,21.5,417,0
Donor Funds,Donor Funds,-,"594,424,164",,"5,000,000",0.0,0.8,417,0
,Sub-Total- (Agriculture),"186,184,013","651,740,515","115,573,298","26,895,784",62.1,4.1,417,0
"General ad-
ministration &
support services",Administrative services,"6,250,562",-,"4,444,150",,71.1,0.0,417,0
"Livestock exten-
sion & support
services",Extension services,"8,250,000",-,"2,730,000",,33.1,0.0,417,0
"Livestock mar-
ket development","Market support infra-
structure",-,"2,000,000",,"1,697,328",0.0,84.9,417,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",418,0
"Livestock
enterprise devel-
opment & value
addition","Livestock enterprise
development",-,"1,000,000",,-,0.0,0.0,418,0
Donor Funds,Donor Funds,-,"14,323,680",,-,0.0,0.0,418,0
"Livestock breeds
improvement","Livestock multiplication
& upgrading",-,-,,-,0.0,0.0,418,0
"Livestock
Information and
Research Support
and Linkages","Livestock research sup-
port and linkages",-,"10,400,000",,"6,316,605",0.0,60.7,418,0
"Livestock
climate change
adaptation &
mitigation","Livestock-focused climate
risk management",-,"1,600,000",,-,0.0,0.0,418,0
,Sub-Total- (Livestock),"14,500,562","29,323,680","7,174,150","8,013,933",49.5,27.3,418,0
"General admin-
istration",Administrative services,"8,018,362",-,"2,835,108",,35.4,0.0,418,0
"Livestock
disease & pest
control manage-
ment",Disease & pest control,"1,000,000","4,000,000","100,000","2,789,920",10.0,69.7,418,0
,Disease surveillance,-,"3,000,000",,"2,000,000",0.0,66.7,418,0
"Livestock
breeding & live-
stock products
improvement","Breed selection & artifi-
cial insemination","1,000,000",-,-,,0.0,0.0,418,0
"Veterinary
public health",Meat hygiene services,"250,000","1,000,000",-,"800,000",0.0,80.0,418,0
"Veterinary ex-
tension & clinical
services",Extension services,"600,000",-,-,,0.0,0.0,418,0
,Sub-Total- (Veterinary),"10,868,362","10,935,108","2,935,108","5,589,920",27.0,51.1,418,0
"General admin-
istrative services",Administrative services,"18,816,200",-,"6,703,755",,35.6,0.0,418,0
Donor Funds,Donor Funds,-,"13,617,785",,-,0.0,0.0,418,0
"Fisheries policy
& planning","Policy & planning
services","1,000,000",-,"400,000",,40.0,0.0,418,0
"Aquaculture
development","Aquaculture production
systems",-,"5,600,000",,"2,548,017",0.0,45.5,418,0
,"Fish breeding & stocking
services",-,"2,000,000",,"2,000,000",0.0,100.0,418,0
,"Fish feeds & feeding
services",-,"2,400,000",,"1,000,000",0.0,41.7,418,0
"Fish marketing
& value addition",Fish marketing services,-,"4,300,000",,"1,608,905",0.0,37.4,418,0
,Licensing services,"300,000",-,-,,0.0,0.0,418,0
"Lakefront (cap-
ture) fisheries
development &
management","Fisheries co-management
services.","2,234,695",-,"747,000",,33.4,0.0,418,0
"Extension sup-
ports services","Extension services &
support","1,635,000",-,"400,000",,24.5,0.0,418,0
"Fish safety &
quality assurance",Fish inspection services,"120,000",-,-,,0.0,0.0,418,0
,"Residue monitoring &
control services","130,000",-,-,,0.0,0.0,418,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",419,0
Blue Economy,"Fish Infrastructure devel-
opment",-,"4,000,000",,"1,000,000",0.0,25.0,419,0
,"Search & rescue centre
services",-,"4,700,000",,"3,733,760",0.0,79.4,419,0
,Sub-Total- (Fisheries),"60,853,680","44,868,540","20,141,437","11,890,682",0.0,26.5,419,0
,Sub-Total,"235,788,832","725,681,980","133,933,311","52,390,319",56.8,7.2,419,0
"Department of Education, Gender Inclusivity, Social Services, Youth and Sports",,,,,,,,419,0
"General Ad-
ministration &
Support Services",General administration,"266,481,840",-,"246,171,739",,92.4,0.0,419,0
,"Quality assurance &
standard services","1,006,215",-,-,,0.0,0.0,419,0
"Early Childhood
Development
Education
Services","Quality assurance &
standard services","8,500,000",-,"5,198,400",,61.2,0.0,419,0
,"ECDE co-curriculum
development","2,000,000",-,"1,990,000",,99.5,0.0,419,0
,"School feeding pro-
gramme.","1,250,000",-,-,,0.0,0.0,419,0
,"Community ECD
services",-,"43,048,701",,-,0.0,0.0,419,0
"Education sup-
port services",Bursary/scholarship,"145,000,000",-,-,,0.0,0.0,419,0
"Child Care
Services","Child protection respon-
sive services & caregiving
support services","1,000,000",-,"200,000",,20.0,0.0,419,0
"Youth develop-
ment & empow-
erment","Technical, vocational,
education & training","16,000,000","28,550,000","16,000,000","1,999,998",100.0,7.0,419,0
,"Youth empowerment
program","5,000,000",-,-,,0.0,0.0,419,0
,"Youth enterprise devel-
opment","1,000,000",-,"500,000",,50.0,0.0,419,0
Pending Bills,"Pending Bills -
2023/24FY","12,235,192","73,445,308","4,898,988","4,949,480",40.0,6.7,419,0
"Sports Develop-
ment","Sports Development
Services","12,000,000","12,000,000","6,886,026",-,57.4,0.0,419,0
,"Talent Development
Services","3,000,000",-,-,,0.0,0.0,419,0
,"Ward Sports Activities
(Community Projects)","32,000,000",-,"31,934,000",,99.8,0.0,419,0
,Sub-Total,"506,473,247","157,044,009","313,779,153","6,949,478",62.0,4.4,419,0
"Gender Devel-
opment & Equal-
ity Services",Women Empowerment,"8,500,000",-,"5,649,900",,66.5,0.0,419,0
,"Gender responsive educa-
tion support","11,250,000",-,"2,406,800",,21.4,0.0,419,0
,"Adolescent Girls & wom-
en, water, sanitation, &
hygiene support services","3,300,000",-,"1,508,050",,45.7,0.0,419,0
,"People with Disability
(PWDs) Empowerment","3,000,000",-,"875,500",,29.2,0.0,419,0
,"Culture & heritage con-
servation","10,950,000",-,"1,000,000",,9.1,0.0,419,0
,"Sub-Total- (Gender
Inclusivity)","37,000,000",-,"11,440,250",-,30.9,0.0,419,0
,Sub-Total,"543,473,247","157,044,009","325,219,403","6,949,478",59.8,4.4,419,0
Department of Medical Services,,,,,,,,419,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",420,0
"Planning &
Administrative
Support Services","Policy formulation,
planning, Monitoring &
evaluation, Research, &
learning.","3,800,000",-,"423,000",,11.1,0.0,420,0
,"Administration & sup-
port services","37,300,317",-,"23,373,420",,62.7,0.0,420,0
,"Human Resource Man-
agement & Development","1,231,553,329",-,"1,109,501,148",,90.1,0.0,420,0
,"Infrastructure & Health
Facility Management",-,"92,000,000",,"76,363,429",0.0,83.0,420,0
,"Health Financing & Uni-
versal Health Coverage
(UHC) coordination","12,460,000",-,"7,795,920",,62.6,0.0,420,0
,"Standards & Quality
Assurance","1,000,000",-,"200,400",,20.0,0.0,420,0
"Preventive
& Promotive
Health Services","Environmental health
services","1,200,000",-,-,,0.0,0.0,420,0
,"Human Nutrition &
Dietetics services","1,700,000",-,-,,0.0,0.0,420,0
,HIV/AIDS management,"2,000,000",-,"252,000",,12.6,0.0,420,0
,TB control,"1,200,000",-,-,,0.0,0.0,420,0
,Malaria Control,"1,400,000",-,-,,0.0,0.0,420,0
,"Non-Communicable
Diseases (NCDs","1,400,000",-,-,,0.0,0.0,420,0
,"Disease surveillance/
Emergency preparedness","950,000",-,-,,0.0,0.0,420,0
,"Maternal & Reproductive
Health Services","3,160,000",-,"2,343,200",,74.2,0.0,420,0
,"Neonatal, Child, Ado-
lescent & Youth health
services","1,800,000",-,-,,0.0,0.0,420,0
,"Expanded Program for
Immunization (Immuni-
zation","3,120,000",-,"400,000",,12.8,0.0,420,0
,"Gender Based Violence
health services","1,200,000",-,"300,000",,25.0,0.0,420,0
Donor Funds,Donor Funds,-,"124,723,404",,-,0.0,0.0,420,0
Pending Bills,"Pending Bills -
2023/24FY","142,992,436","125,034,912","110,430,642","15,359,655",77.2,12.3,420,0
"Curative,
Rehabilitative &
Referral Services",Hospital Level Services,-,"5,000,000",,-,0.0,0.0,420,0
,"Ambulance & Referral
Services","3,200,000",-,"1,671,500",,52.2,0.0,420,0
,"Health Products & Tech-
nologies","53,190,996",-,"45,123,940",,84.8,0.0,420,0
,"Diagnostic & Rehabilita-
tion Services","7,580,000",-,"4,598,920",,60.7,0.0,420,0
,"Health Services Manage-
ment Fund","136,000,000","4,000,000",-,-,0.0,0.0,420,0
,Sub-Total,"1,648,207,078","350,758,316","1,306,414,090","91,723,084",79.3,26.1,420,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",421,0
Department of Public Health & Sanitation,,,,,,,,421,0
"Planning &
Administrative
Support Services","Policy formulation,
planning, Monitoring &
evaluation, Research, &
learning.","14,669,591",-,"9,562,000",,65.2,0.0,421,0
,"Administration & sup-
port services","44,883,200",-,"18,563,451",,41.4,0.0,421,0
,"Human Resource Man-
agement & Development","25,432,231",-,"8,185,951",,32.2,0.0,421,0
,"Infrastructure & Health
Facility Management",-,"106,093,053",,"31,075,882",0.0,29.3,421,0
,"Health Financing & Uni-
versal Health Coverage
(UHC) coordination","10,000,000",-,-,,0.0,0.0,421,0
,"Standards & Quality
Assurance","550,000",-,-,,0.0,0.0,421,0
,"Community health infra-
structure services (CHVs)","30,915,754",-,"11,929,296",,38.6,0.0,421,0
"Preventive
& Promotive
Health Services","Human Nutrition &
Dietetics services","16,850,000",-,"10,139,400",,60.2,0.0,421,0
,HIV/AIDS management,"19,170,000",-,"3,000,000",,15.6,0.0,421,0
,TB control,"18,600,000",-,"4,999,200",,26.9,0.0,421,0
,Malaria Control,"14,228,000",-,"330,000",,2.3,0.0,421,0
,"Non-Communicable
Diseases (NCDs)","10,630,000",-,-,,0.0,0.0,421,0
,"Disease surveillance/
Emergency preparedness","11,950,000",-,-,,0.0,0.0,421,0
,"Health promotion &
education","2,800,000",-,-,,0.0,0.0,421,0
,"Maternal & Reproductive
Health Services","13,500,000",-,"500,000",,3.7,0.0,421,0
,"Neonatal, Child, Ado-
lescent & Youth health
services","4,000,000",-,"450,000",,11.3,0.0,421,0
,"Expanded Program for
Immunization (Immuni-
zation)","12,270,000",-,"1,995,000",,16.3,0.0,421,0
,"Gender Based Violence
health services","900,000",-,"150,000",,16.7,0.0,421,0
,"Neglected Tropical Dis-
eases services.","950,000",-,"100,000",,10.5,0.0,421,0
,"Environmental Health &
Sanitation Services","1,000,000",-,"200,000",,20.0,0.0,421,0
,County co-funding,"12,000,000",-,-,,0.0,0.0,421,0
"Curative,
Rehabilitative &
Referral Services","Health Products & Tech-
nologies","88,900,000",-,"32,694,507",,36.8,0.0,421,0
,"Diagnostic & rehabilita-
tion Services","1,500,000",-,-,,0.0,0.0,421,0
Donor Funds,DANIDA,"25,273,568",-,-,,0.0,0.0,421,0
Pending Bills,"Pending Bills -
2023/24FY","62,609,020","24,939,715","35,910,763","23,763,525",57.4,95.3,421,0
,Sub-Total,"443,581,364","131,032,768","138,709,568","54,839,407",31.3,41.9,421,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",422,0
"Department of Environment, Natural Resources, Climate Change & Disaster Management",,,,,,,,422,0
"General ad-
ministration &
support services",General administration,"54,060,003",-,"42,261,646",,78.2,0.0,422,0
"Mazingira Youth
Programme","Mazingira Youth Pro-
gramme","42,200,000",-,"32,456,100",,76.9,0.0,422,0
"Environment
Management &
Protection","Solid Waste Management
Services","17,011,000",-,"15,369,713",,90.4,0.0,422,0
Donor Funds,Donor Funds,-,"592,933,186",,"371,545,930",0.0,62.7,422,0
"Community
Projects",Community Projects,-,"1,000,000",,-,0.0,0.0,422,0
"Climate Change
Adaptation &
Mitigation",Climate Change,"16,500,000",-,"14,756,670",,89.4,0.0,422,0
,"Climate Information
Services (CIS)","500,000",-,-,,0.0,0.0,422,0
,"Climate Change Legal
Frameworks","4,500,000",,"1,000,000",,22.2,0.0,422,0
,"Establish Grievance
Redress Structures","10,700,000",,"10,539,750",,98.5,0.0,422,0
,"Strengthening Resource
Management Units (CFAs
and WRUAs)","5,000,000",,"2,824,000",,56.5,0.0,422,0
,"Climate Change Aware-
ness Campaigns","4,500,000",,-,,0.0,0.0,422,0
,"Climate Change Gover-
nance","8,800,000",,-,,0.0,0.0,422,0
,"Facilitation of Climate
Change Operations","1,320,000",,-,,0.0,0.0,422,0
,"Monitoring and Evalua-
tion of FLLoCA Projects","5,900,000",,"1,529,320",,25.9,0.0,422,0
,"FLLoCA PIU consultative
meetings","4,700,000",,"1,668,100",,35.5,0.0,422,0
,"Support climate change
learning events and
exhibitions.",-,,-,,0.0,0.0,422,0
Pending Bills,Pending Bills,"45,380,782","1,999,800","29,081,440","1,999,800",64.1,100.0,422,0
"Natural Re-
sources Manage-
ment & Forestry
development",Forestry development,"5,300,000",-,"3,800,000",,71.7,0.0,422,0
,"Natural Resources Man-
agement & Conservation","3,200,000",-,"1,450,000",,45.3,0.0,422,0
,"Artisanal mining & quar-
ry services","500,000",-,-,,0.0,0.0,422,0
"Disaster Man-
agement and
Response",Disaster Management,"28,900,000",-,"6,579,500",,22.8,0.0,422,0
,Fire Rescue Services,"2,800,000",-,"1,299,950",,46.4,0.0,422,0
Sub-Total,,"261,771,785","595,932,986","164,616,189","373,545,730",62.9,62.7,422,0
Department of Finance and Economic Planning,,,,,,,,422,0
"General ad-
ministration &
support services",Administrative services,"550,750,317",-,"217,820,374",,39.5,0.0,422,0
"Finance &
Accounting
services.",Accounting services,"157,623,087",-,"133,190,605",,84.5,0.0,422,0
,"Pending Bills -
2023/24FY","81,053,610","8,633,040","64,792,120",-,79.9,0.0,422,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",423,0
,"Sub-Total- (Accounting
Services)","789,427,014","8,633,040","415,803,099",-,52.7,0.0,423,0
"Resource Mobil-
isation services","Revenue mobilisation
services","40,185,000",-,"25,218,366",,62.8,0.0,423,0
,"Revenue Automation
Services","34,000,000",-,"3,471,020",,10.2,0.0,423,0
,Revenue Board Services,"17,115,000",-,"10,347,650",,60.5,0.0,423,0
Pending Bills,Pending Bills,"15,000,000",-,"5,200,000",,34.7,0.0,423,0
,Sub-Total- (Revenue),"106,300,000",-,"44,237,036",-,41.6,0.0,423,0
"General ad-
ministration &
support services",Administrative services,"7,520,000",-,"5,600,500",,74.5,0.0,423,0
"Supply chain
management
services","Supply Chain Manage-
ment Services","4,419,295","16,500,000","3,667,200","11,632,040",83.0,70.5,423,0
,"Sub-Total- (Supply
Chain Management)","11,939,295","16,500,000","9,267,700","11,632,040",77.6,70.5,423,0
Audit services,Audit services,"36,618,326",-,"34,916,874",,95.4,0.0,423,0
,"Internal Audit Com-
mittee","4,600,000",-,"4,231,104",,92.0,0.0,423,0
,Sub-Total- (Audit),"41,218,326",-,"39,147,978",-,95.0,0.0,423,0
"General ad-
ministration &
support services",Administrative services,"42,156,562","3,000,000","23,865,885",-,56.6,0.0,423,0
"Economic Plan-
ning Services","Policy plans & formu-
lation","18,000,000",-,"17,998,100",,100.0,0.0,423,0
Pending Bills,Pending Bills,"3,500,000",-,"501,000",,14.3,0.0,423,0
"Budgeting
Services","Budget coordination &
management","63,496,061",-,"63,462,797",,99.9,0.0,423,0
"County Statisti-
cal Information
Services","County statistical infor-
mation system","8,500,000",-,"8,463,802",,99.6,0.0,423,0
"County Budget
& Economic
Forum Services","County budget & eco-
nomic forum services","7,000,000",-,"6,100,000",,87.1,0.0,423,0
,"Sub-Total- (Economic
Planning)","142,652,623","3,000,000","120,391,584",-,84.4,0.0,423,0
,Sub-Total,"1,091,537,258","28,133,040","628,847,397","11,632,040",57.6,41.3,423,0
"Department of Lands, Physical Planning, Housing & Urban Development",,,,,,,,423,0
"Administrative
Services","General administrative
services","73,773,465",-,"46,047,666",,62.4,0.0,423,0
"Land, Rent &
Rates Services",Rents & rates services,-,"15,000,000",,"9,494,931",0.0,38.4,423,0
Pending Bills,"Pending Bills -
2023/24FY","13,929,250","25,308,575","11,106,956","10,791,941",79.7,42.6,423,0
"Land Survey
Services",Land Survey Services,-,"5,000,000",,"4,300,000",0.0,86.0,423,0
,Sub-Total- (Lands),"87,702,715","45,308,575","57,154,622","24,586,872",65.2,46.0,423,0
"Administrative
services","General administrative
services","15,134,756",-,"9,202,376",,60.8,0.0,423,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",424,0
"Physical Plan-
ning Services","Physical Planning
Services (Prepara-
tion of Macalder
LPLUDP-2024-2034)","5,800,000",-,"3,937,550",,67.9,0.0,424,0
,"Preparation of Special
Area Plan-Phase I",-,"8,000,000",,-,0.0,0.0,424,0
,Preparation of town plans,-,"10,000,000",,-,0.0,0.0,424,0
,Completion of GIS lab,-,"4,000,000",,-,0.0,0.0,424,0
,"Maintenance and civil
works",-,"4,000,000",,-,0.0,0.0,424,0
,"Physical Planning Ser-
vices (Establishment of
County Physical and Land
Use Planning Consulta-
tive Forum and Liaison
Committee)","1,308,000",-,"250,000",,19.1,0.0,424,0
Donor Funding,Donor Funding,-,"35,000,000",,-,0.0,0.0,424,0
"Urban Develop-
ment Services","Urban Development
Services","1,557,244",-,"1,557,244",,100.0,0.0,424,0
,"Sub-Total- (Physical
Planning)","23,800,000","61,000,000","14,947,170",-,62.8,0.0,424,0
,Sub-Total,"111,502,715","106,308,575","72,101,792","24,586,872",64.7,19.6,424,0
Department of Rongo Municipality,,,,,,,,424,0
"Administrative
and Support
Services","Planning, Adminis-
tration, & governance
services","13,280,000",-,"5,068,500",,38.2,0.0,424,0
,Board Activities,"6,720,000",-,"5,796,605",,86.3,0.0,424,0
Pending Bills,"Pending Bills -
2023/24FY","1,619,949","3,999,271","1,618,959","3,999,271",99.9,100.0,424,0
"Infrastructure
Development","Infrastructure develop-
ment",-,"22,800,729",,"4,516,634",0.0,19.8,424,0
,Sub-Total,"21,619,949","26,800,000","12,484,064","8,515,905",57.7,31.8,424,0
Department of Kehancha Municipality,,,,,,,,424,0
"Administrative
and Support
Services","Planning, Administration,
& governance services","14,180,000",-,"6,265,934",-,44.2,0.0,424,0
,Board Activities,"6,720,000",-,"3,079,700",-,45.8,0.0,424,0
Pending Bills,"Pending Bills -
2023/24FY","4,229,118","4,391,020","498,122",-,11.8,0.0,424,0
"Infrastructure
Development","Infrastructure develop-
ment",-,"22,408,980",-,"5,939,142",0.0,26.5,424,0
,Sub-Total,"25,129,118","26,800,000","9,843,756","5,939,142",39.2,22.2,424,0
Department of Migori Municipality,,,,,,,,424,0
"Administrative
and Support
Services","Planning, Adminis-
tration, & governance
services","13,280,000",-,"3,466,419",-,26.1,0.0,424,0
,Board Activities,"6,720,000",-,"6,681,500",-,99.4,0.0,424,0
Pending Bills,"Pending Bills -
2023/24FY","1,319,686",-,"179,690",-,13.6,0.0,424,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",425,0
