Programme,Sub-Programme,"Revised Gross Approved
Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"43,599,832","229,795,842","36,074,464","22,416,575",83,10,557,0
,Grand Total,"213,886,864","659,245,842","169,821,579","155,536,835",79,24,557,0
"Water, Environment,
Natural Resources &
Energy",,-,-,-,-,,,557,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,,,557,0
"Administration,
Planning and Sup-
port Services",,-,-,-,-,,,557,0
,Pollution control& monitoring,-,-,-,-,,,557,0
Administration,,"37,238,257",-,"24,939,683",-,67,,557,0
,"Forests Conservation and
Management","37,238,257",-,"24,939,683",-,67,,557,0
"Forests Conserva-
tion and Manage-
ment",,"27,750,493","220,000,000","10,454,671","106,324,299",38,48,557,0
,,Rec,Dev,Rec,Dev,Rec,Dev,558,0
,Pollution control& monitoring,"3,990,720",-,"1,404,657",-,35,,558,0
,"Forests Conservation and
Management","23,759,773","220,000,000","9,050,014","106,324,299",38,48,558,0
"Control of soil
erosion",,"12,105,726",-,"2,909,572",-,24,,558,0
,Mining Services,"5,341,246",-,"1,600,240",-,30,,558,0
,"Water Catchment and Protec-
tion Services","3,283,228",-,"801,532",-,24,,558,0
,"Environmental Management
and Protection","3,481,252",-,"507,800",-,15,,558,0
"Water and sanita-
tion services",,"102,466,094","112,500,000","52,465,516","78,025,896",51,69,558,0
,Stormwater management,"90,204,766",-,"46,282,111",,51,,558,0
,Grand Total,"12,261,328","112,500,000","6,183,406","78,025,896",50,69,558,0
,Grand Total,"179,560,570","332,500,000","90,769,442","184,350,195",51,55,558,0
"Education and Vo-
cational Training",,-,-,-,-,,,558,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,,,558,0
"Administration,
Planning and Sup-
port Services",,-,-,-,-,,,558,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,,,558,0
"Bursary Manage-
ment Services",,"214,624,245",-,"147,302,562",-,69,,558,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,,,558,0
,Education & Training Services,"214,624,245",-,"147,302,562",-,69,,558,0
"Promotion of
Early Childhood
Education",,"377,621,676","149,200,000","341,196,855","18,217,905",90,12,558,0
,"Promotion of youth empow-
erment","377,621,676","149,200,000","341,196,855","18,217,905",90,12,558,0
,"Management and development
of Sports & Sports facilities",-,-,-,-,,,558,0
"Sports Develop-
ment, Training &
Competition",,-,-,-,-,,,558,0
,"Youth Training and Develop-
ment",-,-,-,-,,,558,0
"SP1 Revitalisation
of Youth Polytech-
nics",,"11,564,118","10,600,000","4,648,679","2,870,000",40,27,558,0
,"SP1 Revitalisation of Youth
Polytechnics","11,564,118","10,600,000","4,648,679","2,870,000",40,27,558,0
,Grand Total,"603,810,039","159,800,000","493,148,096","21,087,905",82,13,558,0
"Medical Services,
Public Health &
Sanitation",,-,-,-,-,,,558,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,,,558,0
"Administration,
Planning and Sup-
port Services",,-,-,-,-,,,558,0
,"Preventive and Promotive
Health Services",-,-,-,-,,,558,0
,,Rec,Dev,Rec,Dev,Rec,Dev,559,0
"Non-Communi-
cable Disease &
Prevention Control",,"310,858,117","148,700,000","191,055,813","54,312,061",61,37,559,0
,Maternal Health Services,"30,478,622",-,"18,786,814",-,62,,559,0
,"Communicable Disease
Control","60,980,375",-,"26,781,166",-,44,,559,0
,Health Promotive Services,"83,062,738",-,"46,236,292",-,56,,559,0
,Health Curative Services,"136,336,382","148,700,000","99,251,542","54,312,061",73,37,559,0
"County Referral
Services",,"768,665,527","5,000,000","496,014,022",-,65,0,559,0
,Free Primary Healthcare,"565,791,147","5,000,000","347,877,708",,61,0,559,0
,"Provision Of Essential Health
Services at All Levels","179,194,443",-,"134,270,603",-,75,,559,0
,"General Administration Plan-
ning and Support Services","23,679,937",-,"13,865,711",-,59,,559,0
"Health Standards
and Quality Assur-
ance Services",,"271,793,198",-,"113,138,878",-,42,,559,0
,Research And Development,"94,436,123",-,"51,405,802",-,54,,559,0
,"Health Infrastructure devel-
opment","5,426,344",-,"477,094",-,9,,559,0
,Human Resources for Health,"11,461,630",-,"2,848,162",-,25,,559,0
,"Health Policy, Planning &
Financing","137,190,994",-,"48,461,188",-,35,,559,0
,,"23,278,107",-,"9,946,632",-,43,,559,0
"Water Catchment
and Protection
Services",,-,-,-,-,,,559,0
,,-,-,-,-,,,559,0
,Grand Total,"1,351,316,842","153,700,000","800,208,713","54,312,061",59,35,559,0
"Lands, Housing,
Physical Planning &
Urban Development",,-,-,-,-,,,559,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,,,559,0
"Administration,
Planning and Sup-
port Services",,"92,708,636",-,"35,627,662",-,38,,559,0
,Land Use Policy and Planning,"92,708,636",-,"35,627,662",-,38,,559,0
"Housing manage-
ment services",,"24,217,275","36,000,000","10,369,512","14,422,000",43,40,559,0
,GIS Database creation,"4,459,409",-,"387,943",-,9,,559,0
,Spatial planning,-,-,-,-,,,559,0
,Survey And Mapping,"5,395,106",-,"1,794,660",-,33,,559,0
,Urban Centres Administration,"14,362,760","36,000,000","8,186,909","14,422,000",57,40,559,0
"Urban Centre Man-
agement",,"87,324,116","136,375,442","38,415,900","20,736,499",44,15,559,0
,Urban Centres Administration,"87,324,116","136,375,442","38,415,900","20,736,499",44,15,559,0
,Grand Total,"204,250,027","172,375,442","84,413,074","35,158,499",41,20,559,0
"Roads, Transport &
Public Works",,-,-,-,-,,,559,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,,,559,0
"Administration,
Planning and Sup-
port Services",,-,-,-,-,,,559,0
,,Rec,Dev,Rec,Dev,Rec,Dev,560,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,,,560,0
"Administrative
services",,"73,864,601",-,"54,683,259",-,74,,560,0
,"Design, implementation and
supervision of public buildings","58,770,593",-,"44,628,252",-,76,,560,0
,Firefighting services,"10,461,652",-,"8,538,305",-,82,,560,0
,"Infrastructure, Roads & Trans-
port Services","4,632,356",-,"1,516,701",-,33,,560,0
"Street lights man-
agement",,"41,691,785","349,900,000","14,220,082","103,617,116",34,30,560,0
,"Rehabilitation of Roads,
Drainage and Bridges","17,651,865","7,500,000","882,888","4,999,377",5,67,560,0
,"Public Road transport and
parking","11,359,998",-,"9,496,097",-,84,,560,0
,"Design, supervision and reha-
bilitation of County Buildings","4,909,734","342,400,000","1,553,577","98,617,739",32,29,560,0
,"General Administration Plan-
ning and Support Services","7,770,188",-,"2,287,520",-,29,,560,0
Administration,,-,-,-,-,,,560,0
,Land Use Policy and Planning,-,-,-,-,,,560,0
"Pollution control&
monitoring",,-,-,-,-,,,560,0
,"Conservation and Manage-
ment of Natural Ecosystems",-,-,-,-,,,560,0
"Stormwater man-
agement",,"4,463,388",-,"Mobilisa-
tion1,564,994","1,561,670",35,,560,0
,Water and sanitation services,"4,463,388",-,"1,564,994","1,561,670",35,,560,0
,,-,-,-,-,,,560,0
,Grand Total,"120,019,774","349,900,000","70,468,334","105,178,786",59,30,560,0
"Tourism, Trade,
Enterprise Develop-
ment & Coopera-
tives",,-,-,-,-,,,560,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,,,560,0
"General adminis-
tration",,"54,392,694",-,"29,367,327",-,54,,560,0
,"Cooperatives Development
and Management","54,392,694",-,"29,367,327",-,54,,560,0
"SACCO members’
empowerment",,"27,519,161",-,"18,867,428",-,69,,560,0
,"Enhance Marketing Cooper-
atives",-,-,-,-,,,560,0
,"Promote Commerce and
Enterprises","27,519,161",-,"18,867,428",-,69,,560,0
"Business Develop-
ment Services for
MSE’s",,"48,006,685",-,"38,677,062",-,81,,560,0
,"Promotion of Tourism and
Marketing","45,611,110",-,"38,071,322",-,83,,560,0
,"Tourism and Infrastructure
Development","2,395,575",-,"605,740",-,25,,560,0
"Establishment &
Management of
County Tourism
Information Centre",,"67,822,325","191,000,000","46,864,051","69,100,975",69,36,560,0
,,Rec,Dev,Rec,Dev,Rec,Dev,561,0
,"Tourism Training & Capacity
Building","5,453,588",-,"1,524,625",-,28,,561,0
,"Trade Development and
Promotion","62,368,737","191,000,000","45,555,726","69,100,975",73,36,561,0
,Domestic trade development,-,-,"(216,300)",-,,,561,0
"Market develop-
ment and promo-
tion of fair trade
services",,"19,055,620",-,"4,792,591",-,25,,561,0
,"General Administration Plan-
ning and Support Services","17,735,620",-,"4,758,611",-,27,,561,0
,"General Administration Plan-
ning and Support Services","1,320,000",-,"33,980",-,3,,561,0
"General Adminis-
tration Planning
and Support
Services",,"17,447,604","29,000,000","12,649,369","1,077,000",72,4,561,0
,"General Administration Plan-
ning and Support Services","17,447,604","29,000,000","12,649,369","1,077,000",72,4,561,0
,Grand Total,"234,244,089","220,000,000","151,217,828","70,177,975",65,32,561,0
"Culture, Social
Services, Gender,
Sports & Youth
Affairs",,-,-,-,-,,,561,0
,Education & Training Services,-,-,-,-,,,561,0
"Promotion of youth
empowerment",,-,-,-,-,,,561,0
,"Management and development
of Sports & Sports facilities",-,-,-,-,,,561,0
"Sports Develop-
ment, Training &
Competition",,"83,900,000","25,700,000","46,458,054","2,999,300",55,12,561,0
,"Public Sector Advisory
Services","83,900,000","25,700,000","46,458,054","2,999,300",55,12,561,0
"Economic, Social &
Political Advisory
Service",,"4,891,962",-,"1,885,390",-,39,,561,0
,"General Administration Plan-
ning and Support Services","4,891,962",-,"1,885,390",-,39,,561,0
"General Adminis-
tration Planning
and Support
Services",,"69,892,891","21,500,000","45,601,025",-,65,0,561,0
,"Community Mobilisation and
Development","69,892,891","21,500,000","45,601,025",-,65,0,561,0
"Community
Mobilisation and
Development",,"25,953,791",-,"10,592,953",-,41,,561,0
,"Development and Promotion
of Culture","7,431,030",-,"3,559,111",-,48,,561,0
,Social Welfare and Gender,"3,972,761",-,"2,757,400",-,69,,561,0
,Conservation of Heritage,"13,500,000",-,"3,718,472",-,28,,561,0
,"Development and manage-
ment of sports facilities","1,050,000",-,"557,970",-,53,,561,0
"Development and
management of
sports facilities",,"4,530,000",-,"2,649,700",-,58,,561,0
,"General Administration Plan-
ning and Support Services","4,530,000",-,"2,649,700",-,58,,561,0
