Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25 (Kshs.)",col_3,"Actual Expenditure as of 31 March 2025
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,502013060,"93,366,173","271,128,481","55,314,650","185,217,961.80",,,302,0
,502023060,"645,483,712",,"460,068,746.60",,,,302,0
503003069,,"13,350,000","96,418,824","840,110","20,000,000",6,21,302,0
,503013060,"13,350,000",,"840,110",,,,302,0
,503023060,,"96,418,824",,"20,000,000",,,302,0
504003069,,"500,000,000",,"220,000,000",,44,,302,0
,504013060,"500,000,000",,"220,000,000",,,,302,0
,,"1,303,382,385","427,390,361","739,662,300.60","205,217,961.80",57,48,302,0
3070-Kwale - Water and Urban Planning,,,,,,,,302,0
1001003070,,,"170,802,454",,"9,328,380",,5,302,0
,1001023060,,"49,535,000",,0,,,302,0
,1001033060,,"59,932,454",,"6,328,380",,,302,0
,1001043060,,"49,000,000",,0,,,302,0
,1001063060,,"12,335,000",,"3,000,000",,,302,0
1002003070,,"143,291,246","1,764,737,498","85,770,939.30","596,379,846.05",60,34,302,0
,1002013060,"47,819,744",,"34,825,836.30",,,,302,0
,1002023060,"95,471,502","1,764,737,498","50,945,103","596,379,846.05",,,302,0
,,"143,291,246","1,935,539,952","85,770,939.30","605,708,226.05",60,31,302,0
3071-Kwale - Infrastructure and Public Works,,,,,,,,302,0
202003071,,,"410,222,044",,,,0,302,0
,202013060,,"410,222,044",,,,,302,0
203003071,,,"1,500,000",,,,0,302,0
,203013060,,"1,500,000",,,,,302,0
305003071,,"180,678,096","667,190,677","110,788,994.75","403,436,563.75",61,60,302,0
,305013060,"57,482,129",,"50,268,296.10",,,,302,0
,305023060,"123,195,967","667,190,677","60,520,698.65","403,436,563.75",,,302,0
,,Rec,Dev,Rec,Dev,Rec,Dev,303,0
,,"180,678,096","1,078,912,721","110,788,994.75","403,436,563.75",61,37,303,0
3072-Kwale - ICT and Tourism,,,,,,,,303,0
304003072,,"4,430,249","-21,000,000","526,005",,12,0,303,0
,304013060,"4,430,249","-21,000,000","526,005",,,,303,0
305003072,,"93,805,762","80,501,688","69,843,581.30","19,508,808.30",74,24,303,0
,305013060,"25,481,817",,"19,431,965.55","19,508,808.30",,,303,0
,305023060,"68,323,945","80,501,688","50,411,615.75",,,,303,0
308003072,,"7,983,651","800,000","318,355",,4,0,303,0
,308013060,"7,983,651","800,000","318,355",,,,303,0
,,"106,219,662","60,301,688","70,687,941.30","19,508,808.30",67,32,303,0
3073-Kwale - County Public Service Board,,,,,,,,303,0
706003073,,"85,027,980",,"28,356,529.55",,33,,303,0
,706013060,"41,009,694",,"9,347,231",,,,303,0
,706023060,"6,000,000",,"33,600",,,,303,0
,706043060,"33,018,286",,"18,975,698.55",,,,303,0
,706053060,"3,000,000",,0,,,,303,0
,706063060,"2,000,000",,0,,,,303,0
,,"85,027,980",,"28,356,529.55",,33,,303,0
3074-Kwale- Public Service and Administration,,,,,,,,303,0
704003074,,"281,658,226","15,096,210","187,388,694",,67,0,303,0
,704013060,"201,176,390",,"158,541,377.50",,,,303,0
,704043060,"80,481,836","15,096,210","28,847,316.50",,,,303,0
708003074,,"4,301,200",,"900,000",,21,,303,0
,708033060,"4,301,200",,"900,000",,,,303,0
712003074,,"27,801,000",,"5,670,760.10",,20,,303,0
,712013060,"7,200,000",,"1,899,460",,,,303,0
,712023060,"8,576,000",,"1,449,460",,,,303,0
,712033060,"7,245,000",,"1,200,000",,,,303,0
,712043060,"4,780,000",,"1,121,840.10",,,,303,0
713003074,,"6,200,000",,"1,200,000",,19,,303,0
,713013060,"6,200,000",,"1,200,000",,,,303,0
714003074,,"6,048,247",,0,,0,,303,0
,714013060,"6,048,247",,0,,,,303,0
,,"326,008,673","15,096,210","195,159,454.10",,60,0,303,0
3075-Municipality of Kwale,,,,,,,,303,0
102003075,,"44,500,202",,"6,731,587",,15,,303,0
,102053060,"44,500,202",,"6,731,587",,,,303,0
111003075,,0,"112,459,627",0,"57,620,792.70",,51,303,0
