Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption
Rate (%)",col_7,page_number,table_index
"Urban Planning and
Development","Urban Planning and
Development","32,450,000",,"13,945,641",,43.0,-,272,0
"Health Promotion
Service","Health Promotion
Service","7,625,000",,"3,715,800",,48.7,-,272,0
"Environmental
Health and Sanitation","Environmental Health
and Sanitation","31,375,000",,"10,560,000",,33.7,-,272,0
"Youth Polytechnics
Services","Youth Polytechnics
Services","11,000,000",,"7,500,000",,68.2,-,272,0
"Primary Policy and
Legislation","Primary Policy and
Legislation","7,141,000",,"3,468,986.50",,48.6,-,272,0
"Social Responsibility,
Including Civic and
Public Engagement","Social Responsibility,
Including Civic and
Public Engagement","6,375,000",,"1,500,000",,23.5,-,272,0
"General Adminis-
tration and Support
Services","General Administration
and Support Services","84,634,000","476,700,000","43,530,226",,51.4,-,272,0
"Human Resource
Recruitment and
Development","Human Resource
Recruitment and Devel-
opment","5,875,000",,"1,560,300",,26.6,-,272,0
,Sub Total,"186,475,000","476,700,000","85,780,954",-,46.0,-,272,0
County Assembly of Kisumu,,,,,,,,272,0
"Administration,
Planning and Sup-
port Services",Financial Services,"78,801,053",,"59,343,994.55",,75.3,-,272,0
,Total,"78,801,053",,"59,343,994.55",,75.3,-,272,0
ICT Services,ICT Services,"11,078,568",,"5,881,238",,53.1,-,272,0
,Total,"11,078,568",,"5,881,238",,53.1,-,272,0
"General Adminis-
tration and Planning
Services",General Administration,"250,137,244","100,000,000","158,148,892.10",,63.2,-,272,0
,"Human Resources De-
velopment Services","185,056,884",,"127,341,155.95",,68.8,-,272,0
,Total,"435,194,128","100,000,000","285,490,048.05",,65.6,-,272,0
"Public Financial
Management","Budget Formulation
and Coordination
Services","8,442,346",,"5,184,022.10",,61.4,-,272,0
,Total,"8,442,346",,"5,184,022.10",,61.4,-,272,0
,,Rec,Dev,Rec,Dev,Rec,Dev,273,0
"Legislation and Over-
sight Services","Legislation and Over-
sight Services","156,060,629",,"101,603,700.55",,65.1,-,273,0
,"Policy Services (Speak-
er’s Office)","47,344,118",,"23,160,725.90",,48.9,-,273,0
,Total,"203,404,747",,"124,764,426.45",,61.3,-,273,0
"County Assembly
Service Board",SP2 Committee Services,"152,517,650",,"107,221,870",,70.3,-,273,0
,"Representation and
Public Participation
Services","119,181,164",,"73,743,317.10",,61.9,-,273,0
,Total,"271,698,814",,"180,965,187.35",,66.6,-,273,0
,Sub Total,"1,008,619,656","100,000,000","661,628,917",0,65.6,-,273,0
County Public Service Board,,,,,,,,273,0
"General Adminis-
tration and Support
Services","General Administration
and Support Services","41,760,033",,"19,392,682",,46.4,-,273,0
,"Promotion of Values
and Principles","1,700,000",,"1,157,900",,68.1,-,273,0
,"Human Resource
Recruitment and Devel-
opment","4,859,314",,"1,420,800",,29.2,-,273,0
,Sub-Total,"48,319,347",0,"21,971,382",0,45.5,-,273,0
"Education, Technical Training, Innovation and Social Service",,,,,,,,273,0
"Planning and Coor-
dination Services","Planning and Coordina-
tion Services","31,997,500",,"7,261,358",,22.7,-,273,0
"Youth Polytechnics
Services","Youth Polytechnics
Services","33,500,000","7,800,000","850,200",,2.5,-,273,0
"Youth Training
Facilities","Youth Training Facil-
ities","4,70,000","4,000,000","626,300",,-,-,273,0
"Early Childhood
Education","Early Childhood Edu-
cation","253,272,500","83,600,000","20,923,450",,8.3,-,273,0
"Youth Training and
Legislation","Youth Training and
Legislation","2,160,000","118,316,000","70,200","67,893,750",3.3,57.4,273,0
,Sub Total,"320,930,000","213,716,000","29,731,508","67,893,750",9.3,31.8,273,0
"Infrastructure, Energy and Public Works",,,,,,,,273,0
"Road Construction
and Maintenance","Road Construction and
Maintenance","40,000,000","760,126,000","17,890,400","837,113",44.7,0.1,273,0
Maintenance,Maintenance,"4,200,000","79,100,000",,,-,0.0,273,0
"Mechanical Engi-
neering Services","Mechanical Engineering
Services","32,490,000",,"7,817,587",,24.1,-,273,0
Public Works,Public Works,"1,750,000","150,000,000",,,-,-,273,0
"Administration
Planning","Administration Plan-
ning","33,560,000",,"4,333,320",,12.9,-,273,0
,Sub Total,"112,000,000","989,226,000","30,041,307","837,113",26.8,0.1,273,0
"Finance, Economic Planning and ICT Services",,,,,,,,273,0
"Urban Planning and
Development","Urban Planning and
Development","19,967,000","100,000,000","12,402,300",,62.1,-,273,0
"General Administra-
tion and Planning","General Administration
and Planning","75,900,000",,"30,214,985",,39.8,-,273,0
"Administrative
Services",Administrative Services,"658,900,000","923,603,602","358,194,119.40","562,043,818.90",54.4,60.9,273,0
ICT Services,ICT Services,"39,000,000",,"23,226,120",,59.6,-,273,0
"Internal Auditing
Services","Internal Auditing
Services","28,600,000",,"13,862,774",,48.5,-,273,0
Asset Management,Asset Management,"8,810,000",,"2,737,080",,31.1,-,273,0
"Budget Formulation
and Coordination
Services","Budget Formulation
and Coordination
Services","60,771,806",,"26,073,148",,42.9,-,273,0
,,Rec,Dev,Rec,Dev,Rec,Dev,274,0
"Management of
Public Financial
Resources","Management of Public
Financial Resources","16,000,000",,"8,159,000",,51.0,-,274,0
Revenue Mobilisation,Revenue Mobilisation,"75,000,000",,"31,173,027",,41.6,-,274,0
Statistics,Statistics,"9,575,000",,"3,278,933",,34.2,-,274,0
"Monitoring and
Evaluation","Monitoring and Eval-
uation","11,081,000",,"5,445,878",,49.1,-,274,0
"Policy Formulation
and Planning","Policy Formulation and
Planning","28,947,903",,"18,084,581",,62.5,-,274,0
,Sub Total,"1,032,552,709","1,023,603,602","532,851,945","562,043,819",51.6,54.9,274,0
"Trade, Tourism, Industry and Marketing",,,,,,,,274,0
"Trade Support
Services",Trade Support Services,"1,740,000","24,200,000","553,200",,31.8,-,274,0
"Verification and Cal-
ibration of Weighing
Equipment","Verification and Cal-
ibration of Weighing
Equipment","2,625,000",,"928,470",,35.4,-,274,0
"Tourist Event Man-
agement","Tourist Event Manage-
ment","5,588,589",,"243,600",,4.4,-,274,0
"Tourism Develop-
ment",Tourism Development,"3,177,337",,"850,700",,26.8,-,274,0
"Cooperative Gover-
nance","Cooperative Gover-
nance","1,925,000",,"474,400",,24.6,-,274,0
"Business Develop-
ment Services","Business Development
Services","827,208","150,000,000","130,100",,15.7,-,274,0
"General Adminis-
tration and Support
Services","General Administration
and Support Services","38,100,209",,"4,515,632",,11.9,-,274,0
,Sub Total,"53,983,343","174,200,000","7,696,102",-,14.3,-,274,0
"Medical Services, Public Health and Sanitation",,,,,,,,274,0
Policy Development,Policy Development,"5,450,000",,,,-,-,274,0
Disease Surveillance,Disease Surveillance,"255,000",,"50,400",,19.8,-,274,0
Reproductive Health,Reproductive Health,"450,000",,"37,800",,8.4,-,274,0
"Governance and
Leadership","Governance and Lead-
ership","353,388,218",,"198,219,140.30",,56.1,-,274,0
"Health Promotive
Services","Health Promotive
Services","32,578,766",,"24,740,553",,75.9,-,274,0
"Jaramogi Oginga
Odinga Teaching and
Referral Hospital","Jaramogi Oginga
Odinga Teaching and
Referral Hospital","650,000,000",,,,-,-,274,0
"Kisumu County
Referral Hospital","Kisumu County Refer-
ral Hospital","59,870,067",,,,-,-,274,0
"County and
Sub-County Hospital
Services","County and Sub-Coun-
ty Hospital Services","110,321,698","123,650,000",,,-,-,274,0
"Routine Nutritional
Survey","Routine Nutritional
Survey","400,000",,,,-,-,274,0
,Sub Total,"1,212,713,749","123,650,000","223,047,893",-,18.4,-,274,0
"Sports, Culture, Gender and Youth Affairs",,,,,,,,274,0
"Planning and Coor-
dination Services","Planning and Coordina-
tion Services","44,430,711","43,500,000","18,051,687",,40.6,-,274,0
"Physical Planning
Services","Physical Planning
Services","19,620,000",,"15,705,100",,80.0,-,274,0
"Infrastructure Devel-
opment","Infrastructure Devel-
opment","700,000",,"100,000",,14.3,-,274,0
"Entrepreneurial
Training and Busi-
ness Management
Skills","Entrepreneurial
Training and Business
Management Skills","2,393,020",,"60,000",,2.5,-,274,0
,,Rec,Dev,Rec,Dev,Rec,Dev,275,0
"Youth Training
Facilities","Youth Training Facil-
ities","4,828,000",,"497,400",,10.3,-,275,0
"Gender and Disabili-
ty Mainstreaming","Gender and Disability
Mainstreaming","5,925,000",,"2,000,050",,33.8,-,275,0
"Social Development
Facilities","Social Development
Facilities","498,000",,"19,800",,4.0,-,275,0
Talent Development,Talent Development,"8,240,721",,"5,727,200",,69.5,-,275,0
"Artistic Talent Devel-
opment","Artistic Talent Devel-
opment","3,345,000",,"875,000",,26.2,-,275,0
"Culture and Heritage
Development","Culture and Heritage
Development","3,400,000",,"2,851,200",,83.9,-,275,0
,Sub Total,"93,380,452","43,500,000","45,887,437",-,49.1,-,275,0
"Water, Environment, Natural Resources and Climate Change",,,,,,,,275,0
"Planning and Ad-
ministration","Planning and Admin-
istration","26,582,019",,"7,551,243",,28.4,-,275,0
"Management of
Stations",Management of Stations,"34,950,658","521,034,321","17,751,627","72,338,682.90",50.8,13.9,275,0
Climate Change,Climate Change,"6,820,000",,"2,356,280",,34.5,-,275,0
Mining Efficiency,Mining Efficiency,"385,160",,"12,000",,3.1,-,275,0
"Infrastructure Devel-
opment","Infrastructure Devel-
opment","1,264,071",,"684,300",,54.1,-,275,0
"Sustainable Access to
Safe Water","Sustainable Access to
Safe Water","2,817,208",,"750,000",,26.6,-,275,0
"Water Resources and
Sewerage Services","Water Resources and
Sewerage Services","5,329,763","94,400,000","1,372,000",,25.7,-,275,0
"Solid Waste Manage-
ment","Solid Waste Manage-
ment","4,148,760",,"2,187,896",,52.7,-,275,0
"Environmental Con-
servation of Natural
Resources","Environmental Con-
servation of Natural
Resources","275,800",,"79,600",,28.9,-,275,0
Pollution Control,Pollution Control,"1,410,700",,"100,000",,7.1,-,275,0
,Sub Total,"83,984,139","615,434,321","32,844,946","72,338,683",39.1,11.8,275,0
"Public Service, County Administration and Participatory Development",,,,,,,,275,0
"Resource Mobili-
sation",Resource Mobilisation,"43,940,000",,"22,956,175",,52.2,-,275,0
"Resource Develop-
ment",Resource Development,"6,163,000",,"1,627,050",,26.4,-,275,0
"Primary Policy and
Legislation","Primary Policy and
Legislation","142,003,600",,"87,763,187",,61.8,-,275,0
"Development and
Management of
County Adminis-
trative","Development and
Management of County
Administrative","43,927,168",,"14,017,897",,31.9,-,275,0
"Administration
and Formulation of
County Policy","Administration and
Formulation of County
Policy","20,000,000",,"12,812,801",,64.1,-,275,0
"Inter Government
Coordination and
Protocol","Inter-Government Co-
ordination and Protocol","9,827,600",,"4,281,089",,43.6,-,275,0
"Emergency, Relief,
Disaster Management
and Control","Emergency, Relief,
Disaster Management
and Control","22,160,000",,"17,189,490",,77.6,-,275,0
"Governor’s Press
Service and Commu-
nication","Governor’s Press
Service and Commu-
nication","28,364,000",,"6,448,634",,22.7,-,275,0
"Human Resource
Recruitment and
Development","Human Resource
Recruitment and Devel-
opment","5,247,995,090",,"4,246,462,583.20",,80.9,-,275,0
,,Rec,Dev,Rec,Dev,Rec,Dev,276,0
"General Adminis-
tration and Support
Services","General Administration
and Support Services","258,985,420","35,000,000","120,262,224",,46.4,-,276,0
"Monitoring and
Evaluation","Monitoring and Eval-
uation","11,413,200",,"5,894,792",,51.6,-,276,0
"Public Participation
Services","Public Participation
Services","9,327,600",,"1,900,970",,20.4,-,276,0
"County Planning and
Development","County Planning and
Development","31,830,000",,"7,798,778.20",,24.5,-,276,0
,Sub Total,"5,875,936,678","35,000,000","4,549,415,670",-,77.4,-,276,0
Grand Total,,"10,261,770,659","5,029,529,833","6,295,184,572","771,768,808",61.3,15.3,276,0
