Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2025",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
Water Services,"Water Management
Services","10,159,632","184,076,800","12,848,670",-,88,-,600,0
,"Water, Sanitation &
Hygiene","7,128,135","134,932,358","10,049,030","35,000,000",78,-,600,0
"Energy Develop-
ment",Renewable energy,"4,149,263",-,-,-,#DIV/0!,-,600,0
,Sub-Total,"21,437,029","319,009,158","22,897,700","35,000,000",82,65%,600,0
,Grand Total,"45,072,409","353,009,158","43,193,611","50,000,000",64,56%,600,0
Public service and administration,,,,,,,,600,0
"General Admin-
istration, support
and planning","General Adminis-
tration, support and
planning","1,251,996,934","20,000,000","937,324,765",-,100,-,600,0
"Human Resource &
Development","Performance manage-
ment system","4,200,000",-,"2,143,200",-,26,-,600,0
,"Human resource devel-
opment","178,400,000",-,"166,988,662",-,92,-,600,0
"County Adminis-
tration",Administration,"36,500,000",-,"41,549,600",-,93,-,600,0
,ICT,"6,008,377",,,-,,-,600,0
,Enforcement,"3,525,000",-,"32,493,350",-,100,-,600,0
"Citizen Participa-
tion",Citizen Participation,"5,900,000",-,"2,317,430",-,38,-,600,0
,Grand Total,"1,486,530,311","20,000,000","1,182,817,007",-,97,1%,600,0
Lands and physical planning,,,,,,,,600,0
"General Admin-
istration, Plan-
ning and support
services","General Administra-
tion, Planning and
support services","1,344,626",-,"983,531",-,73,-,600,0
"Land Policy and
Planning",Physical Planning,"25,564,624",-,"23,885,300",-,92,-,600,0
,"Survey, Mapping and
GIS","5,405,000","100,000,000","5,084,326","39,410,977",79,-,600,0
,Land Administration,"7,279,500",-,"6,144,529",,60,-,600,0
,Grand Total,"39,593,750","100,000,000","36,097,686","39,410,977",82,-,600,0
