Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"Green Energy Promo-
tion",0,"6,500,000",0,"4,500,000",∞,69.2,171,0
,"Renewable Energy
Technologies",0,-,0,-,∞,∞,171,0
,Sub-Total,"4,000,000","6,500,000","741,100","4,500,000",18.5,69.2,171,0
"Water, Energy, Environment … Total",,"83,667,351","305,940,000","23,759,607","66,467,766",28.4,21.7,171,0
Health Services,,,,,,,,171,0
"Health Curative
Services","Administration Support
Services",-,,-,,∞,∞,171,0
,"Human Resource Man-
agement","652,615,510",,"517,408,589",,79.3,∞,171,0
,"Monitoring & Evalu-
ation","2,402,000",,"33,600",,1.4,∞,171,0
,"Quality Assurance &
Standards","2,473,116",,0,,-,∞,171,0
,"Curative and Rehabili-
tative Health Services","43,110,939","6,000,000","14,877,000",-,34.5,∞,171,0
,"Curative Infrastructure
Support",0,"32,000,000",,-,∞,-,171,0
,"Pharmaceutical & Phar-
maceutical Commod-
ities","237,680,329","15,000,000","108,566,602",,45.7,-,171,0
,Sub-Total,"938,281,894","53,000,000","640,885,791",-,68.3,-,171,0
"Health Preven-
tive and Promo-
tive Services","Preventive and Promo-
tive Health Services",0,"19,620,000",,"4,334,660",∞,22.1,171,0
,"Human Resource Man-
agement",0,-,0,,∞,∞,171,0
,Primary Health Care,"374,433,877","36,632,500","303,305,599","5,687,120",81.0,15.5,171,0
,Nutrition,"4,427,392","2,500,000","1,287,700",-,29.1,-,171,0
,"Community Health
Services","40,360,000",-,"14,505,000",,35.9,∞,171,0
,"Communicable Diseas-
es Control","17,076,044",-,"4,491,460",,26.3,∞,171,0
,"Public Health Emergen-
cy Coordination","20,000,000",-,"8,788,000",-,43.9,∞,171,0
,Sub-Total,"456,297,313","58,752,500","332,377,759","10,021,780",72.8,17.1,171,0
FIF,FIF,"100,000,000",-,,,-,∞,171,0
Health Services Total,,"1,494,579,207","111,752,500","973,263,551","10,021,780",65.1,9.0,171,0
Town Administration,,,,,,,,171,0
