Program,Sub-Programme,"Budget Estimates
(Kshs)","Actual Expenditure
(Kshs)","Absorption
Rate (%)",page_number,table_index
,Education Support Programmes,"197,609,990","4,465,896",2.3,196,0
,Education Support Programme,"197,609,990","4,465,896",2.3,196,0
"Roads, Public Works
and Energy",Urban Transport,-,-,0.0,197,0
,Public Works,"125,461,807","41,916,360",33.4,197,0
,Public Works Management,"125,461,807","41,916,360",33.4,197,0
,Noise pollution,"60,000,000",-,0.0,197,0
,Energy Reticulation,"60,000,000",-,0.0,197,0
,Public Nuisance,"1,106,032,724","552,521,312",50.0,197,0
,Road Infrastructure Development,"1,105,532,724","552,521,312",50.0,197,0
,Public Works Management,"500,000",-,0.0,197,0
"Lands, Housing,
Urban Areas and
Physical Planning",Lands,"64,776,615","33,114,039",51.1,197,0
,Land Management Services,"64,776,615","33,114,039",51.1,197,0
,Survey,"7,416,320","3,484,157",47.0,197,0
,Land Management Services,"7,416,320","3,484,157",47.0,197,0
,Physical Planning,"84,494,476","22,197,196",26.3,197,0
,Land Management Services,"53,094,476","1,151,877",2.2,197,0
,Housing Management Services,"31,400,000","21,045,319",67.0,197,0
,Housing,"190,151,740","3,889,122",2.0,197,0
,Housing Management Services,"190,151,740","3,889,122",2.0,197,0
,Kakamega Municipality,"221,075,914","75,159,971",34.0,197,0
,Urban Development Service,"221,075,914","75,159,971",34.0,197,0
"Social Services, Youth
& Sports",Mumias Township,"73,085,534","44,155,685",60.4,197,0
,Urban Development Service,"73,085,534","44,155,685",60.4,197,0
,Social Services,"30,343,000","6,788,198",22.4,197,0
,Social Development and Promotions,"26,331,000","6,788,198",25.8,197,0
,Youth & Gender Development and Promotion Services,"4,012,000",-,0.0,197,0
,Children Services,"6,229,867","803,152",12.9,197,0
,Social Development and Promotions,"6,229,867","803,152",12.9,197,0
,Sports,"241,105,227","75,201,709",31.2,197,0
,Social Development and Promotions,0,"19,052,444",>100,197,0
,"Management and Development of Sports And Sports
Facilities","241,105,227","56,149,265",23.3,197,0
,Youth Development,"379,693,203","263,763,835",69.5,197,0
,Youth & Gender Development and Promotion Services,"379,693,203","263,763,835",69.5,197,0
,Culture,"17,509,586","18,000,768",102.8,197,0
,Culture and Arts Development,"17,509,586","18,000,768",102.8,197,0
,Labour,"844,350","636,000",75.3,197,0
,"Administration, Planning and Support Services","844,350","636,000",75.3,197,0
,Administration,"20,034,124","16,907,806",84.4,197,0
,"Administration, Planning and Support Services","20,034,124","16,907,806",84.4,197,0
,Library Services,"2,292,598","242,180",10.6,197,0
,Development of Library Services,"2,292,598","242,180",10.6,197,0
"Trade, Industrialisa-
tion & Tourism",Trade,"90,168,295","38,919,495",43.2,197,0
,Trade Development and Investment,"90,168,295","38,919,495",43.2,197,0
,Tourism,"5,003,758","3,658,509",73.1,197,0
,Promotion of tourism and marketing,"5,003,758","3,658,509",73.1,197,0
,Weights and Measures,"1,289,051","523,494",40.6,197,0
,"Administration, Planning and Support Services","1,289,051","523,494",40.6,197,0
,Industrialisation,"407,461,125","26,424,381",6.5,197,0
,Industrial development and investment,"407,461,125","26,424,381",6.5,197,0
,Administrative Services,"3,893,834","2,792,651",71.7,197,0
,"Administration, Planning and Support Services","3,893,834","2,792,651",71.7,198,0
,Market Administration,"4,521,658","2,310,918",51.1,198,0
,"Administration, Planning and Support Services","4,521,658","2,310,918",51.1,198,0
,Micro-Finance Cooperation,"6,350,000","6,350,000",100.0,198,0
,Trade Development and Investment,"6,350,000","6,350,000",100.0,198,0
"Water, Environment
and Natural Resources",Environment,"20,423,726","2,464,092",12.1,198,0
,Environmental conservation,"20,423,726","2,464,092",12.1,198,0
,Water and Sewerage,"240,344,071","91,374,823",38.0,198,0
,Water and Sanitation Services,"240,344,071","91,374,823",38.0,198,0
,Forestry,"11,131,752","368,020",3.3,198,0
,Natural Resource Management,"11,131,752","368,020",3.3,198,0
,Natural Resource,"2,526,516","1,024,600",40.6,198,0
,Natural Resource Management,"2,526,516","1,024,600",40.6,198,0
,Climate Change Directorate Administration,"529,687,604","45,288,158",8.5,198,0
,Environmental conservation,"527,158,387","44,994,488",8.5,198,0
,Environmental Conservation,"2,529,217","293,670",11.6,198,0
"Public Service and
Administration",Public Service,"6,683,839,559","4,410,955,720",66.0,198,0
,County Public service and Administrative services,"6,683,839,559","4,410,955,720",66.0,198,0
,County Administration,"237,309,117","256,829,546",108.2,198,0
"County Public Service
Board",County Public service and Administrative services,"237,309,117","256,829,546",108.2,198,0
,Ward Administration,"15,200,867","10,757,104",70.8,198,0
,County Public service and Administrative services,"15,200,867","10,757,104",70.8,198,0
,Enforcement,"5,698,312","332,100",5.8,198,0
,Management and administration of County Functions,"5,698,312","332,100",5.8,198,0
,Sub-County Administration,"16,379,475","12,590,077",76.9,198,0
,County Public service and Administrative services,"16,379,475","12,590,077",76.9,198,0
,Public Service Board,-,-,0.0,198,0
,Directorate of Alcoholic Drinks,"8,115,645","4,588,501",56.5,198,0
,Alcoholics and Drink Control,"8,115,645","4,588,501",56.5,198,0
,Community Area offices,"13,518,561","8,740,450",64.7,198,0
,County Public service and Administrative services,"13,518,561","8,740,450",64.7,198,0
,Public Participation Unit,"766,993","427,958",55.8,198,0
,General Administration and Support Services,"766,993","427,958",55.8,198,0
,Disaster Management Unit,"2,633,117","621,930",23.6,198,0
,County Administration,"2,633,117","621,930",23.6,198,0
,Records Management Unit,"789,494","1,079,580",136.7,198,0
,"Economic and policy formulation, and management
planning","789,494","1,079,580",136.7,198,0
Governor’s Office,Governor’s Office,"168,459,685","63,013,894",37.4,198,0
,Management and administration of County Functions,"168,459,685","63,013,894",37.4,198,0
,Liaison Office,"8,878,576","4,051,374",45.6,198,0
,"Support, Coordination and Advisory services","8,878,576","4,051,374",45.6,198,0
,County Court,"96,937,858","20,100,450",20.7,198,0
,"Support, Coordination and Advisory Services","96,937,858","20,100,450",20.7,198,0
,Intergovernmental Relation,"3,827,600","3,032,500",79.2,198,0
,"Support, Coordination and Advisory services","3,827,600","3,032,500",79.2,198,0
,Internal Audit,"12,351,864","3,826,614",31.0,198,0
,"Support, Coordination and Advisory services","12,351,864","3,826,614",31.0,198,0
,Cabinet Secretariat,"3,002,066","672,800",22.4,198,0
,"Support, Coordination and Advisory services","3,002,066","672,800",22.4,199,0
,Governor’s Advisory,"4,071,480","1,925,490",47.3,199,0
,"Support, Coordination and Advisory services","4,071,480","1,925,490",47.3,199,0
,Protocol,"3,949,992","327,200",8.3,199,0
,"Support, Coordination and Advisory services","3,949,992","327,200",8.3,199,0
,Governors press unit,"5,211,011","3,064,300",58.8,199,0
,"Support, Coordination and Advisory services","5,211,011","1,589,800",30.5,199,0
,Information and communication services,1,"1,474,500",>100,199,0
,Office of the County Secretary,"15,481,412","5,394,571",34.8,199,0
,Management and administration of County Functions,"15,481,412","5,394,571",34.8,199,0
"Finance and Economic
Planning",Financial Management,"1,632,481","990,550",60.7,199,0
,Management and administration of County Functions,"1,632,481","990,550",60.7,199,0
,Technical Services Unit,"9,075,053","2,780,705",30.6,199,0
,Management and administration of County Functions,"9,075,053","2,780,705",30.6,199,0
,Service Delivery and Risk Management,"10,693,527","4,754,941",44.5,199,0
,Management and administration of County Functions,"10,693,527","4,754,941",44.5,199,0
,Accounting,"436,741,152","15,857,987",3.6,199,0
,Public finance management,"436,741,152","15,857,987",3.6,199,0
,Economic Planning,"87,790,750","50,409,598",57.4,199,0
,"Economic and policy formulation, and management
planning","87,790,750","50,409,598",57.4,199,0
,Budget,"127,232,740","93,126,828",73.2,199,0
,Public finance management,"127,232,740","93,126,828",73.2,199,0
,Revenue Agency,"730,661,951","76,785,000",10.5,199,0
,Information and communication services,"670,661,951","35,535,000",5.3,199,0
,Public finance management,"60,000,000","41,250,000",68.8,199,0
,Administration,"195,791,218","50,904,151",26.0,199,0
,General Administration and Support Services,"195,791,218","50,904,151",26.0,199,0
,County Procurement,"10,638,702","4,293,311",40.4,199,0
,Public finance management,"10,638,702","4,293,311",40.4,199,0
,Investment Unit,"44,000,000","9,000,000",20.5,199,0
,Investment promotion,"44,000,000","9,000,000",20.5,199,0
"County Public Service
Board",County Public Service Board,"16,159,495","6,700,000",41.5,199,0
,County Public service and Administrative services,"16,159,495","6,700,000",41.5,199,0
,Administration and Support,"4,442,700","1,707,250",38.4,199,0
,Information and communication services,"4,442,700","1,707,250",38.4,199,0
"ICT, E-government &
Communication",ICT,"173,208,008","100,355,831",57.9,199,0
,Information and communication services,"173,208,008","100,355,831",57.9,199,0
,Communication,"38,694,952","14,334,288",37.0,199,0
,Information and communication services,"38,694,952","14,334,288",37.0,199,0
,E-Government,"1,580,000","97,900",6.2,199,0
,Information and communication services,"1,580,000","97,900",6.2,199,0
Grand Total,,"17,952,183,224","7,895,849,382",44.0,199,0
