Description of Programmes and Sub-Programmes,"Sum of Net Ap-
proved Estimates
(Kshs.)","Sum of Total
Payment and
Commitments
(Kshs.)","Sum of Bal-
ance
(Kshs.)","Sum of Im-
plementation
Status
(%)",page_number,table_index
SP: Sub-County Administration and Field Services,"1,611,880","1,611,880",-,100,366,0
"Public Service, Urban Development and Disaster Manage-
ment","1,611,880","1,611,880",-,100,366,0
P: Housing Development and Human Settlement,"2,942,046","2,879,452","62,594",97.9,366,0
SP: Housing Services,"2,942,046","2,879,452","62,594",97.9,366,0
"Roads, Infrastructure, Public Works and Industry","2,942,046","2,879,452","62,594",97.9,366,0
P: Human Resource Management and Development,"1,311,250","1,221,280","89,970",93.1,366,0
SP: County Public Service Board Services,"1,311,250","1,221,280","89,970",93.1,366,0
County Public Service Board,"1,311,250","1,221,280","89,970",93.1,366,0
P: ICT Infrastructure Development,"1,346,980","893,480","453,500",66.3,366,0
SP: ICT Infrastructure Development,"1,346,980","893,480","453,500",66.3,366,0
Energy and ICT,"1,346,980","893,480","453,500",66.3,366,0
P: Industrial Development and Investment,"3,766,450","3,766,450",-,100,366,0
SP: Consumer Protection & Fair Trade Practices,"1,584,300","1,584,300",-,100,366,0
Trade and Revenue,"1,584,300","1,584,300",-,100,366,0
SP: Industrial Development,"2,182,150","2,182,150",-,100,366,0
Trade and Revenue,"2,182,150","2,182,150",-,100,366,0
P: Kathwana Municipality Development Programme,"13,028,740","640,610","12,388,130",4.9,366,0
SP: Kathwana Urban Area Support,"13,028,740","640,610","12,388,130",4.9,366,0
"Lands, Physical Planning, Urban Development, Natural
Resources","13,028,740","640,610","12,388,130",4.9,366,0
P: Kenya Devolution Support Programme,"30,000,000","26,696,989","3,303,011",89.0,366,0
SP: Tharaka Nithi KDSP Capacity Building,"30,000,000","26,696,989","3,303,011",89.0,366,0
Finance and Economic Planning,"30,000,000","26,696,989","3,303,011",89.0,366,0
P: Land Policy and Planning,"343,785,576","257,139,028","86,646,548",74.8,366,0
SP: Land administration & management,"306,427,000","220,517,701","85,909,299",72.0,366,0
"Lands, Physical Planning, Urban Development, Natural
Resources","306,427,000","220,517,701","85,909,299",72.0,366,0
SP: Physical Planning Services,"37,358,576","36,621,327","737,249",98.0,366,0
"Lands, Physical Planning, Urban Development, Natural
Resources","37,358,576","36,621,327","737,249",98.0,366,0
P: Legal Affairs,"19,441,948","19,441,948",-,100,366,0
SP: Enforcement Services,-,-,-,0.0,366,0
"Public Service, Urban Development and Disaster Manage-
ment",-,-,-,0.0,366,0
SP: Legal Services,"16,573,608","16,573,608",-,100,366,0
"Public Service, Urban Development and Disaster Manage-
ment","16,573,608","16,573,608",-,100,366,0
SP: Public participation and Civic Education,"2,868,340","2,868,340",-,100,367,0
"Public Service, Urban Development and Disaster Manage-
ment","2,868,340","2,868,340",-,100,367,0
"P: Livestock and Fisheries Resource Management and Devel-
opment","80,522,238","76,220,579","4,301,659",94.7,367,0
SP: Fisheries Development and Promotion,"125,500","125,500",-,100,367,0
"Livestock, Veterinary and Fisheries Development","125,500","125,500",-,100,367,0
SP: Livestock Policy Development and Capacity Building,"78,889,038","74,587,379","4,301,659",94.5,367,0
"Livestock, Veterinary and Fisheries Development","78,889,038","74,587,379","4,301,659",94.5,367,0
SP: Veterinary Services and Disease Prevention,"1,507,700","1,507,700",-,100,367,0
"Livestock, Veterinary and Fisheries Development","1,507,700","1,507,700",-,100,367,0
P: Preventive and Promotive Health Services,"56,353,708","52,292,488","4,061,220",92.8,367,0
SP: Disease Surveillance,"120,000","120,000",-,100,367,0
Public Health and Sanitation,"120,000","120,000",-,100,367,0
SP: Environmental Health services,"14,305,224","12,257,836","2,047,388",85.7,367,0
Public Health and Sanitation,"14,305,224","12,257,836","2,047,388",85.7,367,0
SP: Health Promotion and Disease Control,"40,612,395","39,312,902","1,299,493",96.8,367,0
Public Health and Sanitation,"40,612,395","39,312,902","1,299,493",96.8,367,0
SP: HIV and AIDS Support Services,"238,000","238,000",-,100,367,0
Public Health and Sanitation,"238,000","238,000",-,100,367,0
SP: Nutrition Services,"772,248","229,750","542,498",29.8,367,0
Public Health and Sanitation,"772,248","229,750","542,498",29.8,367,0
SP: Reproductive Maternal and Child health Services,"305,841","134,000","171,841",43.8,367,0
Public Health and Sanitation,"305,841","134,000","171,841",43.8,367,0
P: Roads Transport,"572,219,624","444,953,236","127,266,388",77.8,367,0
SP: Rural Roads Improvement and Maintenance Services,"572,219,624","444,953,236","127,266,388",77.8,367,0
"Roads, Infrastructure, Public Works and Industry","572,219,624","444,953,236","127,266,388",77.8,367,0
P: Sports Development and Promotion,"72,482,825","46,749,619","25,733,206",64.5,367,0
SP: Athletics Championships and Other Games,"618,900","618,900",-,100,367,0
"Youth, Sports, Culture and Tourism","618,900","618,900",-,100,367,0
SP: County Football League and Clubs Development,"2,579,065","2,579,065",-,100,367,0
"Youth, Sports, Culture and Tourism","2,579,065","2,579,065",-,100,367,0
SP: Talent Search and Promotion,"69,284,860","43,551,654","25,733,206",62.9,367,0
"Youth,Sports,Culture and Tourism","69,284,860","43,551,654","25,733,206",62.9,367,0
P: Tourism Development and Promotion,"492,739","491,750",989,99.8,367,0
SP: Miss Tourism Tharaka Nithi,"283,689","282,700",989,99.7,367,0
"Youth,Sports,Culture and Tourism","283,689","282,700",989,99.7,367,0
SP: Tourism Branding and Marketing,"209,050","209,050",-,100,367,0
"Youth,Sports,Culture and Tourism","209,050","209,050",-,100,367,0
P: Water Supply Services,"162,801,984","54,060,467","108,741,517",33.2,367,0
SP: Domestic Water Services,"138,533,027","51,543,217","86,989,810",37.2,367,0
Water Services and Irrigation,"138,533,027","51,543,217","86,989,810",37.2,367,0
SP: Irrigation and Drainage Services,"23,660,800","1,910,800","21,750,000",8.1,367,0
Water Services and Irrigation,"23,660,800","1,910,800","21,750,000",8.1,367,0
SP: Water Storage Services,"608,157","606,450","1,707",99.7,367,0
Water Services and Irrigation,"608,157","606,450","1,707",99.7,367,0
P: County Assembly,"413,816,058","357,770,800","56,045,258",86.5,367,0
