Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
,"010203 Agribusiness and Market
Development","335,000","218,294","116,706",65.2,159,0
,"010206 Land and Crop Develop-
ment","1,331,000","1,123,180","207,820",84.4,159,0
,010207 Food Security Initiatives,"400,000","399,720",280,99.9,159,0
"Fisheries Devel-
opment",010402 Aquaculture Development,"200,000","200,000",-,100.0,159,0
"Policy Strategy
and Management
of Agriculture","010801 Development of Agricultur-
al Policy","5,910,000","5,790,567","119,433",98.0,159,0
,"010601 General Administration and
Planning","697,920,024","374,845,201","323,074,824",53.7,159,0
Sub Total,,"712,481,024","387,651,642","324,829,383",54.4,159,0
Culture,"091201 Gender Administration Ser-
vices","32,671,210","31,514,854","1,156,356",96.5,159,0
,"091301 Gender and Social Devel-
opment","32,484,000","28,779,859","3,704,141",88.6,159,0
Youth,"090901 Youth Development and
Empowerment Services","1,700,000","1,134,010","565,990",66.7,159,0
Sub Total,,"66,855,210","61,428,723","5,426,487",91.9,159,0
Sports,"090801 Development of Sports and
Sports Facilities","12,500,000","6,886,469","5,613,531",55.1,159,0
,"091401 Management & Develop-
ment of Sports and Sports Facilities","16,288,000","16,288,000",-,100.0,159,0
Social Services,090702 Social Services,"5,054,000","5,054,000",-,100.0,159,0
,"091601 Control & Campaign
Against Drug & Substance Abuse","3,084,000","3,084,000",-,100.0,159,0
,"091701 Preservation & Promotion
of Heritage and Culture","334,000","334,000",-,100.0,159,0
Children Services,"091101 Child Community Support
Services","5,797,000","5,797,000",-,100.0,159,0
Sub Total,,"43,057,000","37,443,469","5,613,531",87.0,159,0
"Trade Develop-
ment and Invest-
ment","030401 General Administration and
Planning","37,063,666","30,398,584","6,665,082",82.0,160,0
,"030103 Capacity Building for Trad-
ers and SME's","357,000","141,000","216,000",39.5,160,0
,"030104 promotion, Development &
Growth of Trade","37,670,653","35,612,327","2,058,326",94.5,160,0
,"030105 Fair Trade Practices and
Consumer Protection","350,000","244,500","105,500",69.9,160,0
"Tourism Devel-
opment and Mar-
keting","030302 Tourism promotion and
Marketing","2,257,000","437,498","1,819,502",19.4,160,0
,"030304 International Tourism Pro-
motion and Marketing","410,000","184,800","225,200",45.1,160,0
,"030305 Promotion of Industrial De-
velopment","1,905,000","548,100","1,356,900",28.8,160,0
,"030306 Provision of Industrial
Training","1,230,000","635,300","594,700",51.7,160,0
"Cooperative De-
velopment and
Marketing","030101 General Administration &
Planning","34,096,438","7,802,540","26,293,898",22.9,160,0
,"030405 Cooperative Advisory and
Extension Services","3,960,000","1,507,474","2,452,526",38.1,160,0
,"030406 Cooperative Education and
Training","2,450,000","635,198","1,814,802",25.9,160,0
,"030407 Cooperative Governance
and Accountability","283,300","155,800","127,500",55.0,160,0
"Cooperative Audit
Services","030603 Inspections and Investiga-
tions for Cooperatives","174,200","139,000.0","35,200",79.8,160,0
Sub Total,,"122,207,257","78,442,121","43,765,136",64.2,160,0
"Water Supply Ser-
vices",090101 Water and Irrigation,"48,934,000","29,704,969","19,229,031",60.7,160,0
"Energy Pro-
gramme",090301 Energy Services,"580,000","419,700","160,300",72.4,160,0
NEMA,"090502 Environment Management
and Protection","50,341,600","42,515,869","7,825,731",84.5,160,0
Water,"090701 General Administration &
Planning","65,715,308","43,796,325","21,918,983",66.6,160,0
Sub Total,,"165,570,908","116,436,863","49,134,045",70.3,160,0
"Land and Physical
Planning","010601 General Administration and
Planning","35,638,028","26,994,457","8,643,571",75.7,160,0
,010604 County Spatial Planning,"655,000","477,775","177,225",72.9,160,0
,010605 Town Zoning and Mapping,"71,302,200","50,998,100","20,304,100",71.5,160,0
,010607 Survey and Mapping,"695,000","538,616","156,384",77.5,160,0
"Estate Manage-
ment",011100 Estate Management,"500,000","395,584","104,416",79.1,160,0
Sub Total,,"108,790,228","79,404,532","29,385,696",73.0,160,0
"Transport Man-
agement","020301 General Administration and
Planning","62,148,285","40,139,883","22,008,402",64.6,160,0
"Disaster Manage-
ment","020401 Fire Fighting and Emergen-
cy Services","1,658,000","1,400,700","257,300",84.5,160,0
"Roads Devel-
opment Mainte-
nance and Man-
agement","020601 Construction and Mainte-
nance of Roads and Bridges","228,131,775","210,251,234","17,880,541",92.2,160,0
"Government
Building Services","020701 Government Building Ser-
vices","3,260,000","1,630,840","1,629,160",50.0,160,0
"Infrastructure De-
velopment, Main-
tenance and Man-
agement","020801 Infrastructure Development
Services","9,700,000","9,612,535","87,465",99.1,160,0
