Programme,"Sub- Pro-
gramme",Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,902023510,"Marginalized Group
Empowerment support
services","8,000,000","8,000,000",-,100.0,112,0
,902033510,"Empowerment Support
Services","6,000,000","6,000,000",-,100.0,112,0
1001003000,,,"60,932,949","59,737,823","1,195,126",98.0,112,0
,1001013510,"Administration and
Planning Support Ser-
vices","60,932,949","59,737,823","1,195,126",98.0,112,0
1002003000,,,"90,354,639","81,148,448","9,206,191",89.8,112,0
,1002013510,"Procurement of survey
equipment & accesso-
ries",-,-,-,-,112,0
,1002023510,"Water Supply and Stor-
age","87,854,639","78,648,648","9,205,991",89.5,112,0
,1002033510,"Civil Works-Rehabili-
tation & development
of Irrigation projects",-,-,-,-,112,0
,1002043510,"Civil Works-Establish-
ment of Dams & Pans","2,500,000","2,499,800",200,100.0,112,0
1003003000,,,"42,170,691","28,671,079","13,499,612",68.0,112,0
,1003013510,"Administration and
Support Services","23,739,062","21,346,150","2,392,912",89.9,112,0
,1003023510,"Environmental Conser-
vation","18,431,629","7,324,929","11,106,700",39.7,112,0
Grand Total,,,"5,234,346,234","4,611,169,303","623,176,931",88.1,112,0
