Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,"FY 2019/20 Ap-
proved Budget
(Kshs.)","Actual Pay-
ments in FY
2019/20 (Kshs.)","Absorption
rate in FY
2019/20 (%)"
,Sub total,,,"848,100",,342,0,"19,901,000","19,052,900",95.7
County Public Service Board,County Public Service Board,,,"3,633,754",,342,0,"80,515,639","76,881,885",95.5
,Sub total,,,"3,633,754",,342,0,"80,515,639","76,881,885",95.5
FINANCE AND ECONOMIC PLANNING,,,,,,342,0,,,
General Administration,General Administration,,,"30,412,690",,342,0,"419,413,023","389,000,333",92.7
,Sub total,,,"30,412,690",,342,0,"419,413,023","389,000,333",92.7
Financial Services,"Budget formulation, coordina-
tion and management",,,"1,744,911",,342,0,"66,475,244","64,730,333",97.4
,Accounting Services,,,"5,769,640",,342,0,"45,372,234","39,602,594",87.3
,"Supply chain management
services",,,"767,872",,342,0,"6,119,844","5,351,972",87.5
,Revenue,,,"2,488,920",,342,0,"21,676,862","19,187,942",88.5
,Audit and assurance services,,,"757,534",,342,0,"6,361,924","5,604,390",88.1
,Sub total,,,"11,528,877",,342,0,"146,006,108","134,477,231",92.1
Economic Planning Services,Economic Planning Services,,,"1,852,741",,342,0,"23,488,572","21,635,831",92.1
,Sub total,,,"1,852,741",,342,0,"23,488,572","21,635,831",92.1
"AGRICULTURE, FOOD, LIVESTOCK AND FISHERIES",,,,,,342,0,,,
"General Administration and
Planning","General Administration and
Planning",,,"263,065,580",,343,0,"426,415,035","163,349,455",38.3
,Sub total,,,"263,065,580",,343,0,"426,415,035","163,349,455",38.3
"Livestock Management and De-
velopment","Livestock Management and
Development",,,"4,287,058",,343,0,"38,154,338","33,867,280",88.8
,Sub total,,,"4,287,058",,343,0,"38,154,338","33,867,280",88.8
Crop and Land Development,Crop and Land Development,,,"7,373,666",,343,0,"95,128,679","87,755,013",92.2
,Sub total,,,"7,373,666",,343,0,"95,128,679","87,755,013",92.2
"Fisheries Management and De-
velopment","Fisheries Management and
Development",,,"1,410,186",,343,0,"25,573,217","24,163,031",94.5
,Sub total,,,"1,410,186",,343,0,"25,573,217","24,163,031",94.5
Veterinary Services,Veterinary Services,,,"2,361,534",,343,0,"21,685,522","19,323,988",89.1
,Sub total,,,"2,361,534",,343,0,"21,685,522","19,323,988",89.1
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,,343,0,,,
"Water Resources Development
and Management","Water Resources Develop-
ment and Management",,,"312,878,225",,343,0,"532,156,185","219,277,960",41.2
,Sub total,,,"312,878,225",,343,0,"532,156,185","219,277,960",41.2
"General Administration, Plan-
ning and Support Services","General Administration, Plan-
ning and Support Services",,,"4,582,518",,343,0,"37,507,180","32,924,662",87.8
,Sub total,,,"4,582,518",,343,0,"37,507,180","32,924,662",87.8
"Environment and Natural Re-
sources Conservation and Man-
agement","Environment and Natural
Resources Conservation and
Management",,,"958,120",,343,0,"3,610,241","2,652,121",73.5
,Sub total,,,"958,120",,343,0,"3,610,241","2,652,121",73.5
"EDUCATION, YOUTH AFFAIRS, GENDER AND SOCIAL SERVICES",,,,,,343,0,,,
"General Administration, Plan-
ning and Support Services","General Administration, Plan-
ning and Support Services",,,"183,478,681",,343,0,"689,080,297","505,601,616",73.4
,Sub total,,,"183,478,681",,343,0,"689,080,297","505,601,616",73.4
County Pre Primary Education,"County Pre Primary Educa-
tion",,,"534,612",,343,0,"3,917,826","3,383,214",86.4
,Sub total,,,"534,612",,343,0,"3,917,826","3,383,214",86.4
"Vocational Education and Train-
ing Development","Vocational Education and
Training Development",,,"686,803",,343,0,"2,030,117","1,343,314",66.2
,Sub total,,,"686,803",,343,0,"2,030,117","1,343,314",66.2
"County Social Security and Ser-
vices","County Social Security and
Services",,,"470,938",,343,0,"1,530,631","1,059,693",69.2
,Sub total,,,"470,938",,343,0,"1,530,631","1,059,693",69.2
COUNTY HEALTH SERVICES,,,,,,343,0,,,
"General Administration, Plan-
ning and Support Services","General Administration, Plan-
ning and Support Services",,,"251,391,006",,343,0,"2,030,264,149","1,778,873,143",87.6
,Sub total,,,"251,391,006",,343,0,"2,030,264,149","1,778,873,143",87.6
"Curative and Rehabilitative
Health Care Services","Curative and Rehabilitative
Health Care Services",,,"21,713,797",,343,0,"221,765,738","200,051,941",90.2
,Sub total,,,"21,713,797",,343,0,"221,765,738","200,051,941",90.2
"Preventive and Promotive
Health Services","Preventive and Promotive
Health Services",,,-,,343,0,"111,940,000","111,940,000",100
,Sub total,,,-,,343,0,"111,940,000","111,940,000",100
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT AND HOUSING",,,,,,343,0,,,
"General Administration, Plan-
ning and Support Services","General Administration, Plan-
ning and Support Services",,,"104,874,608",,343,0,"156,706,187","51,831,579",33.1
,Sub total,,,"104,874,608",,343,0,"156,706,187","51,831,579",33.1
Land Use Planning,Land Use Planning,,,"20,009,741",,343,0,"129,476,489","109,466,748",84.5
,Sub total,,,"20,009,741",,343,0,"129,476,489","109,466,748",84.5
"County Land Administration
and Surveying","County Land Administration
and Surveying",,,"1,320,500",,343,0,"3,984,090","2,663,590",66.9
,Sub total,,,"1,320,500",,343,0,"3,984,090","2,663,590",66.9
