Programme,Sub Programmes,Approved Budget,Actual Expenditure,Variance,Variance %,page_number,table_index
,Roads,"22,000,000",-,"22,000,000",-,356,0
,"Administration, Planning and
Support Services","83,804,971","52,377,279","31,427,692",63,356,0
,"Administration, planning, Opera-
tion and Maintenance","83,804,971","52,377,279","31,427,692",63,356,0
,Public Works,"321,860,203","22,746,130","299,114,073",7,356,0
,Construction,"12,000,000",-,"12,000,000",-,356,0
,County Headquarters,"309,860,203","22,746,130","287,114,073",7,356,0
,County Roads Development,"408,935,271","144,482,110","264,453,161",35,356,0
,Routine Maintenance,"345,678,605","107,733,310","237,945,295",31,356,0
,Opening of New Roads,"46,478,333","35,886,000","10,592,333",77,356,0
,"Grading and Murruming of
County Roads","16,778,333","862,800","15,915,533",5,356,0
,County Housing Development,"10,980,301","3,104,626","7,875,675",28,356,0
,Housing Development,"4,641,910","1,779,550","2,862,360",38,356,0
,Urbanization,"6,338,391","1,325,076","5,013,315",21,356,0
,Urban Development,"152,500,000","4,728,900","147,771,100",3,356,0
,Hola Municipality,"152,500,000","4,728,900","147,771,100",3,356,0
,"Administration and Support
Services","25,255,230","22,489,682","2,765,548",89,356,0
,"Administration, planning & sup-
port Services","25,255,230","22,489,682","2,765,548",89,356,0
"Trade, Tour-
ism, Wildlife and
Co-operative De-
velopments","Promotion of Trade, Tourism
and Cooperative Development","93,747,783","66,321,102","27,426,681",71,356,0
,Promotion of Trade,"77,365,038","61,200,156","16,164,882",79,356,0
,Promotion of Tourism,"7,232,215","2,634,373","4,597,842",36,356,0
,"Promotion of Cooperative Devel-
opment","9,150,530","2,486,573","6,663,957",27,356,0
,"Administration and Support
Services","1,019,536,780","896,481,764","123,055,016",88,356,0
,"Administration, planning & sup-
port Services","1,019,536,780","896,481,764","123,055,016",88,356,0
"Water and Sani-
tation",Water Services Programme,"24,200,000",-,"24,200,000",,356,0
,"Construction and Rehabilitation
of Civil Works","24,200,000",-,"24,200,000",,356,0
Medical Services,Health Services Programme,-,-,-,,356,0
,Curative and Rehabilitative,"207,657,159","170,113,659","37,543,500",82,356,0
,Medical Supllies,"172,228,020","152,576,400","19,651,620",89,356,0
,Medical Services,"16,965,439","10,610,133","6,355,306",63,357,0
,Ambulance Services,"18,463,700","6,927,126","11,536,574",38,357,0
,Preventive and Promotive,"53,871,665","13,252,522","40,619,143",25,357,0
,Preventive and Promotive,"47,704,020","9,712,450","37,991,570",20,357,0
,"Licensing and Control of Under-
taking","6,167,645","3,540,072","2,627,573",57,357,0
,Mobile Clinics,-,-,-,-,357,0
"Education and
Vocational Train-
ing","Early childhood Education De-
velopment Programme",-,-,-,-,357,0
,"General Administration, Plan-
ning and Support services","290,539,456","224,500,053","66,039,403",77,357,0
,"General operation, Planning and
support services","290,539,456","224,500,053","66,039,403",77,357,0
,Sports Services,-,-,-,-,357,0
,Sports Services,-,-,-,-,357,0
,"Quality and Standard Assur-
ance in EYE Centre","147,599,237","40,726,968","106,872,269",28,357,0
,"ECDE Learning/Teaching Mate-
rials","19,392,902","11,227,946","8,164,956",58,357,0
,"ECDE Furniture and Equipment
Support","12,824,606","8,268,460","4,556,146",65,357,0
,ECDE Food Program,"32,867,809","18,489,532","14,378,277",56,357,0
,ECDE Infrastructure,"82,513,920","2,741,030","79,772,890",3,357,0
,"Vocational Training Centers
and Adult Education","80,939,337","36,078,392","44,860,945",45,357,0
,"Youth Polytechnic Publicity
Campaigns","7,603,675","5,196,700","2,406,975",68,357,0
,Annual Graduation and Rewards,"10,813,674","4,353,794","6,459,880",40,357,0
,Quality and Standards Assurance,-,-,-,,357,0
,"Provision of Modern Tools and
Equipment","12,044,304","3,687,600","8,356,704",31,357,0
,"Subsidized Youth Polytechnic
Tuition Fund (SYPT)","50,477,684","22,840,298","27,637,386",45,357,0
,ICT Infrastructure,-,-,-,,357,0
,"Administration, planning sup-
port services","897,114,836","725,419,077","171,695,759",81,357,0
,"Administration, planning support
services","897,114,836","725,419,077","171,695,759",81,357,0
"Finance and Eco-
nomic Planning",Financial Management,"1,540,160,760","1,360,929,856","179,230,904",88,357,0
,Financial management,"29,305,718","29,354,900","(49,182)",100,357,0
,"Financial Policy Formulation
Management",-,-,-,,357,0
,Supply Chain Managements,"14,762,714","12,132,977","2,629,737",82,357,0
,"Budget Formulation ,coordina-
tion and management",-,-,-,,357,0
,Accounting and Audit Services,"2,199,500","2,161,500","38,000",98,357,0
,Own Source Revenue Collection,"14,114,611","9,603,471","4,511,140",68,357,0
,Budget and Economic Planning,"36,366,653","32,137,920","4,228,733",88,357,0
,Accounting & Finance,"1,431,997,074","3,821,702,015","(2,389,704,941)",267,357,0
,Internal Audit,"3,677,300","3,609,900","67,400",98,357,0
,Monitoring and Evaluation,"7,737,190","5,704,082","2,033,108",74,357,0
,Economic Planning,-,-,-,,357,0
,Economic planning,-,-,-,,357,0
,"Board Administration, Plan-
ning and Governance","36,932,142","31,165,291","5,766,851",84,357,0
,Board Operations & Governance,"36,932,142","31,165,291","5,766,851",84,357,0
,,"13,292,498","3,839,950","9,452,548",29,357,0
,"Ethics Governance and Compli-
ance","2,782,498","1,576,000","1,206,498",57,357,0
,"Informatinal Communication
Technology (ICT)",-,-,-,,357,0
,"Human Resource Management &
Development","8,510,000","1,192,240","7,317,760",14,358,0
,"Skills and Competence Develop-
ment","2,000,000","1,071,710","928,290",54,358,0
,,"165,582,452","164,883,700","698,752",100,358,0
,"Performance Management Sys-
tem","7,773,348","7,074,596","698,752",91,358,0
,Human Resource Development,"157,809,104","157,809,104",-,100,358,0
,,"65,576,781","34,743,245","30,833,536",53,358,0
,County Administration,"65,576,781","34,743,245","30,833,536",53,358,0
,,"13,332,420","11,653,040","1,679,380",87,358,0
,Citizen Participation,"13,332,420","11,653,040","1,679,380",87,358,0
,,"338,544,858","273,432,382","65,112,476",81,358,0
,"County Leadership & Coordina-
tion of CDAs","72,304,607","45,458,024","26,846,583",63,358,0
,"County Government Advisory
Service","42,883,169","40,773,229","2,109,940",95,358,0
,"Coordination of Peace and Cohe-
sion","223,357,082","187,201,129","36,155,953",84,358,0
,"Administration, planning sup-
port services","86,532,153","40,319,673","46,212,480",47,358,0
,"Administration, planning support
services","86,532,153","40,319,673","46,212,480",47,358,0
,Social development,-,-,-,,358,0
,Social development,-,-,-,,358,0
Culture,Culture,-,-,-,,358,0
,"Natural Disaster mitigation
programme","72,494,563","31,400,677","41,093,886",43,358,0
,"Natural Disaster mitigation pro-
gramme",-,-,-,,358,0
,"Drought management (Prepared-
ness, Response and Recovery)","1,994,563","1,686,360","308,203",85,358,0
,Capacity Building,-,-,-,,358,0
,"Emergency Relief (food, medi-
cine, blankets, cash grant)","70,500,000","29,714,317","40,785,683",42,358,0
,"Conflict Resolution & Peace
Building",-,-,-,,358,0
,,"11,170,049","8,533,465","2,636,584",76,358,0
,"Pocial Protection and Response
to Other Disasters",-,-,-,,358,0
,Food Distribution and Rations,"10,160,000","8,095,170","2,064,830",80,358,0
,"Capacity Building to Response to
Fire Outbreaks and Other Disaste","1,010,049","438,295","571,754",43,358,0
,Resettlement of Victims,-,-,-,,358,0
,Coordination of Activities,-,-,-,,358,0
,,"19,200,000","2,936,000","16,264,000",15,358,0
,"Culture Promotion and Develop-
ment","16,050,000","2,430,000","13,620,000",15,358,0
,"Empowerment/Capacity Build-
ing of Cultural Practitioners","3,150,000","506,000","2,644,000",16,358,0
,,"7,200,000","2,870,600","4,329,400",40,358,0
,Baseline Survey for OVC,"2,700,000","1,255,600","1,444,400",47,358,0
,"Community Awareness Creation
on Child Rights and Child Protecti","3,050,000","1,562,320","1,487,680",51,358,0
,Enhanced Child Participation,"1,450,000","52,680","1,397,320",4,358,0
"Gender, Social
Services and
Youth Develop-
ment",,"9,950,000","6,505,900","3,444,100",65,358,0
,Women Empowerment,"4,550,000","3,264,400","1,285,600",72,358,0
,Gender and Leadership,"5,400,000","3,241,500","2,158,500",60,358,0
,County Social Protection Scheme,-,-,-,,358,0
