Sub- Programme,col_1,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index
"Child Care Support Ser-
vices","Infrastructure Development And
Sanitation Improvement","7,030,000","397,490","6,632,510",5.7,251,0
,Ecde Staffing,"8,780,000","537,700","8,242,300",6.1,251,0
,Sub total,"15,810,000","935,190","14,874,810",5.9,251,0
"Quality Management
Services","Quality Assurance And Stand-
ards Services","7,000,000","1,863,450","5,136,550",26.6,251,0
,"Sub County Education Office
Services","1,600,000","1,315,410","301,590",82.2,251,0
,Sub total,"8,600,000","3,178,860","5,438,140",37.0,251,0
"General Administration
and supportive Services
(Sports)",General Administration Services,"9,180,000","5,219,575","3,960,425",56.9,251,0
,Sub total,"9,180,000","5,219,575","3,960,425",56.9,251,0
"Sports and Culture De-
velopment",Sports And Talent Development,"20,000,000","12,540,200","7,459,800",62.7,251,0
,Talent Development Services,"5,500,000","5,500,000",-,100.0,251,0
,Sub total,"25,500,000","18,040,200","7,459,800",70.8,251,0
"Youth Development &
Empowerment","Youth Home Craft Centres And
Enterprises Services","1,500,000","983,000","517,000",65.5,251,0
,Sub total,"1,500,000","983,000","517,000",65.5,251,0
"Sports and Culture De-
velopment","Culture And Heritage Conserva-
tion","3,500,000","1,764,800","1,735,200",50.4,251,0
,Sub total,"3,500,000","1,764,800","1,735,200",50.4,251,0
"Gender and Equality
Services","Women Empowerment Enter-
prises And Support Services","4,000,000","918,400","3,081,600",23.0,251,0
,"Pwds Enterprises And Support
Services","1,500,000","1,000,000","500,000",66.7,251,0
,Sub total,"5,500,000","1,918,400","3,581,600",34.9,252,0
"General Administration
and supportive Services
(development)","General Administration Services
(Pending bills)","33,905,117","25,615,957","8,289,160",75.6,252,0
,Sub total,"33,905,117","25,615,957","8,289,160",75.6,252,0
"Child Care Support Ser-
vices","Construction of ECDE Class-
rooms (Community Projects
New)","82,482,176","38,266,429","64,198,994",46.4,252,0
,Sub total,"82,482,176","38,266,429","64,198,994",46.4,252,0
"Youth Development &
Empowerment","Equiping of Vocational Educa-
tion and Training Centres","10,000,000",-,"10,000,000",-,252,0
,Completion of VETCs,"18,000,000","2,810,010","15,189,990",15.6,252,0
,Sub total,"28,000,000","2,810,010","25,189,990",10.0,252,0
External Funding,"Rehabilitation of village pol-
ytechnics - External Funding
(grant)","30,033,298","14,796,275","30,033,298",49.3,252,0
,Sub total,"30,033,298","14,796,275","30,033,298",49.3,252,0
"Sports and Culture De-
velopment",Migori County Modern Stadium,"20,000,000",-,"20,000,000",-,252,0
,Sub total,"20,000,000",-,"20,000,000",-,252,0
"Sports and Culture De-
velopment","Culture And Heritage Conserva-
tion","3,000,000",-,"3,000,000",-,252,0
,Sub total,"3,000,000",-,"3,000,000",-,252,0
,,,,,,252,0
"Policy, Planning and
Administrative Support
Services",Administrative Support Services,"45,820,872","72,302,906","(26,482,034)",157.8,252,0
,Sub total,"45,820,872","72,302,906","(26,482,034)",157.8,252,0
"Trade And Markets Pro-
motion And Develop-
ment","Trade Development And Promo-
tion Of SMEs Services","13,208,590","8,781,382","4,427,208",66.5,252,0
