Vote Code Title,Programme Code And Title,"Revised 2019/2020
FY Budget",Actual Expenditure,Variance,"Absorption
(%)",page_number,table_index
,"0208030 Sp 2.3: Ict And Media
Regulatory Services","8,671,373","1,912,925","6,758,448",22.1,276,0
,"0208040 Sp 2.4 E-Government
Services","281,055,100","1,635,410","279,419,690",0.6,276,0
,"0210005310 Ict Infrastructure
Development","111,800,000",-,"111,800,000",-,276,0
,,Kshs.,Kshs.,Kshs.,,277,0
,"0210010 Sp1: Ict Infrastructure
Connectivity","106,400,000",-,"106,400,000",-,277,0
,"0210035310 Sp 3:Information
Security","5,400,000",-,"5,400,000",-,277,0
,"Total 5313000000 Ict, E-Govt
& Public Communications","565,666,522","108,464,025","457,202,497",19.2,277,0
"5314000000 Finance &
Economic Planning","0701005310 Public Financial
Management","5,667,404,491","4,274,536,625","1,392,867,865",75.4,277,0
,"0701015310 Assets Manage-
ment Services","272,843,720","211,590,510","61,253,210",77.6,277,0
,"0701065310 Sp1.6 Accounting
Services","5,032,283,397","3,853,724,649","1,178,558,748",76.6,277,0
,"0701075310 Sp1.7 Budget For-
mulation Coordination And Mgt","113,705,010","47,534,824","66,170,186",41.8,277,0
,"0701085310 Sp1.8 Resource
Mobilization","125,494,700","70,626,413","54,868,287",56.3,277,0
,"070115310 Debt Management
Services","13,949,500","1,265,300","12,684,200",9.1,277,0
,"0718085310 Sp8 Supply Chain
Management","109,128,164","89,794,930","19,333,234",82.3,277,0
,"0718005310 General Adminis-
trative Services","936,079,417","838,906,035","97,173,382",89.6,277,0
,"0718015310 Sp1 General Ad-
ministration & Support Services","936,079,417","838,906,035","97,173,382",89.6,277,0
,"0719000 P3: Economic And
Financial Policy Formulation
And Management","104,338,463","30,499,795","73,838,668",29.2,277,0
,"0719010 Sp 3.1 Fiscal Policy
Formulation, Development And
Management","104,338,463","30,499,795","73,838,668",29.2,277,0
,"Total 5314000000 Finance &
Economic Planning","6,707,822,371","5,143,942,456","1,563,879,915",76.7,277,0
5315000000 Health,"0401000 P.1 Preventive &
Promotive Health Services","240,501,723","185,332,552","55,169,171",77.1,277,0
,"0401115310 Hiv/Aids Preven-
tion & Control Unit","3,366,402","75,000","3,291,402",2.2,277,0
,0401125310 Tb Control,"1,393,700",-,"1,393,700",-,277,0
,"0401135310 Malaria Control &
Other Communicable Diseases","973,100","117,600","855,500",12.1,277,0
,"0401145310 Reproductive
Health & Maternal Health
(Rmncah)","147,860,421","145,312,152","2,548,269",98.3,277,0
,"0401155310 Environmental /
Public Health","86,908,100","39,827,800","47,080,300",45.8,277,0
,0402005310 Curative Care,"567,788,679","131,394,898","436,393,781",23.1,277,0
,"0402065310 Sp.2.6 County
Referral Hospitals","360,202,000","102,086,656","258,115,344",28.3,277,0
,"0402075310 Sp.2.7 Health
Centres & Dispensaries","207,586,679","29,308,242","178,278,437",14.1,277,0
,"0404005310 General Adminis-
tration, Planning And Support
Services","5,729,524,146","4,977,656,049","751,868,097",86.9,277,0
,"0404015310 Sp4.1 Adminis-
tration/Human Resource For
Health","5,180,642,446","4,699,776,808","480,865,638",90.7,277,0
,"0404025310 Sp4.2 Health Poli-
cy, Planning & Financing","26,358,900","2,276,509","24,082,391",8.6,277,0
,"0404035310 Sp 4.3 Health
Commodities","480,263,800","275,048,376","205,215,424",57.3,277,0
,,Kshs.,Kshs.,Kshs.,,278,0
,"0404045310 Sp 4.4 Research,
Quality Assurance & Standards
Unit","20,121,700","554,356","19,567,344",2.8,278,0
,"0404055310 Sp 4.5 Coroner
Services Unit","22,137,300",-,"22,137,300",-,278,0
,Total 5315000000 Health,"6,537,814,548","5,294,383,499","1,243,431,049",81.0,278,0
"5316000000 Urban Plan-
ning And Lands","0106000 P 6 General Adminis-
tration Planning And Support
Services","213,837,689","192,306,604","21,531,085",89.9,278,0
,"0106010 Sp.6.1 Administration,
Planning & Support Services","213,837,689","192,306,604","21,531,085",89.9,278,0
,"0114005310 P.8:Urban Plan-
ning, Compliance & Enforce-
ment","107,193,887","11,022,588","96,171,299",10.3,278,0
,"0114015310 Sp 8.1 Urban
Planning","81,731,567","9,062,162","72,669,405",11.1,278,0
,"0114025310 Sp 8.2 Enforce-
ment And Compliance","25,462,320","1,960,426","23,501,894",7.7,278,0
,"0115005310 P.9:Land Man-
agement","221,551,437","151,235,980","70,315,457",68.3,278,0
,"0115015310 Sp 9.1 Valuation
Services","43,830,300","9,559,584","34,270,717",21.8,278,0
,"0115025310 Sp 9.2 Land
Survey","163,733,096","139,683,828","24,049,268",85.3,278,0
,"0115035310 Sp 9.3 Administra-
tive Services","13,988,041","1,992,568","11,995,473",14.2,278,0
,"Total 5316000000 Urban Plan-
ning And Lands","542,583,013","354,565,171","188,017,842",65.3,278,0
"5317000000 Public Works
,Transport & Infrastruc-
ture","0207000 P1: General Adminis-
tration Planning And Support
Services","1,066,497,939","811,474,350","255,023,589",76.1,278,0
,"0207010 Sp 1: General Admin-
istration, Planning And Support
Services","1,066,497,939","811,474,350","255,023,589",76.1,278,0
,"0211005310 P5:Roads,Drain-
age & Bridges","2,288,784,776","738,908,133","1,549,876,643",32.3,278,0
,"0211015310 Sp 5.1 Construc-
tion Roads & Drainages &
Maintenance","2,288,784,776","738,908,133","1,549,876,643",32.3,278,0
,"0212005310 P6:Road Safety
Interventions","86,720,000","51,276,355","35,443,645",59.1,278,0
,"0212015310 Sp 6.1 Transport
Facilities & Traffic Management","86,720,000","51,276,355","35,443,645",59.1,278,0
,"0213005310 P7: Institutional
Buildings & Maintenance","202,800,000","92,015,786","110,784,214",45.4,278,0
,"0213015310 Sp 7.1 Public
Street Lighting Installations &
Maintenances","197,000,000","92,015,786","104,984,214",46.7,278,0
,"0213025310 Sp 7.2 Motor
Vehicle, Machinery & Plant
Maintenance","5,800,000",-,"5,800,000",0.0,278,0
,"0213035310 Sp 7.3 Institutional
Buildings Maintenance",-,-,,-,278,0
,"Total 5317000000 Public
Works ,Transport & Infra-
structure","3,644,802,715","1,693,674,624","1,951,128,090",46.5,278,0
"5318000000 Education,
Youth Affairs, Sports, Cul-
ture & Social Services","0508005310 General Adminis-
tration, Planning And Support
Services","1,270,471,548","668,866,733","601,604,815",52.6,278,0
,,Kshs.,Kshs.,Kshs.,,279,0
,"0508025310 Sp 8.2 General Ad-
ministration & Support Services","1,270,471,548","668,866,733","601,604,815",52.6,279,0
,"0509005310 P9 Education
Services","184,293,748","34,951,382","149,342,366",19.0,279,0
,"0509015310 Sp 9.1 Quality
Assurance And Co-Curriculum","847,200","267,200","580,000",31.5,279,0
,"0509025310 Sp 9.2 Early Child-
hood Development Centers","108,160,000",-,"108,160,000",-,279,0
,"0509035310 Sp 9.3 Technical
And Vocational Training","75,286,548","34,684,182","40,602,366",46.1,279,0
,0902005310 2.1 Social Services,"429,519,719","228,771,093","200,748,626",53.3,279,0
,"0902015310 General Adminis-
tration & Support Services","172,983,527","151,857,975","21,125,552",87.8,279,0
,"0902025310 Sp.2.2 Gender And
Community Empowerment","17,340,000","783,703","16,556,297",4.5,279,0
,"0902035310 Sp2.3 Devel-
opment And Promotion Of
Culture/ Heritage","21,198,440","880,300","20,318,140",4.2,279,0
,"0902045310 Sp2.4 Develop-
ment And Promotion Of Sports","133,631,081","42,058,648","91,572,433",31.5,279,0
,"0902055310 Sp2.5 Youth Em-
powerment And Promotion","17,281,290","14,035,942","3,245,348",81.2,279,0
,"0902065310 Sp 2.6 Social Wel-
fare And Care For The Aged","26,542,960","9,892,817","16,650,143",37.3,279,0
,"0902075310 Sp 2.7 Promotion
Of Library And Information
Services","3,515,421","377,105","3,138,316",10.7,279,0
,"0902085310 Sp.2 8 Rescue
And Rehabilitation Of Children
Services","37,027,000","8,884,603","28,142,397",24,279,0
,"Total 5318000000 Education,
Affairs, Sports, Culture &
Social Services","1,884,285,015","932,589,208","951,695,807",49.5,279,0
"5319000000 Trade,Com-
merce,Tourism & Coop-
eratives","0301000 P.1 General Adminis-
tration Planning And Support
Services","408,687,118","355,661,137","53,025,981",87.0,279,0
,"0301010 Sp1 General Admin-
istration Planning And Support
Services","408,687,118","355,661,137","53,025,981",87,279,0
,"0310005310 P.10 Co-Opera-
tive Development And Audit
Services","30,225,300","8,265,817","21,959,483",27.3,279,0
,"0310015310 Sp 10.1 Coopera-
tive Development Services","22,400,000","8,030,817","14,369,183",35.9,279,0
,"0310025310 Sp 10.2 Coopera-
tive Audit Services","7,825,300","235,000","7,590,300",3,279,0
,"0311005310 P.11 Tourism Pro-
motion And Marketing","24,800,000","1,153,900","23,646,100",4.7,279,0
,"0311015310 Sp 11.1 Tourism
Development","24,800,000","1,153,900","23,646,100",4.7,279,0
,"0312005310 P.12 Trade Devel-
opment And Market Services","165,030,000","31,101,858","133,928,142",18.8,279,0
,"0312015310 Sp 12.1 Trade
Development","82,630,000","2,981,001","79,648,999",3.6,279,0
,"0312025310 Sp 12.2 Market
Services","82,400,000","28,120,857","54,279,143",34.1,279,0
,,Kshs.,Kshs.,Kshs.,,280,0
,"0313005310 P.13 Licensing
And Fair Trade Practices","75,044,475","6,491,249","68,553,226",8.6,280,0
,"0313015310 Sp 13.1 Liquor
Licensing & Regulation",-,-,-,-,280,0
,"0313025310 Sp 13.2 Weights &
Measures Services","38,599,975","340,300","38,259,675",0.9,280,0
,"0313035310 Sp 13.3 Trade
Licensing Services","21,644,500","44,000","21,600,500",0.2,280,0
,"0313045310 Sp 13.4 Betting &
Gaming Services","14,800,000","6,106,949","8,693,051",41.3,280,0
,"Total 5319000000 Trade,Com-
merce,Tourism & Coopera-
tives","703,786,893","402,673,961","301,112,932",57.2,280,0
"5320000000 Public Ser-
vice Management","0701000 P1 General Adminis-
tration Planning And Support
Services","257,531,132","220,151,636","37,379,496",85.5,280,0
,"0701010 Sp.1.1 General Admin-
istration Planning And Support
Services","257,531,132","220,151,636","37,379,496",85.5,280,0
,"0710000 P 5: Public Service
Transformation","907,592,428","821,231,106","86,361,322",90.5,280,0
,"0710010 S.P.5.1 Human Re-
source Management","833,824,480","796,832,044","36,992,436",95.6,280,0
,"0710020 S.P.5.2 Human Re-
source Development","73,767,948","24,399,062","49,368,886",33.1,280,0
,"0723005310 P 23 Performance
Management And Public
Service Delivery","25,876,230","3,683,705","22,192,525",14.2,280,0
,"0723015310 Sp 23.1 Perfor-
mance Contracting Management","9,033,680","1,745,758","7,287,922",19.3,280,0
,"0723025310 Sp 23.2 Gover-
nance Monitoring And Evalu-
ation","8,862,550","1,725,348","7,137,202",19.5,280,0
,"0723035310 Sp 23.3 Quality
Management Systems And Iso
Certification","7,980,000","212,599","7,767,401",2.7,280,0
,"Total 5320000000 Public Ser-
vice Management","1,190,999,790","1,045,066,447","145,933,343",87.7,280,0
"5321000000 Agriculture,
Livestock Development,
Fisheries & Forestry","0106000 P 6 General Adminis-
tration Planning And Support
Services","221,295,211","198,523,916","22,771,294",89.7,280,0
,"0106010 Sp.6.1 Administration,
Planning & Support Services","221,295,211","198,523,916","22,771,294",89.7,280,0
,"P;0119005310:Urban Agricul-
ture Promotion & Regulation","113,762,495","4,745,494","109,017,001",4.2,280,0
,"019015310: Crop Development
And Management","73,630,862","3,361,223","70,269,639",4.6,280,0
,"0119025310: Fisheries Develop-
ment And Management","14,953,644","752,384","14,201,260",5.0,280,0
,"0119035310: Livestock
Resources Management And
Development","25,177,989","631,887","24,546,102",2.5,280,0
,"0116005310 P.10:Animal
Health, Safety And Quality
Assurance","55,152,413","35,741,403","19,411,010",64.8,280,0
,"0116015310 Sp 10.1 Animal
Research, Diseases, Pest Con-
trol & Quality Assurance","55,152,413","35,741,403","19,411,010",64.8,280,0
,0117005310 P.11:Aforestation,"21,396,687",-,"21,396,687",-,280,0
,,Kshs.,Kshs.,Kshs.,,281,0
,"0117015310 Sp 11.1 Forestry
Services","21,396,687",-,"21,396,687",-,281,0
,"0118015310 Food Systems
And Surveillance","13,430,800","380,500","13,050,300",2.8,281,0
,"0118015310 Sp18:1 Food Sys-
tems And Surveillance Services","13,430,800","380,500","13,050,300",2.8,281,0
,"Total 5321000000 Agriculture,
Livestock Development, Fish-
eries & Forestry","425,037,605","239,391,313","185,646,292",56.3,281,0
County Assembly,"07220001 Legislation, Over-
sight And Representation","1,454,677,879","1,303,773,508","150,904,371",89.6,281,0
,"07220001 Legislation, Over-
sight And Representation","1,454,677,879","1,303,773,508","150,904,371",89.6,281,0
,Total County Assembly,"1,454,677,879","1,303,773,508","150,904,371",89.6,281,0
"5323000000 Enviro-
ment,Water,Energy & Nat-
ural Resources","1001005310 P1 General
Administration & Support
Services","509,103,119","460,656,406","48,446,712",90.5,281,0
,"1001015310 Sp1 General Ad-
ministration & Support Services","509,103,119","460,656,406","48,446,712",90.5,281,0
,"1002005310 P2 Environment
Management And Protection.","1,264,553,946","993,368,583","271,185,363",78.6,281,0
,"1002035310 Sp 2.3 Solid Waste
Management","1,201,937,878","979,039,314","222,898,564",81.5,281,0
,"1002045310 Sp 2.4 Beautifica-
tion, Recreation And Greening
Services","42,171,908","9,157,669","33,014,239",21.7,281,0
,"1002055310 Sp 2.5 Environ-
ment Planning Management
Services","20,444,160","5,171,600","15,272,560",25.3,281,0
,"1004005310 P4 Water Re-
sources Management","107,594,031","16,113,577","91,480,454",15,281,0
,"1004055310 Sp 4.5 Energy &
Natural Resources","107,594,031","16,113,577","91,480,454",15,281,0
,"Total 5323000000 Enviro-
ment,Water,Energy & Natural
Resources","1,881,251,096","1,470,138,567","411,112,529",78.1,281,0
"5324000000 Urban Re-
newal And Housing","0102000 P.2 Housing Develop-
ment And Human Settlement","72,327,355","3,143,225","69,184,130",4.3,281,0
,"0102045310 Sp4 Urban Re-
newal","65,579,755","1,306,025","64,273,730",2,281,0
,"0102055310 Sp5 Management
Of Rental Housing","6,747,600","1,837,200","4,910,400",27.2,281,0
,"0106000 P 6 General Adminis-
tration Planning And Support
Services","94,516,963","80,649,187","13,867,776",85.3,281,0
,"0106010 Sp.6.1 Administration,
Planning & Support Services","94,516,963","80,649,187","13,867,776",85.3,281,0
,"0113005310 P.7: Building
Services","1,649,350","819,750","829,600",49.7,281,0
,"0113015310 Sp 7.1 Building
Services Research And Infor-
mation","1,649,350","819,750","829,600",49.7,281,0
,"Total 5324000000 Urban Re-
newal And Housing","168,493,668","84,612,162","83,881,506",50.2,281,0
"5325000000 Ward Devel-
opment Programmes","0214005310 P8:Ward Devel-
opment","1,339,799,245","214,380,517","1,125,418,728",16,281,0
