Programme,Sub- Programme,"Approved Bud-
get (Kshs.)","Actual Pay-
ments (Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Industrial Development And Investment,,"120,898,459","94,248,365","26,650,094",78.0,128,0
,"Industrial Development
and Promotion","67,398,459","50,946,857","16,451,602",75.6,128,0
,"SME and Cottage indus-
try development","53,500,000","43,301,508","10,198,492",80.9,128,0
Library Services,,,-,-,-,128,0
,Library Services,-,-,-,-,129,0
Preventive And Promotive Services,,"158,106,525","145,700,688","12,405,837",92.2,129,0
,"Preventive and promo-
tive services",-,-,-,-,129,0
,"Community Health
Strategy","73,858,900","71,627,600","2,231,300",97.0,129,0
,"Diseases surveillance &
Emergency response","5,000,000","3,383,635","1,616,365",67.7,129,0
,"Nutrition service Pro-
motion","2,000,000","1,458,160","541,840",72.9,129,0
,HIV /AIDS Control,"2,000,000","1,111,500","888,500",55.6,129,0
,"Maternal and child
healthcare promotion","67,321,625","62,700,193","4,621,432",93.1,129,0
,TB Control,"2,000,000","1,780,300","219,700",89.0,129,0
,Malaria control,"1,926,000","166,000","1,760,000",8.6,129,0
,"Promotion of family
planning","4,000,000","3,473,300","526,700",86.8,129,0
Curative Services,,"2,174,322,218","1,841,853,368","332,468,850",84.7,129,0
,Curative services,"936,967,631","767,951,248","169,016,383",82.0,129,0
,"Community Health
Strategy","1,222,354,587","1,058,902,120","163,452,467",86.6,129,0
,"Disease Surveillance
and Response","15,000,000","15,000,000",-,100.0,129,0
,"Primary Medical Health
Services",-,-,-,-,129,0
"Administrative, Planning And Support
Services",,"69,375,783","36,500,200","32,875,583",52.6,129,0
,"Administrative, plan-
ning and support ser-
vices","52,301,783","26,382,350","25,919,433",50.4,129,0
,"Disability mainstream-
ing","1,000,000","681,100","318,900",68.1,129,0
,"Health Data and Infor-
mation Management","16,074,000","9,436,750","6,637,250",58.7,129,0
"Vocational Education And Training And
Development",,"98,998,893","59,791,706","39,207,187",60.4,129,0
,"Polytechnic Support and
Development","98,998,893","59,791,706","39,207,187",60.4,129,0
,"Training Promotion and
Development",-,-,-,-,129,0
"Early Childhood Development Educa-
tion Ecde",,"297,155,595","278,099,192","19,056,404",93.6,129,0
,"ECD Infrastructure De-
velopment","175,000,000","174,731,004","268,997",99.8,129,0
,"SP2 ECD education im-
provement and support","122,155,595","103,368,188","18,787,407",84.6,129,0
Education Support Programme,,"220,632,721","195,361,252","25,271,469",88.5,129,0
,"General Infrastructure
Support",-,-,-,-,129,0
,"Education Financial
Support","220,632,721","195,361,252","25,271,469",88.5,129,0
Polytechnic Improvement,,"105,000,000","102,662,000","2,338,000",97.8,129,0
,"Polytechnic Tuition
Subsidy","105,000,000","102,662,000","2,338,000",97.8,129,0
Coordination And Supervisory Services,,,-,-,-,130,0
,"Coordination and super-
visory services",-,-,-,-,130,0
Management Of County Affairs,,"156,577,688","141,052,244","15,525,444",90.1,130,0
,"Management of county
affairs",-,"(4,138)","4,138",-,130,0
,"County executive ser-
vices","156,577,688","141,056,382","15,521,306",90.1,130,0
Coordination And Supervisory Services,,"17,701,480","12,856,221","4,845,259",72.6,130,0
,"Coordination and super-
visory services","17,701,480","12,856,221","4,845,259",72.6,130,0
"Information And Communication Ser-
vices",,"170,612,028","118,904,245","51,707,783",69.7,130,0
,"Information and com-
munication services","170,612,028","118,904,245","51,707,783",69.7,130,0
"Economic And Policy Formulation And
Management Planning",,"39,980,412","27,071,159","12,909,253",67.7,130,0
,"Economic and policy
formulation and man-
agement planning","39,980,412","27,071,159","12,909,253",67.7,130,0
,"County Statistics Man-
agement",-,-,-,-,130,0
Public Finance Management,,"294,445,054","135,421,649","159,023,405",46.0,130,0
,"Public finance manage-
ment","86,959,000","48,598,013","38,360,987",55.9,130,0
,"Financial Accounting
and Reporting","154,471,250","39,989,530","114,481,720",25.9,130,0
,"Budget Formulation and
management","42,415,354","38,623,866","3,791,488",91.1,130,0
,Revenue Mobilization,"10,599,450","8,210,241","2,389,209",77.5,130,0
Coordination And Supervisory Services,,"54,819,654","41,169,411","13,650,243",75.1,130,0
,"Coordination and super-
visory services","37,946,773","30,062,566","7,884,207",79.2,130,0
,"County Internal Audit
services","16,872,881","11,106,845","5,766,036",65.8,130,0
County Assembly,,"1,066,936,774","745,021,160","321,915,614",69.8,130,0
,County Assembly,"1,066,936,774","745,021,160","321,915,614",69.8,130,0
,"Oversight and Control
Services",-,-,-,-,130,0
"County Public Service And Administra-
tive Services",,"5,036,765,895","4,887,423,033","149,342,862",97.0,130,0
,County Administration,"228,657,181","189,747,257","38,909,924",83.0,130,0
,"Human Resource Man-
agement","4,808,108,714","4,697,675,776","110,432,939",97.7,130,0
,"County Special Pro-
grammes",-,-,-,-,130,0
"General Administration And Support
Services",,"28,844,885","18,191,716","10,653,169",63.1,130,0
,Administrative Services,"28,844,885","18,191,716","10,653,169",63.1,130,0
Alcoholics And Drinks Control,,"8,290,499","7,146,457","1,144,042",86.2,130,0
,"Alcohol and Drug Reha-
bilitation Program","8,290,499","7,146,457","1,144,042",86.2,130,0
Investment Promotion,,"17,105,722","10,451,579","6,654,143",61.1,130,0
,Investment promotion,"17,105,722","10,451,579","6,654,143",61.1,130,0
901004810,,"30,053,052","20,315,255","9,737,797",67.6,130,0
