Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Implementation
Status
(%)",page_number,table_index,"Absorption
(%)"
"Preventive and Promotive
Services","Preventive and Promotive
Services","926,013,550","188,306,299","737,707,250",,213,0,20.3
Emergency Services,Emergency Services,"21,595,884",-,"21,595,884",,213,0,0.0
"public health and communi-
ty outreach","public health and commu-
nity outreach","168,619,502","10,678,640","157,940,862",,213,0,6.3
,Sub total,"4,275,098,145","1,779,006,744","2,496,091,402",,213,0,41.6
"Agriculture, Food Security and Co-operative Development",,,,,,213,0,
"General Administration and
Support Services",Support Services,"166,889,829","49,272,893","117,616,935",,213,0,29.5
"Crop Development and
Management","Crop Development and
Management","178,473,607","77,861,354","100,612,253",,213,0,43.6
"Livestock Resources Man-
agement and Development","Livestock Resources
Management","60,375,583","23,947,101","36,428,481",,213,0,39.7
Fisheries Development,Fisheries Development,"23,464,467","8,629,960","14,834,507",,213,0,36.8
Veterinary Services,Veterinary Services,"69,396,657","10,000","69,386,657",,213,0,0.0
Agriculture Training Centre,"Agriculture Training Cen-
tre","13,413,456","1,024,390","12,389,066",,214,0,7.6
"Cooperative Development
and Marketing","Cooperative Development
and Marketing","83,008,830","56,046,875","26,961,955",,214,0,67.5
,Sub total,"595,022,429","216,792,573","378,229,856",,214,0,36.4
"Tourism, Youth, Sports and Culture",,,,,,214,0,
"General Administration and
Support Services",Support Services,"62,679,185","40,994,411","21,684,774",,214,0,65.4
Heritage & Culture,"Heritage & Culture Pres-
ervation","5,149,882","2,678,704","2,471,178",,214,0,52.0
Liquor Management,Liquor Management,"1,330,790","284,483","1,046,307",,214,0,21.4
"Tourism Development and
Marketing",Tourism Development,"8,370,405","2,033,960","6,336,445",,214,0,24.3
County Image Directorate,County Beautification,"32,251,697","18,135,898","14,115,799",,214,0,56.2
"Management and Develop-
ment of Sports and Sports
Facilities",Management of Sports,"85,562,850","82,200,054","3,362,796",,214,0,96.1
,Sub total,"195,344,809","146,327,509","49,017,300",,214,0,74.9
County Administration and Decentralized Units,,,,,,214,0,
"General Administration and
Support Services",Support Services,"198,455,895","141,844,314","56,611,581",,214,0,71.5
Civic Engagement,Civic Engagement,"39,513,850","8,116,308","31,397,542",,214,0,20.5
"Administration and Coordi-
nation Services","Administration and Coor-
dination Services","21,944,074","19,395,883","2,548,192",,214,0,88.4
Solid Waste Management,Solid Waste Management,"10,725,513","6,126,089","4,599,424",,214,0,57.1
Sanitation Management,Sanitation,"2,830,000","2,700,000","130,000",,214,0,95.4
"Inspectorate services and
Management",Inspectorate Services,"48,553,554","13,716,188","34,837,366",,214,0,28.2
,Sub total,"322,022,887","191,898,782","130,124,105",,214,0,59.6
"Trade, Industrialization and Innovation",,,,,,214,0,
"General Administration and
Support Services",Support Services,"64,720,289","59,478,108","5,242,181",,214,0,91.9
Trade Development,Trade Development,"46,750,000","41,429,421","5,320,579",,214,0,88.6
"Business and Enterprise De-
velopment","Business and Enterprise
Development","10,279,107","5,580,003","4,699,103",,214,0,54.3
"Industrialization and inno-
vation","Industrialization and inno-
vation","60,495,664","53,926,476","6,569,188",,214,0,89.1
"Machakos Investment Pro-
motion Board","Investment Facilitation
and Support","6,372,512","1,141,269","5,231,243",,214,0,17.9
County Law Office,Legal Office,"153,507,650","150,468,426","3,039,224",,214,0,98.0
,Sub total,"342,125,222","312,023,704","30,101,518",,214,0,91.2
County Assembly,,,,,,214,0,
Legislation and Oversight,Legislation and Oversight,"1,298,145,156","982,145,823","315,999,333",,214,0,75.7
,Sub total,"1,298,145,156","982,145,823","315,999,333",,214,0,75.7
"Education, Skills Training and Social Welfare",,,,,,214,0,
"General Administration and
Support Services",Support Services,"341,872,648","157,412,364","184,460,284",,214,0,46.0
Basic Education,"Provision of Education
Services","67,011,315","65,991,716","1,019,600",,214,0,98.5
"Youth Development Ser-
vices",Youth Empowerment,"82,251,483","6,695,603","75,555,880",,214,0,8.1
Gender and Social Services,Social Protection,"16,406,107","1,984,250","14,421,857",,214,0,12.1
,Sub total,"507,541,553","232,083,933","275,457,621",,214,0,45.7
"Energy, Lands, Housing and Urban Development",,,,,,214,0,
"General Administration and
Support Services",Support Services,"52,602,449","45,536,197","7,066,252",,214,0,86.6
"Housing and Urban Devel-
opment",Land Policy and Planning,"1,057,362,161","54,358,097","1,003,004,064",,214,0,5.1
"Energy and Natural Re-
sources","Energy and Natural Re-
sources","105,823,999","31,464,995","74,359,004",,214,0,29.7
,Sub total,"1,215,788,609","131,359,289","1,084,429,320",,214,0,10.8
"Water, Irrigation, Environment and Natural Resources",,,,,,214,0,
