Department,Programmes,Sub Programmes,Budget (Kshs.),"Expenditure
(Kshs.)",Variance (Kshs.),"Absorp-
tion %",page_number,table_index
,,"Travel Costs (bus, rail-
way, mileage allowances,
etc.)","400,000",-,-,-,44,0
,,"Domestic Travel and
Subs.-Others","1,225,000",-,-,-,45,0
,,"Publishing and Printing
Services","150,000",-,-,-,45,0
,,"Subscriptions to News-
papers, Magazines and
Periodicals","20,000",-,-,-,45,0
,,"Advertising, Awareness
& Publicity Campaigns","400,000",-,-,-,45,0
,,"Trade Shows and Exhi-
bitions","200,000",-,-,-,45,0
,,"Other Operating expens-
es- Community Participa-
tion","1,310,000","1,000,000","310,000",76.3,45,0
,,"Catering Services (recep-
tions), Accommodation,
Gifts, Food and Drinks","165,000",-,-,-,45,0
,,"Boards, Committees,
Conferences and Semi-
nars","1,350,000",-,-,-,45,0
,,Gas Expenses,"50,000",-,-,-,45,0
,,"Purchase of Uniforms
and Clothing-Staff","300,000",-,-,-,45,0
,,"Accommodation - Do-
mestic Travel","1,200,000",-,-,-,45,0
,,"Daily Subsistence Allow-
ance","1,120,000","372,000","748,000",33.2,45,0
,,"Sanitary and Cleaning
Materials, Supplies and
Services","250,000",-,-,-,45,0
,,"Bank Service Commis-
sion and Charges","10,000",-,-,-,45,0
,,"Purchase of household
and institutional appli-
ances","150,000",-,-,-,45,0
,,Sundry items,"100,000",-,-,-,45,0
,KUSP,"Construction of Bomet
University-Chebirir-Ma-
jor Estate Road to Bitu-
men Standard","23,422,667",-,-,-,45,0
,,"Improvement of Select-
ed Silbwet Town Access
Roads to Bitumen Stan-
dards.","50,000,000",-,-,-,45,0
,,"Construction of Addi-
tional Market Stalls and
Installation of Cabro
Blocks/Works in Bomet
Market.","56,600,000",-,-,-,45,0
,,"Purchase of Farm Tractor
with Skip Loader","8,000,000",-,-,-,45,0
,,"Preparation of Detailed
Designs and Environ-
mental Impact Reports
for KUSP Projects","8,400,000",-,-,-,45,0
,,Sub-Total,"315,220,783","1,372,000","313,848,783",0.4,45,0
"Youth Sports Gen-
der and Culture",,"Use of Goods and Ser-
vices total","45,070,490","14,583,439","30,487,051",32.4,46,0
,"PROGRAMME 1
Policy Development
and Administrative
Services",Policy Development,"500,000",-,-,-,46,0
,,Capacity Building,"1,000,000","254,800","745,200",25.5,46,0
,"PROGRAMME 2
Gender, Children
Services and Social
Protection","SP 2.1 Training and gen-
der empowerment","5,900,000","5,606,800","293,200",95,46,0
,,Other Operating expenses,"5,519,200","5,300,000","219,200",96,46,0
,,"SP 2.2 Social protection
and children services","6,108,848","5,539,300","569,548",90.7,46,0
,"PROGRAMME 3
Culture and library
services","PROGRAMME 3 Culture
and library services",,,,,46,0
,,"SP 3.1 Cultural Develop-
ment","3,120,370","731,360","2,389,010",23.4,46,0
,,"Training expenses-Other
(budget)","3,120,370","3,090,060","30,310",99,46,0
,"PROGRAMME 4
Youth and Sports
Development",,,,,,46,0
,,"Training expenses-Other
(budget)","9,500,000","3,844,900","5,655,100",40.5,46,0
,,Training services,"9,000,000","3,397,970","5,602,030",37.8,46,0
,,"SP 4.2 Sports Enhance-
ment","3,800,000","3,800,000",-,100,46,0
,,"SP 4.3 Revitalization of
youth programmes","9,000,000","8,932,370","67,630",99.2,46,0
,,"SP 4.4 Internship Pro-
gramme","22,250,000","22,012,000","238,000",98.9,46,0
,,"Other infrastructure and
Civil works","2,100,000",-,-,0,46,0
,,"SP 4.5 Establishment of
Youth Empowerment fa-
cilities and equipment","3,591,152","2,868,500","722,652",79.9,46,0
,,Sub Total,"129,580,430","79,961,499","49,618,931",61.7,46,0
"Medical Services
and Public Health",Salaries and Wages,"Compensation to Em-
ployees","614,016,181",-,-,-,46,0
,"Operation and main-
tenance","Use of Goods and Ser-
vices","58,853,899","58,837,980","15,919",100,46,0
,Programmes 4,Policy Development,"732,900",-,-,-,46,0
,,"Transformative Health
Care systems","88,329,983","55,370,813","32,959,170",62.7,46,0
,,"DANIDA Funds dis-
bursements","16,713,356","16,101,837","611,519",96.3,46,0
,,"User fees forgone dis-
bursements","152,818,750","152,519,788","298,962",99.8,46,0
,,"Cash Transfers to Health
Facilities.","11,660,690","10,996,000","664,690",94.3,47,0
,,"Specialised Materials
and Supplies -(Renal,
CT-SCAN, Ophthalmic,
Oncology, HDU, theatre
consumables)","187,688,937","185,747,554","1,941,383",99,47,0
,,Medical Drugs,"22,204,000","21,788,636","415,364",98.1,47,0
,,"Dressings and Other
Non- Pharmaceutical
Medical Items -(gloves,
linen, etc)","40,791,637","39,985,354","806,283",98,47,0
,,"Hire of Transport - ambu-
lance service","17,896,000","17,463,975","432,025",97.6,47,0
,,"Laboratory Materi-
als, Supplies and Small
Equipment","525,000",-,-,-,47,0
,,"Community and health
facility based interven-
tions","8,259,185","7,841,850","417,335",94.9,47,0
,,"Communicable disease
prevention and Control","2,720,000",-,-,-,47,0
,,"Sanitation programmes (
including BIDP)","18,437,552","9,641,200","8,796,352",52.3,47,0
,,Nutrition services,"8,560,000","7,095,848","1,464,152",82.9,47,0
,,DEVELOPMENT,,,,,47,0
,,"Non-Residential Build-
ings (Hospitals, Health
centres, dispensaries)","33,452,703","11,860,645","21,592,058",35.5,47,0
,,"Purchase of Medical and
Dental Equipment -","22,171,489","20,221,489","1,950,000",91.2,47,0
,,"Leasing of medical
equipment","60,972,095","26,833,614","34,138,481",44,47,0
,,"Procurement, Installa-
tion & commissioning of
a standby generator for
Longisa CRH","215,200,000","11,304,194","203,895,806",5.3,47,0
,,Sub-Total,"1,582,004,357","653,610,777","928,393,580",41.3,47,0
"Agriculture
Cooperatives and
Marketing","Operation and main-
tenance","Use of Goods and Ser-
vices sub total","21,121,113","20,041,077","1,080,036",94.9,47,0
,,"Veterinarian Supplies and
Materials(AI)","6,000,000","5,957,960","42,040",99.3,47,0
,,"Disease, Vector & Pest
control","9,000,000","8,153,619","846,381",90.6,47,0
,,"Trade shows and Exhibi-
tion","1,000,000","718,998","281,002",71.9,47,0
,,Training expenses- Other,"1,000,000","951,200","48,800",95.1,47,0
,,KCSAP expenses,"5,000,000","3,800,000","1,200,000",76,47,0
,,ASDSP,"21,416,549","9,700,000","11,716,549",45.3,47,0
,,"IDA(Word Bank) Kenya
Climate Smart","215,200,000","165,078,839","50,121,161",76.7,47,0
,,"Purchase of Certified
Crop Seeds","1,100,000","1,100,000",-,100,47,0
,,Supplies for Production,"12,000,000","11,475,000","525,000",95.6,47,0
,,"Non-Residential Build-
ings (offices, schools,
hospitals, etc.- Satellite
ATCs","4,900,000","3,338,236","1,561,764",68.1,48,0
,"P3. Agribusiness -
Development and
marketing",,,,,,48,0
,,"Other current transfers-
Co-funding","7,000,000","1,000,000","6,000,000",14.3,48,0
,,"Agricultural Materi-
als, Supplies and Small
Equipment","4,100,000",-,-,-,48,0
,,"Food & Nutrition Secu-
rity","6,000,000",-,-,-,48,0
,,,"7,000,000","6,494,093","505,907",92.8,48,0
,,"Other current transfers-
Co-funding","5,000,000","1,705,971","3,294,029",34.1,48,0
,,"Agricultural Materi-
als, Supplies and Small
Equipment","1,400,000",-,-,-,48,0
,,"Food & Nutrition Secu-
rity","6,400,000","1,705,971","4,694,029",26.7,48,0
,,"SP3.1 Cooperative devel-
opment",,,,,48,0
,"P4. Livestock, Fish-
eries & Veterinary
Services",Cooperative societies,"8,100,000","8,100,000",-,100,48,0
,,"Purchase of Agricultural
Machinery and Equip-
ment- Value Addition",,,,,48,0
,,"Other infrastructure and
Civil Works -Value addi-
tion","2,700,000","852,000","1,848,000",31.6,48,0
,,"Other infrastructure and
Civil Works -","6,500,000","6,494,093","5,907",99.9,48,0
,Programme 4,"SP4.1 Livestock Devel-
opment",,,,,48,0
,,"Agricultural Materi-
als, Supplies and Small
Equipment","1,700,000","852,000","848,000",50.1,48,0
,,"SP 4.2 Fisheries Devel-
opment",,,,,48,0
,,"Construction of Fish
pond","400,000","400,000",-,100,48,0
,,"Purchase of Animals and
Breeding Stock","500,000","500,000",-,100,48,0
,,"Purchase of specialized
Plant- Fisheries","58,000,000","18,024,133","39,975,867",31.1,48,0
,,"SP 4.3 Disease, Vector
and pest control",,,,,48,0
,,"Veterinarian Supplies
and Materials","4,000,000","3,182,700","817,300",79.6,48,0
,,"SP 4.4 Veterinary ser-
vices development",,,,,48,0
,,Construction of buildings,"7,500,000","7,130,403","369,597",95.1,48,0
,,"Refurbishment of
Non-Residential Build-
ings-Dips and slaughter
and Tea buying centres","58,104,680","56,674,025","1,430,655",97.5,49,0
,,Sub-Total,"392,842,342","343,430,315","49,412,027",87.4,49,0
"Water Sanitation
and Environment",,"Policy planning and ad-
ministrative services",,,,,49,0
,,"County water policy and
bill","7,680,000","3,980,000","3,700,000",51.8,49,0
,,"Consultancy Services for
Feasibility Study to iden-
tify potential sources for
the development of water
Supply","33,000,000",-,-,-,49,0
,,"Consultancy Services for
Preparation of County
Natural Resources Master
Plan (EOI and Design)","15,000,000",-,,-,49,0
,,"Development of Water
Supply for Domestic and
Commercial purposes","33,000,000",-,,-,49,0
,,"Water supply infrastruc-
ture","257,846,082","205,376,470","52,469,612",79.7,49,0
,,BIDP Programme,"45,799,000","35,000,000","10,799,000",76.4,49,0
,,"water harvesting and
storage","33,000,000",-,-,0,49,0
,,Spring protection,"15,000,000",-,-,0,49,0
,,Drilling of boreholes,"33,000,000","12,002,763","20,997,237",36.4,49,0
,,Irrigation Development,"6,000,000","4,257,363","1,742,637",71,49,0
,,Irrigation infrastructure,"500,000",-,-,-,49,0
,,"Environmental and nat-
ural resources protection
and conservation",,,,,49,0
,,"Soil and water conserva-
tion","15,500,000","14,567,453","932,547",94,49,0
,,"Environmental education
and awareness","2,000,000","1,983,700","16,300",99.2,49,0
,,"Support to Bomet Water
Company (Grants)","109,600,000","91,900,000","17,700,000",83.9,49,0
,"Operation and main-
tenance","Use of Goods and Ser-
vices","8,954,933","6,983,715","1,971,218",78,49,0
,,Sub-Total,"615,880,015","376,051,464","239,828,551",61.1,49,0
"Education and Vo-
cational Trainings",,,,,,,49,0
,"Operations and
Maintenance","Use of Goods and Ser-
vices","17,465,588","6,544,647","10,920,941",37.5,49,0
,,"Mobilization and Aware-
ness","1,103,521","1,103,500",21,100,49,0
,,"Bursaries and Support
Services","61,496,660","36,286,560","25,210,100",59,49,0
,Development,,,,,,49,0
,"Early Childhood
Development and
Education","Construction of ECD
Classrooms","126,500,000","76,871,641","49,628,359",60.8,49,0
,,"Ancillary Education Sup-
port","8,064,000","3,224,000","4,840,000",40,50,0
,"Technical Vocation-
al Educational and
Training","Other Transfers(Support
to Polytechnic)","59,790,219","59,766,680","23,539",100,50,0
,,Sub-Total,"274,419,988","183,797,028","90,622,960",67,50,0
"Roads Public
Works and Trans-
port","Policy planning and
administrative ser-
vices",Use of goods and services,"65,842,131","63,582,432","2,259,699",96.6,50,0
,"Policy Development
(Roads)",,"2,500,000","1,995,500","504,500",79.8,50,0
,"Construction of
Roads",,"521,726,484","411,015,499","110,710,985",78.8,50,0
,"Overhaul of Roads
(RMLF)",,"183,640,826","170,353,142","13,287,684",92.8,50,0
,"Development and
Maintenance of
other Public works",,,,,,50,0
,"Construction and
Maintenance of Mo-
torised Bridge",,"49,894,150","49,252,136","642,014",98.7,50,0
,Culvert Installation,,"14,000,000",-,-,-,50,0
,"Foot Bridge con-
struction",,"5,000,000","2,325,452","2,674,548",46.5,50,0
,"Construction and
equipping of Materi-
al Testing Lab",,"9,351,370","5,562,810","3,788,560",59.5,50,0
,"Consultancy ser-
vices for Construc-
tion works",,"3,435,483","3,435,483",0,100,50,0
,Programme 4,,,,,,50,0
,,Sub-Total,"855,390,444","707,522,455","147,867,989",82.7,50,0
"Trade Energy Tour-
ism Industry and
Investment","Operations and
Maintenance","Used of Goods and ser-
vices","10,956,986","18,352,410","-7,395,424",167.5,50,0
,,"Maintenance Expenses -
Motor Vehicle","1,804,353","1,698,725","105,628",94.1,50,0
,"P1. Trade Develop-
ment",,,,,,50,0
,,"Capacity Building of
SMEs","1,790,000","940,675","849,325",52.6,50,0
,,Trade Awards,"1,000,000","480,000","520,000",48,50,0
,,"S.P 1.1 County Enterprise
Fund","8,282,281","4,236,676","4,045,605",51.2,50,0
,,"S.P 1.2 Market Develop-
ment","39,944,252","39,551,902","392,350",99,50,0
,,"S.P 1.3 Fair Trade And
Consumer Protection
Practices","1,000,000",-,-,-,50,0
,"P2. Energy Develop-
ment",,,,,,50,0
,,"S.P 2.1 Power Generation
And Distribution Ser-
vice_ street lights","6,200,000","2,586,717","3,613,283",41.7,50,0
,,"S.P 2.3 Counterpart fund-
ing Matching Funds REA","10,000,000","10,000,000",-,100,50,0
