Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Sports and arts programme,"28,691,643","7,626,176","21,065,467",26.6,382,0
Construction of sport Stadia,"8,691,643","7,626,176","1,065,467",87.7,382,0
Stadia,"20,000,000",0,"20,000,000",-,382,0
General Administration,"751,415,489","639,751,073","111,664,416",85.1,382,0
General Administration,"457,415,489","345,751,073","111,664,416",75.6,382,0
"Turkana Education and Skill Development
Fund","294,000,000","294,000,000",0,100.0,382,0
Vocational Training,"18,771,593","15,037,710","3,733,883",80.1,382,0
Training and Development,"3,147,626","2,036,560","1,111,066",64.7,382,0
Co-Cirricular Activities,"1,730,669","820,450","910,219",47.4,382,0
Youth Polytechnics- Conditional,"13,893,298","12,180,700","1,712,598",87.7,382,0
Public Relations,"2,121,476","1,222,400","899,076",57.6,382,0
Publicity,"962,016","573,750","388,266",59.6,382,0
Research and Sensitization,"1,159,460","648,650","510,810",55.9,382,0
Early Childhood Education,"166,991,214","57,846,802","109,144,412",34.6,382,0
School Feeding,"137,682,664","48,927,773","88,754,891",35.5,382,0
Quality Improvement,"7,521,070","5,031,069","2,490,001",66.9,382,0
Infrastructure Development,"14,000,000",0,"14,000,000",-,382,0
Support to Pre-Primary Training,"7,787,480","3,887,960","3,899,520",49.9,382,0
"General Administration, Planning and
Support Services","5,483,319,712","4,261,908,002","1,221,411,710",77.7,382,0
General Administration Services,"191,382,334","133,333,506","58,048,828",69.7,382,0
Infrust. Devt & Support Services,"110,000,000","19,999,840","90,000,160",18.2,382,0
"General Administration - Economic plan-
ning","83,287,226","39,336,037","43,951,189",47.2,382,0
County Headquarters Offices,"65,000,000",0,"65,000,000",-,382,0
Security Access Installation,"5,000,000","1,870,802","3,129,198",37.4,382,0
General Admin Planning & Support,"18,338,532","13,653,838","4,684,694",74.5,382,0
"General Administration, Planning and
Support Services-Public Ser","4,147,394,539","3,274,660,394","872,734,145",79.0,382,0
"General Administration, Planning and
Support Services-Administration","99,771,291","82,094,485","17,676,806",82.3,383,0
Integration of PWD Computing Skills,"1,409,401","1,150,366","259,035",81.6,383,0
"General Administration, Planning and
Support Services- Office of","228,714,450","173,874,566","54,839,884",76.0,383,0
"General Administration, Planning and
Support Services- Liaison O","25,135,000","18,584,881","6,550,119",73.9,383,0
General Admin Planning & Support,"27,575,000","23,037,348","4,537,652",83.5,383,0
Covid-19 Emergency Response Fund,"480,311,939","480,311,939",0,100.0,383,0
Governor's Residence,"12,256,691","7,358,868","4,897,823",60.0,383,0
Construction of Governor?s residence,"2,775,822","769,800","2,006,022",27.7,383,0
"Documentation, communication policy
and strategy","3,501,096","2,519,635","981,461",72.0,383,0
Civic Education and Public Sensitization,"3,851,643","3,185,433","666,210",82.7,383,0
"Production of County Newspaper and
Newsletter","2,128,130","884,000","1,244,130",41.5,383,0
Donor/ Investor engagement,"22,000,000","19,706,131","2,293,869",89.6,383,0
"Public-Private Partnership Initiatives
(PPPs)","2,200,000","1,947,780","252,220",88.5,383,0
"Political and Intergovernmental Advisory
Services","2,200,000","1,987,420","212,580",90.3,383,0
Legal Advisory Services,"2,200,000","2,071,260","128,740",94.1,383,0
"Security and cross border Advisory Ser-
vices","2,200,000","1,206,370","993,630",54.8,383,0
Oil And Gas Advisory Service,"2,200,000","2,200,000",0,100.0,383,0
Gender and Partnership Advisory Services,"2,200,000","2,182,000","18,000",99.2,383,0
Special Interest groups,"2,200,000","1,892,440","307,560",86.0,383,0
Climate Change advisory services,"2,200,000","2,197,800","2,200",99.9,383,0
Education and youth Advisory services,"2,200,000","2,117,780","82,220",96.3,383,0
"Culture, Arts and Heritage advisory ser-
vices","2,200,000","1,903,281","296,719",86.5,383,0
Security and Peace Building,"198,351,370","62,965,163","135,386,208",31.7,383,0
"Operationalization of peace building struc-
tures and institutions","47,151,370","42,864,235","4,287,135",90.9,383,0
Resettlement Infrastructural Programme,"130,000,000",0,"130,000,000",-,383,0
Cross Border peace dividends programme,"21,200,000","20,100,928","1,099,073",94.8,383,0
"Government Communication and Me-
dia relations","28,123,211","9,838,515","18,284,696",35.0,383,0
"Acquiring & development of communica-
tion systems/equipment","12,901,626","6,871,544","6,030,082",53.3,383,0
Bills,"8,000,000",0,"8,000,000",-,383,0
Policies,"989,161","899,161","90,000",90.9,383,0
"Development and Implementation of ICT
Policy and Regulations","2,187,810","2,067,810","120,000",94.5,383,0
"Acquisition of Information Systems and
Equipment","4,044,614",0,"4,044,614",-,383,0
Revenue Collection Systems,"27,974,433","9,613,659","18,360,774",34.4,383,0
Automated Revenue Collection,"4,331,370","1,812,010","2,519,360",41.8,383,0
Feasibility Study on Revenue Base,"910,548","793,828","116,720",87.2,383,0
Awareness and Campaigns on Revenue.,"3,741,153","2,304,690","1,436,463",61.6,383,0
Motorbikes for Revenue Officers 30 No.,"1,126,370",0,"1,126,370",-,383,0
Strengthening Revenue Systems,"6,965,000","3,664,030","3,300,970",52.6,383,0
"Revenue Forecast and Revenue Budget
Preparation","1,399,992","1,039,101","360,891",74.2,383,0
Completion of Lokiriama Revenue Centre,"9,500,000",0,"9,500,000",-,383,0
Accountability and Transparency,"972,340,980","509,325,515","463,015,465",52.4,383,0
Internal Audit,"9,514,319","5,553,584","3,960,735",58.4,383,0
Procurement systems,"6,161,307","2,476,162","3,685,145",40.2,383,0
"Assets management and Valuation of
County Assets",0,0,0,,383,0
IFMIS training,"19,391,480","11,031,877","8,359,603",56.9,383,0
Consultancy Services,"17,448,800","2,657,850","14,790,950",15.2,383,0
"Financial Reporting/Research and Devel-
opment","623,825,074","285,882,043","337,943,031",45.8,384,0
"Mordern Fencing,Gate and Parking Yards
for County Treasury Offic","296,000,000","201,724,000","94,276,000",68.2,384,0
Social and Financial Security,"21,551,643","17,115,030","4,436,613",79.4,384,0
Assurance and Insurance of Govt. Assets,"5,300,000","4,851,480","448,520",91.5,384,0
Liability and Debt Management,"4,251,643","3,899,280","352,363",91.7,384,0
Turkana SACCO Seed Capital,"12,000,000","8,364,270","3,635,730",69.7,384,0
Planning and Policy formulation,"143,543,268","61,666,702","81,876,566",43.0,384,0
"Economic Policy formulation and Dissem-
ination","11,312,836","6,529,828","4,783,008",57.7,384,0
CIDP review and Dissemination,"4,793,262","1,590,500","3,202,762",33.2,384,0
Budget preparation and Dissemination,"99,451,014","32,510,350","66,940,664",32.7,384,0
Preparation of Annual Plans and Reports,0,0,0,,384,0
County Budget and Economic Forums,"1,500,000",0,"1,500,000",-,384,0
"Public Participation and Access to Infor-
mation","12,483,320","10,859,400","1,623,920",87.0,384,0
Waste Management,"3,840,000","2,759,290","1,080,710",71.9,384,0
County Budget and Economic forum,0,0,0,,384,0
Research & Statistics,"6,864,332","5,343,050","1,521,282",77.8,384,0
Sector Plans Devt,"3,298,504","2,074,284","1,224,220",62.9,384,0
Development coordination Programme,"3,722,114","2,020,158","1,701,956",54.3,384,0
Donor scan/Mapping,"1,348,561","1,055,571","292,990",78.3,384,0
Establishment of development committees,"969,930","367,438","602,492",37.9,384,0
Training of the development committees,"689,488","597,149","92,339",86.6,384,0
"Formulation and Development of TCPSB
Boardroom ICT Infrastructure","714,135",0,"714,135",-,384,0
Monitoring and Evaluation,"7,105,607","4,652,534","2,453,073",65.5,384,0
"Soft wares( E-ProMIS, GIS e.t.c)","2,220,100","1,816,600","403,500",81.8,384,0
"Field visits, data collection and Reporting","1,496,500","327,834","1,168,666",21.9,384,0
Training and Knowledge management,"1,675,822","986,600","689,222",58.9,384,0
"Devolved Monitoring and Evaluation
Committees","1,713,185","1,521,500","191,685",88.8,384,0
"Public Participation and Access to In-
formation","36,894,122","34,063,098","2,831,024",92.3,384,0
Construction of Citizen Resource Centre,"5,000,000","4,450,024","549,976",89.0,384,0
Web site Development,"14,608,728","14,039,495","569,233",96.1,384,0
"Social Budgeting and Generation of SIR
Reports","3,500,000","3,500,000",0,100.0,384,0
Intergovernmental Relation,"9,589,846","9,314,206","275,640",97.1,384,0
"Strategy Development, Review, Support
and Operationalization","4,195,548","2,759,373","1,436,175",65.8,384,0
County Statistical Unit,"19,722,900","14,668,380","5,054,520",74.4,384,0
"Soft wares, databases and tools","19,722,900","14,118,380","5,604,520",71.6,384,0
Capacity Development,0,"550,000","-550,000",,384,0
Service Delivery‑ ISO Certification,"16,793,389","13,244,798","3,548,592",78.9,384,0
Service Charter,"3,100,000","2,956,678","143,322",95.4,384,0
Development of County Filing Systems,"9,479,109","6,626,380","2,852,730",69.9,384,0
Procedure Manual and Training,"4,214,280","3,661,740","552,540",86.9,384,0
County Internship Programme,"28,000,000","19,615,610","8,384,390",70.1,384,0
County Internship Programme,"28,000,000","19,615,610","8,384,390",70.1,384,0
"Operationalization of Decentralized
Units","56,454,491","40,923,257","15,531,234",72.5,384,0
Operationalization of Decentralized Units,"19,673,256","16,309,668","3,363,588",82.9,384,0
