Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Debt Management,Debt Management,"183,961,083","187,618,013","(3,656,930)",102,289,0
Fiscal Planning,Fiscal Planning,"187,062,779.80","49,899,210","137,163,570",26.7,289,0
Administration Services,Administration Services,"1,866,439,763","1,690,828,154","175,611,609",90.6,289,0
Financial Services,Financial Services,-,-,-,,289,0
"Co-Ordination of Public
and Special Community
Programmes","Co-Ordination of Public and Special
Community Programmes",-,-,-,,289,0
ICT Support Services,ICT Support Services,-,-,-,,289,0
"Legal Service to County
Government & Public","Legal Service to County Govern-
ment & Public","19,816,667","18,804,377","1,012,290",94.9,289,0
"Rehabilitation of
Sub-County Offices","Rehabilitation of Sub-County Of-
fices","17,525,713","7,225,713","10,300,000",41.2,289,0
"Public Sector Manage-
ment",Public Sector Management,"26,788,457","23,691,545.25","3,096,912",88.4,289,0
"Procedures and Com-
mittee Services",Procedures and Committee Services,"577,403,466","395,317,139","182,086,327",68.5,289,0
County Ward Offices,County Ward Offices,-,-,-,,289,0
Hansard Services,Hansard Services,-,-,-,,289,0
Finance and Budget,Finance and Budget,"664,728,377","496,917,866","167,810,512",74.8,289,0
"Administration and Co-
ordination of County
Affairs","Administration and Coordination of
County Affairs","287,519,156","205,611,177","81,907,980",71.5,289,0
"County Planning and
Development Coordina-
tion Services","County Planning and Development
Coordination Services",-,-,-,,289,0
