Programme,Sub- Programme,"Approved Budget
(Kshs)","Expenditure
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
"Public Financial Man-
agement",Sub Total,"244,168,840","131,003,622","113,165,218",53.7,120,0
,"Budget Formulation Coordina-
tion and Management",-,-,-,-,120,0
,Audit Services,-,-,-,-,120,0
,Accounting services,-,-,-,-,120,0
,"Supply Chain Management Ser-
vices","63,696,000","39,754,883","23,941,117",62.4,120,0
,Fiscal and Economic Planning,"28,950,008","14,905,998","14,044,010",51.5,120,0
,Budget,"24,018,000","10,566,053","13,451,947",44.0,120,0
,Accounting,"20,384,000","8,034,154","12,349,846",39.4,120,0
,Procurement,-,-,-,-,120,0
,Internal Audit,"11,147,531","6,201,900","4,945,631",55.6,120,0
,Revenue Collection,"95,973,301","51,540,634","44,432,667",53.7,120,0
"Economic Policy Co-
ordination and Super-
vision",Sub Total,"18,341,000","10,399,614","7,941,386",56.7,121,0
,"Economic Planning Coordina-
tion Services",-,-,-,-,121,0
,Statistical Information Services,-,-,-,-,121,0
,"Monitoring and Evaluation Ser-
vices","18,341,000","10,399,614","7,941,386",56.7,121,0
Devolution Services,Sub Total,"57,562,427","38,054,303","19,508,124",66.1,121,0
,"Coordination Of Devolution Ser-
vices","28,508,000","19,097,371","9,410,629",67.0,121,0
,Intergovernmental Relations,"16,883,427","11,179,817","5,703,610",66.2,121,0
,"County Government Advisory
Service","12,171,000","7,777,115","4,393,885",63.9,121,0
"Public Service, Admin-
istration and Citizen
Participation",Sub Total,"81,731,587","35,791,353","45,940,234",43.8,121,0
,County Administration Services,-,-,-,-,121,0
,"Public Service, administration
and citizen participation",-,-,-,-,121,0
,County administration,"54,731,587","22,906,770","31,824,817",41.9,121,0
,county executive committee,-,-,-,-,121,0
,Citizen participation,"27,000,000","12,884,583","14,115,417",47.7,121,0
Citizen Participation,Sub Total,-,-,-,-,121,0
,Citizen Participation,-,-,-,-,121,0
"ICT, Special Pro-
grammes and Service
Delivery",Sub Total,"44,377,769","29,936,376","14,441,393",67.5,121,0
,,"32,676,151","22,704,415","9,971,736",69.5,121,0
,Special Programmes,"11,701,618","7,231,961","4,469,657",61.8,121,0
