Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 30
September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"SP 3.21 Purchase of
computers, printers,
general office supplies
and accessories and san-
itary cleaning materials","35,520,000",-,"6,389,014",,18,,351,0
,"SP 3.22 Fuel, oil, lubri-
cants and tyres","9,000,000",-,-,,0,,351,0
,"SP 3.23 Bank service
commission and
charges, legal fees, man-
agement fees, contract-
ed professional charges
and other operating
expenses","11,350,762",-,-,,0,,351,0
,SP 3.24 Ward office,"46,860,000",-,"4,733,328",,10,,351,0
,"SP 3.25 Uniform, Spe-
cialised materials and
supplies","8,000,000",-,"2,455,967",,31,,351,0
,"-SP 3.26 Membership
fees and dues and sub-
scription for interna-
tional organisation","5,500,000",-,-,,0,,351,0
,"SP 3.28 Refurbishment
of buildings","4,000,000",-,-,-,0,,351,0
,"SP 3.29 Gratuity/pen-
sion","24,417,735",-,-,,0,,351,0
,Sub Total,"765,337,843","607,442,968","82,287,720","19,539,580",11,3,351,0
County Executive services,,,,,,,,351,0
"Management of
County Affairs","County Executive
services","501,795,216",,"123,402,497",,25,,351,0
"County Cohesion and
Integration","Public Sector Advisory
services","30,000,000",,"3,680,000",,12,,351,0
"County Information
and Communication
Service","County Information
and Communication
Services","29,500,000",,"4,938,000",,17,,351,0
"Inter-Governmental
Relations","Inter/Intra Governmen-
tal Co-ordination","6,148,784",,-,,0,,351,0
"County Legal Ser-
vices",County Legal Services,"5,000,000",,-,,0,,351,0
"Executive Infrastruc-
ture Development","Executive Infrastructure
Development",,"150,000,000",,-,,0,351,0
,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","De-
velop-
ment",352,0
,Sub Total,"572,444,000","150,000,000","132,020,497",-,23,0,352,0
Finance & Economic Planning,,,,,,,,352,0
"General administra-
tion planning and
support",Financial Services,"267,714,124","700,000,000","72,429,769","108,157,150",27,16,352,0
,ICT Services,"7,000,000",-,"1,500,000",-,21,,352,0
"Economic and Finan-
cial Policy Formu-
lation",Capacity building,-,"37,500,000",-,-,,0,352,0
"Public Financial
Management","Budget formulation,
co-ordination & Man-
agement","10,000,000",-,"1,466,861",,15,,352,0
,Resource Mobilisation,"10,000,000",-,"3,797,968",-,38,,352,0
,Internal audit services,"10,000,000",-,-,-,,,352,0
,Supply chain services,"3,000,000",-,"1,500,000",-,50,,352,0
,Accounting services,"19,748,034",-,"5,685,400",-,29,,352,0
"Economic and Finan-
cial Policy Formu-
lation","Fiscal Policy Formula-
tion and Management","5,000,000",-,-,-,0,,352,0
,Sub Total,"332,462,158","737,500,000","86,379,998","108,157,150",26,15,352,0
"Agriculture, Livestock & Fisheries",,,,,,,,352,0
"General Administra-
tion, Planning and
Support Services","General Administration,
Planning and Support
Services","129,463,098",-,"38,040,497",-,29,,352,0
,"Livestock Policy Devel-
opment and Capacity
Building","122,652,928",-,-,-,,,352,0
"Livestock Resources
Management and
Development","SP3 Livestock Produc-
tion and Management",-,"23,300,000",-,-,,0,352,0
,"Livestock Products
Value Addition and
Marketing",-,"41,250,000",-,-,,,352,0
"Fisheries Develop-
ment and Manage-
ment","Fisheries Policy,
Strategy and Capacity
Building","28,993,336","4,000,000",-,-,,,352,0
"Crop Development
and Management","Lands and Crop Devel-
opment",-,"900,000",-,-,,,352,0
,Food Security Initiatives,-,"820,002,112",-,-,,,352,0
,Sub Total,"281,109,362","889,452,112","38,040,497",-,14,0,352,0
"Energy, Lands & Urban Development",,,,,,,,352,0
"Urban Development
Services","Town Administration
Services","2,000,000.00","43,100,000.00",-,-,0,0,352,0
,"Solid Waste Manage-
ment",-,"14,500,000.00",-,-,,0,352,0
"Land and Physical
Planning Services","Administration and
Support services","133,892,052.00",-,"21,749,427.91",-,16,,352,0
,"Land Mapping &Zon-
ing, Survey, adjudi-
cation and Physical
planning","21,000,000.00",-,-,-,0,,352,0
,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","De-
velop-
ment",353,0
"Urban Development
Services","Administrative and
support services","15,707,948.00",-,-,-,0,,353,0
,"Solid Waste Manage-
ment","41,400,000.00",-,-,-,0,,353,0
,Towns Facelift,"5,000,000.00",-,-,,0,,353,0
,Sub Total,"219,000,000","57,600,000","21,749,428",-,10,0,353,0
County Health Services,,,,,,,,353,0
"Preventive and
Promotive Health
Services","Communicable disease
prevention and control",,"3,000,000",,-,,,353,0
"Curative Health
Services","Reduction of Commu-
nicable and Non-Com-
municable Diseases",-,"5,000,000",-,-,,0,353,0
,Referral Services,"20,000,000","11,000,000",-,-,0,,353,0
,Specialised Services,"20,000,000","43,988,500",-,-,0,0,353,0
,"Drugs and commod-
ities","160,000,000",-,"19,175,290",-,12,,353,0
"General Administra-
tion, Planning and
Support Services","Health Infrastructure
development",-,"176,200,000",-,-,,0,353,0
,"Health Planning and
Financing","1,638,074,916",-,"345,279,870",-,21,,353,0
"Maternal and child
health","Integrated MCH
and Family planning
services","10,000,000",-,"3,999,907",-,40,,353,0
,Sub Total,"1,848,074,916","239,188,500","368,455,067",-,20,0,353,0
"Administration, Co-ordination & ICT",,,,,,,,353,0
"General administra-
tion planning and
Support Services",Administration services,"337,200,000","1,000,000","34,703,319",-,10,0,353,0
,"Peacebuilding and
conflict resolution","10,000,000",-,-,,,,353,0
,"Disaster management
and emergency response","200,000,000",-,"6,340,900",-,3,,353,0
,ICT Services,-,"5,000,000",-,,,0,353,0
"Co-ordination of
functions of devolved
units","Co-ordination of
County Government
Departments","21,800,000",-,-,,,,353,0
"Public Participation
and Civic Education",Public participation,"6,000,000",-,-,,,,353,0
,Sub Total,"575,000,000","6,000,000","41,044,219",-,7,0,353,0
County Public Service Board,,,,,,,,353,0
,Administration services,"73,222,670.00",-,"11,425,893.00",-,16,,353,0
"General adminis-
tration planning and
Support Services","Board Management
Service","27,007,330.00","15,000,000.00",-,-,0,0,353,0
"Human Resource
Management and
Development","Human Resource Man-
agement","6,270,000.00",-,"4,895,590.00",-,78,,353,0
,"Establishment, Man-
agement and Consul-
tancy Services","3,500,000.00",-,-,-,0,,353,0
,Sub Total,"110,000,000","15,000,000","16,321,483",-,15,0,353,0
Office of the County Attorney,,,,,,,,353,0
"Legislation and Over-
sight services","Legislation and Over-
sight services","29,978,854",-,"5,200,000",-,17,,353,0
329,,,,,,,,353,0
,,Recurrent,Development,Recurrent,"Develop-
ment","Recur-
rent","De-
velop-
ment",354,0
,Sub Total,"29,978,854",-,"5,200,000",-,17,,354,0
Office of the County Secretary,,,,,,,,354,0
"County Information
and Communication
Services","County Information
and Communication
Services","10,500,000.00",0,"2,840,000",0,27,,354,0
,Sub Total,"10,500,000",-,"2,840,000",-,27,,354,0
"Education, Skill Development, Youth & Sports",,,,,,,,354,0
"General Administra-
tion, Planning and
Support Services","General Administration,
Planning and Support
Services","314,000,000",-,"76,221,170",,24,,354,0
"Skills development,
youth and sport","Youth Empowerment &
Training",-,"12,200,000",-,,,0,354,0
"Early Childhood
Development and
Education","Scholarships and educa-
tional benefits","228,000,000",,-,,0,,354,0
"Pre Pre – Primary
Education","Early Childhood Devel-
opment and Education","50,000,000","11,000,000",-,-,0,0,354,0
,ECD Teachers Training,"15,500,000",-,"5,150,270",,33,,354,0
,"ECD Infrastructure
Development and Man-
agement",-,"77,250,000",-,,,0,354,0
Youth Development,"Youth Training and
Capacity Building","4,000,000","5,000,000","1,980,000",,50,0,354,0
"Vocational Education
and Training","Technical Trainers and
Instructor Services","7,500,000",-,"2,900,000",,39,,354,0
,"Infrastructure Develop-
ment and Expansion",-,"3,000,000",-,,,0,354,0
Sports,"Sports Training and
Competitions","2,000,000","1,000,000","933,500",,47,0,354,0
,"Development and
Management of Sports
Facilities",-,"8,355,784",-,,,0,354,0
,Sub Total,"621,000,000","117,805,784","87,184,940",-,14,0,354,0
"Tourism, Culture & Social Services",,,,,,,,354,0
"General Administra-
tion, Planning and
Support Services",Financial Services,"135,678,080",-,"22,533,024",-,17,,354,0
Culture Services,"Conservation of Cul-
ture and Heritage",-,"48,900,000",-,-,,0,354,0
,Sub Total,"135,678,080","48,900,000","22,533,024",-,17,0,354,0
Roads & Public Works,,,,,,,,354,0
"General administra-
tion planning and
Support Services","General administration
planning and Support
Services","130,000,000.00",-,"13,838,084.61",-,11,,354,0
"Road Transport
Infrastructure Devel-
opment","Roads Infrastructure
Development",-,"414,870,000.00",-,-,,0,354,0
,Sub Total,"130,000,000","414,870,000","13,838,085",-,11,0,354,0
"Trade, Industry & Enterprise Development",,,,,,,,354,0
"General Administra-
tion, Planning and
Support Services",Financial Services,"112,121,920.00",-,"15,022,609.00",-,13,,354,0
