col_0,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure Jul 2024 -
September 2025",col_5,Absorption Rate (%),col_7,page_number,table_index
DEPARTMENT OF HEALTH,,,,,,,,290,0
"CURATIVE AND
REHABILITATIVE
HEALTH","HEALTH PRODUCTS
AND TECHNOLOGIES
SUPPORT-0401014510",-,"162,000,000",-,-,-,-,290,0
,"HEALTH INFRASTRUC-
TURE DEVELOP-
MENT-0401034510",-,"148,000,000",-,-,-,-,290,0
,"EMERGENCY REFERRAL
AND REHABILITATIVE
SERVICE-0401074510","98,800,000","512,200,000","550,000",-,0.56,-,290,0
,"402014510 ADMINISTRA-
TION, PROJECT PLAN-
NING AND IMPLEMEN-
TATION SERVICES","4,000,000",-,-,-,-,-,290,0
,"HUMAN RESOURCE DE-
VELOPMENT-0402024510","3,000,000",-,-,-,-,-,290,0
,"402044510 HEALTH LEAD-
ERSHIP AND GOVER-
NANCE","6,000,000",-,-,-,-,-,290,0
,401054510,"6,435,000",-,-,-,-,-,290,0
,"PUBLIC HEALTH
PROMOTION AND
NUTRITION SER-
VICES-0405034510","25,230,000",-,-,-,-,-,290,0
,Sub Total,"143,465,000","822,200,000","550,000",-,-,-,290,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,291,0
,"HUMAN RESOURCE DE-
VELOPMENT-0402024510","300,000",-,-,-,-,-,291,0
,401044510,"9,700,000",-,-,-,-,-,291,0
,401064510,"8,000,000",-,-,-,-,-,291,0
,Sub-Total,"18,000,000",-,-,-,-,-,291,0
"PREVENTIVE
HEALTH SERVICES","COMMUNITY HEALTH
STRATEGY, ADVO-
CACY AND SURVEIL-
LANCE-0405044510","35,000,000",-,-,-,-,-,291,0
,"FAMILY PLANNING,
MATERNAL, AND
CHILD HEALTH SER-
VICES-0405014510","2,200,000",-,-,-,-,-,291,0
,"NON -COMMUNICABLE
DISEASES CONTROL AND
PREVENTION-0405024510","1,650,000",-,-,-,-,-,291,0
,"PUBLIC HEALTH
PROMOTION AND
NUTRITION SER-
VICES-0405034510","4,910,000",-,-,-,-,-,291,0
,"TB/HIV/AIDS PREVEN-
TION AND CON-
TROL-0405054510","1,250,000",-,-,-,-,-,291,0
,Sub-Total,"45,010,000",-,-,-,-,-,291,0
Grand Total,,"206,475,000","822,200,000","550,000",-,0.27,-,291,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,291,0
Headquarters,"SP1 0103014510 Headquar-
ter Administration Services","4,000,000","203,995,842","50,000","1,000,000",1%,0%,291,0
,"SP1 0103024510 Headquar-
ter Administration Services","4,000,000",-,"50,000",-,1%,0,291,0
Livestock Production,"SP2 0104024510 Livestock
Resource Development and
Management","1,350,000","16,000,000",-,-,0%,0%,291,0
Veterinary Services,"SP5 0107054510 Animal
Health and Disease Man-
agement","1,350,000","16,500,000",-,-,0%,0%,291,0
Fisheries Production,"SP1 0110014510 Fisheries
Development and Manage-
ment","950,000","2,090,000",-,-,0%,0%,291,0
"Crop Production &
Horticulture","SP2 0117024510 Land and
Crop Productivity Enhance-
ment and Management","3,000,000","10,000,000",-,-,0%,0%,291,0
,"SP4 1006044510 Climate
Change Adaptation &
Mitigation","1,350,000","36,800,000",-,-,0%,0%,291,0
Grand Total,,"16,000,000","285,385,842","100,000","1,000,000",1%,0%,291,0
,4515,,,,,,,291,0
"P3-0103004510-Gener-
al Administration and
Planning Services","SP1 Administration Ser-
vices-0105014510","9,600,000",-,"100,000",-,1,-,291,0
"P12-0112004510 -
Physical Planning and
Survey","SP1-0112014510 - Survey
and Planning services","2,050,000",-,-,-,-,-,291,0
,"SP2-0112024510 - Land
management services",-,-,-,-,-,-,291,0
"P13-0113004510- Land
and Housing Manage-
ment","SP2 Housing Policy Develop-
ment-0113024510",,-,-,-,-,-,291,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,292,0
"P14-0114004510-
Public Works Service
Delivery Improvement","SP4 County Building
Construction Stan-
dard-0114044510","1,000,000","2,500,000",-,-,-,-,292,0
"P15-0115004510-
Roads Network
Improvement Housing
and Urban Develop-
ment","SP1 Road Network improve-
ment-0115014510","2,000,000",-,-,"3,000,000",-,-,292,0
,"SP3- Road network mainte-
nance-0115034154",0,-,-,-,,-,292,0
,"SP4 Heavy equipment Main-
tenance-0115044510",-,"35,000,000",-,-,,-,292,0
,"SP5-0115054510 - Mechani-
sation Services",-,"90,000,000",-,-,,-,292,0
,"SP Urban Develop-
ment-0115094510",-,"10,000,000",-,-,,-,292,0
"P18-0118004510-Re-
newable /Green Energy
Services","SP1 County renewable/green
energy services-0118014510","20,350,000",-,"2,987,873",-,15,-,292,0
Total,,"35,000,000","137,500,000","3,087,873","3,000,000",16,-,292,0
DEPARTMENT: EDUCATION AND LIBRARY SERVICES,,,,,,,,292,0
"Administration and
planning services",,,,,,,,292,0
,"Administration Services -
502014510",-,-,-,-,,0.0,292,0
,"Headquarter Services -
502024510","2,500,000","4,700,000","800,000",-,32,,292,0
,"Personnel services -
502044510","1,000,000",-,,-,0,0,292,0
,Sub Total,"3,500,000","4,700,000","800,000",-,,-,292,0
"Early childhood de-
velopment (ECD) and
childcare facilities","Education Empowerment -
501034510","75,000,000",-,-,-,0,0,292,0
,"ECDE Infrastructure Im-
provement - 506014510",-,"44,000,000",-,-,,0,292,0
,"ECDE Teacher Services -
506034510","1,500,000",-,-,-,0,0,292,0
,"Children’s Institutions
Support Program (CEDC) -
904014510","2,700,000","3,000,000","224,200",-,8,,292,0
,Sub-Total,"79,200,000","47,000,000","224,200",-,,-,292,0
"Youth, Polytechnics,
Vocational Training",,,,,,,,292,0
,"Vocational Education and
Training - 511014510","14,500,000","20,210,000",-,-,0,0,292,0
,Library - 511044510,"500,000",-,-,-,0,,292,0
Totals,,"15,000,000","20,210,000",-,-,-,-,292,0
TOTAL EDUCATION,,"97,700,000","71,910,000","1,024,200",-,-,-,292,0
"DEPARTMENT: TRADE, TOURISM AND CO-OPERATIVE DEVELOPMENT",,,,,,,,292,0
"P1 Administration,
planning and support
services",,,,,,,,292,0
,"301014510-SP1 Administra-
tion Service","4,560,000",-,"520,381",-,11%,0%,292,0
,"301044510-SP2 Personnel
Services","1,550,000",-,-,-,0%,0%,292,0
Sub Total,,"6,110,000",-,"520,381",-,9%,0%,292,0
,,,,,,,,292,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,293,0
"Co-operative Devel-
opment",,,,,,,0%,293,0
,"0302034510 SP3 Research
and Development","2,500,000",-,"250,000",-,10%,0%,293,0
,"302024510-SP2 Co-operative
Revolving fund",,"3,000,000",-,-,0%,0%,293,0
Sub Total,,"2,500,000","3,000,000","250,000",-,0%,0%,293,0
,,,,,,,,293,0
Trade and Investment,,,,,,,,293,0
,"0304014510- SP1 Market
Infrastructure Development",-,"20,590,000",-,-,0%,0%,293,0
,"0304054510-SP5 Industrial
Development and Invest-
ment Promotion","3,700,000","400,000,000",-,-,0%,0%,293,0
Sub Total,,"3,700,000","420,590,000",-,-,0%,0%,293,0
,,,,,,,,293,0
"Tourism Development
and Promotion",,,,,-,,0%,293,0
,"0305014510 SP1 Tourism
Promotion and Marketing","1,100,000",-,-,,0%,0%,293,0
,"0305024510 SP2 Tourism
Infrastructural Development",-,"2,300,000",-,-,0%,0%,293,0
Sub Total,,"1,100,000","2,300,000",-,-,0%,0%,293,0
TOTAL TRADE,,"13,410,000","425,890,000","770,381",-,6%,0,293,0
"DEPARTMENT: GENDER, CULTURE AND SOCIAL SERVICES",,,,,,,,293,0
"Administration and
planning services","Use of goods and services -
901014510","2,500,000",-,"320,000",-,13,0,293,0
,"Routine Maintenance - Oth-
er As - 903034510",-,"2,000,000",-,-,,0,293,0
,Sub Total,"2,500,000","2,000,000","320,000",-,,,293,0
"Culture and Social
Services","Cultural events promotion
services - 903014510","600,000",-,-,-,0,0,293,0
,"Social services infrastructure
- 903034510","700,000",-,-,-,0,0,293,0
,"Persons with Disability
Programme - 903044510","400,000",-,-,-,0,0,293,0
,Sub-Total,"1,700,000",-,-,-,,,293,0
Totals,,"4,200,000","2,000,000","320,000",-,,,293,0
TOTAL GENDER,,"4,200,000","2,000,000","320,000",-,,,293,0
"WATER, ENVIRONMENT, NATURAL RESOURCES AND CLIMATE CHANGE",,,,,,,,293,0
Water Development,"1) 1003014510 Administra-
tive and Planning Services","2,000,000",-,"250,000",-,13%,0%,293,0
"General administration
and support services","1) 1003014510Administra-
tive and Planning Services","8,000,000",-,"1,000,000",-,13%,0%,293,0
"Environment and
Natural Resources","1006014510 Solid Waste
Management",-,"45,600,000",-,-,0%,0%,293,0
,"1006044510 Climate Change
Adaptation & Mitigation","7,000,000","93,000,000","1,100,000","10,260,998",16%,11%,293,0
TOTAL WATER,,"17,000,000","138,600,000","2,350,000","10,260,998",14%,7%,293,0
DEPARTMENT: NANYUKI MUNICIPALITY,,,,,,,,293,0
"P3-0103004510-Gener-
al Administration and
Planning Services","SP1 0103014510 Administra-
tion Services","37,000,000",-,-,-,0,-,293,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,294,0
"P15-0115004510-
Roads Network
Improvement Housing
and Urban Develop-
ment","SP1-0115014510 Road
Network improvement",-,"82,214,879",-,-,-,0,294,0
Total,,"37,000,000","82,214,879",-,-,0,0,294,0
DEPARTMENT: RUMURUTI MUNICIPALITY,,,,,,,,294,0
"P3-0103004510-Gener-
al Administration and
Planning Services","SP1 0103014510 Administra-
tion Services","2,000,000",-,-,-,0,-,294,0
Total,,"2,000,000","5,000,000","7,000,000",,,,294,0
DEPARTMENT: NYAHURRU MUNICIPALITY,,,,,,,,294,0
"P3-0103004510-Gener-
al Administration and
Planning Services","SP1 0103014510 Administra-
tion Services","2,000,000",,,,,,294,0
"P15-0115004510-
Roads Network
Improvement Housing
and Urban Develop-
ment","SP1-0115014510 Road
Network improvement",-,,,-,-,0,294,0
Total,,"2,000,000",,,-,0,0,294,0
ASSEMBLY,,,,,,,,294,0
"General administra-
tion support services","Compensation of employees/
MCAs","281,598,262",-,"45,997,476",,16%,-,294,0
,Other recurrent expenditure,"47,631,379",,"6,478,458.60",,0.14,-,294,0
,"County Assembly Staff Car &
Mortgage Scheme",-,,-,,0%,-,294,0
,Training of staff,,,,,0%,-,294,0
,Subtotal,"329,229,641",,"52,475,934.60",,16%,-,294,0
"Legislative and
oversight",Other recurrent expenditure,"204,635,828",,"34,983,956.40",,17%,-,294,0
,Training,"9,780,200",,-,,0%,,294,0
,Public participation,"5,070,400",,,,0%,,294,0
,Subtotal,"219,486,428",,"34,983,956.40",,16%,,294,0
"County Assembly in-
frastructure services","PURCHASE OF MOTOR
VEHICLES",,"10,373,171",,,0%,-,294,0
,"REFURBISHMENT OF
NON -RESIDENTIAL
BUILDING-",,"34,519,745",,-,0%,-,294,0
,"HOUSING LOANS TO
PUBLIC SERVANTS",,"33,058,015",,-,0%,-,294,0
,Subtotal,,"77,950,931",,-,0%,-,294,0
TOTAL,,"548,716,069","77,950,931","87,459,891",-,16%,-,294,0
Grand Total,,"4,894,500,301","3,150,758,645","508,471,081","27,918,095",10,1,294,0
