Programme,Sub-Programme,Approved Estimates,col_3,"Actual expenditure as of
30 September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
Sub Total,,"35,338,400","378,829,064","1,725,000",-,4.9,,484,0
"Transport, Energy & Public Works",,,,,,,,484,0
Road transport,"Transport (In-
cluding fuel level,
General Adminis-
tration & Support
Services)","28,410,000","735,411,598","950,000",,3.3,,484,0
,Public Works,"6,390,000","200,300,000","400,000",,6.3,,484,0
"Alternative energy
technologies","Alternative energy
technologies","29,950,000","23,240,000","100,000",,0.3,,484,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",485,0
"General adminis-
tration, planning
and support
services","Emergency
Response &
Preparedness","4,000,000",,-,,-,,485,0
Housing,Housing,"3,025,000","2,999,213","127,200",,4.2,,485,0
Sub Total,,"71,775,000","961,950,811","1,577,200",-,2.2,,485,0
"Lands, Physical Planning & Urban Development",,,,,,,,485,0
"Land policy and
planning",Physical Planning,"7,980,000",,"250,000",,3.1,,485,0
,"Survey and
Mapping","13,375,000",,"150,000",,1.1,,485,0
,"Land
Administration and
Management","10,150,000","85,170,741","863,700",,8.5,,485,0
"Urban develop-
ment","Urban
development","2,425,834","244,462,533","50,000",,2.1,,485,0
Sub Total,,"33,930,834","329,633,274","1,313,700",-,3.9,,485,0
"MUNICIPALI-
TIES",,,,,,,,485,0
Municipalities,"Ol’kalou
municipality","31,350,000","9,368,200","364,600",,1.2,,485,0
,"Engineer
Municipality","20,748,000","6,000,000","550,000",,2.7,,485,0
,"Mairo-Inya
Municipality","19,038,000","6,800,000","100,000",,0.5,,485,0
Sub Total,,"71,136,000","22,168,200","1,014,600",-,1.4,,485,0
"Agriculture, livestock & Fisheries",,,,,,,,485,0
"Crop development
and management","land and crop
development","48,390,000","283,144,039","150,000",,0.3,,485,0
"Livestock
resources
management and
development","livestock
production and
management","23,175,000","137,210,000","150,000",,0.6,,485,0
,Veterinary Services,"20,599,599","800,000","150,000",,0.7,,485,0
"Fisheries De-
velopment and
management","fisheries policy,
strategy and capaci-
ty building","2,285,000","1,500,000","100,000",,4.4,,485,0
"General
administration,
planning and
support services","Agricultural Sup-
port Institutions","10,000,000",,,,-,,485,0
,"General adminis-
tration and Exten-
sion Services","8,284,000",,"300,000",,3.6,,485,0
,"Subsidised Artifi-
cial Insemination","31,550,000",,,,-,,485,0
Sub Total,,"144,283,599","422,654,039","850,000",-,0.6,,485,0
County Assembly,,,,,,,,485,0
County Assembly,"Legislative, over-
sight and represen-
tation","889,760,000","65,000,000","92,005,222",,10.3,,485,0
Sub Total,,"889,760,000","65,000,000","92,005,222",-,10.3,,485,0
Grand Total,,"5,439,114,538","3,047,357,783","377,213,517",-,6.9,,485,0
