Programme,Sub-Programme,Delivery Unit,Approved Budget,col_4,Actuals Payments,col_6,% Absorption,col_8,page_number,table_index,col_9
"0904005310 P4
Public Partici-
pation, Citizen
Engagement &
Customer Service","0904015310 Sp4.1
Public Participation,
Citizen Engagement &
Customer Service","5337000100
Inclusivity Public
Participation &
Citizen Engagement
Headquarters","93,709,639",,"20,353,632",,21.7,,426,0,-
,,"5337000200 Public
Communications","10,552,133",,-,,-,,426,0,-
,,"5337000300 Public
Participation & Citi-
zen Engagement","13,411,270",,-,,-,,426,0,-
,,"5337000400 Custom-
er Care Services","13,402,944",,-,,-,,426,0,-
"0905005310 P5
City Culture Arts
& Tourism","0905015310 Sp5.1
City Culture Arts &
Tourism","5337000800 City
Culture and Art","32,226,582","100,000,000",-,,-,,426,0,-
,,"5337000900 Tourism
Development","2,843,092",,-,,-,,426,0,-
"0907005310
P7 Gender and
Inclusivity","0907015310 Sp7.1
Gender and Inclusivity","5337000700 Gender
Mainstreaming &
PLDWD","66,246,239","20,000,000",-,,-,,426,0,-
,,"5337000000 INCLU-
SIVITY PUBLIC
PARTICIPATION,&
CITIZEN ENGAGE-
MENT","232,391,899","120,000,000","20,353,632",-,8.8,,426,0,-
"0735005310 P35
Nairobi Revenue
Authority","0735015310 Sp35.1
Nairobi Revenue
Authority Services","5338000100 Nairobi
Revenue Authority","226,985,199",-,"750,000",,0.3,,426,0,-
,,,,,,,,402,426,0,
