Programme,Sub0 Programme,Approved Estimates,col_3,"Actual Payments of FY
2024025 (Ksh)",col_5,Absorption Rate (%),col_7,page_number,table_index,col_8
Sub Total,,"212,609,148","219,453,971","36,554,720",0,17,0,224,0,
Gender and Youth,,,,,,,,224,0,
Culture,"090702 Social Wel-
fare Services","10,687,000",0,0,0,0,0,224,0,
,"091201 Gender Ad-
ministration Services","30,821,210",0,"7,734,873",0,25,0,224,0,
,"091301 Gender and
Social Development","1,490,000","77,571,020",0,"3,637,020",0,5,224,0,
Youth,"090901 Youth Devel-
opment and Empow-
erment Services","670,000",0,0,0,0,0,224,0,
Sub Total,,"43,668,210","77,571,020","7,734,873","3,637,020",18,5,224,0,
Sports Culture and Social Services,,,,,,,,224,0,
Sports,"090701 General
Administration","12,721,217",0,"2,924,233",0,23,0,224,0,
,"090801 Development
of Sports and Sports
Facilities",0,"44,381,138",0,"19,629,138",,44,224,0,
,"091401 Management
& Development of
Sports and Sports
Facilities","4,905,000",0,0,0,0,0,224,0,
,"091601Control &
Campaign Against
Drug & Substance
Abuse","14,549,000",0,0,0,0,0,224,0,
,"091701 Preservation
& Promotion of Her-
itage and Culture","248,800",0,0,0,0,0,224,0,
Children Services,"091101 Child
Community Support
Services","4,784,000",0,0,0,0,0,224,0,
Sub Total,,"37,208,017","44,381,138","2,924,233","19,629,138",8,44,224,0,
"Cooperative Development Trade and
Tourism",,,,,,,,224,0,
"Trade Development
and Investment","030401 General
Administration and
Planning","2,081,700",0,0,0,0,0,224,0,
,"030103 Capacity
Buiding for Traders
and SMEs","977,000",0,0,0,0,0,224,0,
,"030104 promotion,
Development &
Growth of Trade","354,000",0,0,0,0,0,224,0,
,"030105 Fair Trade
Practises and Con-
sumer Protection","205,000",0,0,0,0,0,224,0,
"Tourism Develop-
ment and Marketing","030302 Tourism
Promotion and
Marketing","195,500",0,0,0,0,0,224,0,
,"030304 International
Tourism Promotion
and Marketing","310,000",0,0,0,0,0,224,0,
,"030305 Promotion of
Industrial Develop-
ment","6,268,500",0,0,0,0,0,224,0,
,,,,,,,,224,0,200
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",225,0,
,"030306 Provision of
Industrial Training","140,000",0,0,0,0,0,225,0,
"Cooperative
Development and
Marketing","030101 General
Administration &
Planning","36,867,741","407,353,872","4,085,353","63,827,255",11,16,225,0,
,"030405 Cooperative
Advisory and Exten-
sion Services","295,000",0,0,0,0,0,225,0,
,"030406 Coopera-
tive Education and
Training","416,000",0,0,0,0,0,225,0,
,"030407 Cooperative
Governance and
Accountability","159,000",0,0,0,0,0,225,0,
"Cooperative Audit
Services","030603 Inspections
and Investigations for
Cooperatives","70,000",0,0,0,0,0,225,0,
Sub Total,,"48,339,441","407,353,872","4,085,353","63,827,255",9,16,225,0,
Environment and Natural Resources,,,,,,,,225,0,
"Water Supply
Services","090101 Water and
Irrigation","2,000,000","644,625,766",0,"163,291,006",0,25,225,0,
Energy Programme,"090301 Energy
Services","405,000",0,0,0,0,0,225,0,
"Cleaning and Waste
Management","090502 Environment
Management and
Protection","340,800",0,0,0,0,0,225,0,
,"1003013960 Natural
Forests Conservation","335,000",0,,,,0,225,0,
"Environment
Management and
Protection","100401 Environment
Management and
Protection","16,240,000",0,"11,000,000",0,19,0,225,0,
Nema,"090401 Waste Man-
agement Services","58,676,160",0,"4,978,024",0,#REF!,0,225,0,
,"1001013960 General
Administration
Services","57,885,839",0,"13,781,705",0,,0,225,0,
Sub Total,,"135,882,799","644,625,766","29,759,729","163,291,006",22,25,225,0,
"Lands, Housing and Urban Development",,,,,,,,225,0,
"Land and Physical
Planning","010601 General
Administration and
Planning","30,773,028",0,"1,242,395",0,4,0,225,0,
,"010604 County
Spatial Planning","3,190,000",0,0,0,0,0,225,0,
,"010605 Town Zoning
and Mapping",0,"108,530,548",0,"10,888,000",,10,225,0,
,"010607 Survey and
Mapping","505,000",0,0,0,0,0,225,0,
"Housing Develop-
ment","010701 Improvement
and Development of
Human Settlements",0,0,0,0,,0,225,0,
Sub Total,,"34,468,028","108,530,548","1,242,395","10,888,000",4,10,225,0,
Transport and Infrastructure,,,,,,,,225,0,
"Transport Manage-
ment","020301 General
Administration and
Planning","61,511,285",0,"6,892,078",0,11,0,225,0,
"Disaster Manage-
ment","020401 Fire Fighting
and Emergency
Services","2,222,083",0,0,0,0,0,225,0,
