Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
Health,,,,,,,,315,0
"General
Administration
and Support
Services","General Adminis-
tration And Support
Services","3,539,357,190","402,222,244","295,929,540","5,315,483",8.4,1.3,315,0
"Curative and
Rehabilitative
Health",Machakos Level 5,"146,379,350","8,000,000","78,951,309",-,53.9,-,315,0
,Kangundo Level 4,"46,100,000","12,000,000","8,049,560",-,17.5,-,315,0
,Matuu Level 4,"38,500,000","24,000,000","2,700,000",-,7.0,-,315,0
,Kathiani Level 4,"50,500,000","10,500,000","3,000,000",-,5.9,-,315,0
,Mwala Level 4,"32,500,000","10,000,000","2,500,000",-,7.7,-,315,0
,Kimiti Level 4,"26,500,000","6,000,000","1,099,950",-,4.2,-,315,0
,Masinga Level 4,"33,600,000","3,000,000","1,100,000",-,3.3,-,315,0
,Athiriver Level 4,"20,500,000","8,000,000","1,000,000",-,4.9,-,315,0
,Mutituni Level 4,"20,500,000","6,000,000","1,000,000",-,4.9,-,315,0
,Ndithini Level 4,"22,500,000","14,000,000","700,000",-,3.1,-,315,0
,Kalama Level 4,"25,500,000","5,000,000","700,000",-,2.7,-,315,0
,Public Health,"240,203,470","64,000,000","7,175,000",-,3.0,-,315,0
,Sub-Total,"4,242,640,010","572,722,244","403,905,359","5,315,483",9.5,0.9,315,0
"Water, Irrigation, Environment and
Climate Change",,,,,,,,315,0
"Water Resources
Management","Water Resources
Management","98,689,399","253,393,207","26,754,099",-,27.1,-,315,0
,,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",316,0
"Development
and Promotion of
Irrigation","Development and Pro-
motion of Irrigation",-,"9,561,724",-,-,-,-,316,0
"Sewerage System
and Sanitation
Management","Sewerage System and
Sanitation Manage-
ment","5,940,000","58,300,000",-,-,-,-,316,0
"General
Administrative
and Support
Services","General administrative
and Support Services","2,750,000",-,-,-,-,-,316,0
"Environment and
Natural Resources","Environment and
Natural Resources","12,736,938","19,430,000","11,650",-,0.1,-,316,0
Climate Change,Climate Change,"26,084,159","264,926,793",-,"5,906,000",-,2.2,316,0
,Sub-Total,"146,200,496","605,611,724","26,765,749","5,906,000",18.3,1.0,316,0
"Agriculture, Food Security and Co-
operative Development",,,,,,,,316,0
"Agriculture and
Food Security","General Adminis-
tration and support
services","227,959,626","272,619,142","42,849,577",-,18.8,-,316,0
,"Crop Development
and Management","1,488,004","77,721,570",-,-,-,-,316,0
,"Livestock Resources
Management and
Development","2,823,238","16,898,232",-,-,-,-,316,0
,Fisheries Development,"2,445,525","51,013,904",-,-,-,-,316,0
,Veterinary Services,"3,034,794","30,858,241",-,-,-,-,316,0
,"Agriculture Training
Centre","7,751,763","17,850,000",-,-,-,-,316,0
"Co-operative
Development","Co-operative Develop-
ment and Marketing","27,018,796","7,000,000",-,-,-,-,316,0
,"Capacity Building to
Co-operative Societies","600,000",-,-,-,-,-,316,0
,"Promotion of Co-op-
erative Marketing and
Value Chain","700,000","36,000,000",-,-,-,-,316,0
,"Co-operative Financial
Services","950,000",-,-,-,-,-,316,0
,"Promotion and
Growth of Co-opera-
tive Societies","850,000","11,697,849",-,-,-,-,316,0
,"Co-operative Audit
Support Services","1,000,000",-,-,-,-,-,316,0
,Sub-Total,"276,621,746","521,658,938","42,849,577",-,15.5,-,316,0
"Finance, Economic Planning & Revenue
Management",,,,,,,,316,0
"Resource
mobilisation",Revenue Management,"386,066,261","51,425,522","228,202,020","2,314,771",59.1,4.5,316,0
County Treasury,"Budget formulation,
Coordination and
Implementation","50,291,024","44,941,650","1,310,890",-,2.6,-,316,0
,"Supply Chain Manage-
ment Section","10,741,192",-,"748,970",-,7.0,-,316,0
,Accounts Services,"78,837,299","49,453,175","36,564,856","42,769,304",46.4,86.5,316,0
,Audit Section,"10,112,288","2,350,000","420,000",-,4.2,-,316,0
,"Human Resource
Management and
Support Services","239,702,500",-,"93,286,765",-,38.9,-,316,0
,,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",317,0
"Economic
Planning &
External Resource
Mobilization","Economic Planning
and Statistical Services","58,486,392","5,000,000",-,-,-,-,317,0
,"Monitoring and Eval-
uation","15,760,198","3,000,000",-,-,-,-,317,0
,"External Resource
Mobilisation","6,216,164",-,-,-,-,-,317,0
"Directorate of
Governors Project
Delivery Unit","Directorate of Gover-
nors Project Delivery
Unit","29,780,000",-,-,-,-,-,317,0
ICT,"ICT General Admin-
istration and support
services","42,040,289","80,466,324",-,"4,876,538",-,6.1,317,0
,ICT Infrastructure,"4,914,843",-,-,-,-,-,317,0
,"Closed Circuit Tele-
vision","1,220,000",-,-,-,-,-,317,0
,"Public Communi-
cation","60,716,000","10,000,000",-,-,-,-,317,0
,Sub-Total,"994,884,450","246,636,671","360,533,501","49,960,612",36.2,20.3,317,0
"Gender, Youth, Sports & Social Welfare",,,,,,-,-,317,0
Youth and Sports,"Administrative
Services","78,397,105",-,"12,339,945",-,15.7,-,317,0
,Stadium Management,-,-,-,-,-,-,317,0
,Sports,-,"170,000,000",-,-,-,-,317,0
,Youth Empowerment,-,"63,000,000",-,-,-,-,317,0
"Gender and Social
Welfare","Administrative
Services","59,374,710","142,158,502","10,000,000",-,16.8,-,317,0
,Digital Economy,"6,800,000","25,000,000",-,-,-,-,317,0
,Sub-Total,"144,571,815","400,158,502","22,339,945",-,15.5,-,317,0
"Trade, Industry, Tourism & Innovation",,,,,,-,-,317,0
"Trade, Industry
and Innovation","Headquarters & Ad-
ministrative Services","21,861,140",-,-,-,-,-,317,0
,"Trade and External
Relations","689,166","30,008,658",-,"10,569,514",-,35.2,317,0
,"Small and Medi-
um-sized Enterprises","6,500,000","44,567,311",-,-,-,-,317,0
,"Industrialisation and
Innovation","24,738,808","17,000,000","50,000",-,0.2,-,317,0
,Investment Promotion,"23,900,000",-,-,-,-,-,317,0
"Tourism
Administrative &
Support Services","Tourism Administra-
tive & Support Service","52,318,360","23,000,000","20,289,382",-,38.8,-,317,0
,Heritage & Culture,"1,700,000","6,000,000",-,-,-,-,317,0
,Liquor Management,"7,809,818",-,"99,300",-,1.3,-,317,0
,"Tourism Development
and Marketing","8,500,000",-,-,-,-,-,317,0
,"Management of Recre-
ational Services","4,000,000","6,000,000",-,-,-,-,317,0
,Machawood,"4,000,000","4,000,000",-,-,-,-,317,0
,"County Image Direc-
torate","1,000,000",-,-,,-,-,317,0
,Sub-Total,"157,017,292","130,575,969","20,438,682","10,569,514",13.0,8.1,317,0
Education,,,,,,,,317,0
,,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",318,0
"General
Administration
and Support
Service","Headquarter Adminis-
trative services","551,800,563","55,500,000","96,615,713","16,841,983",17.5,30.3,318,0
Basic Education,Basic Education,"623,191","7,000,000",-,-,-,-,318,0
,"Youth Development
Services",-,-,-,-,-,-,318,0
,Vocational Training,"8,380,000","47,910,378",-,"7,598,787",-,15.9,318,0
,Sub-Total,"560,803,754","110,410,378","96,615,713","24,440,770",17.2,22.1,318,0
"Lands, Urban Development, Housing & Energy",,,,,,,,318,0
"Lands and Physical
Planning","Lands and Physical
Planning","46,627,057","63,928,885","694,000",,1.5,-,318,0
"County
Electrification",County Electrification,"28,370,970","123,812,199","7,456,597","28,991,379",26.3,23.4,318,0
"Housing
and Urban
Development","Housing and Urban
Development","152,614,119","92,154,566","34,924,036",-,22.9,-,318,0
,"Machakos
Municipality","7,765,795","17,840,000",-,-,-,-,318,0
,Mavoko Municipality,"10,200,000","17,840,000",-,"2,652,269",-,14.9,318,0
,"Kangundo Tala
Municipality","7,560,000","11,340,000",-,"5,036,858",-,44.4,318,0
,Sub-Total,"253,137,941","326,915,650","43,074,633","36,680,506",17.0,11.2,318,0
Devolution,,,,,,,,318,0
"Public Service
and Performance
Management","General Adminis-
tration and support
services","415,022,721","4,400,000","300,000",-,0.1,-,318,0
,"Performance
Management","2,500,000",-,-,-,-,-,318,0
,"Training, Research
and Development","54,176,614",-,-,-,-,-,318,0
,"Human Resource
Development","16,000,000",-,-,-,-,-,318,0
"County
Administration
& Decentralised
Units","General Adminis-
tration and support
services","322,872,243",-,"80,216,013",-,24.8,-,318,0
"Public
participation,
citizen
engagement, and
customer care",Civic Engagement,"8,000,000","11,000,000",-,-,-,-,318,0
,"Administration and
Coordination","5,850,000","63,376,394","350,000","5,982,628",6.0,9.4,318,0
,"Other capital grants
and transfers (Equali-
sation fund)",-,-,-,-,-,-,318,0
,"Solid Waste
Management","17,020,000",-,-,-,-,-,318,0
"Inspectorate,
Firefighting
and Emergency
Services","Inspectorate Services
and Management","157,206,459","39,210,733",-,-,-,-,318,0
,Emergency Services,"11,600,000",-,-,-,-,-,318,0
,Sub-Total,"1,010,248,037","117,987,127","80,866,013","5,982,628",8.0,5.1,318,0
Office of the County Attorney,,,,,,,,318,0
Legal Services,Legal Services,"86,851,773","6,510,000","5,453,849",-,6.3,-,318,0
,Sub-Total,"86,851,773","6,510,000","5,453,849",-,6.3,-,318,0
,GRAND TOTAL,"10,067,055,062","4,325,130,572","1,284,749,720","193,932,390",12.8,4.5,318,0
