Programme,Sub Programme,Approved Estimates (Kshs.),col_3,Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"SP 7.1 Cultural Development
Activities","7,040,000",0,0,0,0,,442,0
,"SP 7.2 Promotion of Respon-
sible Gaming","5,300,000",0,0,0,0,,442,0
"Programme 7:
Development of
socio-cultural
diversity and
promotion",Sub-Total,"240,744,162","198,105,111","18,440,133",0,8,0,442,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,442,0
"Programme 1:
Administration
and Human Re-
source Planning","SP 1.1 Administrative Ser-
vices.","70,492,825","5,000,000","9,291,633",0,13,0,442,0
,SP 1.2 Financial Services,"2,300,000",0,0,0,0,,442,0
"Programme 2:
Human Resource
Planning and
Advisory Ser-
vices","SP 2.1 Human Resource
Planning","10,000,000",0,0,0,0,,442,0
,"SP 2.2 Provision of Human
Resource Advisory Services","2,600,000",0,0,0,0,,442,0
,Sub-Total,"85,392,825","5,000,000","9,291,633",0,11,0,442,0
MOLO MUNICIPALITY,,,,,,,,442,0
"Programme 1:
Administration
Planning and
Support Services","SP 1.1: Administration and
Planning","8,258,198",-,0,0,0,,442,0
"Programme 2:
Molo Municipal
Services",S.P 2.1: Personnel Services,"3,949,400",-,0,0,0,,442,0
,"SP 2.2: Environmental Man-
agement",,,0,0,,,442,0
,SP 2.3: Trade and Tourism,"7,000,000",-,0,0,0,,442,0
,SP 2.4: Social Services,"4,566,000",-,0,0,0,,442,0
,Sub-Total,"23,773,598",-,0,0,0,,442,0
GILGIL MUNICIPALITY,,,,,,,,442,0
"Programme 1:
Administration
Planning and
Support Services","SP 1.1: Administration and
Planning","11,845,214",0,0,0,0,,442,0
,Sp;1.2 personnel services ;,"3,260,000",0,0,0,0,,442,0
"Programme 2:
Gilgil Municipal
Services","S.P 2.1: Planning and Infra-
structure Development",0,"40,000,000",0,0,,0,442,0
,"S.P 2.2: Environmental Man-
agement","1,000,000",,0,0,0,,442,0
,SP 2.3: Trade and Tourism,"7,000,000",,0,0,0,,442,0
,SP 2.4: Social Services,"2,150,000",,0,0,0,,442,0
,Sub-Total,"25,255,214","40,000,000",0,0,0,0,442,0
COUNTY ASSEMBLY,,,,,,,,442,0
"Programme 1:
Administration",Compensation of Employees,"193,542,726",0,"46,761,617",0,24,,442,0
,Use of Goods and services,"374,250,000",0,"1,355,342",0,0,,442,0
,"Transfer to Other Govern-
ment entities",0,0,0,0,,,442,0
,Acquisition of Assets,"185,000,000",0,0,0,0,,442,0
,,,,,,,418,442,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,443,0
"Programme
2: Legislative
Services",Compensation of Employees,"327,028,996",0,"79,621,131",0,24,,443,0
,Use of goods and services,"340,400,000",0,"23,832,139",0,7,,443,0
,Acquisition of Assets,0,0,0,0,,,443,0
,Sub-Total,"1,420,221,758",0,"151,570,229",0,11,,443,0
Grand Total,,"14,080,279,334","6,991,975,883","2,094,712,466","31,291,272",15,0,443,0
