Programme,Sub-Programme,Approved Budget FY 2024/25,col_3,"Actual Q1 Expenditure FY
2024/25",col_5,Absorption %,col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",577,0
"Administrative
and Support
Services",,"2,302,550,904","162,972,217","289,755,964",-,12.6,-,577,0
,"Preventive Health
Services",,"162,972,217",,-,,-,577,0
,"Administrative
and Support
Services","2,302,550,904",,"289,755,964",,12.6,,577,0
"Economic Plan-
ning",,"30,334,500","7,000,000",-,-,-,-,577,0
"County Research
and Development
Planning",,-,"7,000,000",-,-,,-,577,0
,"County Develop-
ment Planning
Services",,"7,000,000",,-,,-,577,0
"Administrative
and Support
Services",,"30,334,500",-,-,-,-,,577,0
,"Administrative
and Support
Services","30,334,500",,-,,-,,577,0
"Municipality
Board of Kitale",,"20,716,324","212,378,528","151,443",-,0.7,-,577,0
"Administrative
and Support
Services",,"20,716,324","212,378,528","151,443",-,0.7,-,577,0
,"Administrative
and Support
Services","20,716,324","212,378,528","151,443",-,0.7,-,577,0
County Attorney,,"121,945,126",-,"1,229,489",-,1.0,,577,0
"Administrative
and Support
Services",,"121,945,126",-,"1,229,489",-,1.0,,577,0
,"Administrative
and Support
Services","121,945,126",-,"1,229,489",-,1.0,,577,0
County Assembly,,"724,153,000","110,650,000","10,080,500",-,1.4,-,577,0
"Administrative
and Support
Services",,"724,153,000","110,650,000","10,080,500",-,1.4,-,577,0
,"Administrative
and Support
Services","724,153,000","110,650,000","10,080,500",-,1.4,-,577,0
,Grand Total,"6,070,194,759","4,451,565,284","548,373,923","304,184,467",9.0,6.8,577,0
