Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",509,0
,"Provision Of Essential
Health Services In All The
Levels","179,194,443",-,"32,286,878",-,18,0,509,0
,"General Administration
Planning and Support
Services","23,679,937",-,"349,719",-,1,0,509,0
"Health Standards
and Quality As-
surance Services","Health Standards and Qual-
ity Assurance Services","271,793,198",-,"39,756,316",-,15,0,509,0
,Research And Development,"94,436,123",-,"17,201,979",-,18,0,509,0
,"Health Infrastructure devel-
opment","5,426,344",-,-,-,0,0,509,0
,"Human Resources for
health","11,461,630",-,-,-,0,0,509,0
,"Health Policy, Planning &
Financing","137,190,994",-,"21,043,053",-,15,0,509,0
,,"24,478,107",-,"1,511,284",-,6,0,509,0
"Water Catchment
and Protection
Services","Water Catchment and
Protection Services",-,-,-,-,0,0,509,0
,,-,-,-,-,0,0,509,0
,Grand Total,"1,351,316,842","153,700,000","192,668,108",,14,0,509,0
"Lands, Housing,
Physical Planning
& Urban Develop-
ment",,-,-,-,-,0,0,509,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,509,0
"Administration,
Planning and Sup-
port Services","Administration, Planning
and Support Services","92,708,636",-,"35,113,910",-,38,0,509,0
,"Land use policy and
Planning","92,708,636",-,"35,113,910",-,38,0,509,0
"Housing manage-
ment services","Housing management
services","24,217,275","36,000,000","1,007,556","8,120,000",4,23,509,0
,GIS Data Base creation,"4,459,409",-,"756,645",-,17,0,509,0
,Spatial planning,-,-,-,-,0,0,509,0
,Survey And Mapping,"5,395,106",-,"221,553",-,4,0,509,0
,"Urban Centers Adminis-
tration","14,362,760","36,000,000","29,357","8,120,000",0,23,509,0
"Urban center
management",Urban center management,"87,324,116","136,375,442","4,625,020",-,5,0,509,0
,"Urban Centers Adminis-
tration","87,324,116","136,375,442","4,625,020",-,5,0,509,0
,Grand Total,"204,250,027","172,375,442","40,746,485","8,120,000",20,5,509,0
"Roads, Transport &
Public Works",,-,-,-,-,0,0,509,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,509,0
"Administration,
Planning and Sup-
port Services","Administration, Planning
and Support Services",-,-,-,-,0,0,509,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",510,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,510,0
"Administrative
services",Administrative services,"73,864,601",-,"13,581,600",-,18,0,510,0
,"Design, implemetation
and supervision of public
buildings","58,770,593",-,"13,083,900",-,22,0,510,0
,Firefighting services,"10,461,652",-,-,-,0,0,510,0
,"Infrastructure, Roads &
Transport Services","4,632,356",-,"497,700",-,11,0,510,0
"Street lights man-
agement",Street lights management,"41,691,785","349,900,000","1,918,096","5,980,400",5,2,510,0
,"Rehabilitation of Roads,
Drainage and Bridges","17,651,865","7,500,000","1,002,910",-,6,0,510,0
,"Public Road transport and
parking","11,359,998",-,"915,186",-,8,0,510,0
,"Design, supervision and
rehabilitation of County
Buildings","4,909,734","342,400,000",-,"5,980,400",0,2,510,0
,"General Administration
Planning and Support
Services","7,770,188",-,-,-,0,0,510,0
Administration,Administration,-,-,-,-,0,0,510,0
,"Land use policy and
Planning",-,-,-,-,0,0,510,0
"Pollution control&
monitoring","Pollution control& moni-
toring",-,-,-,-,0,0,510,0
,"Conservation and Manage-
ment of Natural Ecosystem",-,-,-,-,0,0,510,0
"Storm water man-
agement",Storm water management,"4,463,388",-,-,-,0,0,510,0
,"Water and sanitation
services","4,463,388",-,-,-,0,0,510,0
,,-,-,-,-,0,0,510,0
,Grand Total,"120,019,774","349,900,000","15,499,696","5,980,400",13,2,510,0
"Tourism, Trade,
Enterprise
Development &
Cooperatives",,-,-,-,-,0,0,510,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,510,0
"General adminis-
tration",General administration,"54,392,694",-,"10,673,985",-,20,0,510,0
,"Cooperatives Development
and Management","54,392,694",-,"10,673,985",-,20,0,510,0
"SACCO members’
empowerment","SACCO members’ empow-
erment","27,519,161",-,"466,800",-,2,0,510,0
,"Enhance Marketing Co-op-
eratives",-,-,-,-,0,0,510,0
,"Promote Commerce and
Enterprises","27,519,161",-,"466,800",-,2,0,510,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",511,0
"Business Develop-
ment Services for
MSE’s","Business Development
Services for MSE’s","48,006,685",-,"10,102,763",-,21,0,511,0
,"Promotion of Tourism and
Marketing","45,611,110",-,"9,920,423",-,22,0,511,0
,"Tourism and Infrastructure
Development","2,395,575",-,"182,340",-,8,0,511,0
"Establish &
Management of
County Tourism
Information
Centre","Establish & Management of
County Tourism Informa-
tion Centre","67,822,325","191,000,000","12,930,665","14,927,975",19,8,511,0
,"Tourism Traning & capacity
Building","5,453,588",-,"161,865",-,3,0,511,0
,"Trade Development and
Promotion",-,-,"(216,300)",-,0,0,511,0
,"Domestic trade develop-
ment","62,368,737","191,000,000","12,985,100","14,927,975",21,8,511,0
"Market develop-
ment and promo-
tion of fair trade
services","Market development and
promotion of fair trade
services","19,055,620",-,"498,400",-,3,0,511,0
,"General Administration
Planning and Support
Services","17,735,620",-,"498,400",-,3,0,511,0
,"General Administration
Planning and Support
Services","1,320,000",-,-,-,0,0,511,0
"General Adminis-
tration Planning
and Support
Services","General Administration
Planning and Support
Services","17,447,604","29,000,000","1,875,309",-,11,0,511,0
,"General Administration
Planning and Support
Services","17,447,604","29,000,000","1,875,309",-,11,0,511,0
,Grand Total,"234,244,089","220,000,000","36,547,921","14,927,975",16,7,511,0
"Culture, Social
Services, Gender,
Sports & Youth
Affairs",,-,-,-,-,0,0,511,0
,"Education & Training
Services",-,-,-,-,0,0,511,0
"Promotion of
youth empower-
ment","Promotion of youth em-
powerment",-,-,-,-,0,0,511,0
,"Management and devel-
opment of Sports & Sports
facilities",-,-,-,-,0,0,511,0
"Sports Develop-
ment, Training &
Competition","Sports Development, Train-
ing & Competition","83,900,000","25,700,000","12,180,500",-,15,0,511,0
,"Public Sector Advisory
Services","83,900,000","25,700,000","12,180,500",-,15,0,511,0
"Economic, Social
& Political Adviso-
ry Service","Economic, Social & Political
Advisory Service","4,891,962",-,"251,560",-,5,0,511,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Develop-
ment",512,0
,"General Administration
Planning and Support
Services","4,891,962",-,"251,560",-,5,0,512,0
"General Adminis-
tration Planning
and Support
Services","General Administration
Planning and Support
Services","69,892,891","21,500,000","9,780,019",-,14,0,512,0
,"Comunity Mobilization and
Development","69,892,891","21,500,000","9,780,019",-,14,0,512,0
"Comunity
Mobilization and
Development","Comunity Mobilization and
Development","25,953,791",-,-,-,0,0,512,0
,"Development and Promo-
tion of Culture","7,431,030",-,-,-,0,0,512,0
,Social Welfare and Gender,"3,972,761",-,-,-,0,0,512,0
,Conservation of Heritage,"13,500,000",-,-,-,0,0,512,0
,"Development and manage-
ment for sports facilities","1,050,000",-,-,-,0,0,512,0
"Development and
management for
sports facilities","Development and manage-
ment for sports facilities","4,530,000",-,-,-,0,0,512,0
,"General Administration
Planning and Support
Services","4,530,000",-,-,-,0,0,512,0
"General Adminis-
tration Planning
and Support
Services (Sports)","General Administration
Planning and Support
Services (Sports)","55,802,774",-,-,-,0,0,512,0
,"General Administration
Planning and Support
Services","55,802,774",-,-,-,0,0,512,0
,Grand Total,"244,971,418","47,200,000","22,212,079",-,9,0,512,0
County Executive,,-,-,-,-,0,0,512,0
,"General Administration
Planning and Support
Services",-,-,-,-,0,0,512,0
"Administration,
Planning and Sup-
port Services","Administration, Planning
and Support Services",-,-,-,-,0,0,512,0
,"Management of County
Affairs",-,-,-,-,0,0,512,0
County Assembly,,,,,,18,0,512,0
,Representation,"611,949,367","49,481,394","110,011,193",-,24,0,512,0
,Legislative and Oversight,"263,435,438",-,"64,523,533",-,12,0,512,0
,"County Assembly Admin-
istration","90,480,736","49,481,394","10,453,896",-,14,0,512,0
,Total,"258,033,193",-,"35,033,764",-,,0,512,0
,Grand Total,"5,068,466,998","2,257,202,678","832,570,433","162,499,356",16,7,512,0
