Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30
September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,Monitoring & Evaluation,"8,573,814",-,0,,0.0,∞,152,0
"Cohesion and
Peace Building","Administrative and Civic
Education Services","11,176,734",-,"1,646,705",,14.7,∞,152,0
,Peace and Cohesion,"11,755,266",-,"1,040,000",,8.8,∞,152,0
,"Violent Extremism Pre-
vention","2,220,000",-,0,,0.0,∞,152,0
"Revenue En-
hancement","General Administration
Planning & Support
Services","12,071,000",-,"3,589,671",,29.7,∞,152,0
,"Source Revenue En-
hancement","3,143,000",-,0,-,0.0,∞,152,0
"ICT and
E-Government
services","ICT Innovation and
Enterprises","9,600,000",-,"2,461,370",,25.6,∞,152,0
,"County Government
Public Image Improve-
ment","1,500,000",-,0,,0.0,∞,152,0
,E-Government Services,0,-,,-,∞,∞,152,0
,Sub-Total,"495,645,882","680,462,813","135,735,217",0,27.4,0.0,152,0
"Lands & Physical Planning, Housing & Urban Planning and Roads & Infrastructure",,,,,,,,152,0
"Land Survey
and land use
planning","County land planning
and spatial development","21,735,137",,"87,848",,0.4,∞,152,0
,Land Use Planning,0,"38,000,000",0,"2,350,000",∞,6.2,152,0
,Land Survey & Mapping,0,"10,000,000",0,-,∞,0.0,152,0
"Roads & Infra-
structure",Road Improvement,"15,128,190",-,"518,200",,3.4,∞,152,0
,"Routine Roads Mainte-
nance",0,"292,644,441",0,-,∞,0.0,152,0
"Planning and
Survey of
Urban Areas","Administration and
Planning Services","7,950,000",-,"344,000",,4.3,∞,152,0
,Housing Development,0,-,0,,∞,∞,152,0
,Urban Development,0,-,,-,∞,∞,152,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expendi-
ture","De-
velop-
ment
Expen-
diture",153,0
"Public Works
& Infrastruc-
ture","General Administration
Planning & Support
Services","11,431,660",-,"96,100",,0.8,∞,153,0
,"Routine Roads Mainte-
nance",0,-,,-,∞,∞,153,0
,Sub-Total,"56,244,987","340,644,441","1,046,148","2,350,000",1.9,0.7,153,0
"Agriculture & Irrigation, Livestock & Veterinary Services and Fisheries Development",,,,,,,,153,0
"Sustainable
Crop Devel-
opment &
Agricultural
Land Use","General Administration
Planning & Support
Services","43,583,116",,"348,300",-,0.8,∞,153,0
,Irrigation Schemes,"3,834,634","2,500,000",0,-,0.0,∞,153,0
,"Crop Development &
Management",0,"317,576,923",0,-,∞,0.0,153,0
,"Agribusiness & Market
Development",0,"21,918,919",0,-,∞,0.0,153,0
"Livestock
Production","General Administration
Planning & Support
Services","95,640,763",-,"192,676",-,0.2,∞,153,0
,"Marketing & Value
Addition",0,"12,576,148",-,-,∞,0.0,153,0
,"Breeds Improvement &
Livestock Risk Mgt",0,-,-,-,∞,∞,153,0
,"Livelihood Diversifica-
tion",0,-,-,-,∞,∞,153,0
Value Addition,"Livestock Diseases &
Pests Control","19,800,000",-,0,-,0.0,∞,153,0
,"Diagnostics & Laborato-
ry Services","3,025,000",-,0,-,0.0,∞,153,0
,"Veterinary Public Health
Services","900,000","2,000,000",0,-,0.0,0.0,153,0
"Fisheries De-
velopment","General Administration
& Support Services","8,299,764",-,"410,500",-,4.9,∞,153,0
,"Aquaculture Technology
Development & Innova-
tion Transfer",0,"2,500,000",0,-,∞,0.0,153,0
,"Fish Safety Assurance
Value Addition & Mar-
keting",0,"4,500,000",0,-,∞,∞,153,0
,Sub-Total,"175,083,277","363,571,990","951,476",0,0.5,0.0,153,0
"Education, Vocational Youth, Sports Gender & Social Services",,,,,,,,153,0
"Provision of
education
and training
services","General Administration
& Support Services","176,651,285","38,338,443","364,100",-,0.2,0.0,153,0
,ECDE Retention,"26,000,000",-,0,,0.0,∞,153,0
,"Education Support
Services","70,000,000",-,0,-,0.0,∞,153,0
,Quality ECDE Services,"1,376,000",-,0,-,0.0,∞,153,0
,ECDE Access,0,-,,-,∞,∞,153,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expendi-
ture","De-
velop-
ment
Expen-
diture",154,0
"Youth, Sports
and Gender","Sports Performance &
Management","18,462,451","29,590,000","326,500",-,1.8,0.0,154,0
,"General Administration
Planning & Support",0,-,0,-,∞,∞,154,0
,Youth Development,"7,295,165",-,0,-,0.0,∞,154,0
,"Sports Facilities Devel-
opment",0,-,-,-,∞,∞,154,0
"Culture and
social services","Administration & Sup-
port Services","23,879,199","12,000,000","30,000",-,0.1,0.0,154,0
,"Arts & Culture Devel-
opment","570,000","1,093,567","100,000",-,17.5,∞,154,0
"Gender Main-
streaming","Gender-Based Violence
& Harmful Practices","1,532,784",-,0,,0.0,∞,154,0
,Women Empowerment,0,-,0,-,∞,∞,154,0
,Child Protection,0,"19,000,000",,-,∞,0.0,154,0
"Disability Em-
powerment","PWDs Social-Economic
Empowerment","4,900,000",-,0,-,0.0,∞,154,0
"Cultural and
Arts Empow-
erment","TVET Access & Reten-
tion","9,220,957","6,000,000",0,-,0.0,0.0,154,0
,"VTC Quality Develop-
ment","1,719,843","4,500,000",0,"2,175,000",0.0,48.3,154,0
,"Secondary & Tertiary
Education Support",0,-,,-,∞,∞,154,0
,Sub-Total,"341,607,684","110,522,010","820,600","2,175,000",0.2,2.0,154,0
"Tourism and Wildlife, Trade Co-operative and Enterprise Development",,,,,,,,154,0
"Tourism Pro-
motion","Tourism Promotion and
Marketing","103,920,882",-,"210,000",,0.2,∞,154,0
,Tourism Development,0,"5,000,000",0,-,∞,0.0,154,0
,Wildlife Protection,0,"3,500,000",0,-,∞,0.0,154,0
"Trade devel-
opment and
promotion","Entrepreneurship and
business management
training",0,"6,500,000",0,-,∞,0.0,154,0
,"General Administration
& Support Services","8,970,876",-,"100,000",-,1.1,∞,154,0
,"Co-operative Develop-
ment & Management","5,040,705",-,"84,000",-,1.7,∞,154,0
,"Development of new
market stalls",0,-,0,-,∞,∞,154,0
"Peace and
Unity Building
Initiatives","General Administration
Planning & Support
Services","500,759,650",-,"1,112,674",-,0.2,∞,154,0
,County Administration,0,-,0,-,∞,∞,154,0
,"Public Service Produc-
tivity & Reforms","2,787,000",-,"765,000",-,27.4,∞,154,0
,"Performance Manage-
ment Framework",0,"4,000,000",0,-,∞,∞,154,0
,Devolved Units,"71,500,800","157,500,000","71,200",-,0.1,∞,154,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expendi-
ture","De-
velop-
ment
Expen-
diture",155,0
"Civic Educa-
tion & Public
Participation","General Administration
Planning & Support
Services","5,118,000",-,0,-,0.0,∞,155,0
,Civic Education,"3,230,000",,"46,100",,1.4,∞,155,0
,Public Participation,"1,410,000",-,0,,0.0,∞,155,0
,Customer Service,"595,000",,0,,0.0,∞,155,0
,Sub-Total,"703,332,913","176,500,000","2,388,974",0,0.3,0.0,155,0
"Water, Energy, Environment, and Natural Resources",,,,,,,,155,0
"Water Supply
and Storage
Services","Procurement of survey
equipment’s & acces-
sories","39,708,596",,"117,085",,0.3,∞,155,0
,"Rural Water Supply &
Storage Services",0,"117,440,000",0,-,∞,0.0,155,0
,"Rural Water Services
Governance","1,050,000",-,0,-,0.0,∞,155,0
,"Adaptive Capacity to
Natural Disaster","7,218,919",-,0,,0.0,∞,155,0
"Climate
Change
Mitigation &
Adaptation","General Administration
& Support Services","27,489,836",-,"80,400",,0.3,∞,155,0
,"Enabling Legal & Imple-
mentation Frameworks",0,-,0,,∞,∞,155,0
,"Inclusive Climate Resil-
ience","600,000",-,"183,200",,30.5,∞,155,0
,Climate Smart Practices,0,"180,000,000",0,"2,172,300",∞,1.2,155,0
"Conservation
of Environ-
ment & Natu-
ral Resources","Administration and
Support Services",0,-,0,,∞,∞,155,0
"Energy ser-
vices","Sustainable Natural Re-
sources Exploitation","3,600,000","2,000,000","96,100",-,2.7,0.0,155,0
,"Environmental Conser-
vation",0,-,0,,∞,∞,155,0
,"General Administration
& Support Services","4,000,000",-,"196,100",,4.9,∞,155,0
,"Green Energy Promo-
tion",0,"6,500,000",0,,∞,0.0,155,0
,"Renewable Energy Tech-
nologies",0,-,0,-,∞,∞,155,0
,Sub-Total,"83,667,351","305,940,000","672,885","2,172,300",0.8,0.7,155,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recur-
rent
Expendi-
ture","De-
velop-
ment
Expen-
diture",156,0
Health Services,,,,,,,,156,0
"Health Cura-
tive Services","Administration Support
Services",-,,-,,∞,∞,156,0
,"Human Resource Man-
agement","652,615,510",,"302,847,100",,46.4,∞,156,0
,Monitoring & Evaluation,"2,402,000",,"33,600",,1.4,∞,156,0
,"Quality Assurance &
Standards","2,473,116",,0,,0.0,∞,156,0
,"Curative and Rehabilita-
tive Health Services","43,110,939","6,000,000",0,-,0.0,∞,156,0
,"Curative Infrastructure
Support",0,"32,000,000",,-,∞,0.0,156,0
,"Pharmaceutical & Phar-
maceutical Commodities","237,680,329","15,000,000",0,,0.0,0.0,156,0
"Health Pre-
ventive and
Promotive
Services","Preventive and Promo-
tive Health Services",0,"19,620,000",,"4,929,430",∞,25.1,156,0
,"Human Resource Man-
agement",0,-,0,,∞,∞,156,0
,Primary Health Care,"374,433,877","36,632,500","92,927,396",-,24.8,0.0,156,0
,Nutrition,"4,427,392","2,500,000","42,400",-,1.0,0.0,156,0
,"Community Health
Services","40,360,000",-,"4,680,000",,11.6,∞,156,0
,"Communicable Diseases
Control","17,076,044",-,0,,0.0,∞,156,0
,"Public Health Emergen-
cy Coordination","20,000,000",-,0,-,0.0,∞,156,0
FIF,FIF,"100,000,000",-,"12,783,569",,12.8,∞,156,0
,Sub-Total,"1,494,579,207","111,752,500","413,314,065","4,929,430",27.7,4.4,156,0
Town Administrator,,,,,,,,156,0
"Municipal Ad-
ministration","General Administration
and Planning","71,328,500",,"4,811,924",,6.7,∞,156,0
,"Infrastructural Devel-
opment",0,"63,661,198",0,-,∞,0.0,156,0
,Municipality Amenities,"8,200,000","104,000,000",0,-,0.0,0.0,156,0
,"Municipal Disaster Man-
agement","6,390,161",-,0,-,0.0,∞,156,0
,"Municipal Transport
Services & Management",0,"85,374,590",0,-,∞,0.0,156,0
,Sub-Total,"85,918,661","253,035,788","4,811,924",-,5.6,0.0,156,0
Grand Total,,"4,421,119,494","2,412,429,542","604,983,087","11,626,730",13.7,0.5,156,0
