Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of
30th September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"Planning Development
and Contol, transport and
infrastructure",0207013710 P.3,"4,439,000","43,500,000","1,919,500",-,43,0,261,0
"trade development and
promotion",0207033710 P.4,"3,649,000","3,000,000","1,824,500",-,50,0,261,0
"environment, culture,
Recreation and Community
Development",0207013710 P.5,"14,858,000","7,061,711","7,429,000",-,50,0,261,0
Total,-,"80,196,569","85,461,711","39,798,284",-,50,0,261,0
Mwingi town Municipality,,,,,,,,261,0
"General administration,
Planning and Support
Services",0201013710 P1,"46,928,010","5,000,000","27,223,548",-,58,0,261,0
Government Building,0109013710 P2,"7,101,543","3,819,000",-,-,0,0,261,0
"Urban mobility and trans-
port",0207013710 SP3.1,"6,571,220","10,500,000","3,651,772",-,56,0,261,0
safety and emergency,0207023710 SP 3.2,"580,000",-,-,-,0,0,261,0
urban Markets development,0207033710 SP3.3,152323,"2,500,000",--,-,0,0,261,0
"environmental Policy Man-
agement",1001013710 P4,"1,321,200","8,000,000","660,600",-,50,0,261,0
Devolution Services,0706013710 P5,417463,-,-,-,0,0,261,0
Total,,"63,071,759","29,819,000","31,535,920",-,50,0,261,0
"3728-Office of the Deputy
Governor",,,-,,,,,261,0
"General administration and
planning",0701013710 P1,"25,440,142",-,"12,720,070",-,50,0,261,0
"wildlife conservation and
security",1003023710 SP. 2.1,"24,204,735","2,527,261",-,-,0,0,261,0
"Tourism development and
promotion",0305013710 SP2.2,"34,889,216","2,000,000","18,000,000",-,52,0,261,0
"Tourism infrastructure
Development",0305033710 SP2.3,"10,955,125","17,625,547","17,024,538",-,155,0,261,0
"Performance Contracting,
disaster and emergency
Services",0205013710 SP3.1,"45,261,946",-,"14,000,000",-,31,0,261,0
"disaster and Emergency
Services",0717013710 SP3.2,"12,154,142","19,350,000","14,708,044",-,121,0,261,0
Total,,"152,905,306","41,502,808","76,452,652",-,50,0,261,0
"3729-ministry of Water and
Irrigation",,,,,,,,261,0
"General administration and
planning",0101013710 p1,"97,342,305",-,"48,671,152","24,910,017",50,0,261,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,262,0
"Water resource Management
services",0101013710 SP2.1,"19,099,366","308,227,045","10,000,000",-,52,0,262,0
water Supply Infrastructure,0111013710 SP2.2,"8,853,796",,"7,770,178",-,88,0,262,0
"Irrigation Development and
Management",0111023710 SP2.3,"7,587,195","86,401,951","2,000,000",-,26,0,262,0
"irrigation and Drainage
infrastructure",0104013710 P3,"12,540,586","175,151,840","4,270,293",-,34,0,262,0
Total,,"145,423,248","569,780,836","72,711,623","24,910,017",50,4,262,0
"3730-Education Training
and Skills Development",,,,,,,,262,0
"General administration,
Planning and Support
Services",0501013710 P1,"799,987,769",-,"399,993,884",-,50,0,262,0
Primary Education,0502013710 P2,"110,872,002","47,160,698","55,436,001",-,50,0,262,0
"Youth training and devel-
opment",0503013710 P4,"24,611,660","37,796,795","11,221,421",-,46,0,262,0
"Quality Assurance and
Standards",0503023710 P5,"20,996,342","2,000,000","11,582,580",-,55,0,262,0
Total,,"956,467,773","86,957,493","478,233,886",-,50,0,262,0
"3731-Ministry Of Roads,
public works and transport",,,,,,,,262,0
"General Administration
Planning and support
services",0101013710 P1,"162,915,312",-,"81,457,656",-,50,0,262,0
Government Buildings,0109013710 SP2.1,"5,609,300","9,080,000","2,804,650",-,50,0,262,0
Road transport,0110013710 SP2.2,"6,281,300","586,060,120","3,140,650",-,50,0,262,0
"Transport and boda boda
Sectors",0203013710 P3,"39,484,411","134,944,462","19,742,206",-,50,0,262,0
Total,,"214,290,323","730,084,582","107,145,162",-,50,0,262,0
"3732-Ministry of Trade
Industry and MSms",,,,,,,,262,0
"General administration and
support H/Qs",0301013710 P1,"110,140,058",,"55,070,029",-,50,0,262,0
"Trade development and
promotion",0301013710 SP2.1,"22,188,443","85,849,631","18,452,459",-,83,0,262,0
"Fair Trade Practice and
Consumer Protection",030323710 SP2.2,"14,716,475","443,000,000",-,-,0,0,262,0
"Co-operatives Development
and Management",0304013710 SP3.1,"28,331,629",-,"22,423,484",-,79,0,262,0
"Market Value Addition and
Research",0304023710 SP3.2,"16,515,339","2,500,000",-,-,0,0,262,0
Total,,"191,891,944","531,349,631","95,945,972",-,50,0,262,0
"3733-Ministry of Energy
Environment and Forestry",,,,,,,,262,0
"General administration,
Planning and Support
Services",1001013710 P1,"39,584,360",-,"19,792,180",-,50,0,262,0
"Environment Management
and Protection",1002013710 SP2.1,"17,238,434","500,000","11,286,826",-,65,0,262,0
waste management,1004013710 SP2.2,992178,-,-,-,0,0,262,0
"Climate change Adaptation
and Mitigation",1003013710 SP2.3,"1,294,218","57,636,701",-,-,0,0,262,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,263,0
"natural Resources Conserva-
tion and Management",0701023710 SP2.4,"1,748,179","15,445,014",-,"11,000,000",0,71,263,0
"Environmental management
and protection",100200 SP2.5,"1,300,642",-,-,-,0,0,263,0
"Power Transmission and
Distribution",1005013710 SP3.1,"9,822,841","40,000,000","5,000,000",-,51,0,263,0
"Alternative Energy Technol-
ogies",1006013710 SP3.2,"3,926,462","49,447,732","2,000,000",-,51,0,263,0
"Community Sensitization
and Awareness creation in
mineral-rich areas",1007013710 SP3.3,"5,760,877","2,000,000",-,-,0,0,263,0
"Training and Capacity
Building",1003043710 SP3.4,"1,644,445","800,000",-,-,0,0,263,0
"Mining Policy Development
and Coordination (Opera-
tionalization of kitui county
River Basins sand Utilization
and Conservation act 2024)",1009013710 SP 3.5,"39,500,000","7,680,287",-,-,0,0,263,0
"Mineral Resources Devel-
opment",1008013710 sp3.6,"3,228,708",-,-,-,0,0,263,0
Total,,"126,041,344","173,509,734","38,079,006","11,000,000",30,0,263,0
"3734-ministry of culture
gender Youth ict sports and
social services",,,,,,,,263,0
"General administration and
planning",0301013710 p1,"74,134,585",-,"37,067,292",-,50,0,263,0
youth Development Services,0506013710 SP 2.1,"8,335,246","2,626,501","4,000,000",-,48,0,263,0
"ICT Infrastructure Devel-
opment",0505013710 SP2.2,"6,122,800","2,216,000","3,229,023",-,53,0,263,0
sports,0306013710 SP2.3,"17,464,600",,"9,201,000",-,53,0,263,0
"Development and Manage-
ment of Sports Facilities",0306023710 SP2.4,"937,400","53,000,000",-,-,0,0,263,0
Gender,0307023710 SP 3.1,"6,623,813","532,905","2,000,000",-,30,0,263,0
"Cultural Conservation of
Heritage",0307013710 SP3.2,"9,881,100","10,185,000","4,000,000",-,40,0,263,0
"Social Development and
Children Services",0308013710 SP3.3,"12,090,600",-,"9,368,146",-,77,0,263,0
"Child Community Support
Services",0308023710 SP3.4,"2,140,780",-,-,-,0,0,263,0
Total,-,"137,730,924","68,560,406","68,865,461",-,50,0,263,0
"3735-Ministry of Finance
Economic Planning and
Revenue Management",,,,,-,,,263,0
"General administration and
planning",710013710 P1,"273,097,524","63,125,000","136,558,762",-,50,0,263,0
"Economic Policy and Coun-
ty Planning",0710013710 SP2.1,"21,304,968",-,-,-,0,0,263,0
"Budget Formulation coordi-
nation and Management",0712023710 SP2.2,"13,329,321",,-,-,0,0,263,0
"Monitoring and Evaluation
Services",0710023710 SP2.3,"4,473,424",-,"3,404,464",,76,0,263,0
"Resource Mobilization (Rev-
enue Department)",0712013710 SP3.1,"33,728,219",-,-,,0,0,263,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment",Rec,Dev,264,0
Audit services,0712033710 SP3.2,"6,958,400",-,"2,979,200",-,43,0,264,0
Financial Services,071205 SP4.5,"13,985,355",-,"6,992,678",-,50,0,264,0
"Procurement of Goods and
Management of services",0704013710 SP3.3,"6,808,928",-,"3,691,902",,54,0,264,0
Total,-,"373,686,139","63,125,000","153,627,006",-,41,0,264,0
3736-Ministry of Agriculture and Livestock,,,,,,,,264,0
"general administration and
planning",0101013710 P1,"216,124,641",,"108,062,320",-,50,0,264,0
"Land and Crops Develop-
ment(crop Development and
management)",0102013710 SP2.1,"9,908,038","122,744,809",-,-,0,0,264,0
"agribusiness and informa-
tion management(Farm
Development and Agri-
business Development and
management)",0103013710 SP2.2,"42,954,588","167,724,258","37,126,330",-,86,0,264,0
"Agricultural Extension
Services and Training",0103013710 SP2.3,"21,390,034","29,744,121",-,-,0,0,264,0
"Fisheries Development and
management",0105013710 P3,"2,810,676",-,-,-,0,0,264,0
"general administration and
planning, and support",0101013710 P4,"59,690,830",-,"36,227,674",-,61,0,264,0
"livestock resources diseases
management and control",0106013710 SP5.1,"7,359,372","11,200,000",-,-,0,0,264,0
"Livestock Disease Manage-
ment and Control",0106023710 SP5.2,"7,431,078","11,216,683",-,-,0,0,264,0
,Total,"367,669,257","342,629,871","181,416,324",-,49,0,264,0
"3737- Lands, Infrastructure, Housing and Urban Development",,,,,,,,264,0
"General administration
planning and sports Services",0101013710 P1,"64,698,840",-,"32,108,470",,50,0,264,0
"Housing Development and
Human Settlement",0107013710 P2.1,"2,062,400",-,-,-,0,0,264,0
Land policy and planning,0108013710 P2.2,"3,965,000","4,831,598",-,-,0,0,264,0
land survey,0108023710 P2.3,"6,094,484",-,-,-,0,0,264,0
Land Adjudication,0108023710 SP2.4,"5,138,800","15,800,000",-,-,0,0,264,0
"Urban Development and
Human Settlement",0107013710 P3,"5,616,110","253,312,127",-,-,0,0,264,0
Total,,"87,575,634","273,943,725","32,108,470",-,37,0,264,0
TOTAL,,"8,825,080,743","4,131,196,697","1,907,213,762","35,910,017",22,1,264,0
