"Department – Programs – Sub Programs
Rec Expenditure
Dev Expenditure",col_1,col_2,"Approved Estimates FY
2024/25",col_4,"Actual Expenditure as of
30 September 2024",col_6,"Absorption Rate
(%)",col_8,page_number,table_index
,Sub - Total,,"34,133,400",,"1,000,000",,2.93,0,564,0
Public Health & Sanitation,,,,,,,,,564,0
,Preventive and Promotive Health Services,,"315,782,688","80,000,000","22,958,849",-,7.27,0,564,0
,,"Health Promotion and Disease
Control","243,576,400","80,000,000","22,958,849",-,9.43,0,564,0
,,"Reproductive Maternal and Child
Health Services","3,500,000",,-,,0,0,564,0
,,Environmental Health Services,"68,706,288",,-,,0,0,564,0
,Sub - Total,,"315,782,688","80,000,000","22,958,849",-,7.27,0,564,0
Youth & Sports,,,,,,,,,564,0
,Sports Dev & Promotion,,"36,888,800","70,000,000","2,000,000",-,5.42,0,564,0
,,"County Football League and Clubs
Development","4,030,000",,-,,0,0,564,0
,,"Athletics Championships and Other
Games","2,448,000",,-,,0,0,564,0
,,,Rec,Dev,Rec,Dev,,,565,0
,,Talent Search and Promotion,"30,410,800","70,000,000","2,000,000",-,6.58,0,565,0
,Sub - Total,,"36,888,800","70,000,000","2,000,000",-,5.42,0,565,0
Culture & Tourism,,,,,,,,,565,0
,"Culture, Arts & Social Services",,"28,125,000","5,000,000","8,500,000",-,30.22,0,565,0
,,Culture and Arts Promotion,"28,125,000","5,000,000","8,500,000",-,30.22,0,565,0
,Tourism Dev & Promotion,,"3,075,000",,-,,0,0,565,0
,,"Tourism Promotion & Infrastruc-
ture Dev","1,073,280",,-,,0,0,565,0
,,Miss Tourism Tharaka Nithi,"2,001,720",,-,,0,0,565,0
,Sub - Total,,"31,200,000","5,000,000","8,500,000",-,27.24,0,565,0
Revenue & Resource Mobilisation,,,,,,,,,565,0
,Financial Management Services,,"13,759,500",,-,,0,0,565,0
,,"Resource Mobilisation and Man-
agement","13,759,500",,-,,0,0,565,0
,Resource Mobilisation,,"102,574,700","7,000,000","9,800,000",-,9.55,0,565,0
,,Revenue Administration,"102,574,700","7,000,000","9,800,000",-,9.55,0,565,0
,Sub - Total,,"116,334,200","7,000,000","9,800,000",-,8.42,0,565,0
"Lands, Physical Planning & Housing",,,,,,,,,565,0
,Land Policy and Planning,,"51,965,000","50,000,000","4,000,000",-,7.70,0,565,0
,,Physical Planning Services,"44,793,000","50,000,000","4,000,000",-,8.93,0,565,0
,,Land admin & management,"7,172,000",,-,,0,0,565,0
,Sub - Total,,"51,965,000","50,000,000","4,000,000",-,7.70,0,565,0
Fisheries & Ecosystem Development,,,,,,,,,565,0
,"Livestock and Fisheries Resource Management
and Dev",,"21,000,000","14,810,384","1,000,000",-,4.76,0,565,0
,,Fisheries Dev & Promotion,"21,000,000","14,810,384","1,000,000",-,4.76,0,565,0
,Sub - Total,,"21,000,000","14,810,384","1,000,000",-,4.76,0,565,0
"Gender, Children & Social Services",,,,,,,,,565,0
,Gender and Youth Empowerment,,"28,600,000","10,000,000","1,000,000",-,3.50,0,565,0
,,"Gender, Youth and Women Em-
powerment","28,600,000","10,000,000","1,000,000",-,3.50,0,565,0
,Sub - Total,,"28,600,000","10,000,000","1,000,000",-,3.50,0,565,0
"Trade, Investment Promotion, Energy & Industry",,,,,,,,,565,0
,Energy Resource Development & Management,,"37,101,880","10,000,000","2,800,000",-,7.55,0,565,0
,,"Energy Resource Development &
Management","37,101,880","10,000,000","2,800,000",-,7.55,0,565,0
,Industrial Dev & Investment,,"15,730,000","250,000,000",-,-,0,0,565,0
,,Industrial Development,"6,230,000","250,000,000",-,-,0,0,565,0
,,"Consumer Protection & Fair Trade
Practices","9,500,000",,-,,0,0,565,0
,Sub - Total,,"52,831,880","260,000,000","2,800,000",-,5.30,0,565,0
County Assembly,,,,,,,,,565,0
,"General Admin, Planning & Support Services",,"294,947,308","55,712,325","21,257,157",-,7,0,565,0
,,Office of the Clerk,"294,947,308","55,712,325","21,257,157",-,7,0,565,0
,County Legislation Services,,"269,344,692",0,"17,719,808",-,6.58,0,565,0
