Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 30
September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"Programme 2:
Protection and
Conservation of the
Environment",-,-,"336,000,000",-,"28,889,623",,8.5,69,0
,"SP. Waste Management and
Control",-,"336,000,000",-,"28,889,623",-,8.6,69,0
"Programme3:
Climate Change
Coordination and
Management",,"22,000,000","233,488,888","5,240,145","11,860,386",23.8,5.1,69,0
,"Sp. Climate Change Resil-
ience Investment Grant",-,"153,488,888",-,"11,860,386",-,7.7,69,0
,Sp. Climate Change Fund,-,"80,000,000",-,-,-,0.0,69,0
,"SP. Climate Change Institu-
tional Support Grant","22,000,000",-,"5,240,145",-,23.8,-,69,0
Sub Total,,"67,166,837","569,488,888","8,112,853","40,750,009",12.1,7.1,69,0
Water and Natural Resources,,,,,,,,69,0
"Programme 1: Gen-
eral Administration
Planning and Support
Services",,"55,513,691",-,"3,668,945",-,6.6,-,69,0
,"SP. Human Resources Man-
agement","46,092,640",-,"3,531,345",-,7.7,-,69,0
,"Sp. Planning and Support
Services","9,421,051",-,"137,600",-,1.5,-,69,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"De-
velop-
ment",70,0
"Programme 2:
Water and Sanitation
Development and
Management",,"20,000,000","683,989,466",-,,0.0,0.0,70,0
,SP. Borehole Development,-,"26,087,637",-,-,-,0.0,70,0
,"SP. KOICA Counterpart
Funding","20,000,000",-,-,-,0.0,,70,0
,KOICA Grant,-,"500,000,000",-,-,-,0.0,70,0
,Ward Based Projects,-,"144,100,000",-,-,-,0.0,70,0
,Pending Bills Water Projects,,"13,801,829",-,-,-,0.0,70,0
Sub Total,,"75,513,691","683,989,466","3,668,945",-,4.9,0.0,70,0
Finance and Economic Planning,,,,,,,,70,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"947,123,564",-,"80,321,166",-,8.5,-,70,0
,"SP: Human Resource Man-
agement and Development","803,372,744",-,"68,964,821",-,8.6,-,70,0
,"SP: Leadership and Gover-
nance","13,471,420",-,-,-,0.0,-,70,0
,"SP: Administration Support
Services","118,150,197",-,"11,356,345",-,9.6,-,70,0
,"SP: Staff Training and Devel-
opment","12,129,203",-,-,-,0.0,-,70,0
"Programme 2:
County Planning
Management",-,"76,290,656",-,"3,023,640",-,4.0,-,70,0
,"SP: Economic Policy and
County Planning Services","19,400,764",-,"290,650",-,1.5,-,70,0
,SP: Budgeting,"36,465,600",,"2,595,390",,7.1,-,70,0
,"SP: Monitoring and Eval-
uation","10,424,292",-,-,-,0.0,-,70,0
,SP: Statistics,"10,000,000",-,"137,600",,1.4,-,70,0
"Programme 3: Coun-
ty Financial Service
Management",-,"91,665,812",-,"4,212,435",-,4.6,-,70,0
,SP: Revenue Mobilisation,"40,192,006",,"1,393,235",-,3.5,-,70,0
,SP: Accounting Services,"18,335,192",-,"2,517,600",-,13.7,-,70,0
,SP: Audit Services,"16,614,467",-,"301,600",-,1.8,-,70,0
,SP: Supply Chain Services,"16,524,147",-,-,-,0.0,,70,0
"Programme 4:
Service Delivery and
Organisational Trans-
formation",,"24,290,307","155,718,949","1,922,025",-,7.9,0.0,70,0
,"SP: Special Coordination
Unit","24,290,307",-,"1,922,025",-,7.9,-,70,0
,SP: Emergency Fund,-,"100,000,000",-,-,-,0.0,70,0
,ICT Development,-,"37,467,365",-,-,-,0.0,70,0
,Health Management System,,"18,251,584",-,-,-,0.0,70,0
Sub Total,,"1,139,370,339","155,718,949","89,479,266",-,7.9,0.0,70,0
Education and Vocational Training,,,,,,,,70,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"1,207,031,111",-,"223,713,073",-,18.5,-,70,0
,"SP: Human Resource Man-
agement and Development","1,197,255,254",-,"94,888,473",-,7.9,-,70,0
,"SP: Administrative and
Support Services","9,775,857",-,-,-,0.0,-,70,0
"Programme 2: Edu-
cation improvement
support services",,"255,000,000",-,-,-,0.0,-,70,0
,"SP: Bursary and Scholarship
Support Program","225,000,000",-,"128,824,600",-,57.3,-,70,0
,SP: School Feeding Initiative,"30,000,000",-,-,-,0.0,,70,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"De-
velop-
ment",71,0
"Programme 3: Early
Childhood Develop-
ment Education",,-,"121,150,000",-,-,,0.0,71,0
,"SP: Educational Materials
and Library Supplies",-,"23,000,000",-,-,-,0.0,71,0
,"SP: Infrastructure Develop-
ment",-,"98,150,000",-,-,-,0.0,71,0
"Programme 4: Voca-
tional Training and
Development",,"8,500,000","40,000,000",-,-,0.0,0.0,71,0
,"SP: Administration Support
Services","8,500,000",-,-,-,0.0,-,71,0
,"SP: Tuitions Support Ini-
tiative",-,"15,000,000",-,-,-,0.0,71,0
,"SP: Infrastructure Develop-
ment",-,"25,000,000",-,-,-,0.0,71,0
Sub Total,,"1,470,531,111","161,150,000","223,713,073",-,15.2,0.0,71,0
County Public Service Board,,,,,,,,71,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"29,029,696","16,018,306","1,698,680",-,5.9,0.0,71,0
,SP: Administrative Services,"29,029,696",,"1,698,680",-,5.9,-,71,0
,"SP: Infrastructure Develop-
ment",-,"16,018,306",-,-,-,0.0,71,0
"Programme 2:
Human Resource
Management and
Development",,"15,103,417",-,-,-,0.0,-,71,0
,SP: Personnel Remuneration,"11,712,720",-,-,-,0.0,-,71,0
,"SP: Human Resource Devel-
opment","3,390,697",-,-,-,0.0,-,71,0
"Programme 3: Gover-
nance and National
Values",,"5,777,011",-,-,-,0.0,-,71,0
,SP: Quality Assurance,"2,060,441",-,-,-,0.0,-,71,0
,"SP: Ethics Governor’s and
National","3,716,570",-,-,-,0.0,-,71,0
Sub Total,,"49,910,124","16,018,306","1,698,680",-,3.4,0.0,71,0
"Trade, Energy and Industrialisation",,,,,,,,71,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"88,614,649",-,"2,577,905",-,2.9,-,71,0
,"SP: Human Resource Devel-
opment and Management","23,422,236",-,"2,440,305",-,10.4,-,71,0
,"SP: Administrative, Planning
and Support Services","65,192,413",-,"137,600",-,0.2,-,71,0
"Programme 2: Trade
and Enterprise Devel-
opment",,-,"30,000,000",-,"8,680,375",-,28.9,71,0
,SP: Business Loan,,"30,000,000",,"8,680,375",,28.9,71,0
"Programme 3:
Market Infrastructure
Development and
Management",,-,"153,384,331",-,-,-,0.0,71,0
,SP 3.1. Market Infrastructure,-,"80,000,000",-,-,-,0.0,71,0
,SP 3.2. Ward Based Projects,-,"59,467,280",-,-,-,0.0,71,0
,SP 3.3. Supplier Credit,-,"13,917,051",-,-,-,0.0,71,0
"Programme 4: Ener-
gy Development and
Management",,-,"65,033,314",-,-,-,0.0,71,0
,SP: Energy Access,-,"20,033,314",-,-,-,0.0,71,0
,REREC,-,"45,000,000",-,-,-,0.0,71,0
"Programme 5: Indus-
trial Investment and
Development",,-,"80,000,000",-,"40,000,000",-,50.0,71,0
,SP: Industrial Development,-,"80,000,000",-,"40,000,000",-,50.0,71,0
Sub Total,,"88,614,649","328,417,645","2,577,905","48,680,375",2.9,14.8,71,0
Gender and Culture,,,,,,,,71,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"De-
velop-
ment",72,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"68,620,355",-,"3,729,027",-,5.4,,72,0
,"SP: Human Resource Devel-
opment and Management","51,289,428",-,"3,608,227",-,7.0,-,72,0
,"SP: Administrative, Planning
and Support Services","17,330,927",-,"120,800",-,0.7,,72,0
"Programme 2: Cul-
tural Development
and Management",,"4,000,000","18,164,663",-,-,0.0,0.0,72,0
,"Communities Cultural
Festivals","2,000,000",-,-,-,0.0,,72,0
,"Liquor and Licensing En-
forcement Exercise","2,000,000",-,-,-,0.0,,72,0
,Infrastructure Development,-,"18,164,663",-,-,-,0.0,72,0
"Programme 3: Gender
Equality and Empow-
erment of Vulnerable
Groups",,"2,500,000","10,000,000",-,-,0.0,0.0,72,0
,"Gender and Disability
Mainstreaming","2,500,000",-,-,-,0.0,,72,0
,Women Empowerment Fund,-,"5,000,000",-,-,-,0.0,72,0
,"Disability Empowerment
Fund",-,"5,000,000",-,-,-,0.0,72,0
Sub Total,,"75,120,355","28,164,663","3,729,027",-,5.0,0.0,72,0
Youth and Sports,,,,,,,,72,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"23,007,518",-,"1,003,789",-,4.4,-,72,0
,"SP: Human Resource Devel-
opment and Management","13,151,163",-,"864,089",-,6.6,-,72,0
,"SP: Administrative, Planning
and Support Services","9,856,355",-,"139,700",-,1.4,-,72,0
"Programme 2: Sports
Facility Development
and Management",,-,"48,817,068",-,-,-,0.0,72,0
,Infrastructure Development,,"48,817,068",-,-,-,0.0,72,0
"Programme 3: Youth
Talent Development
and Management",,-,-,-,-,-,-,72,0
,Youth Empowerment Fund,,-,-,-,-,-,72,0
Sub Total,,"23,007,518","48,817,068","1,003,789",-,4.4,0.0,72,0
"Lands, Urban and Physical Planning",,,,,,,,72,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"53,375,232",-,"2,247,053",-,4.2,-,72,0
,"SP: Human Resource Devel-
opment and Management","33,253,927",-,"2,111,953",-,6.4,-,72,0
,"SP: Administrative, Plan-
ning and Support Services","20,121,305",-,"135,100",-,0.7,-,72,0
"Programme 2: Land
Development and
Management",,-,"126,790,044",-,-,-,0.0,72,0
,SP: Land Acquisition,-,"95,000,000",-,-,-,0.0,72,0
,"SP: Physical and Land Use
Plans",-,"2,269,231",-,-,-,0.0,72,0
,SP: Auction Ring,-,"2,500,000",-,-,-,0.0,72,0
,Supplier Credit,-,"1,220,813",-,-,-,0.0,72,0
,Ward Based Projects,-,"25,800,000",-,-,-,0.0,72,0
Sub Total,,"53,375,232","126,790,044","2,247,053",-,4.2,0.0,72,0
Housing,,,,,,,,72,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"52,655,527",-,"974,852",-,1.9,-,72,0
,"SP: Human Resource Devel-
opment and Management","11,414,925",-,"839,752",-,7.4,-,72,0
,"SP: Administrative, Plan-
ning and Support Services","3,740,602",-,"135,100",-,3.6,-,72,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Recurrent,"De-
velop-
ment",73,0
,KUSP UIG,"37,500,000",-,-,-,0.0,,73,0
"Programme 2: Hous-
ing Development and
Human Settlement",,-,"427,299,481",-,-,-,0.0,73,0
,"SP: Housing Infrastructural
Development",-,"129,899,311",-,-,-,0.0,73,0
,"SP: Housing Financing
Services",-,"297,400,170",-,-,-,0.0,73,0
Sub Total,,"52,655,527","427,299,481","974,852",-,1.9,0.0,73,0
Bungoma Municipality,,,,,,,,73,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"55,949,973",-,"1,676,783",-,3.0,-,73,0
,"SP: Human Resource Devel-
opment and Management","20,242,043",-,"1,676,783",-,8.3,-,73,0
,"SP: Administrative, Plan-
ning and Support Services","26,957,930",-,-,-,0.0,-,73,0
,KUSP UIG,"8,750,000",-,-,-,0.0,-,73,0
"Programme 2: Urban
Land Use, Policy and
Planning",,-,"16,000,000",-,-,-,0.0,73,0
,SP: Urban Land Planning,-,"16,000,000",-,-,-,0.0,73,0
"Programme 3:
Urban Infrastructure
Development and
Management",,-,"80,565,924",-,-,-,0.0,73,0
,"SP: Urban Transport and
Infrastructure Development",,"80,565,924",-,-,-,0.0,73,0
"Programme 4: Urban
Environment, Health,
Water, Culture
and Human Social
Services",,-,"2,500,000",-,-,-,0.0,73,0
,"SP: Urban Environment and
Public Health Services",-,"2,500,000",-,-,-,0.0,73,0
Sub Total,,"55,949,973","99,065,924","1,676,783",-,3.0,0.0,73,0
Kimilili Municipality,,,,,,,,73,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,"42,698,217",-,"1,297,847",-,3.0,,73,0
,"SP: Human Resource Devel-
opment and Management","16,317,362",,"1,297,847",,8.0,,73,0
,"SP: Administrative, Planning
and Support Services","17,630,855",-,-,-,0.0,-,73,0
,KUSP UIG,"8,750,000",-,-,-,0.0,,73,0
"Programme 2:
Urban Infrastructure
Development and
Management",,-,"57,980,097",-,-,,0.0,73,0
,"SP: Infrastructure, Housing
and Public Works",-,"57,980,097",-,-,-,0.0,73,0
Sub Total,,"42,698,217","57,980,097","1,297,847",-,3.0,0.0,73,0
Grand Total,,"9,454,136,600","4,778,360,670","917,211,148","89,430,384",9.7,2.2,73,0
County Assembly,,,,,,,,73,0
"Programme 1: Legis-
lation, oversight and
representation",SP 1.1 Legislative Services,"9,486,000",-,"1,308,480",-,13.8,-,73,0
,SP 1.2 Oversight Services,"133,174,590",-,"26,815,291",-,20.1,-,73,0
,"SP 1.3 Representation
Services","7,305,000",-,"1,057,414",-,14.5,-,73,0
"Programme 2: Gen-
eral Administration,
Planning and Support
Services","SP 2.1 Human Resource
Management and Develop-
ment","681,606,228",-,"140,149,328",-,20.6,-,73,0
,"SP 2.2 ICT and Public Com-
munication Services","17,800,000",-,-,-,0.0,,73,0
,"SP 2.3 Management and
Periodic Evaluation on
Emerging Policy and Devel-
opment","86,263,112",-,"15,855,581",-,18.4,-,73,0
,"SP.2.4 Infrastructural Devel-
opment","25,606,433","190,000,000","157,500",-,0.0,-,73,0
