Programme,"Sub - Pro-
gramme",Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
,"Artistic Talent
Development","3,345,000",-,"300,000",-,9.0,-,250,0
,Sub Total,"6,745,000",0,"1,824,000",0,27.0,-,250,0
,Total,"21,408,721.0",0.0,"1,824,000.0",0.0,8.5,-,250,0
"Water, Environment, Natural Resources and Climate Change",,,,,,,,250,0
"Conservation
and Manage-
ment of Natu-
ral Ecosystems","Water Resources
and Sewerage
Services","47,200,000",-,-,-,-,-,250,0
,"Sustainable
Access to Safe
Water","2,817,208",-,-,-,-,-,250,0
,"Water Resources
and Sewerage
Services","5,329,763","94,400,000","627,000",,11.8,-,250,0
,Sub Total,"55,346,971","94,400,000","627,000",0,1.1,-,250,0
"Promotion of
Sustainable
Land Use","Promotion of
Soil and Water
Management","404,250",-,"124,600",-,30.8,-,250,0
,"Promotion of
Mechanisation","352,500",-,-,-,-,-,250,0
,Sub Total,"756,750",0,"124,600",0,16.5,-,250,0
"Energy Pro-
duction",Energy,"4,200,000","79,100,000",0,-,-,-,250,0
,Climate Change,"6,820,000",,"2,456,280",-,36.0,-,250,0
,Sub Total,"11,020,000","79,100,000","2,456,280",0,22.3,-,250,0
"Mining Effi-
ciency","Mining Effi-
ciency","385,160",-,"12,000",-,3.1,-,250,0
"Resource Mo-
bilisation","Resource Mobil-
isation","43,940,000",-,"11,540,832",-,26.3,-,250,0
,Sub Total,"44,325,160",0,"11,552,832",0,26.1,-,250,0
"Environmental
Planning and
Management","Environmental
Conservation of
Natural Resourc-
es","275,800",-,"79,600",-,28.9,-,250,0
,"Solid Waste
Management","4,148,760",-,"512,600",-,12.4,-,250,0
,Sub Total,"4,424,560",0,"592,200",0,13.4,-,250,0
"Pollution
Control",Pollution Control,"1,410,700",-,"100,000",-,7.1,-,250,0
,Sub Total,"1,410,700",0,"100,000",0,7.1,-,250,0
,Total,"117,284,141","173,500,000","15,452,912",0,13.2,-,250,0
"Public Service, County Administration and Participatory Development",,,,,,,,250,0
"Public Service,
County Ad-
ministration
and Participa-
tory Develop-
ment","Planning and
Coordination
Services","86,428,211","43,500,000","3,988,849",-,4.6,-,250,0
,"Planning and
Administration","54,913,271","291,199,910","3,310,287","29,936,492",6.0,10.3,250,0
,Sub Total,"141,341,482","334,699,910","7,299,136","29,936,492.40",5.2,8.9,250,0
