Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 30th
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Economic
Planning and
Statistics","County Econom-
ic Planning and
Statistics","33,958,000",-,"2,000,000",-,5.9,-,341,0
"Revenue
Collection and
Enhancement","Revenue
Collectionand
Enhancement","43,415,000","10,000,000","6,000,000",-,13.8,-,341,0
"ICT and
E-Government
Services","ICT and E-Gov-
ernment Services","18,220,000","6,999,408",-,-,-,-,341,0
,Sub-Total,"469,808,598","16,999,408","82,410,007",-,17.5,-,341,0
County Public Service Management,,,,,,,,341,0
"General Ad-
ministration
and Planning","Administration
Planning","1,967,005,734",-,"268,687,406",-,13.7,-,341,0
"Devolved Gov-
ernance and
Enforcement
Services","Devolved
Governance and
Enforcement
Services",-,-,-,-,-,-,341,0
"Civic Edu-
cation and
Public Partici-
pation","Civic Education
and Public Par-
ticipation","4,500,000",-,-,-,-,-,341,0
"De-Radical-
isation and
Countering
Violence","De-Radicalisa-
tion and Coun-
tering Violence",-,-,-,-,-,-,341,0
"Community
Cohesion and
Conflict Man-
agement","Community
Cohesion and
Conflict Manage-
ment","35,900,000",-,"3,600,000",-,10.0,-,341,0
,Sub-Total,"2,007,405,734",-,"272,287,406",-,13.6,-,341,0
Social Development,,,,,,,,341,0
"General Ad-
ministration
and Planning","Administration
Planning","47,454,960",-,"10,652,538",-,22.4,-,341,0
"Women’s
Empowerment
and Affirma-
tive Action","Women’s
Empowerment
and Affirmative
Action","6,200,000","8,000,000",-,-,-,-,341,0
"Youth Empow-
erment and
Sports","Youth Empower-
ment and Sports","27,000,000","39,199,813",-,-,-,-,341,0
"Culture
and Gender
Development
Promotion","Culture and Gen-
der Development
Promotion","6,450,000","10,000,000",-,-,-,-,341,0
"Disaster Pre-
paredness and
Management","Disaster Pre-
paredness and-
Management","26,700,000","509,487,878","2,500,000",-,9.4,-,341,0
,Sub-Total,"113,804,960","566,687,691","13,152,538",-,11.6,-,341,0
"Water, Energy, Environment and Climate Change",,,,,,,,341,0
317,,,,,,,,341,0
