Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of
30 September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Planning &
Administrative
Support Services","Policy formulation,
planning, Monitoring
& evaluation, Re-
search, & learning.","18,669,591",,"1,600,000",,8.6,-,382,0
,"Administration &
support services","53,383,200",,"1,933,925",,3.6,-,382,0
,"Human Resource
Management & Devel-
opment","29,754,000",,"786,599",,2.6,-,382,0
,"Infrastructure &
Health Facility Man-
agement",,"200,000,000",,"4,556,595",-,2.3,382,0
,"Health Financing &
Universal Health Cov-
erage (UHC) co-ordi-
nation","12,000,000",-,-,-,-,-,382,0
,"Standards & Quality
Assurance","550,000",-,-,-,-,-,382,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,383,0
,"Community health
infrastructure services
(CHVs)","30,915,754",-,-,-,-,-,383,0
"Preventive
& Promotive
Health Services","Human Nutrition &
Dietetics services","3,850,000",-,-,-,-,-,383,0
,"HIV/AIDS manage-
ment","21,170,000",-,-,-,-,-,383,0
,TB control,"8,600,000",-,-,-,-,-,383,0
,Malaria Control,"9,228,000",-,-,-,-,-,383,0
,"Non-Communicable
Diseases (NCDs","10,630,000",-,-,-,-,-,383,0
,"Disease surveillance/
Emergency prepared-
ness","10,950,000",-,-,-,-,-,383,0
,"Health promotion &
education","2,800,000",-,-,-,-,-,383,0
,"Maternal & Reproduc-
tive Health services","14,500,000",-,-,-,-,-,383,0
,"Neonatal, Child, Ado-
lescent & Youth health
services","4,000,000",-,-,-,-,-,383,0
,"Expanded Program for
Immunization (Immu-
nization)","12,270,000",-,-,-,-,-,383,0
,"Gender-Based Vio-
lence health services","900,000",-,-,-,-,-,383,0
,"Neglected Tropical
Diseases services.","950,000",-,-,-,-,-,383,0
,"Environmental Health
& Sanitation Services","1,000,000",-,-,-,-,-,383,0
"Curative,
Rehabilitative &
Referral Services","Health Products &
Technologies","106,255,000",-,-,-,-,-,383,0
,"Diagnostic & Rehabili-
tation Services","1,500,000",-,-,-,-,-,383,0
Donor Funds,DANIDA,"12,358,500",-,-,-,-,-,383,0
Pending Bills,Pending Bills,"2,600,000",-,-,-,-,-,383,0
,,,,,,-,-,383,0
Sub-Total,,"368,834,045","200,000,000","4,320,524","4,556,595",1.2,2.3,383,0
"Department of Environment, Natural Resources, Climate Change & Disaster Management",,,,,,,,383,0
"General ad-
ministration &
support services","General administra-
tion","55,689,016",-,"10,918,678",-,19.6,-,383,0
"Mazingira Youth
Programme","Mazingira Youth Pro-
gramme","24,000,000",-,"2,749,400",-,11.5,-,383,0
"Environment
Management &
Protection","Solid Waste Manage-
ment Services","17,011,000",-,"166,401",-,1.0,-,383,0
Donor Funds,Donor Funds,-,"220,099,573",-,-,-,-,383,0
"Climate Change
Adaptation &
Mitigation",Climate Change,"16,500,000",-,-,-,-,-,383,0
,"Climate Information
Services (CIS)","500,000",-,-,-,-,-,383,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,384,0
,"Climate Change legal
frameworks","4,500,000",-,-,-,-,-,384,0
,"Establish Grievance
Redress Structures","10,700,000",-,-,-,-,-,384,0
,"Strengthening Re-
source Management
Units (CFAs and
WRUAs)","5,000,000",-,-,-,-,-,384,0
,"Climate Change
Awareness Campaigns","10,500,000",-,-,-,-,-,384,0
,"Climate Change Gov-
ernance","10,500,000",-,-,-,-,-,384,0
,"Facilitation of Climate
change Operations","9,820,000",-,-,-,-,-,384,0
,"Monitoring and
Evaluation of FLLoCA
Projects","5,900,000",-,-,-,-,-,384,0
,"FLLoCA PIU consulta-
tive meetings","4,700,000",-,-,-,-,-,384,0
,"Support climate
change learning events
and exhibition","5,200,000",-,-,-,-,-,384,0
"Natural Resourc-
es Management
& Forestry
Development",Forestry development,"5,800,000",-,-,-,-,-,384,0
,"Natural Resources
Management & Con-
servation","3,200,000",-,-,-,-,-,384,0
,"Artisanal mining &
quarry services","500,000",-,-,-,-,-,384,0
Pending Bills,Pending Bills,-,"45,000,000",-,-,-,-,384,0
"Disaster Man-
agement and
Response",Disaster Management,"10,700,000",-,-,-,-,-,384,0
,Fire Rescue Services,"2,800,000",-,-,-,-,-,384,0
,-,-,-,-,-,-,-,384,0
