Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expenditure as of 30
September, 2024 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,Sub-Total,-,"101,694,720",-,-,0,0,56,0
"Co-operative
& Enterprise
Development",Administration,"20,530,000","52,600,000",-,-,0,0,56,0
,Sub-Total,"20,530,000","52,600,000",-,-,0,0,56,0
Water Sanitation and Environment,,,,,,,,56,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment
Expendi-
ture","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",57,0
"Water and Irri-
gation",Administration,"77,073,100",,"11,664,082",,15,0,57,0
,"Development of Water Supply
for Domestic and Commercial
purposes",,"487,770,853",,"20,496,952",0,4,57,0
,Sub-Total,"77,073,100","487,770,853","11,664,082","20,496,952",15,4,57,0
"Waste Water
management",Waste Water management,,"5,000,000",,,0,0,57,0
,Sub-Total,-,"5,000,000",-,-,0,0,57,0
"Environment
& Natural
resources",Administration,"56,716,742",,,,0,0,57,0
,"Environmental and Natural
Resources Protection and
Conservation",-,"397,223,290",-,-,0,0,57,0
,Sub-Total,"56,716,742","397,223,290",-,-,0,0,57,0
Education and Vocational Training,,,,,,,,57,0
"Education and
Vocational
Training","Policy Planning & General
Administration","206,614,159",-,-,-,0,0,57,0
,"Early Childhood Development
and Education",-,"272,622,911",-,"18,147,228",0,7,57,0
,Youths & Sports,"28,706,245","8,000,000",-,-,0,0,57,0
,Sub-Total,"235,320,404","280,622,911",-,"18,147,228",0,6,57,0
"Roads, Public Works and Transport",,,,,,,,57,0
"Roads, Public
Works and
Transport","Policy Planning and Adminis-
trative Services","75,792,165","500,000","1,000,000",-,1,0,57,0
,"Roads Construction & Main-
tenance",-,"537,685,211",-,"36,010,951",0,7,57,0
,"Development and Maintenance
of other Public works",-,"105,000,000",-,-,0,0,57,0
,"County Transport Infrastruc-
ture",-,"3,000,000",-,-,0,0,57,0
,Sub-Total,"75,792,165","646,185,211","1,000,000","36,010,951",1,6,57,0
"Trade, Energy, Tourism and Industry",,,,,,,,57,0
"Trade, Energy,
Tourism and
Industry",Administration,"11,365,000",-,-,-,0,0,57,0
,Trade Development,-,"25,800,000",-,-,0,0,57,0
,Energy Development,-,"27,500,000",-,-,0,0,57,0
,Tourism Development,-,"2,000,000",-,-,0,0,57,0
,Industry,-,"2,000,000",-,-,0,0,57,0
,Investment,-,"1,500,000",-,-,0,0,57,0
,Sub-Total,"11,365,000","58,800,000",-,-,0,0,57,0
The County Assembly,,,,,,,,57,0
"County Assem-
bly","General Administration, Hu-
man Resources and Adminis-
trative Services","349,495,416","250,824,018","63,360,152",-,18,0,57,0
,Legislative Services,"332,812,584",-,"7,348,561",-,2,0,57,0
,Oversight and Representation,"116,150,555",-,"23,012,838",-,20,0,57,0
,Sub-Total,"798,458,555","250,824,018","93,721,551",-,12,0,57,0
Grand Total,,"6,544,320,840","3,235,809,037","751,880,267","74,655,131",11,2,57,0
