Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 30
September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","775,390,518","32,000,000","146,038,103",-,18.8,0,167,0
"Early Child-
hood Develop-
ment",Early Childhood,"44,933,000","99,700,000","1,973,488",-,4.4,0,167,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",168,0
"Technical and
Vocational","Technical and
Vocational
Training","4,611,298",-,"960,200",-,20.8,0,168,0
"Youth and
Sports","Sport Training
and Competi-
tion","35,487,735",-,"9,311,894",-,26.2,0,168,0
,Sub Total,"860,422,551","131,700,000","158,283,685",-,18.4,0,168,0
"Department of Gender, Cooperative, Culture, Tourism and Wildlife",,,,,,,,168,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","101,205,360",-,"10,100,217",-,10,0,168,0
"Gender Main-
streaming","Gender Main-
streaming","15,792,190",-,"1,394,400",-,8.8,0,168,0
"Arts and Cul-
ture","Cultural Her-
itage","6,180,373",-,-,-,0,0,168,0
,"Cultural Activ-
ities","3,702,291",-,-,,0,0,168,0
"Local Tourism
and Wildlife","Local Tourism
Promotion and
Wildlife Man-
agement","57,511,212",-,"1,694,654",-,2.9,0,168,0
"Cooperative
Development","Cooperative
Development","14,702,090",-,-,-,0,0,168,0
,Sub Total,"199,093,516",-,"13,189,271",-,6.6,0,168,0
"Department of Agriculture, Livestock, Veterinary Service and Fisheries",,,,,,,,168,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","198,979,633",-,"31,375,092",-,15.8,0,168,0
"Crop Produc-
tion","Crop Develop-
ment","7,483,340",-,"950,000",-,12.7,0,168,0
,"Agricultural
Mechanization
Services","7,217,947",-,-,,0,0,168,0
,"Agricultural
Training Centre","5,545,866",-,-,-,0,0,168,0
,"Plant Disease
Control","3,845,499",-,-,-,0,0,168,0
,"Agri-Business
and Market
Development","3,935,499",-,"467,849",-,11.9,0,168,0
Irrigation,"Irrigation
Service","12,258,990",-,"2,455,000",-,20,0,168,0
"Livestock Re-
sources","Animal Hus-
bandry","7,278,088","10,000,000","682,571",-,9.4,0,168,0
,"Livestock
Market","433,624","181,515,152",-,-,0,0,168,0
,"Veterinary
Service","2,909,462",-,"386,000",-,13.3,0,168,0
,"Demonstration
Farm Kajiado","3,122,441",-,"970,000",-,31.1,0,168,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",169,0
,"Animal Disease
Control","38,975,736","17,000,000",-,-,0,0,169,0
Fisheries,Fisheries,"3,087,674","33,741,858","1,000,000",-,32.4,0,169,0
,Sub Total,"295,073,799","242,257,010","38,286,512",-,13,0,169,0
"Department of Trade, Investment and Enterprise Development",,,,,,,,169,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","178,662,794",-,"27,877,363",-,15.6,0,169,0
"Trade Develop-
ment","Trade Develop-
ment","41,751,774","512,000,000","813,200",-,1.9,0,169,0
,"Enterprise De-
velopment","1,749,902",-,-,-,0,0,169,0
"Cooperative
Enterprise
Development","Cooperative
Development",-,-,-,-,0,0,169,0
,Sub Total,"222,164,470","512,000,000","28,690,563",-,12.9,0,169,0
Department of Kajiado Municipality,,,,,,,,169,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","59,484,130",-,"6,506,531",-,10.9,0,169,0
"Urban Infra-
structure","Urban Infra-
structure","4,541,500","76,000,000",-,-,0,0,169,0
"Environmental
Management
and Public
Health","Environmental
Management
and Public
Health","6,369,500",-,-,-,0,0,169,0
,Sub Total,"70,395,130","76,000,000","6,506,531",-,9.2,0,169,0
Department of Ngong Municipality,,,,,,,,169,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","85,376,381",-,"10,009,568",-,11.7,0,169,0
"Urban Infra-
structure","Urban Infra-
structure","3,548,194","225,000,000",-,-,0,0,169,0
"Environmental
Management
and Public
Health","Environmental
Management
and Public
Health","11,780,000",-,-,-,0,0,169,0
,Sub Total,"100,704,575","225,000,000","10,009,568",-,9.9,0,169,0
"County Attor-
ney",,,,,,,,169,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","141,980,491",-,"5,133,747",-,3.6,0,169,0
,Sub Total,"141,980,491",-,"5,133,747",-,3.6,0,169,0
Department of Kitengella Municipality,,,,,,,,169,0
"General Ad-
ministration,
Planning and
Support Service","General Ad-
ministration,
Planning and
Support Service","36,596,802",-,"4,779,116",-,13.1,0,169,0
