Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 30
September 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"General Adminis-
tration","General Adminis-
tration","7,379,126","352,786,092",-,-,0.0,0.0,364,0
Livestock,Livestock,"7,300,000","99,394,800",-,-,0.0,0.0,364,0
Fisheries,Fisheries,"1,700,000","34,225,903",-,-,0.0,0.0,364,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,365,0
"Agricultural Devel-
opment","Agricultural Devel-
opment","11,790,000",-,-,-,0.0,-,365,0
"Animal Disease
Management","Animal Disease
Management","2,550,000",-,-,-,0.0,-,365,0
"Agricultural
Training Center(K-
AGURU)","Agricultural Training
Center(KAGURU)","17,000,000",-,"631,620",-,3.7,-,365,0
Sub-Total,,"47,719,126","486,406,795","631,620",-,1.3,0.0,365,0
WATER IRRIGATION ENVIRONMENT & NATURAL RESOURCES,,,,,,,,365,0
Water & Irrigation,Water & Irrigation,"13,280,766","180,516,151",-,-,0.0,0.0,365,0
Noise pollution,Noise pollution,"30,515,132","369,262,000",-,"78,000,000",0.0,21.1,365,0
Sub-Total,,"43,795,898","549,778,151",-,"78,000,000",0.0,14.2,365,0
"EDUCATION, TECHNOLOGY, GENDER & SOCIAL DEVELOPMENT",,,,,,,,365,0
"Administration
Services","Administration
Services","149,853,100","115,453,849",-,-,0.0,0.0,365,0
"Early Childhood
Development Edu-
cation (ECDE)","Early Childhood De-
velopment Education
(ECDE)","93,839,477","20,750,000",-,-,0.0,0.0,365,0
"Technical and Vo-
cation Education","Technical and Voca-
tion Education","3,056,535","58,800,000",-,-,0.0,0.0,365,0
"Village Polytech-
nics",Village Polytechnics,"5,614,670",-,-,-,0.0,-,365,0
Library Services,Library Services,"5,161,162",-,-,-,0.0,-,365,0
Sub-Total,,"257,524,944","195,003,849",-,-,0.0,0.0,365,0
HEALTH SERVICES,,,,,,,,365,0
"General Admin-
istration Support
And Planning","General Adminis-
tration Support And
Planning","12,097,383",-,-,-,0.0,-,365,0
Curative Health,Curative Health,"455,015,300","798,742,133","71,959,186","47,972,791",15.8,6.0,365,0
"Preventive and
Promotive Health","Preventive and Pro-
motive Health","237,598,330",-,-,-,0.0,-,365,0
Sub-Total,,"704,711,013","798,742,133","71,959,186","47,972,791",10.2,6.0,365,0
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT & PUBLIC WORKS",,,,,,,,365,0
Lands & Housing,Lands & Housing,"9,750,000","28,790,706",-,-,0.0,0.0,365,0
"Physical Planning
and Urban Devel-
opment","Physical Planning
and Urban Develop-
ment","44,550,000","700,706,111",-,-,0.0,0.0,365,0
"Meru Town Mu-
nicipality","Meru Town Munic-
ipality","6,000,000",-,-,-,0.0,-,365,0
Maua Municipality,Maua Municipality,"4,000,000",-,-,-,0.0,-,365,0
"Timau Munici-
pality",Timau Municipality,"2,800,000",-,-,-,0.0,-,365,0
Public Works,Public Works,"4,550,000","10,000,000",-,-,0.0,0.0,365,0
Sub-Total,,"71,650,000","739,496,817",-,-,0.0,0.0,365,0
PUBLIC SERVICE ADMINISTRATION & LEGAL AFFAIRS,,,,,,,,365,0
"General Adminis-
tration","General Adminis-
tration","81,196,416",-,-,-,0.0,-,365,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,366,0
"Coordination of
County Govern-
ment Functions
Sub-County","Coordination of
County Govern-
ment Functions
Sub-County","7,036,060",-,-,-,0.0,-,366,0
"County Office
Accommodation
Enforcement
Services","County Office
Accommodation En-
forcement Services","27,913,943",-,-,-,0.0,-,366,0
Human Resource,Human Resource,"5,411,279,181","104,997,298","777,805,734",-,14.4,0.0,366,0
"Legal Represen-
tation, Advisory
Services and Legis-
lative Process","Legal Representa-
tion, Advisory Ser-
vices and Legislative
Process","38,832,064",-,-,-,0.0,-,366,0
"Town Management
& Administration","Town Management
& Administration","600,000",-,-,-,0.0,-,366,0
Sub-Total,,"5,566,857,664","104,997,298","777,805,734",-,14.0,0.0,366,0
"ROADS, TRANSPORT & ENERGY",,,,,,,,366,0
"General Adminis-
tration-Roads","General Administra-
tion-Roads","25,750,170","1,151,673,306",-,"63,000,000",0.0,5.5,366,0
Infrastructure,Infrastructure,"6,400,000","15,000,000",-,-,,,366,0
Public Works,Public Works,"8,750,000",-,-,-,0.0,-,366,0
Sub-Total,,"40,900,170","1,166,673,306",-,"63,000,000",0.0,5.4,366,0
"TRADE, TOURISM & COOPERATIVE DEVELOPMENT",,,,,,,,366,0
"Cooperatives De-
velopment","Cooperatives Devel-
opment","5,930,000","39,570,000",-,-,0.0,0.0,366,0
Tourism,Tourism,"11,472,228",-,-,-,0.0,-,366,0
Trade,Trade,"7,930,000","408,115,664",-,"52,631,578",0.0,12.9,366,0
Sub-Total,,"25,332,228","447,685,664",-,"52,631,578",0.0,11.8,366,0
YOUTH AFFAIRS & SPORTS,,,,,,,,366,0
"Youth Affairs Pro-
gramme","Youth Affairs Pro-
gramme","5,606,422","10,463,868",-,-,0.0,0.0,366,0
"Sports Develop-
ment",Sports Development,"19,670,000","100,870,000",-,-,0.0,0.0,366,0
"Meru Youth
Service",Meru Youth Service,"10,000,000",-,"357,524",-,3.6,-,366,0
"Gender Main-
streaming","Gender Mainstream-
ing","9,455,000",-,-,-,0.0,-,366,0
Sub-Total,,"44,731,422","111,333,868","357,524",-,0.8,0.0,366,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,366,0
Headquarters,Headquarters,"44,119,478",-,-,-,0.0,-,366,0
Sub-Total,,"44,119,478",-,-,-,0.0,-,366,0
Grand Total,,"8,949,919,962","4,972,431,870","907,293,897","290,453,193",10.1,5.8,366,0
